 Date,AIG Price Target,AIG Price Target - High,AIG Price Target - Low,AIG Price Target - StdDev,AIG Price Target - Median,AIG Open,AIG Low,AIG High,AIG Close,AIG Adj. Close,AIG Rating,AIG Price Target - #,Ticker
05-06-2013,46.40625,60.0,37,5.09049,46.5,36.17238497716,35.678204577696,37.14454314004,45.48,36.844794373152,3.95238,16,AIG
05-07-2013,46.40625,60.0,37,5.09049,46.5,36.107574432968,35.678204577696,36.415424517880005,44.6,36.13187838704,3.90476,16,AIG
05-08-2013,46.71875,60.0,37,5.26773,46.5,35.840230938176006,35.69440721374401,36.164283659136,44.35,35.92934543644,3.90476,16,AIG
05-09-2013,46.71875,60.0,37,5.26773,46.5,35.945548072488,35.572887443384,36.050865206800005,44.07,35.702508531768004,3.90476,16,AIG
05-10-2013,46.90625,60.0,37,5.43202,46.5,35.734913803864,35.370354492784,35.937446754464,44.18,35.791623030032,3.90476,16,AIG
05-13-2013,47.40625,60.0,37,5.1938,47.25,36.302006065544006,35.76731907596,36.415424517880005,44.64,36.164283659136,3.95238,16,AIG
05-14-2013,47.40625,60.0,37,5.1938,47.25,36.318208701592,36.318208701592,37.41990693967576,46.08,37.330873454592,3.95238,16,AIG
05-15-2013,47.40625,60.0,37,5.1938,47.25,37.565811677288,36.60637258370568,37.63062222148,45.58,36.925807553392,3.95238,16,AIG
05-16-2013,47.78125,60.0,37,5.00303,47.75,36.77998382896,36.194663601726006,37.18504973016,44.91,36.383019245784,3.95238,16,AIG
05-17-2013,47.78125,60.0,37,5.00303,47.75,36.350613973688,36.334411337640006,36.836693055128,45.23,36.642261422552,3.95238,16,AIG
05-20-2013,47.78125,60.0,37,5.00303,47.75,36.593653514408,36.2533981574,36.77998382896,44.89,36.366816609736006,3.95238,16,AIG
05-21-2013,47.78125,60.0,37,5.00303,47.75,36.488336380096,36.067067842848,36.77998382896,44.96,36.423525835904,3.95238,16,AIG
05-22-2013,47.78125,60.0,37,5.00303,47.75,36.277702111472,35.629596669552,37.055428641776,44.31,35.896940164344,3.95238,16,AIG
05-23-2013,47.78125,60.0,37,5.00303,47.75,35.103010997992,35.0382004538,36.277702111472,44.53,36.075169160872,3.95238,16,AIG
05-24-2013,47.78125,60.0,37,5.00303,47.75,35.76731907596,35.580988761408,36.229094203328,44.69,36.204790249256,3.95238,16,AIG
05-28-2013,47.78125,60.0,37,5.00303,47.75,36.942010189440005,36.43567781294,37.14454314004,45.17,36.593653514408,3.95238,16,AIG
05-29-2013,47.78125,60.0,37,5.00303,47.75,36.058966524824,36.018459934704005,36.990618097584,45.52,36.877199645248005,3.95238,16,AIG
05-30-2013,47.78125,60.0,37,5.00303,47.75,36.852895691176,36.723274602792,37.638723539504,46.21,37.436190588904005,3.95238,16,AIG
05-31-2013,47.78125,60.0,37,5.00303,47.75,36.26960079344801,36.01035861668,37.2660629104,44.46,36.018459934704005,3.95238,16,AIG
06-03-2013,47.78125,60.0,37,5.00303,47.75,36.196688931232,35.021997817752,36.520741652192,44.75,36.2533981574,3.95238,16,AIG
06-04-2013,47.67647,60.0,37,4.87171,47.5,36.423525835904,35.394658446856,36.836693055128,44.1,35.72681248584,3.90909,17,AIG
06-05-2013,47.67647,60.0,37,4.87171,47.5,36.804287783032,35.086808361944,36.860997009200005,43.9,35.56478612536,3.90909,17,AIG
06-06-2013,47.67647,60.0,37,4.87171,47.5,35.410861082904006,35.086808361944,36.350613973688,44.86,36.342512655664,3.90909,17,AIG
06-07-2013,47.67647,60.0,37,4.87171,47.5,36.504539016144,35.986054662608005,36.812389101056,45.28,36.682768012672,3.90909,17,AIG
06-10-2013,47.67647,60.0,37,4.87171,47.5,36.804287783032,36.37491792776,37.282265546448,45.95,37.225556320280006,3.90909,17,AIG
06-11-2013,47.67647,60.0,37,4.87171,47.5,36.73947723884,36.220992885304,36.804287783032,44.92,36.391120563808,3.90909,17,AIG
06-12-2013,47.67647,60.0,37,4.87171,47.5,36.674666694648,35.896940164344,37.047327323752,44.66,36.180486295184,3.90909,17,AIG
06-13-2013,47.67647,60.0,37,4.87171,47.5,36.042763888776,35.832129620152,37.241758956328,45.94,37.217455002256,3.90909,17,AIG
06-14-2013,47.67647,60.0,37,4.87171,47.5,37.18504973016,36.666565376624,37.63062222148,45.38,36.763781192912006,3.90909,17,AIG
06-17-2013,47.67647,60.0,37,4.87171,47.5,36.869098327224,36.12377706901601,36.942010189440005,45.15,36.57745087836,3.90909,17,AIG
06-18-2013,47.91176,60.0,37,5.16275,47.5,36.107574432968,35.953649390512005,36.642261422552,45.14,36.569349560336,3.90909,17,AIG
06-19-2013,47.91176,60.0,37,5.16275,47.5,36.53694428824,36.277702111472,37.14454314004,44.81,36.302006065544006,3.90909,17,AIG
06-20-2013,47.91176,60.0,37,5.16275,47.5,36.107574432968,35.66200194164801,36.455931108,44.27,35.864534892248,3.90909,17,AIG
