 Date,MRK Price Target,MRK Price Target - High,MRK Price Target - Low,MRK Price Target - StdDev,MRK Price Target - Median,MRK Open,MRK Low,MRK High,MRK Close,MRK Adj. Close,MRK Rating,MRK Price Target - #,Ticker
02-05-2013,48.08333,54.0,43,3.13692,47.5,28.50121570987,28.417899123142,28.799766812312,41.43,28.765051567842,3.82609,18,MRK
02-06-2013,48.08333,54.0,43,3.13692,47.5,28.70950717669,28.452614367612,28.778937665630004,41.09,28.528987905446,3.82609,18,MRK
02-07-2013,48.19444,54.0,43,3.23668,47.5,28.535930954340003,28.383183878672003,28.67479193222,41.0,28.4665004654,3.82609,18,MRK
02-08-2013,48.19444,54.0,43,3.23668,47.5,28.508158758764,28.431785220930003,28.591475345492,41.18,28.591475345492,3.82609,18,MRK
02-11-2013,48.19444,54.0,43,3.23668,47.5,28.598418394386,28.528987905446,28.8136529101,41.38,28.730336323372,3.82609,18,MRK
02-12-2013,48.19444,54.0,43,3.23668,47.5,28.723393274478,28.556760101022004,28.862254252358,41.45,28.778937665630004,3.82609,18,MRK
02-13-2013,48.19444,54.0,43,3.23668,47.5,28.758108518948003,28.473443514294,28.806709861206,41.15,28.57064619881,3.82609,18,MRK
02-14-2013,48.19444,54.0,43,3.23668,47.5,28.494272660976,28.344997109755003,28.619247541068,41.19,28.598418394386,3.82609,18,MRK
02-15-2013,48.19444,54.0,43,3.23668,47.5,28.785880714524,28.629662114409,28.8136529101,41.42,28.758108518948003,3.82609,18,MRK
02-19-2013,48.08333,54.0,43,3.24144,47.0,28.88308339904,28.869197301252,29.313552430468,42.22,29.313552430468,3.82609,18,MRK
02-20-2013,48.08333,54.0,43,3.24144,47.0,29.410755114984,29.313552430468,29.68153402185,42.66,29.619046581804,3.82609,18,MRK
02-21-2013,48.08333,54.0,43,3.24144,47.0,29.5079577995,29.348267674938004,29.556559141758,42.5,29.5079577995,3.82609,18,MRK
02-22-2013,48.08333,54.0,43,3.24144,47.0,29.563502190652,29.528786946182,30.042572564338,42.97,29.834281097518,3.82609,18,MRK
02-25-2013,48.02778,54.0,43,3.26799,47.0,30.070344759914,29.51483141790506,30.167547444430003,42.52,29.521843897288004,3.82609,18,MRK
02-26-2013,48.02778,54.0,43,3.26799,47.0,29.68153402185,29.23023584374,29.71624926632,42.42,29.452413408348,3.82609,18,MRK
02-27-2013,48.02778,54.0,43,3.26799,47.0,29.348267674938004,29.348267674938004,29.95925597761,42.97,29.834281097518,3.82609,18,MRK
02-28-2013,48.02778,54.0,43,3.26799,47.0,29.862053293094,29.667647924062,30.000914270974,42.73,29.667647924062,3.82609,18,MRK
03-01-2013,48.02778,54.0,43,3.26799,47.0,29.389925968302,29.389925968302,29.625989630698,42.63,29.598217435122,3.82609,18,MRK
03-04-2013,48.02778,54.0,43,3.26799,47.0,29.799565853048,29.688477070744,30.098116955490003,43.34,30.091173906596,3.91304,18,MRK
03-05-2013,48.02778,54.0,43,3.26799,47.0,30.271693177840003,29.92454073314,30.30640842231,43.25,30.02868646655,3.91304,18,MRK
03-06-2013,48.02778,54.0,43,3.26799,47.0,30.06340171102,29.896768537564004,30.368895862356,43.68,30.327237568992,3.91304,18,MRK
03-07-2013,48.02778,54.0,43,3.26799,47.0,30.424440253508,29.917597684246005,30.500813791342,43.27,30.042572564338,3.91304,18,MRK
03-08-2013,48.02778,54.0,43,3.26799,47.0,30.13283219996,29.799565853048,30.2022626889,42.97,29.834281097518,3.91304,18,MRK
03-11-2013,48.02778,54.0,43,3.26799,47.0,29.82039499973,29.764850608578,30.320294520098003,43.66,30.313351471204,3.91304,18,MRK
03-12-2013,48.02778,54.0,43,3.26799,47.0,31.535328076548,31.156931911825,31.535328076548,45.04,31.271492218576,3.91304,18,MRK
03-13-2013,48.02778,54.0,43,3.26799,47.0,31.222422401038,31.180362559456,31.355611899381,44.59,31.257472269023,3.91304,18,MRK
03-14-2013,48.02778,54.0,43,3.26799,47.0,31.341591952187,30.56348488292,31.369631846575,44.27,31.033153113919003,3.91304,18,MRK
03-15-2013,48.02778,54.0,43,3.26799,47.0,30.724714275651,30.696674381263,30.906973589173003,44.09,30.906973589173003,3.91304,18,MRK
03-18-2013,48.02778,54.0,43,3.26799,47.0,30.689664407666,30.542454962129,30.801823985218,43.63,30.584514803711,3.91304,18,MRK
03-19-2013,48.02778,54.0,43,3.26799,47.0,30.63358461889,30.56348488292,30.731724249248003,43.7,30.63358461889,3.91304,18,MRK
03-20-2013,48.02778,54.0,43,3.26799,47.0,30.8438838268,30.759764143636,31.047173061113,44.12,30.928003509964,3.91304,18,MRK
