 Date,CL Price Target,CL Price Target - High,CL Price Target - Low,CL Price Target - StdDev,CL Price Target - Median,CL Open,CL Low,CL High,CL Close,CL Adj. Close,CL Rating,CL Price Target - #,Ticker
02-05-2013,56.30136,63.0,50,3.12001,57.25,43.4743412412315,43.390942943427,43.732478829674,54.73,43.470369893717,3.37037,22,CL
02-06-2013,56.30136,63.0,50,3.12001,57.25,43.3552008157965,43.04940705718,43.637166489326,54.905,43.6093670567245,3.37037,22,CL
02-07-2013,56.30136,63.0,50,3.12001,57.25,43.613338404239,43.4187423760285,43.76822095730449,55.095,43.7602782622755,3.37037,22,CL
02-08-2013,56.30136,63.0,50,3.12001,57.25,43.704679397072496,43.057349752209,44.02040152447525,54.245,43.0851491848105,3.37037,22,CL
02-11-2013,56.00591,63.0,50,3.20444,57.0,42.954094716832,42.743613298563496,43.27180251799199,54.145,43.005722234520505,3.37037,22,CL
02-12-2013,56.00591,63.0,50,3.20444,57.0,43.04940705718,42.8071548587955,43.081177837296,54.025,42.910409894172496,3.37037,22,CL
02-13-2013,56.00591,63.0,50,3.20444,57.0,42.997779539491496,42.6403582631865,43.0216076245785,53.95,42.850839681455,3.37037,22,CL
02-14-2013,55.78826,63.0,50,3.29608,57.0,42.739641951049,42.717799539719245,43.1804615251585,54.165,43.0216076245785,3.28571,23,CL
02-15-2013,55.78826,63.0,50,3.29608,57.0,43.168547482615,43.168547482615,43.81190577996399,55.01,43.692765354528994,3.28571,23,CL
02-19-2013,55.78826,63.0,50,3.29608,57.0,43.748364219732,43.653051879384,44.494977552458,55.955,44.443350034769495,3.28571,23,CL
02-20-2013,55.78826,63.0,50,3.29608,57.0,44.4790921624,44.4592354248275,44.87622691385,56.055,44.5227769850595,3.28571,23,CL
02-21-2013,55.78826,63.0,50,3.29608,57.0,44.3798084745375,44.2844961341895,45.12245045974901,56.545,44.9119690414805,3.28571,23,CL
02-22-2013,55.78826,63.0,50,3.29608,57.0,44.915940388995,44.8007713110745,45.35278861559,56.985,45.2614476227565,3.28571,23,CL
02-25-2013,55.94043,63.0,50,3.14902,57.0,45.3726453531625,45.178049324952,45.9524620902795,57.005,45.2773330128145,3.28571,23,CL
02-26-2013,56.02739,63.0,50,3.21775,57.0,44.836513438705,44.669716843096,45.328960530503,56.955,45.237619537669495,3.21429,23,CL
02-27-2013,56.02739,63.0,50,3.21775,57.0,45.0946510271475,44.8087140061035,45.638725636634,57.23,45.456043650967,3.21429,23,CL
02-28-2013,56.02739,63.0,50,3.21775,57.0,45.535470601257,45.4361869133945,45.944519395250495,57.215,45.4441296084235,3.21429,23,CL
03-01-2013,56.02739,63.0,50,3.21775,57.0,45.3091037929305,45.03508081443,45.440158260909,57.055,45.3170464879595,3.21429,23,CL
03-04-2013,56.24478,63.0,50,3.45328,57.0,45.305132445416,45.217762800097,45.622840246576,57.42,45.606954856518,3.21429,23,CL
03-05-2013,56.24478,63.0,50,3.45328,57.0,45.7618374095835,45.710209891895,46.1351440759465,57.855,45.9524620902795,3.21429,23,CL
03-06-2013,56.24478,63.0,50,3.45328,57.0,46.0080609554825,45.606954856518,46.0477744306275,57.675,45.80949357975749,3.21429,23,CL
03-07-2013,56.24478,63.0,50,3.45328,57.0,46.34959684172949,45.7856654946705,46.34959684172949,57.705,45.8333216648445,3.21429,23,CL
03-08-2013,56.48391,65.5,50,3.87029,57.0,46.0001182604535,45.67049641675,46.0477744306275,57.87,45.964376132823,3.21429,23,CL
03-11-2013,56.78826,65.5,50,3.7799,57.0,46.0001182604535,45.765808757098,46.051745778142,57.82,45.924662657678,3.21429,23,CL
03-12-2013,56.78826,65.5,50,3.7799,57.0,45.944519395250495,45.67049641675,45.9683474803375,57.53,45.694324501837,3.21429,23,CL
03-13-2013,56.78826,65.5,50,3.7799,57.0,45.694324501837,45.519585211199,45.734037976982,57.45,45.630782941605,3.28571,23,CL
03-14-2013,56.78826,65.5,50,3.7799,57.0,45.6506396791775,45.159542845534425,45.66255372172101,56.92,45.209820105068,3.28571,23,CL
03-15-2013,56.61955,65.5,50,3.7792,57.0,44.852398828763,44.510862942516,44.9199117365095,56.04,44.510862942516,3.25,22,CL
03-18-2013,56.61955,65.5,50,3.7792,57.0,44.336123651878,44.209040531414,44.6578028005525,56.13,44.58234719777701,3.25,22,CL
03-19-2013,56.61955,65.5,50,3.7792,57.0,44.5227769850595,44.4671781198565,44.749143793386,56.27,44.693544928183,3.25,22,CL
03-20-2013,56.61955,65.5,50,3.7792,57.0,44.820628048647,44.820628048647,45.59106946646,57.3,45.51164251617,3.25,22,CL
03-21-2013,56.61955,65.5,50,3.7792,57.0,45.3170464879595,45.154221239865,45.503699821141,56.855,45.158192587379496,3.25,22,CL
03-22-2013,56.61955,65.5,50,3.7792,57.0,45.1740779774375,45.0152240768575,45.67049641675,57.205,45.4361869133945,3.31034,22,CL
03-25-2013,56.61955,65.5,50,3.7792,57.0,45.5791554239165,45.313075140444994,45.7062385443805,57.2,45.43221556588,3.31034,22,CL
03-26-2013,56.61955,65.5,50,3.7792,57.0,45.59106946646,45.59106946646,46.607734430172,58.66,46.591849040114,3.24138,22,CL
03-27-2013,56.61955,65.5,50,3.7792,57.0,46.266198543925,46.0954306008015,46.44689485583475,58.36,46.353568189244,3.24138,22,CL
03-28-2013,56.61955,65.5,50,3.7792,57.0,46.5084507423095,46.178828898606,47.0406113092525,59.015,46.8738147136435,3.24138,22,CL
04-01-2013,56.61955,65.5,50,3.7792,57.0,46.8102731534115,46.575963650056,46.917499536303,58.855,46.7467315931795,3.24138,22,CL
04-02-2013,56.61955,65.5,50,3.7792,57.0,46.8817574086725,46.8499866285565,47.2471213800065,59.45,47.219321947405,3.24138,22,CL
04-03-2013,56.73318,65.5,50,3.84105,57.0,47.25903542255,46.480651309708,47.30665187924885,58.655,46.5878776925995,3.24138,22,CL
