 Date,SCHW Price Target,SCHW Price Target - High,SCHW Price Target - Low,SCHW Price Target - StdDev,SCHW Price Target - Median,SCHW Open,SCHW Low,SCHW High,SCHW Close,SCHW Adj. Close,SCHW Rating,SCHW Price Target - #,Ticker
02-05-2013,15.91176,23,12.0,2.51019,15.0,14.782673639972,14.737931891667,15.006382381497,16.65,14.899002185565,3.21739,17,SCHW
02-06-2013,15.91176,23,12.0,2.51019,15.0,14.827156484439,14.7687818526105,15.096577862108996,16.79,15.078616436930998,3.21739,17,SCHW
02-07-2013,15.91176,23,12.0,2.51019,15.0,15.051674299164,14.809195059260997,15.635420617448998,17.11,15.365999239779,3.21739,17,SCHW
02-08-2013,16.11765,23,13.5,2.48838,15.0,15.428864227902,15.096577862108996,15.473767790847,16.89,15.168423562821,3.21739,17,SCHW
02-11-2013,16.11765,23,13.5,2.48838,15.0,14.81817577185,14.800214346672,15.159442850232,16.73,15.024732161397,3.21739,17,SCHW
02-12-2013,16.05882,23,13.5,2.52565,15.0,15.015751448808,15.015751448808,15.213327125766,16.86,15.141481425053998,3.13043,17,SCHW
02-13-2013,16.05882,23,13.5,2.52565,15.0,15.204346413177,15.105558574698,15.330076389423,16.92,15.195365700588,3.13043,17,SCHW
02-14-2013,16.11765,23,13.5,2.51191,15.0,15.132500712465,15.033712873985998,15.231288550944,16.92,15.195365700588,3.13043,17,SCHW
02-15-2013,16.17647,23,13.5,2.58924,15.0,15.231288550944,15.069635724342,15.240269263532998,16.9,15.177404275409998,3.13043,17,SCHW
02-19-2013,16.17647,23,13.5,2.58924,15.0,15.213327125766,15.168423562821,15.35701852719,17.1,15.35701852719,3.13043,17,SCHW
02-20-2013,16.17647,23,13.5,2.58924,15.0,15.321095676833998,14.988809311041,15.321095676833998,16.69,14.988809311041,3.13043,17,SCHW
02-21-2013,16.17647,23,13.5,2.58924,15.0,14.970847885863,14.629580807480998,14.979828598452,16.37,14.701426508193,3.13043,17,SCHW
02-22-2013,16.17647,23,13.5,2.58924,15.0,14.791233634082998,14.773272208905,15.033712873985998,16.73,15.024732161397,3.13043,17,SCHW
02-25-2013,16.17647,23,13.5,2.58924,15.0,15.123519999876,14.629580807480998,15.195365700588,16.32,14.656522945248,3.13043,17,SCHW
02-26-2013,16.17647,23,13.5,2.58924,15.0,14.584677244535998,14.333217292044,14.800214346672,16.21,14.557735106769,3.13043,17,SCHW
