 Date,TMO Price Target,TMO Price Target - High,TMO Price Target - Low,TMO Price Target - StdDev,TMO Price Target - Median,TMO Open,TMO Low,TMO High,TMO Close,TMO Adj. Close,TMO Rating,TMO Price Target - #,Ticker
02-05-2013,77.42105,84.0,65.0,5.65979,80.0,70.306957454285,70.17191871037501,72.1492717462,74.79,72.139626121635,4.36364,19,TMO
02-06-2013,77.42105,84.0,65.0,5.65979,80.0,71.62840801969001,70.97250554927,71.62840801969001,73.83,71.213646163395,4.36364,19,TMO
02-07-2013,77.42105,84.0,65.0,5.65979,80.0,71.22329178796001,70.461287447325,71.3824445932825,73.81,71.194354914265,4.36364,19,TMO
02-08-2013,77.42105,84.0,65.0,5.65979,80.0,71.30045678448,71.25222866165501,71.9804733163125,74.59,71.94671363033501,4.36364,19,TMO
02-11-2013,77.42105,84.0,65.0,5.65979,80.0,71.92742238120499,71.213646163395,72.1492717462,74.75,72.101043623375,4.36364,19,TMO
02-12-2013,77.42105,84.0,65.0,5.65979,80.0,72.09139799881,71.55124302317002,72.2987789269575,74.58,71.93706800577,4.36364,19,TMO
02-13-2013,77.42105,84.0,65.0,5.65979,80.0,72.139626121635,71.99503820940566,72.679781097275,75.1,72.43864048315,4.36364,19,TMO
02-14-2013,77.94444,84.0,65.0,5.34865,80.0,72.16856299532999,71.84061176012001,72.37112111119501,74.88,72.22643674272,4.33333,18,TMO
02-15-2013,77.94444,84.0,65.0,5.34865,80.0,72.18785424446001,71.367976156435,72.197499869025,74.43,71.792383637295,4.33333,18,TMO
02-19-2013,77.94444,84.0,65.0,5.34865,80.0,71.70557301621001,71.58982552143,72.3855895480425,75.0,72.3421842375,4.33333,18,TMO
02-20-2013,77.94444,84.0,65.0,5.34865,80.0,71.32939365817501,70.017588717335,71.70557301621001,72.64,70.06581684016001,4.33333,18,TMO
02-21-2013,77.94444,84.0,65.0,5.34865,80.0,69.93077809625001,69.17841938018,70.03687996646501,72.09,69.53530748908501,4.33333,18,TMO
02-22-2013,77.94444,84.0,65.0,5.34865,80.0,69.805384976905,69.516016239955,70.39376807537,72.95,70.364831201675,4.33333,18,TMO
02-25-2013,77.94444,84.0,65.0,5.34865,80.0,70.70242806145001,69.0626718854,70.885694928185,71.6,69.0626718854,4.33333,18,TMO
02-26-2013,77.94444,84.0,65.0,5.34865,80.0,69.79573935234001,69.61247248560501,70.93874586329251,73.24,70.64455431406,4.33333,18,TMO
02-27-2013,77.94444,84.0,65.0,5.34865,80.0,70.287666205155,70.133336212115,71.85990300925,74.25,71.618762395125,4.33333,18,TMO
02-28-2013,77.94444,84.0,65.0,5.34865,80.0,71.78273801273001,71.15577241600501,72.23608236728501,73.8,71.1847092897,4.33333,18,TMO
03-01-2013,77.94444,84.0,65.0,5.34865,80.0,70.68313681232,70.287666205155,72.20714549359,74.78,72.12998049707001,4.33333,18,TMO
03-04-2013,77.94444,84.0,65.0,5.34865,80.0,71.66699051795,71.54169385485066,72.67013547271,75.33,72.660489848145,4.33333,18,TMO
03-05-2013,77.94444,84.0,65.0,5.34865,80.0,72.94021296053,72.7280092201,73.78902792225,76.43,73.72150855029501,4.33333,18,TMO
03-06-2013,77.94444,84.0,65.0,5.34865,80.0,73.972294788985,73.682926052035,74.088042283765,76.67,73.953003539855,4.33333,18,TMO
03-07-2013,77.94444,84.0,65.0,5.34865,80.0,74.20378977854502,73.46107668704,74.2182582153925,76.49,73.779382297685,4.33333,18,TMO
03-08-2013,77.94444,84.0,65.0,5.34865,80.0,74.13627040659,73.63537312292955,74.377411020715,77.04,74.30989164876001,4.33333,18,TMO
03-11-2013,77.94444,84.0,65.0,5.34865,80.0,74.21343540311,73.856547294205,74.48351289093,77.22,74.48351289093,4.33333,18,TMO
03-12-2013,77.94444,84.0,65.0,5.34865,80.0,74.34847414702,74.22308102767501,75.091187238525,77.7,74.94650287005001,4.33333,18,TMO
03-13-2013,77.94444,84.0,65.0,5.34865,80.0,74.907845743729,73.245589329341,75.13012421774599,77.62,75.014152839998,4.33333,18,TMO
03-14-2013,77.94444,84.0,65.0,5.34865,80.0,75.10113137330899,74.72422439562799,75.13978849922499,77.35,74.753217240065,4.33333,18,TMO
03-15-2013,77.94444,84.0,65.0,5.34865,80.0,74.192688914283,73.806117655123,74.8256993511575,77.15,74.55993161048501,4.33333,18,TMO
03-18-2013,77.94444,84.0,65.0,5.34865,80.0,73.786789092165,73.525853492232,74.55993161048501,76.8,74.22168175872,4.33333,18,TMO
03-19-2013,77.94444,84.0,65.0,5.34865,80.0,74.60825301788,74.24101032167799,75.043145684435,77.41,74.811202928939,4.33333,18,TMO
03-20-2013,77.94444,84.0,65.0,5.34865,80.0,75.410388380637,74.762881521544,75.420052662116,77.57,74.965831432603,4.33333,18,TMO
03-21-2013,78.70588,84.0,65.0,4.45586,80.0,74.695231551191,73.216596484904,74.733888677107,76.63,74.05738897357699,4.4,17,TMO
03-22-2013,78.70588,84.0,65.0,4.45586,80.0,74.70489583266999,73.168275077509,74.70489583266999,75.96,73.40988211448399,4.4,17,TMO
03-25-2013,78.70588,84.0,65.0,4.45586,80.0,73.49686064779499,72.076211270382,73.786789092165,74.69,72.182518366651,4.4,17,TMO
03-26-2013,78.70588,84.0,65.0,4.45586,80.0,72.366139714752,72.153525522214,72.8986416242449,74.9,72.38546827771,4.4,17,TMO
03-27-2013,78.70588,84.0,65.0,4.45586,80.0,72.153525522214,71.332061596499,72.781703818349,75.17,72.646403877643,4.4,17,TMO
03-28-2013,78.70588,84.0,65.0,4.45586,80.0,72.694725285038,72.48249766375916,74.038060410619,76.49,73.922089032871,4.4,17,TMO
04-01-2013,78.70588,84.0,65.0,4.45586,80.0,73.73846768477,72.743046692433,73.786789092165,75.53,72.994318010887,4.4,17,TMO
04-02-2013,78.70588,84.0,65.0,4.45586,80.0,72.89767519609701,72.82036094426499,76.00957383233501,78.56,75.922595299024,4.4,17,TMO
04-03-2013,78.70588,84.0,65.0,4.45586,80.0,75.835616765713,75.168781343662,76.589430721075,78.1,75.47803835098999,4.4,17,TMO
04-04-2013,79.52941,87.0,65.0,4.69189,80.0,75.062474247393,75.062474247393,76.06755952120899,77.92,75.304081284368,4.4,17,TMO
04-05-2013,79.52941,87.0,65.0,4.69189,80.0,73.458203521879,72.917003759055,74.70489583266999,77.16,74.569595891964,4.4,17,TMO
04-08-2013,79.52941,87.0,65.0,4.69189,80.0,74.666238706754,74.385974543863,75.71481324722549,78.34,75.709981106486,4.4,17,TMO
04-09-2013,79.73529,87.0,65.0,4.82676,80.0,76.077223802688,75.468374069511,76.183530898957,78.38,75.74863823240199,4.4,17,TMO
04-10-2013,79.73529,87.0,65.0,4.82676,80.0,76.512116469243,76.512116469243,78.802551179766,81.34,78.609265550186,4.4,17,TMO
04-11-2013,79.73529,87.0,65.0,4.82676,80.0,78.976508246388,77.17895189129399,79.20845100188399,79.91,77.227273298689,4.4,17,TMO
04-12-2013,79.73529,87.0,65.0,4.82676,80.0,77.02432338763,76.83103775805,77.594515994891,79.59,76.918016291361,4.4,17,TMO
04-15-2013,84.0,100.0,72.0,6.68331,82.0,81.450564305012,75.197774188099,81.711499904945,78.58,75.94192386198199,4.44444,15,TMO
04-16-2013,87.06667,100.0,72.0,7.49637,89.0,76.850366321008,76.695737817344,79.237443846321,81.82,79.073151061178,4.5,15,TMO
04-17-2013,88.86667,100.0,72.0,7.43744,90.0,78.86053686864,77.89410872074,79.21811528336299,81.5,78.76389405385,4.5,15,TMO
04-18-2013,88.86667,100.0,72.0,7.43744,90.0,78.676915520539,76.995330543193,78.889529713077,80.08,77.391566083832,4.5,15,TMO
04-19-2013,88.86667,100.0,72.0,7.43744,90.0,77.845787313345,76.937344854319,77.845787313345,80.03,77.343244676437,4.5,15,TMO
04-22-2013,88.86667,100.0,72.0,7.43744,90.0,77.372237520874,76.705402098823,77.57518743193299,79.95,77.265930424605,4.5,15,TMO
04-23-2013,88.86667,100.0,72.0,7.43744,90.0,77.54619458749599,77.352908957916,78.676915520539,80.64,77.932765846656,4.5,15,TMO
04-24-2013,90.1,100.0,78.0,6.19193,90.0,78.657586957581,78.18403716511,79.34375094258999,81.2,78.47396560948,4.5,15,TMO
04-25-2013,90.76667,100.0,78.0,5.81053,91.0,78.57060842426999,77.30458755052099,78.657586957581,80.12,77.43022320974801,4.5,15,TMO
04-26-2013,90.76667,100.0,78.0,5.81053,91.0,77.02432338763,76.889023446924,78.580272705749,81.13,78.40631563912699,4.5,15,TMO
04-29-2013,90.76667,100.0,78.0,5.81053,91.0,78.512622735396,77.874780157782,78.522287016875,80.76,78.04873722440401,4.5,15,TMO
04-30-2013,90.76667,100.0,78.0,5.81053,91.0,77.80713018742901,77.51720174305899,78.2806799799,80.68,77.971422972572,4.5,15,TMO
05-01-2013,90.76667,100.0,78.0,5.81053,91.0,77.739480217076,77.57518743193299,78.058401505883,80.72,78.010080098488,4.5,15,TMO
05-02-2013,90.76667,100.0,78.0,5.81053,91.0,78.396651357648,78.029408661446,78.986172527867,81.6,78.86053686864,4.5,15,TMO
05-03-2013,90.76667,100.0,78.0,5.81053,91.0,79.34375094258999,79.16012959448899,79.817300735061,82.17,79.411400912943,4.5,15,TMO
05-06-2013,90.76667,100.0,78.0,5.81053,91.0,79.40173663146399,79.169793875968,80.2135362757,82.44,79.672336512876,4.5,15,TMO
05-07-2013,90.76667,100.0,78.0,5.81053,91.0,79.672336512876,79.266436690758,81.131643016205,83.91,81.092985890289,4.5,15,TMO
05-08-2013,90.76667,100.0,78.0,5.81053,91.0,81.11231445324701,80.40682190528,81.305600082827,84.11,81.286271519869,4.5,15,TMO
05-09-2013,90.76667,100.0,78.0,5.81053,91.0,81.334592927264,80.42615046823799,81.37547283792016,83.48,80.67742178669201,4.5,15,TMO
05-10-2013,90.76667,100.0,78.0,5.81053,91.0,81.189628705079,80.46480759415401,81.66317849754999,84.46,81.62452137163399,4.5,15,TMO
05-13-2013,90.76667,100.0,78.0,5.81053,91.0,81.286271519869,81.015671638457,81.721164186424,84.39,81.556871401281,4.5,15,TMO
05-14-2013,90.76667,100.0,78.0,5.81053,91.0,81.392578616138,81.32492864578501,81.982099786357,84.71,81.86612840860899,4.5,15,TMO
05-15-2013,90.76667,100.0,78.0,5.81053,91.0,81.798478438256,81.421571460575,83.29644206750099,86.01,83.12248500087901,4.5,15,TMO
05-16-2013,90.76667,100.0,78.0,5.81053,91.0,82.69725661580298,82.53296383066001,83.40274916377,85.5,82.62960664545,4.5,15,TMO
05-17-2013,90.76667,100.0,78.0,5.81053,91.0,82.851885119467,82.5523890364328,83.518720541518,86.27,83.373756319333,4.5,15,TMO
05-20-2013,90.76667,100.0,78.0,5.81053,91.0,83.78932042293,83.49939197856,84.224213089485,86.78,83.866634674762,4.5,15,TMO
05-21-2013,90.76667,100.0,78.0,5.81053,91.0,84.021263178426,83.98260605251001,84.804069978225,87.35,84.417498719065,4.5,15,TMO
05-22-2013,91.76667,100.0,77.0,6.47783,92.5,84.47548440793899,82.909870808341,85.12299126703199,86.28,83.383420600812,4.5,15,TMO
05-23-2013,94.03333,103.0,77.0,7.13785,96.0,82.842220837988,82.127064008542,83.141813563837,85.69,82.813227993551,4.5,15,TMO
05-24-2013,94.03333,103.0,77.0,7.13785,96.0,82.262363949248,81.68250706050799,84.32085590427499,87.22,84.291863059838,4.5,15,TMO
05-28-2013,94.03333,103.0,77.0,7.13785,96.0,84.93936991893099,84.775077133788,85.934790911268,88.28,85.316276896612,4.5,15,TMO
05-29-2013,94.03333,103.0,77.0,7.13785,96.0,84.668770037519,83.93621750141081,85.016684170763,87.36,84.427163000544,4.5,15,TMO
05-30-2013,94.03333,103.0,77.0,7.13785,96.0,84.591455785687,84.47548440793899,86.10874797788999,88.76,85.78016240760401,4.5,15,TMO
