 Date,CRM Price Target,CRM Price Target - High,CRM Price Target - Low,CRM Price Target - StdDev,CRM Price Target - Median,CRM Open,CRM Low,CRM High,CRM Close,CRM Adj. Close,CRM Rating,CRM Price Target - #,Ticker
02-05-2013,44.83125,56.25,22.5,7.71289,47.5,43.2675,42.775,43.44,43.1,43.1,4.0,40,CRM
02-06-2013,44.92683,56.25,22.5,7.6422,47.5,42.8675,42.6675,43.33,42.825,42.825,4.0,41,CRM
02-07-2013,44.92683,56.25,22.5,7.6422,47.5,42.94,42.29,43.125,42.5125,42.5125,4.0,41,CRM
02-08-2013,44.92683,56.25,22.5,7.6422,47.5,42.62,42.37,42.86,42.4875,42.4875,4.0,41,CRM
02-11-2013,44.9878,56.25,22.5,7.6724,47.5,42.705,42.2725,42.8125,42.6575,42.6575,4.0,41,CRM
02-12-2013,44.9878,56.25,22.5,7.6724,47.5,42.6825,42.6175,43.25,43.09,43.09,4.0,41,CRM
02-13-2013,44.9878,56.25,22.5,7.6724,47.5,43.09,42.5,43.34,43.075,43.075,4.0,41,CRM
02-14-2013,44.9878,56.25,22.5,7.6724,47.5,43.0725,42.89,43.865,43.615,43.615,4.0,41,CRM
02-15-2013,44.9878,56.25,22.5,7.6724,47.5,43.6875,43.1525,43.96,43.7575,43.7575,4.0,41,CRM
02-19-2013,44.9878,56.25,22.5,7.6724,47.5,43.675,43.4475,43.935,43.7075,43.7075,4.0,41,CRM
02-20-2013,44.9878,56.25,22.5,7.6724,47.5,43.72,42.765,43.905,42.77,42.77,4.0,41,CRM
02-21-2013,44.9878,56.25,22.5,7.6724,47.5,42.7225,41.9425,42.79,42.1375,42.1375,4.0,41,CRM
02-22-2013,44.9878,56.25,22.5,7.6724,47.5,42.5375,42.1875,42.64,42.64,42.64,4.0,41,CRM
02-25-2013,44.9878,56.25,22.5,7.6724,47.5,42.4475,40.82,42.74,40.8775,40.8775,4.0,41,CRM
02-26-2013,44.9878,56.25,22.5,7.6724,47.5,40.9525,40.565,41.67,40.84,40.84,4.0,41,CRM
02-27-2013,44.9878,56.25,22.5,7.6724,47.5,40.8425,40.500025,42.0525,41.735,41.735,4.0,41,CRM
02-28-2013,45.04878,56.25,22.5,7.72177,47.5,41.7675,41.7675,42.475,42.305,42.305,4.0,41,CRM
03-01-2013,47.43293,57.5,22.5,8.23512,50.0,44.375,42.6975,45.809975,45.5,45.5,4.0,41,CRM
03-04-2013,47.47561,57.5,22.5,8.18792,50.0,45.505,45.37,46.6575,46.4725,46.4725,4.0,41,CRM
03-05-2013,47.47561,57.5,22.5,8.18792,50.0,45.935,45.76,46.4725,46.4425,46.4425,4.0,41,CRM
03-06-2013,47.47561,57.5,22.5,8.18792,50.0,46.415,46.1425,46.8675,46.5925,46.5925,4.0,41,CRM
03-07-2013,47.47561,57.5,22.5,8.18792,50.0,46.6175,46.02,46.6385,46.1175,46.1175,4.0,41,CRM
03-08-2013,47.47561,57.5,22.5,8.18792,50.0,46.4525,45.7675,46.5125,46.4625,46.4625,4.0,41,CRM
03-11-2013,47.33125,57.5,22.5,8.20087,50.0,46.38,46.3775,46.985,46.485,46.485,3.97727,40,CRM
03-12-2013,47.33125,57.5,22.5,8.20087,50.0,45.675,45.125,45.83,45.1975,45.1975,3.97727,40,CRM
03-13-2013,47.56707,57.5,22.5,8.23641,50.0,45.375,44.7375,45.412475,45.2275,45.2275,4.0,41,CRM
03-14-2013,47.56707,57.5,22.5,8.23641,50.0,45.41,44.59,45.7245,44.6225,44.6225,4.0,41,CRM
