 Date,BLK Price Target,BLK Price Target - High,BLK Price Target - Low,BLK Price Target - StdDev,BLK Price Target - Median,BLK Open,BLK Low,BLK High,BLK Close,BLK Adj. Close,BLK Rating,BLK Price Target - #,Ticker
02-05-2013,249.94737,273,230,12.23659,250.0,183.18564557913697,182.8821390505,186.376355239167,238.86,185.886075462138,3.95455,19,BLK
02-06-2013,249.94737,273,230,12.23659,250.0,184.866604814665,184.63313825417495,185.95611543028497,238.8,185.83938215004,3.95455,19,BLK
02-07-2013,249.94737,273,230,12.23659,250.0,185.60591558955,182.5443907596578,185.83938215004,236.82,184.298502850806,3.95455,19,BLK
02-08-2013,249.94737,273,230,12.23659,250.0,184.158422914512,183.46580545172495,185.7556454770109,238.16,185.341320154328,3.95455,19,BLK
02-11-2013,249.94737,273,230,12.23659,250.0,185.356884591694,184.67983156627295,186.710990642536,239.45,186.34522636443495,3.95455,19,BLK
02-12-2013,249.94737,273,230,12.23659,250.0,185.9950265237,185.78490661925895,187.567034697666,238.86,185.886075462138,3.95455,19,BLK
02-13-2013,249.94737,273,230,12.23659,250.0,186.92889276566,186.57869292492495,189.13126065294895,242.52,188.734367500116,3.95455,19,BLK
02-14-2013,249.94737,273,230,12.23659,250.0,188.61763421987095,188.609852001188,191.17020194789495,245.57,191.10794419843097,3.95455,19,BLK
02-15-2013,249.94737,273,230,12.23659,250.0,192.026246003025,188.61763421987095,192.2208014701,242.95,189.06900290348497,3.95455,19,BLK
02-19-2013,249.94737,273,230,12.23659,250.0,189.434767181586,188.843318561678,190.944517606088,244.12,189.979522489396,3.95455,19,BLK
02-20-2013,249.94737,273,230,12.23659,250.0,189.528153805782,185.9950265237,189.870571427834,239.12,186.088413147896,3.95455,19,BLK
02-21-2013,249.94737,273,230,12.23659,250.0,185.341320154328,183.11560561099,185.60591558955,236.22,183.831569729826,3.95455,19,BLK
02-22-2013,249.94737,273,230,12.23659,250.0,185.2168046554,185.2168046554,187.458083636104,240.87,187.450301417421,3.95455,19,BLK
02-25-2013,249.94737,273,230,12.23659,250.0,188.87444743641,184.04947185295,189.62480896182484,236.5,184.04947185295,3.95455,19,BLK
02-26-2013,249.94737,273,230,12.23659,250.0,185.28684462354695,182.368512617422,186.158453116043,236.15,183.777094199045,3.95455,19,BLK
02-27-2013,249.94737,273,230,12.23659,250.0,183.683707574849,182.921050143915,188.041750037329,241.07,187.60594579108096,3.95455,19,BLK
02-28-2013,249.94737,273,230,12.23659,250.0,187.504776948202,186.430830769948,188.415296534113,239.75,186.57869292492495,3.95455,19,BLK
03-01-2013,249.94737,273,230,12.23659,250.0,185.349102373011,181.94827280854,185.349102373011,236.83,184.306285069489,3.95455,19,BLK
03-04-2013,249.94737,273,230,12.23659,250.0,183.83935194850895,183.6603609188,187.847194570254,241.27,187.761590164741,3.95455,19,BLK
03-05-2013,250.73684,273,230,12.99734,250.0,189.83833882544,186.74280778861495,191.695657447535,244.39,191.52324812396495,3.95455,19,BLK
03-06-2013,250.73684,273,230,12.99734,250.0,192.604724789995,192.604724789995,195.919685875,249.57,195.582704015295,3.95455,19,BLK
03-07-2013,250.73684,273,230,12.99734,250.0,196.27234130957495,194.57175843618,197.248805023976,248.47,194.720657397445,3.95455,19,BLK
03-08-2013,250.73684,273,230,12.99734,250.0,195.99805374935,193.91346829164,196.71903819337,248.27,194.563921648745,3.95455,19,BLK
03-11-2013,250.73684,273,230,12.99734,250.0,194.563921648745,193.00440094918,194.69714703514,247.87,194.250450151345,3.95455,19,BLK
03-12-2013,250.73684,273,230,12.99734,250.0,194.41502268748,194.125061552385,196.14695271061495,249.44,195.48082577864,3.95455,19,BLK
03-13-2013,252.57895,285,230,15.59121,250.0,196.18613664779,195.52784650325,199.054400849,253.7,198.81929722595,3.95455,19,BLK
03-14-2013,253.84211,292,230,17.62852,250.0,199.751874930715,199.140605510785,202.00886971199495,256.04,200.65310548574,3.95455,19,BLK
03-15-2013,253.84211,292,230,17.62852,250.0,199.89293710454496,199.2589410010535,201.2487013308,256.74,201.20168060619,3.95455,19,BLK
03-18-2013,253.84211,292,230,17.62852,250.0,199.140605510785,198.607703965205,201.03710807005496,255.25,200.033999278375,3.95455,19,BLK
03-19-2013,253.84211,292,230,17.62852,250.0,199.90077389198,196.46042420801496,200.90388268366,253.18,198.41178427933,3.95455,19,BLK
03-20-2013,253.84211,292,230,17.62852,250.0,200.033999278375,200.033999278375,203.41721878193883,258.7,202.73769094345,3.95455,19,BLK
03-21-2013,253.84211,292,230,17.62852,250.0,200.84118838418,198.121823144235,203.121693527765,253.0,198.2707221055,3.95455,19,BLK
03-22-2013,253.84211,292,230,17.62852,250.0,198.67823505212,197.58108481122,199.46191379562,253.13,198.37260034215495,3.95455,19,BLK
03-25-2013,255.47368,292,230,19.03838,250.0,199.8380795925,197.04818326564,201.664051064855,251.82,197.34598118817,3.95455,19,BLK
03-26-2013,255.47368,292,230,19.03838,250.0,198.1139863568,197.51846887961435,202.72201736858,258.41,202.510424107835,3.95455,19,BLK
03-27-2013,255.47368,292,230,19.03838,250.0,201.5621728282,199.74403814328,201.8756443256,256.57,201.068455219795,3.95455,19,BLK
03-28-2013,255.47368,292,230,19.03838,250.0,201.68756142716,200.04183606581,202.70242539999248,256.88,201.31139563028,3.95455,19,BLK
04-01-2013,256.10526,292,230,18.74453,251.0,201.01359770775,197.855372371445,201.287885267975,252.96,198.23937495576,3.95455,19,BLK
04-02-2013,256.10526,292,230,18.74453,251.0,198.592030390335,198.435294641635,202.09507437378,257.44,201.75025572664,3.95455,19,BLK
04-03-2013,257.94737,292,230,18.65045,254.0,202.05589043660495,193.83510041729,202.189115823,248.23,194.532574499005,3.95455,19,BLK
04-04-2013,263.05263,292,230,18.95278,265.0,194.52473771157,194.0388568906,196.820916430025,251.11,196.789569280285,3.95455,19,BLK
04-05-2013,264.55263,292,230,17.41059,265.5,193.748895755505,188.89792433324,194.352328388,245.79,192.620398364865,3.95455,19,BLK
04-08-2013,264.55263,292,230,17.41059,265.5,192.369621166945,191.29598128835,195.457315416335,249.38,195.43380505403,3.95455,19,BLK
04-09-2013,264.55263,292,230,17.41059,265.5,197.41651227508495,195.70025582682,200.27693968886,254.04,199.08574799874,3.95455,19,BLK
04-10-2013,265.34211,292,230,17.06956,265.5,200.175061452205,199.80673244276,204.36774272993,260.77,204.35990594249495,3.95455,19,BLK
04-11-2013,266.65789,292,230,16.40126,270.0,204.81443961372503,204.81443961372503,208.121563911295,264.14,207.00090330809,3.95455,19,BLK
04-12-2013,269.81579,292,245,12.08001,270.0,206.06832560332495,205.40219867135,207.6631118463475,263.13,206.209387777155,3.95455,19,BLK
04-15-2013,271.39474,300,245,13.83415,273.0,203.75647331,198.88199152543,205.68432301901,253.86,198.94468582491,3.95455,19,BLK
04-16-2013,272.76316,300,253,12.98214,273.0,202.00886971199495,197.07953041538,202.11074794865,257.22,201.57784640307003,3.95455,19,BLK
04-17-2013,274.52632,300,253,12.8856,275.0,199.485424157925,195.15168070637,200.17498308433065,251.03,196.726874980805,3.95455,19,BLK
04-18-2013,274.52632,300,253,12.8856,275.0,196.711201405935,190.88846834173,196.84442679233,245.3,192.23639578055,3.95455,19,BLK
04-19-2013,274.52632,300,253,12.8856,275.0,193.14546312301,192.87901235022,196.28017809701,250.16,196.04507447396,3.95455,19,BLK
04-22-2013,274.52632,300,253,12.8856,275.0,196.89144751694,193.86644756703,197.15789828973,250.51,196.319362034185,3.95455,19,BLK
04-23-2013,274.52632,300,253,12.8856,275.0,197.87888273375,197.44002263739,203.73296294769503,259.48,203.34896036338,3.95455,19,BLK
04-24-2013,274.52632,300,253,12.8856,275.0,203.70945258539,201.930501837645,204.32855879275505,258.67,202.714180581145,3.95455,19,BLK
04-25-2013,274.52632,300,253,12.8856,275.0,203.654595073345,203.17655103981,207.14980226935495,263.57,206.554206424295,3.95455,19,BLK
04-26-2013,274.52632,300,253,12.8856,275.0,205.801874830535,205.4805665457,207.37706910497,263.77,206.71094217299495,3.95455,19,BLK
04-29-2013,274.52632,300,253,12.8856,275.0,207.01657688296,206.35828673842,210.60582552819,268.21,210.19047579413495,3.95455,19,BLK
04-30-2013,274.52632,300,253,12.8856,275.0,210.38639548001,208.28613644743,211.444361783735,266.5,208.85038514275,3.95455,19,BLK
05-01-2013,274.52632,300,253,12.8856,275.0,207.97266495003,204.297211643015,208.84999330337823,260.94,204.49313132889,3.95455,19,BLK
05-02-2013,274.52632,300,253,12.8856,275.0,205.080890386515,204.52447847863,206.42881782533505,262.35,205.59811835722505,3.95455,19,BLK
05-03-2013,274.52632,300,253,12.8856,275.0,208.20776857308,207.78458205159,212.8432283408825,271.34,212.64339026129,3.95455,19,BLK
05-06-2013,274.52632,300,253,12.8856,275.0,212.807962797425,211.7821273221835,215.67622699863497,274.35,215.00226327922505,3.95455,19,BLK
05-07-2013,274.52632,300,253,12.8856,275.0,215.15116224049,213.48192651683505,216.1503526384525,275.55,215.942677771425,3.95455,19,BLK
05-08-2013,274.52632,300,253,12.8856,275.0,215.785942022725,210.049413620305,217.368973084595,277.25,217.274931635375,3.95455,19,BLK
05-09-2013,274.52632,300,253,12.8856,275.0,215.300061201755,213.497600091705,218.50530726267,275.8,216.1385974573,3.95455,19,BLK
05-10-2013,276.36842,310,253,15.12826,275.0,216.48341610444,215.67622699863497,217.43950417151,276.67,216.820397964145,3.86364,19,BLK
05-13-2013,276.36842,310,253,15.12826,275.0,216.10725030756,215.8368811410525,220.2137269235,279.39,218.952004146465,3.86364,19,BLK
05-14-2013,276.63158,310,253,15.14565,275.0,219.43004818,219.43004818,223.3319846438865,284.45,222.917418588575,3.86364,19,BLK
05-15-2013,277.68421,310,253,15.3419,275.0,222.54908957913003,221.7810844105,226.80446515633503,289.29,226.710423707115,3.86364,19,BLK
05-16-2013,277.68421,310,253,15.3419,275.0,226.04429677514,223.15644060534248,227.91728897210496,285.41,223.669750182335,3.77273,19,BLK
05-17-2013,277.68421,310,253,15.3419,275.0,224.99416725885,224.68069576145,228.2143032158915,290.95,228.011330421325,3.77273,19,BLK
05-20-2013,279.0,310,253,16.10819,280.0,226.56152474585,224.96282010911,228.69704932188748,289.25,226.679076557375,3.72727,19,BLK
05-21-2013,282.26316,315,254,16.77668,282.0,227.7370428611,226.43613614689,229.860812255985,291.69,228.591252691515,3.81818,19,BLK
05-22-2013,282.26316,315,254,16.77668,282.0,228.56774232921,221.71055332358503,233.64598058709,285.33,223.60705588285495,3.81818,19,BLK
05-23-2013,282.26316,315,254,16.77668,282.0,220.096175111975,217.4293163478445,222.32182274351496,282.8,221.6243486618,3.81818,19,BLK
05-24-2013,282.26316,315,254,16.77668,282.0,219.33600673078,219.2733124313,222.20427093199,283.35,222.05537197072505,3.81818,19,BLK
05-28-2013,283.36842,315,254,17.403,285.0,223.67758696977,223.45815692159,229.061459937615,288.32,225.95025532592,3.81818,19,BLK
05-29-2013,283.36842,315,254,17.403,285.0,224.375061051485,221.600838299495,226.37344184741,283.64,222.28263880634,3.81818,19,BLK
05-30-2013,283.57895,315,254,17.57784,285.0,221.38924503875,220.44883054655,224.661887471606,284.98,223.33276832263,3.77273,19,BLK
05-31-2013,285.28947,315,254,18.22904,286.0,222.33749631838495,218.74041088572,224.124283853565,279.2,218.8031051852,3.77273,19,BLK
06-03-2013,285.28947,315,254,18.22904,286.0,219.38302745539,213.96780733780497,219.390864242825,278.33,218.121304678355,3.77273,19,BLK
06-04-2013,285.28947,315,254,18.22904,286.0,218.43477617575505,215.26871405201496,220.66826059473,276.28,216.51476325418,3.77273,19,BLK
06-05-2013,285.28947,315,254,18.22904,286.0,216.21696533165,206.193714202285,217.69028136943,266.97,209.21871415219505,3.77273,19,BLK
06-06-2013,286.39474,315,254,17.27379,286.0,209.29757832713895,205.456894026852,212.32596184112305,268.99,212.136687871499,3.77273,19,BLK
06-07-2013,286.39474,315,254,17.27379,286.0,215.291254031899,212.75182827277695,221.363793890669,280.23,221.001018782223,3.77273,19,BLK
06-10-2013,286.39474,315,254,17.27379,286.0,220.070421764905,217.99156266520137,223.11457810969105,281.34,221.876410891734,3.77273,19,BLK
