 Date,CSCO Price Target,CSCO Price Target - High,CSCO Price Target - Low,CSCO Price Target - StdDev,CSCO Price Target - Median,CSCO Open,CSCO Low,CSCO High,CSCO Close,CSCO Adj. Close,CSCO Rating,CSCO Price Target - #,Ticker
02-05-2013,22.22162,25,14,2.53048,23.0,15.276157618896,15.276157618896,15.51027497704,21.08,15.422480967735998,4.0,37,CSCO
02-06-2013,22.3027,25,14,2.56983,23.0,15.40053246541,15.349319293316,15.524907311923998,21.19,15.502958809598,4.0,37,CSCO
02-07-2013,22.3027,25,14,2.56983,23.0,15.517591144482,15.3639516282,15.554171981692,21.095,15.433455218899,4.0,37,CSCO
02-08-2013,22.39444,25,14,2.60949,23.25,15.488326474714002,15.459061804946,15.58343665146,21.16,15.481010307272,4.0,36,CSCO
02-11-2013,22.76286,25,14,2.58635,24.0,15.539539646808,15.473694139829998,15.612701321228,21.27,15.561488149134,4.02273,35,CSCO
02-12-2013,22.84857,25,14,2.60926,24.0,15.54685581425,15.320054623548002,15.561488149134,20.97,15.342003125874,4.02273,35,CSCO
02-13-2013,22.84857,25,14,2.60926,24.0,15.3639516282,15.312738456106,15.466377972388,21.14,15.466377972388,4.02273,35,CSCO
02-14-2013,23.65294,27,17,2.1133,24.0,15.276157618896,15.005459423542002,15.3639516282,20.99,15.356635460758,4.04545,34,CSCO
02-15-2013,23.52,27,14,2.65586,24.0,15.320054623548002,15.305422288664,15.415164800294,20.99,15.356635460758,4.04545,35,CSCO
02-19-2013,23.52,27,14,2.65586,24.0,15.371267795642002,15.32737079099,15.715127665416,21.46,15.700495330532,4.04545,35,CSCO
02-20-2013,23.61765,27,14,2.63198,24.0,15.722443832858,15.415164800294,15.854134846814,21.105,15.440771386341,4.04651,34,CSCO
02-21-2013,23.61765,27,14,2.63198,24.0,15.3639516282,15.151782772382,15.378583963084,20.76,15.188363609592,4.04651,34,CSCO
02-22-2013,23.61765,27,14,2.63198,24.0,15.224944446802,15.159098939823998,15.312738456106,20.9,15.29078995378,4.04651,34,CSCO
