 Date,PYPL Price Target,PYPL Price Target - High,PYPL Price Target - Low,PYPL Price Target - StdDev,PYPL Price Target - Median,PYPL Open,PYPL Low,PYPL High,PYPL Close,PYPL Adj. Close,PYPL Rating,PYPL Price Target - #,Ticker
07-06-2015,39.0,39.0,39.0,,39.0,38.0,36.0,39.75,36.71,36.71,,1,PYPL
07-07-2015,43.5,48.0,39.0,4.5,43.5,37.72,36.0,37.81,36.62,36.62,4.0,2,PYPL
07-08-2015,43.5,48.0,39.0,4.5,43.5,36.34,34.53,36.36,34.7,34.7,4.0,2,PYPL
07-09-2015,43.5,48.0,39.0,4.5,43.5,35.1,33.99,35.5199,34.5,34.5,3.5,2,PYPL
07-10-2015,43.5,48.0,39.0,4.5,43.5,34.66,33.9805,35.19,34.69,34.69,3.5,2,PYPL
07-13-2015,43.5,48.0,39.0,3.3541,43.5,35.59,35.5,37.5,36.78,36.78,4.25,4,PYPL
07-14-2015,43.4,48.0,39.0,3.00666,43.0,36.99,36.6,37.74,36.93,36.93,4.2,5,PYPL
07-15-2015,43.4,48.0,39.0,3.00666,43.0,37.98,37.03,38.2,37.51,37.51,4.2,5,PYPL
07-16-2015,43.4,48.0,39.0,3.00666,43.0,38.82,38.08,39.97,38.63,38.63,4.2,5,PYPL
07-17-2015,42.0,48.0,36.0,3.3541,42.0,39.42,38.18,40.2,38.39,38.39,3.75,8,PYPL
07-20-2015,43.94118,48.0,36.0,3.18952,45.0,41.46,39.8,42.55,40.47,40.47,4.11111,17,PYPL
07-21-2015,43.52381,48.0,30.0,4.26077,45.0,41.08,39.12,41.11,39.35,39.35,3.90909,21,PYPL
07-22-2015,43.73913,48.0,30.0,4.14118,45.0,39.35,38.1,39.7178,38.39,38.39,3.875,23,PYPL
07-23-2015,43.5,48.0,30.0,4.23584,45.0,38.74,36.93,38.75,37.01,37.01,3.85185,26,PYPL
07-24-2015,43.5,48.0,30.0,4.23584,45.0,37.71,36.91,38.0,37.0,37.0,3.85185,26,PYPL
07-27-2015,43.74074,50.0,30.0,4.33412,45.0,36.78,36.22,37.38,36.39,36.39,3.85714,27,PYPL
07-28-2015,43.75,50.0,30.0,4.2563,45.0,37.19,36.8296,38.0,37.6,37.6,3.89655,28,PYPL
07-29-2015,43.75,50.0,30.0,4.2563,45.0,38.03,37.62,38.1,37.95,37.95,3.89655,28,PYPL
07-30-2015,43.75,50.0,30.0,4.2563,45.0,38.04,37.715,39.01,38.45,38.45,3.89655,28,PYPL
07-31-2015,43.66667,50.0,30.0,4.31191,45.0,39.14,38.2199,39.2,38.7,38.7,3.89286,27,PYPL
08-03-2015,43.66667,50.0,30.0,4.31191,45.0,39.25,38.9,39.88,39.39,39.39,3.89286,27,PYPL
08-04-2015,43.66667,50.0,30.0,4.31191,45.0,39.91,38.43,39.91,38.95,38.95,3.89286,27,PYPL
08-05-2015,43.66667,50.0,30.0,4.31191,45.0,39.7,39.17,39.88,39.27,39.27,3.89286,27,PYPL
08-06-2015,43.67857,50.0,30.0,4.23467,45.0,39.63,38.55,39.74,38.85,38.85,3.93103,28,PYPL
08-07-2015,43.89655,50.0,30.0,4.31792,45.0,39.04,38.6,39.23,39.13,39.13,3.96667,29,PYPL
08-10-2015,43.89655,50.0,30.0,4.31792,45.0,39.43,38.7701,39.69,39.05,39.05,3.96667,29,PYPL
08-11-2015,43.89655,50.0,30.0,4.31792,45.0,38.93,38.72,39.28,38.85,38.85,3.96667,29,PYPL
08-12-2015,43.89655,50.0,30.0,4.31792,45.0,38.55,37.01,38.58,38.19,38.19,3.96667,29,PYPL
08-13-2015,43.89655,50.0,30.0,4.31792,45.0,38.4,37.44,38.49,37.62,37.62,3.96667,29,PYPL
08-14-2015,43.89655,50.0,30.0,4.31792,45.0,37.49,37.38,38.18,38.14,38.14,3.96667,29,PYPL
08-17-2015,43.89655,50.0,30.0,4.31792,45.0,38.3,37.7,38.75,38.73,38.73,3.96667,29,PYPL
08-18-2015,43.89655,50.0,30.0,4.31792,45.0,39.0,37.87,39.0,37.99,37.99,3.96667,29,PYPL
08-19-2015,43.73333,50.0,30.0,4.33538,45.0,37.87,37.03,38.1,37.19,37.19,3.93548,30,PYPL
08-20-2015,43.73333,50.0,30.0,4.33538,45.0,36.85,35.88,37.34,35.98,35.98,3.93548,30,PYPL
08-21-2015,43.73333,50.0,30.0,4.33538,45.0,35.57,33.83,36.11,34.25,34.25,3.93548,30,PYPL
08-24-2015,43.73333,50.0,30.0,4.33538,45.0,31.17,30.0,34.85,33.75,33.75,3.93548,30,PYPL
08-25-2015,43.73333,50.0,30.0,4.33538,45.0,35.44,32.7,35.46,32.7,32.7,3.96774,30,PYPL
08-26-2015,43.73333,50.0,30.0,4.33538,45.0,33.7,31.71,33.84,33.17,33.17,3.96774,30,PYPL
08-27-2015,43.73333,50.0,30.0,4.33538,45.0,33.87,33.16,34.77,34.62,34.62,3.96774,30,PYPL
08-28-2015,43.76667,50.0,30.0,4.35648,45.0,34.51,34.37,35.26,35.04,35.04,3.96774,30,PYPL
08-31-2015,43.73333,50.0,30.0,4.33538,45.0,35.5,34.77,35.51,35.0,35.0,3.96774,30,PYPL
09-01-2015,43.73333,50.0,30.0,4.33538,45.0,34.15,33.41,34.68,33.77,33.77,3.96774,30,PYPL
09-02-2015,43.48387,50.0,30.0,4.47841,45.0,34.6,33.835,35.08,35.07,35.07,3.93939,31,PYPL
09-03-2015,43.48387,50.0,30.0,4.47841,45.0,35.01,34.77,35.46,35.31,35.31,3.93939,31,PYPL
09-04-2015,43.48387,50.0,30.0,4.47841,45.0,34.71,33.78,34.72,34.29,34.29,3.93939,31,PYPL
09-08-2015,43.3871,50.0,30.0,4.4117,45.0,34.81,34.25,34.89,34.7,34.7,3.87879,31,PYPL
09-09-2015,43.3871,50.0,30.0,4.4117,45.0,34.92,33.88,34.95,34.37,34.37,3.87879,31,PYPL
09-10-2015,43.3871,50.0,30.0,4.4117,45.0,34.23,32.95,34.29,33.46,33.46,3.87879,31,PYPL
09-11-2015,43.3871,50.0,30.0,4.4117,45.0,33.27,32.61,33.59,33.55,33.55,3.87879,31,PYPL
09-14-2015,43.3871,50.0,30.0,4.4117,45.0,33.7,33.2,33.95,33.77,33.77,3.87879,31,PYPL
09-15-2015,43.3871,50.0,30.0,4.4117,45.0,33.72,32.67,33.95,33.8,33.8,3.87879,31,PYPL
09-16-2015,43.3871,50.0,30.0,4.4117,45.0,33.46,33.36,34.06,33.77,33.77,3.87879,31,PYPL
09-17-2015,43.3871,50.0,30.0,4.4117,45.0,33.72,33.08,33.99,33.32,33.32,3.87879,31,PYPL
09-18-2015,43.3871,50.0,30.0,4.4117,45.0,32.9,32.55,33.78,32.92,32.92,3.87879,31,PYPL
09-21-2015,43.28125,50.0,30.0,4.38203,44.5,33.66,33.43,34.62,34.25,34.25,3.93939,32,PYPL
09-22-2015,43.28125,50.0,30.0,4.38203,44.5,33.94,33.1899,34.1,33.35,33.35,3.93939,32,PYPL
09-23-2015,43.28125,50.0,30.0,4.38203,44.5,33.49,33.26,34.34,34.16,34.16,3.93939,32,PYPL
09-24-2015,43.28125,50.0,30.0,4.38203,44.5,34.0,33.38,34.07,33.91,33.91,3.93939,32,PYPL
09-25-2015,43.27273,50.0,30.0,4.31539,44.0,34.6,33.5,34.69,33.77,33.77,3.97059,33,PYPL
09-28-2015,43.27273,50.0,30.0,4.31539,44.0,33.68,32.155,33.68,32.25,32.25,3.97059,33,PYPL
09-29-2015,43.27273,50.0,30.0,4.31539,44.0,32.27,30.3,32.67,30.63,30.63,3.97059,33,PYPL
09-30-2015,42.97059,50.0,30.0,4.5921,44.0,31.2,30.64,31.28,31.04,31.04,3.94286,34,PYPL
10-01-2015,42.97059,50.0,30.0,4.5921,44.0,30.82,30.75,31.587,31.48,31.48,3.91667,34,PYPL
10-02-2015,43.06061,50.0,30.0,4.63151,44.0,30.82,30.75,32.86,32.83,32.83,3.94286,33,PYPL
10-05-2015,43.06061,50.0,30.0,4.63151,44.0,32.95,32.38,33.02,32.67,32.67,3.97222,33,PYPL
10-06-2015,42.75758,50.0,30.0,4.97284,44.0,32.91,31.78,32.91,31.86,31.86,3.97222,33,PYPL
10-07-2015,42.75758,50.0,30.0,4.97284,44.0,32.31,31.52,32.471,32.38,32.38,3.97222,33,PYPL
10-08-2015,42.75758,50.0,30.0,4.97284,44.0,32.44,31.09,32.45,31.67,31.67,3.97222,33,PYPL
10-09-2015,42.75758,50.0,30.0,4.97284,44.0,31.69,31.41,32.45,32.06,32.06,3.97222,33,PYPL
10-12-2015,42.75758,50.0,30.0,4.97284,44.0,32.19,32.1,32.67,32.63,32.63,3.97222,33,PYPL
10-13-2015,42.75758,50.0,30.0,4.97284,44.0,32.6,32.3399,33.48,33.22,33.22,3.97222,33,PYPL
