 Date,PYPL Price Target,PYPL Price Target - High,PYPL Price Target - Low,PYPL Price Target - StdDev,PYPL Price Target - Median,PYPL Open,PYPL Low,PYPL High,PYPL Close,PYPL Adj. Close,PYPL Rating,PYPL Price Target - #,Ticker
10-14-2015,42.75758,50.0,30.0,4.97284,44.0,33.4,33.4,34.46,34.05,34.05,3.97222,33,PYPL
10-15-2015,42.75758,50.0,30.0,4.97284,44.0,34.45,34.16,34.72,34.62,34.62,3.97222,33,PYPL
10-16-2015,42.75758,50.0,30.0,4.97284,44.0,34.75,33.95,35.05,34.29,34.29,3.97222,33,PYPL
10-19-2015,42.81818,50.0,30.0,4.97542,44.0,34.43,33.79,34.905,34.84,34.84,3.97222,33,PYPL
10-20-2015,42.81818,50.0,30.0,4.97542,44.0,34.8,34.59,34.99,34.87,34.87,3.97222,33,PYPL
10-21-2015,42.81818,50.0,30.0,4.97542,44.0,34.75,32.88,34.8,33.83,33.83,3.97222,33,PYPL
10-22-2015,42.81818,50.0,30.0,4.97542,44.0,34.43,34.26,35.25,34.79,34.79,3.97222,33,PYPL
10-23-2015,42.81818,50.0,30.0,4.97542,44.0,35.73,34.8,35.75,34.99,34.99,3.97222,33,PYPL
10-26-2015,42.81818,50.0,30.0,4.97542,44.0,36.05,35.515,36.59,36.44,36.44,3.97222,33,PYPL
10-27-2015,42.81818,50.0,30.0,4.97542,44.0,36.39,35.31,36.3941,35.94,35.94,3.97222,33,PYPL
10-28-2015,42.81818,50.0,30.0,4.97542,44.0,36.21,35.81,36.65,36.52,36.52,3.97222,33,PYPL
10-29-2015,42.76471,50.0,30.0,4.83893,44.0,34.73,34.5,36.5,35.91,35.91,3.97297,34,PYPL
10-30-2015,42.61765,50.0,30.0,4.84473,44.0,35.64,35.24,36.49,36.01,36.01,3.97297,34,PYPL
11-02-2015,42.47059,50.0,30.0,4.84607,44.0,35.58,35.45,37.41,36.99,36.99,3.97297,34,PYPL
11-03-2015,42.47059,50.0,30.0,4.84607,44.0,37.05,37.0,38.44,37.9,37.9,3.97297,34,PYPL
11-04-2015,42.47059,50.0,30.0,4.84607,44.0,38.45,37.33,38.52,37.6,37.6,3.97297,34,PYPL
11-05-2015,42.47059,50.0,30.0,4.84607,44.0,37.82,36.66,37.98,36.71,36.71,3.97297,34,PYPL
11-06-2015,42.47059,50.0,30.0,4.84607,44.0,36.59,35.8,36.7,36.24,36.24,3.97297,34,PYPL
11-09-2015,42.47059,50.0,30.0,4.84607,44.0,36.1,35.65,36.74,36.6,36.6,3.97297,34,PYPL
11-10-2015,42.47059,50.0,30.0,4.84607,44.0,36.58,36.5,37.2,37.0,37.0,3.97297,34,PYPL
11-11-2015,42.47059,50.0,30.0,4.84607,44.0,37.19,35.75,37.32,36.33,36.33,3.97297,34,PYPL
11-12-2015,42.47059,50.0,30.0,4.84607,44.0,35.945,34.83,36.05,35.57,35.57,3.97297,34,PYPL
11-13-2015,42.47059,50.0,30.0,4.84607,44.0,35.18,34.5,35.4999,34.53,34.53,3.97297,34,PYPL
11-16-2015,42.47059,50.0,30.0,4.84607,44.0,34.55,34.53,35.66,35.61,35.61,3.97297,34,PYPL
11-17-2015,42.47059,50.0,30.0,4.84607,44.0,35.89,35.71,36.45,36.21,36.21,3.97297,34,PYPL
11-18-2015,42.47059,50.0,30.0,4.84607,44.0,36.32,35.785,36.95,36.22,36.22,3.97297,34,PYPL
11-19-2015,42.47059,50.0,30.0,4.84607,44.0,36.45,35.91,36.5,36.19,36.19,3.97297,34,PYPL
11-20-2015,42.47059,50.0,30.0,4.84607,44.0,36.45,35.9202,36.45,36.36,36.36,3.97297,34,PYPL
11-23-2015,42.47059,50.0,30.0,4.84607,44.0,36.5,35.41,36.65,35.56,35.56,3.97297,34,PYPL
11-24-2015,42.47059,50.0,30.0,4.84607,44.0,35.25,34.88,35.3,35.12,35.12,3.97297,34,PYPL
11-25-2015,42.47059,50.0,30.0,4.84607,44.0,35.2,35.13,35.86,35.36,35.36,3.97297,34,PYPL
11-27-2015,42.47059,50.0,30.0,4.84607,44.0,35.52,35.06,35.7,35.18,35.18,3.97297,34,PYPL
11-30-2015,42.26471,50.0,30.0,4.66721,44.0,35.36,34.69,35.44,35.26,35.26,3.97297,34,PYPL
12-01-2015,42.26471,50.0,30.0,4.66721,44.0,35.41,33.85,35.41,35.17,35.17,3.97297,34,PYPL
12-02-2015,42.26471,50.0,30.0,4.66721,44.0,35.23,34.9301,36.17,35.15,35.15,3.97297,34,PYPL
12-03-2015,42.26471,50.0,30.0,4.66721,44.0,35.2,33.8501,35.23,34.23,34.23,3.97297,34,PYPL
12-04-2015,42.26471,50.0,30.0,4.66721,44.0,34.38,34.22,35.82,35.62,35.62,3.97297,34,PYPL
12-07-2015,42.26471,50.0,30.0,4.66721,44.0,35.71,34.85,35.8,35.16,35.16,3.97297,34,PYPL
12-08-2015,42.26471,50.0,30.0,4.66721,44.0,34.63,34.52,35.7,35.6,35.6,3.97297,34,PYPL
12-09-2015,42.26471,50.0,30.0,4.66721,44.0,35.39,34.83,35.6,35.07,35.07,3.97297,34,PYPL
12-10-2015,42.28571,50.0,30.0,4.60169,44.0,35.16,35.16,35.91,35.49,35.49,3.97368,35,PYPL
12-11-2015,42.28571,50.0,30.0,4.60169,44.0,35.15,34.42,35.3263,34.69,34.69,3.97368,35,PYPL
12-14-2015,42.28571,50.0,30.0,4.60169,44.0,34.61,34.33,35.2226,35.01,35.01,3.97368,35,PYPL
12-15-2015,42.28571,50.0,30.0,4.60169,44.0,35.19,35.18,36.51,36.32,36.32,3.97368,35,PYPL
12-16-2015,42.28571,50.0,30.0,4.60169,44.0,36.12,35.19,36.25,35.98,35.98,3.97368,35,PYPL
12-17-2015,42.28571,50.0,30.0,4.60169,44.0,36.0,35.51,36.58,35.54,35.54,3.97368,35,PYPL
12-18-2015,42.28571,50.0,30.0,4.60169,44.0,35.35,34.73,35.76,34.98,34.98,3.97368,35,PYPL
12-21-2015,42.28571,50.0,30.0,4.60169,44.0,35.21,35.11,36.15,36.08,36.08,3.97368,35,PYPL
12-22-2015,42.28571,50.0,30.0,4.60169,44.0,36.12,35.78,36.89,36.805,36.805,3.97368,35,PYPL
12-23-2015,42.28571,50.0,30.0,4.60169,44.0,36.79,36.77,37.68,37.11,37.11,3.97368,35,PYPL
12-24-2015,42.28571,50.0,30.0,4.60169,44.0,37.01,36.82,37.23,37.07,37.07,3.97368,35,PYPL
12-28-2015,42.28571,50.0,30.0,4.60169,44.0,36.7,36.25,37.0,36.61,36.61,3.97368,35,PYPL
12-29-2015,42.28571,50.0,30.0,4.60169,44.0,36.92,36.75,37.45,37.08,37.08,3.97368,35,PYPL
12-30-2015,42.28571,50.0,30.0,4.60169,44.0,37.07,36.46,37.25,36.48,36.48,3.97368,35,PYPL
12-31-2015,42.28571,50.0,30.0,4.60169,44.0,36.3,36.0508,36.5,36.2,36.2,3.97368,35,PYPL
01-04-2016,42.0,50.0,30.0,4.84195,44.0,35.13,34.28,35.56,34.75,34.75,3.92105,36,PYPL
01-05-2016,42.08333,50.0,30.0,4.79221,44.0,34.98,33.86,34.98,34.31,34.31,3.92105,36,PYPL
01-06-2016,42.08333,50.0,30.0,4.79221,44.0,33.7,33.21,34.01,33.98,33.98,3.94737,36,PYPL
01-07-2016,42.08333,50.0,30.0,4.79221,44.0,33.15,33.02,34.161,33.13,33.13,3.94737,36,PYPL
01-08-2016,42.08333,50.0,30.0,4.79221,44.0,33.46,32.63,33.88,32.69,32.69,3.94737,36,PYPL
01-11-2016,42.05556,50.0,30.0,4.78391,43.5,33.02,32.47,33.43,33.04,33.04,3.94737,36,PYPL
01-12-2016,42.0,50.0,30.0,4.79583,43.5,33.35,32.66,33.57,33.08,33.08,3.97436,36,PYPL
01-13-2016,42.0,50.0,30.0,4.79583,43.5,33.28,31.97,33.57,32.12,32.12,3.97436,36,PYPL
01-14-2016,42.0,50.0,30.0,4.79583,43.5,32.15,31.705,33.04,32.87,32.87,3.97436,36,PYPL
01-15-2016,42.0,50.0,30.0,4.79583,43.5,31.62,31.62,32.54,32.31,32.31,3.97436,36,PYPL
01-19-2016,41.73529,50.0,30.0,4.79159,43.0,32.76,31.93,33.18,32.2,32.2,3.94737,34,PYPL
01-20-2016,41.66667,50.0,30.0,4.84716,43.0,31.43,30.52,31.7,31.2,31.2,3.91892,33,PYPL
01-21-2016,41.66667,50.0,30.0,4.84716,43.0,31.61,30.9,31.74,31.2,31.2,3.91892,33,PYPL
01-22-2016,41.57576,50.0,30.0,4.83065,43.0,31.65,31.54,31.97,31.69,31.69,3.91892,33,PYPL
01-25-2016,41.65625,50.0,30.0,4.60712,43.0,31.98,31.35,31.98,31.47,31.47,3.97297,32,PYPL
01-26-2016,41.65625,50.0,30.0,4.60712,43.0,31.49,31.39,31.98,31.97,31.97,3.97297,32,PYPL
01-27-2016,41.65625,50.0,30.0,4.60712,43.0,31.96,31.38,32.63,31.59,31.59,3.97297,32,PYPL
01-28-2016,40.8125,50.0,31.0,4.2898,40.0,33.63,33.35,34.75,34.24,34.24,4.02703,32,PYPL
01-29-2016,40.8125,50.0,31.0,4.2898,40.0,34.49,34.36,36.26,36.14,36.14,4.02703,32,PYPL
02-01-2016,40.8125,50.0,31.0,4.2898,40.0,35.65,35.59,37.32,37.08,37.08,4.02703,32,PYPL
02-02-2016,40.8125,50.0,31.0,4.2898,40.0,36.53,36.44,37.77,36.83,36.83,4.02703,32,PYPL
02-03-2016,40.8125,50.0,31.0,4.2898,40.0,36.87,36.07,37.55,37.01,37.01,4.02703,32,PYPL
02-04-2016,40.8125,50.0,31.0,4.2898,40.0,36.66,36.54,37.285,37.17,37.17,4.02703,32,PYPL
02-05-2016,40.8125,50.0,31.0,4.2898,40.0,37.16,34.82,37.16,35.07,35.07,4.02703,32,PYPL
02-08-2016,40.8125,50.0,31.0,4.2898,40.0,34.0,31.98,34.29,33.61,33.61,4.02703,32,PYPL
02-09-2016,40.8125,50.0,31.0,4.2898,40.0,32.8,31.64,33.858,32.7,32.7,4.02703,32,PYPL
02-10-2016,40.8125,50.0,31.0,4.2898,40.0,33.62,32.82,33.94,32.9,32.9,4.02703,32,PYPL
02-11-2016,40.8125,50.0,31.0,4.2898,40.0,32.12,32.01,33.64,33.52,33.52,4.02703,32,PYPL
02-12-2016,40.75,50.0,31.0,4.3589,40.0,33.97,33.81,34.44,34.3,34.3,4.02703,32,PYPL
02-16-2016,40.75,50.0,31.0,4.3589,40.0,34.65,34.48,35.52,35.46,35.46,4.02703,32,PYPL
02-17-2016,40.75,50.0,31.0,4.3589,40.0,35.98,35.81,36.91,36.36,36.36,4.02703,32,PYPL
02-18-2016,40.75,50.0,31.0,4.3589,40.0,36.41,35.66,36.53,36.31,36.31,4.02703,32,PYPL
02-19-2016,40.75,50.0,31.0,4.3589,40.0,36.0,35.61,36.235,35.76,35.76,4.02703,32,PYPL
02-22-2016,40.75,50.0,31.0,4.3589,40.0,36.45,35.82,36.5,36.0,36.0,4.02703,32,PYPL
02-23-2016,40.75,50.0,31.0,4.3589,40.0,35.72,35.02,35.935,35.48,35.48,4.02703,32,PYPL
02-24-2016,40.75,50.0,31.0,4.3589,40.0,35.22,34.86,36.75,36.47,36.47,4.02703,32,PYPL
02-25-2016,40.75,50.0,31.0,4.3589,40.0,36.67,36.18,36.83,36.74,36.74,4.02703,32,PYPL
02-26-2016,40.75,50.0,31.0,4.3589,40.0,36.73,36.37,37.535,37.49,37.49,4.02703,32,PYPL
02-29-2016,40.75,50.0,31.0,4.3589,40.0,37.47,37.45,38.93,38.14,38.14,4.0,32,PYPL
03-01-2016,40.75,50.0,31.0,4.3589,40.0,38.52,38.02,39.545,39.25,39.25,4.0,32,PYPL
03-02-2016,40.75,50.0,31.0,4.3589,40.0,39.2,38.7,39.93,39.16,39.16,4.0,32,PYPL
03-03-2016,40.75,50.0,31.0,4.3589,40.0,38.96,38.629,39.24,39.02,39.02,4.0,32,PYPL
03-04-2016,40.75,50.0,31.0,4.3589,40.0,38.77,38.755,39.7,39.04,39.04,4.0,32,PYPL
03-07-2016,40.75,50.0,31.0,4.3589,40.0,38.78,38.7202,39.4,38.98,38.98,4.0,32,PYPL
03-08-2016,40.75,50.0,31.0,4.3589,40.0,38.69,38.11,38.88,38.16,38.16,4.0,32,PYPL
03-09-2016,40.84375,50.0,33.0,4.17664,40.0,38.48,37.82,38.62,38.57,38.57,4.0,32,PYPL
03-10-2016,40.84375,50.0,33.0,4.17664,40.0,38.66,37.48,39.3,38.49,38.49,4.0,32,PYPL
03-11-2016,41.03125,50.0,33.0,4.26823,40.5,39.0,38.85,39.53,39.49,39.49,4.0,32,PYPL
03-14-2016,41.03125,50.0,33.0,4.26823,40.5,39.4,39.04,39.8,39.38,39.38,4.0,32,PYPL
03-15-2016,41.03125,50.0,33.0,4.26823,40.5,39.05,39.05,39.64,39.27,39.27,4.0,32,PYPL
03-16-2016,41.03125,50.0,33.0,4.26823,40.5,39.09,38.57,39.89,39.84,39.84,4.0,32,PYPL
03-17-2016,41.22581,50.0,33.0,4.38259,41.0,39.85,39.17,40.12,39.93,39.93,3.94595,31,PYPL
03-18-2016,41.22581,50.0,33.0,4.38259,41.0,39.86,38.69,39.86,39.41,39.41,3.94595,31,PYPL
03-21-2016,41.48387,54.0,33.0,4.86509,41.0,39.41,39.2,41.17,41.14,41.14,3.94595,31,PYPL
03-22-2016,41.48387,54.0,33.0,4.86509,41.0,40.67,40.63,41.75,41.32,41.32,3.94595,31,PYPL
03-23-2016,41.54839,54.0,33.0,4.93728,41.0,41.06,40.04,41.31,40.52,40.52,3.94595,31,PYPL
03-24-2016,41.6875,54.0,33.0,4.92086,41.0,39.4,37.0,39.51,38.92,38.92,3.92105,32,PYPL
03-28-2016,41.8125,54.0,33.0,4.82466,41.0,38.81,38.62,39.17,38.74,38.74,3.92105,32,PYPL
03-29-2016,41.88235,54.0,33.0,4.68894,41.5,38.74,38.3,39.715,39.53,39.53,3.875,34,PYPL
03-30-2016,41.88235,54.0,33.0,4.68894,41.5,39.94,38.995,40.0399,39.04,39.04,3.875,34,PYPL
03-31-2016,41.88235,54.0,33.0,4.68894,41.5,38.74,38.43,39.0,38.6,38.6,3.875,34,PYPL
04-01-2016,41.88235,54.0,33.0,4.68894,41.5,38.51,38.4,39.46,39.4,39.4,3.875,34,PYPL
04-04-2016,41.88235,54.0,33.0,4.68894,41.5,39.36,38.41,39.38,38.79,38.79,3.875,34,PYPL
04-05-2016,41.88235,54.0,33.0,4.68894,41.5,38.35,37.7,38.81,38.55,38.55,3.875,34,PYPL
04-06-2016,42.08824,54.0,33.0,4.88315,41.5,38.45,38.25,39.185,39.16,39.16,3.875,34,PYPL
04-07-2016,42.08824,54.0,33.0,4.88315,41.5,38.85,38.12,38.94,38.28,38.28,3.875,34,PYPL
04-08-2016,42.08824,54.0,33.0,4.88315,41.5,38.61,38.1,38.6989,38.41,38.41,3.875,34,PYPL
04-11-2016,42.08824,54.0,33.0,4.88315,41.5,38.33,38.03,38.82,38.06,38.06,3.875,34,PYPL
04-12-2016,42.08824,54.0,33.0,4.88315,41.5,38.32,37.34,38.32,37.8,37.8,3.875,34,PYPL
04-13-2016,42.26471,54.0,33.0,4.84045,42.5,38.25,38.19,39.12,38.79,38.79,3.9,34,PYPL
04-14-2016,42.26471,54.0,33.0,4.84045,42.5,38.94,38.415,39.02,38.64,38.64,3.9,34,PYPL
04-15-2016,42.23529,54.0,33.0,4.85107,42.5,38.69,38.29,38.95,38.58,38.58,3.85,34,PYPL
04-18-2016,42.23529,54.0,33.0,4.85107,42.5,38.56,38.43,39.69,39.64,39.64,3.85,34,PYPL
04-19-2016,42.23529,54.0,33.0,4.85107,42.5,39.75,38.975,40.07,39.24,39.24,3.85,34,PYPL
04-20-2016,42.23529,54.0,33.0,4.85107,42.5,39.24,39.17,40.24,40.08,40.08,3.85,34,PYPL
04-21-2016,42.35294,54.0,33.0,4.94013,42.5,40.2,40.0138,40.55,40.1,40.1,3.85,34,PYPL
04-22-2016,42.44118,54.0,33.0,4.90613,42.5,39.72,39.68,40.635,40.31,40.31,3.85,34,PYPL
04-25-2016,42.58824,54.0,33.0,4.93557,43.0,40.27,39.54,40.84,39.82,39.82,3.85,34,PYPL
04-26-2016,42.58824,54.0,33.0,4.93557,43.0,39.57,39.33,40.13,39.73,39.73,3.85,34,PYPL
04-27-2016,42.58824,54.0,33.0,4.93557,43.0,39.68,39.2,40.18,40.01,40.01,3.85,34,PYPL
04-28-2016,44.20588,54.0,34.0,4.56186,45.5,41.0,39.91,41.49,40.07,40.07,3.85,34,PYPL
04-29-2016,44.20588,54.0,34.0,4.56186,45.5,39.71,38.59,39.87,39.18,39.18,3.825,34,PYPL
05-02-2016,44.32353,54.0,34.0,4.37049,45.5,39.07,38.73,39.27,39.02,39.02,3.825,34,PYPL
05-03-2016,44.32353,54.0,34.0,4.37049,45.5,38.63,38.14,38.97,38.36,38.36,3.825,34,PYPL
05-04-2016,44.32353,54.0,34.0,4.37049,45.5,38.07,37.87,38.46,38.31,38.31,3.825,34,PYPL
05-05-2016,44.32353,54.0,34.0,4.37049,45.5,38.38,38.32,39.119,38.95,38.95,3.825,34,PYPL
05-06-2016,44.32353,54.0,34.0,4.37049,45.5,38.71,38.61,39.7,39.48,39.48,3.825,34,PYPL
05-09-2016,44.32353,54.0,34.0,4.37049,45.5,39.42,39.33,40.18,39.62,39.62,3.825,34,PYPL
05-10-2016,44.32353,54.0,34.0,4.37049,45.5,39.62,39.24,40.15,40.11,40.11,3.825,34,PYPL
05-11-2016,44.41176,54.0,34.0,4.33262,45.5,39.57,39.57,40.3143,39.71,39.71,3.825,34,PYPL
05-12-2016,44.41176,54.0,34.0,4.33262,45.5,39.85,39.17,40.0,39.51,39.51,3.825,34,PYPL
05-13-2016,44.41176,54.0,34.0,4.33262,45.5,39.54,39.31,39.8,39.48,39.48,3.825,34,PYPL
05-16-2016,44.41176,54.0,34.0,4.33262,45.5,39.36,39.13,39.53,39.3,39.3,3.825,34,PYPL
05-17-2016,44.41176,54.0,34.0,4.33262,45.5,39.1,38.75,39.66,39.065,39.065,3.825,34,PYPL
05-18-2016,44.41176,54.0,34.0,4.33262,45.5,39.18,38.5,39.36,38.98,38.98,3.825,34,PYPL
05-19-2016,44.41176,54.0,34.0,4.33262,45.5,38.81,37.31,38.88,37.65,37.65,3.825,34,PYPL
05-20-2016,44.41176,54.0,34.0,4.33262,45.5,37.79,37.49,37.95,37.53,37.53,3.825,34,PYPL
05-23-2016,44.41176,54.0,34.0,4.33262,45.5,37.68,37.39,38.23,38.07,38.07,3.825,34,PYPL
05-24-2016,44.41176,54.0,34.0,4.33262,45.5,38.28,38.28,39.005,38.92,38.92,3.825,34,PYPL
05-25-2016,44.41176,54.0,34.0,4.33262,45.5,38.87,38.51,39.06,38.76,38.76,3.825,34,PYPL
