 Date,COST Price Target,COST Price Target - High,COST Price Target - Low,COST Price Target - StdDev,COST Price Target - Median,COST Open,COST Low,COST High,COST Close,COST Adj. Close,COST Rating,COST Price Target - #,Ticker
02-05-2013,105.56583,115,65.0,10.51723,108.0,84.26520482175,83.87975814276001,85.26572598849,103.31,84.72446043927,3.88889,24,COST
02-06-2013,105.56583,115,65.0,10.51723,108.0,84.597005777344,83.001766749272,84.851915106572,101.7,83.62670574996,3.88889,24,COST
02-07-2013,105.56583,115,65.0,10.51723,108.0,83.68426592107599,83.21556167055999,84.128301526828,101.85,83.75004897378,3.88889,24,COST
02-08-2013,105.56583,115,65.0,10.51723,108.0,84.18586169794399,83.717157447428,84.66278883004799,102.79,84.522999843052,3.88889,24,COST
02-11-2013,105.56583,115,65.0,10.51723,108.0,84.588782895756,83.676043039488,84.64634306687199,101.99,83.86516931601199,3.88889,24,COST
02-12-2013,105.56583,115,65.0,10.51723,108.0,84.046072710948,83.486916762964,84.062518474124,101.76,83.676043039488,3.88889,24,COST
02-13-2013,105.56583,115,65.0,10.51723,108.0,83.856946434424,83.00998963085999,84.177638816356,101.63,83.56914557884399,3.88889,24,COST
02-14-2013,105.56583,115,65.0,10.51723,108.0,83.083995565152,83.06097149670559,83.922729487128,102.02,83.88983796077599,3.88889,24,COST
02-15-2013,105.56583,115,65.0,10.51723,108.0,83.700711684252,83.075772683564,84.802577817044,102.17,84.013181184596,3.88889,24,COST
02-19-2013,105.56583,115,65.0,10.51723,108.0,84.16119305317999,83.43757947343599,84.20230746112,101.9,83.79116338172,3.88889,24,COST
02-20-2013,105.56583,115,65.0,10.51723,108.0,84.021404066184,83.09221844673999,84.391433737644,101.08,83.116887091504,3.88889,24,COST
02-21-2013,105.56583,115,65.0,10.51723,108.0,83.190893025796,82.442610801288,83.396465065496,100.69,82.79619470957199,3.88889,24,COST
02-22-2013,105.56583,115,65.0,10.51723,108.0,83.10866420991599,82.41794215652399,83.29779048644,101.16,83.18267014420799,3.88889,24,COST
02-25-2013,105.56583,115,65.0,10.51723,108.0,83.577368460432,82.278153169528,83.98028965824399,100.09,82.302821814292,3.85714,24,COST
02-26-2013,105.56583,115,65.0,10.51723,108.0,82.31104469587999,81.657325609634,82.85539945700559,99.45,81.77655739266,3.85714,24,COST
02-27-2013,105.56583,115,65.0,10.51723,108.0,81.95746078759599,81.36541331325999,83.495139644552,100.73,82.829086235924,3.85714,24,COST
02-28-2013,105.56583,115,65.0,10.51723,108.0,83.10866420991599,82.8800681017696,84.177638816356,101.29,83.289567604852,3.85714,24,COST
03-01-2013,105.56583,115,65.0,10.51723,108.0,82.90309217021598,82.442610801288,83.58559134202,101.42,83.396465065496,3.85714,24,COST
03-04-2013,105.56583,115,65.0,10.51723,108.0,83.264898960088,83.18267014420799,85.07393290944799,103.43,85.049264264684,3.85714,24,COST
03-05-2013,105.56583,115,65.0,10.51723,108.0,85.254836304384,84.49010831669999,85.41929393614399,103.15,84.81902358022,3.85714,24,COST
03-06-2013,105.81583,116,65.0,10.68956,108.0,84.81902358022,84.169415934768,85.098601554212,102.56,84.333873566528,3.85714,24,COST
03-07-2013,105.81583,116,65.0,10.68956,108.0,85.14793884374,83.79116338172,85.501522752024,101.97,83.84872355283599,3.85714,24,COST
03-08-2013,105.81583,116,65.0,10.68956,108.0,84.35031932970399,83.758271855368,84.909475277688,103.04,84.728571882752,3.85714,24,COST
03-11-2013,105.81583,116,65.0,10.68956,108.0,85.14793884374,84.16119305317999,85.263059185972,102.44,84.23519898747199,3.85714,24,COST
03-12-2013,106.56583,117,65.0,10.82346,109.0,85.19727613326799,84.909475277688,86.76784651657599,103.75,85.3123964755,3.85714,24,COST
03-13-2013,107.31583,117,65.0,10.77741,109.5,85.50974563361198,84.62167442210799,85.67420326537199,103.42,85.041041383096,3.85714,24,COST
03-14-2013,107.31583,117,65.0,10.77741,109.5,84.91769815927599,84.62167442210799,85.542637159964,102.91,84.62167442210799,3.85714,24,COST
03-15-2013,107.66458,117,65.0,10.65618,109.5,84.32565068493999,83.47047099978799,84.68745747481199,101.746,83.66453100526479,3.85714,24,COST
03-18-2013,107.66458,117,65.0,10.65618,109.5,83.330682012792,83.059326920388,83.881615079188,101.68,83.610259986784,3.85714,24,COST
03-19-2013,107.83125,117,65.0,10.70693,110.0,83.758271855368,83.158001499444,84.31734557453612,102.12,83.97206677665599,3.85714,24,COST
03-20-2013,107.83125,117,65.0,10.70693,110.0,84.23519898747199,84.14885873079798,84.987592652774,103.08,84.761463409104,3.85714,24,COST
03-21-2013,107.83125,117,65.0,10.70693,110.0,84.57233713257999,84.432548145584,85.49329987043599,103.52,85.12327019897599,3.85714,24,COST
03-22-2013,107.83125,117,65.0,10.70693,110.0,85.07393290944799,85.057487146272,86.438931253056,105.11,86.430708371468,3.85714,24,COST
03-25-2013,107.83125,117,65.0,10.70693,110.0,86.49649142417199,85.978449884128,86.97341855627599,105.47,86.726732108636,3.85714,24,COST
