 Date,SPG Price Target,SPG Price Target - High,SPG Price Target - Low,SPG Price Target - StdDev,SPG Price Target - Median,SPG Open,SPG Low,SPG High,SPG Close,SPG Adj. Close,SPG Rating,SPG Price Target - #,Ticker
02-05-2013,173.33333,187,136,11.98147,176.5,99.089995553484,97.860004780746,99.562602845472,161.76,98.011481476896,4.22727,18,SPG
02-06-2013,173.33333,187,136,11.98147,176.5,97.46616537075602,97.411633760142,98.39926181904,161.7,97.97512706982,4.22727,18,SPG
02-07-2013,173.33333,187,136,11.98147,176.5,98.09630842674,97.423751895834,98.181135376584,160.79,97.423751895834,4.22727,18,SPG
02-08-2013,173.61111,187,136,11.95891,176.5,97.587346727676,97.423751895834,98.647683600726,162.76,98.617388261496,4.22727,18,SPG
02-11-2013,173.61111,187,136,11.95891,176.5,98.67191987211,98.453793429654,99.071818349946,163.5,99.0657592821,4.22727,18,SPG
02-12-2013,173.61111,187,136,11.95891,176.5,99.114575182103,98.3725735603494,99.712569910161,162.97,99.444082481237,4.22727,18,SPG
02-13-2013,173.61111,187,136,11.95891,176.5,99.55391824761502,98.565396350213,99.663754013993,162.05,98.88269967530502,4.22727,18,SPG
02-14-2013,173.61111,187,136,11.95891,176.5,98.66913012957,97.845361881735,98.778965895948,160.57,97.979605596197,4.22727,18,SPG
02-15-2013,173.61111,187,136,11.95891,176.5,97.53416054366402,96.850737997312,97.906381751945,159.9,97.57077246579,4.22727,18,SPG
02-19-2013,173.61111,187,136,11.95891,176.5,97.546364517706,97.53416054366402,97.99791155726,160.5,97.93689168705,4.22727,18,SPG
02-20-2013,173.61111,187,136,11.95891,176.5,97.70501618025202,97.271775101761,98.388438726604,159.52,97.338896958992,4.22727,18,SPG
02-21-2013,173.61111,187,136,11.95891,176.5,97.052103569005,96.02086776245602,97.198551257509,158.02,96.423598905842,4.22727,18,SPG
02-22-2013,173.61111,187,136,11.95891,176.5,96.618862490514,96.582250568388,97.546364517706,159.72,97.460936699412,4.22727,18,SPG
02-25-2013,173.61111,187,136,11.95891,176.5,98.034523479386,95.990357827351,98.077237388533,157.37,96.026969749477,4.22727,18,SPG
02-26-2013,173.61111,187,136,11.95891,176.5,96.301559165422,95.61813661907,97.11312343921502,157.88,96.338171087548,4.22727,18,SPG
02-27-2013,173.61111,187,136,11.95891,176.5,96.35037506159,96.02086776245602,97.344998946013,159.2,97.14363337432,4.22727,18,SPG
02-28-2013,173.61111,187,136,11.95891,176.5,97.26567311474,96.795820114123,97.607384387916,158.86,96.93616581560602,4.22727,18,SPG
03-01-2013,174.88889,187,136,10.50867,176.5,96.76531017901802,96.368681022653,97.723322141315,159.99,97.625690348979,4.22727,18,SPG
03-04-2013,174.88889,187,136,10.50867,176.5,97.552466504727,97.338896958992,99.041351337851,161.46,98.522682441066,4.22727,18,SPG
03-05-2013,174.88889,187,136,10.50867,176.5,98.88269967530502,98.266398986184,99.4318174873248,162.61,99.22441094848102,4.22727,18,SPG
03-06-2013,174.88889,187,136,10.50867,176.5,99.718671897182,98.522682441066,99.718671897182,161.92,98.803373844032,4.22727,18,SPG
03-07-2013,174.88889,187,136,10.50867,176.5,98.888801662326,97.467038686433,99.09626922104002,160.08,97.680608232168,4.22727,18,SPG
