 Date,DUK Price Target,DUK Price Target - High,DUK Price Target - Low,DUK Price Target - StdDev,DUK Price Target - Median,DUK Open,DUK Low,DUK High,DUK Close,DUK Adj. Close,DUK Rating,DUK Price Target - #,Ticker
02-05-2013,69.46875,76.5,60.0,4.14001,69.0,44.91027400985,44.89532577266132,45.270867450805,68.88,45.159411296328,3.68182,16,DUK
02-06-2013,69.65625,76.5,62.0,3.75715,69.0,45.074180119375,44.877492787945,45.31676116147201,69.11,45.310204917091,3.68182,16,DUK
02-07-2013,69.65625,76.5,62.0,3.75715,69.0,45.19219251823301,44.85939755345344,45.388879849663006,69.04,45.264311206424,3.68182,16,DUK
02-08-2013,69.65625,76.5,62.0,3.75715,69.0,45.159411296328,45.061067630613,45.264311206424,69.0,45.2380862289,3.68182,16,DUK
02-11-2013,69.65625,76.5,62.0,3.75715,69.0,45.205305006995005,45.11351758566101,45.369211116520006,69.14,45.329873650234006,3.68182,16,DUK
02-12-2013,69.65625,76.5,62.0,3.75715,69.0,45.30364867271,45.27748925762982,45.565898447950005,69.5,45.565898447950005,3.68182,16,DUK
02-13-2013,70.4,76.5,63.0,3.15278,70.0,45.615617549901,45.41674114727101,46.00674114174,68.82,45.622246763322,3.71429,15,DUK
02-14-2013,70.4,76.5,63.0,3.15278,70.0,45.091909689642,44.959325421222,45.814493952531,68.0,45.0786512628,3.71429,15,DUK
02-15-2013,70.4,76.5,63.0,3.15278,70.0,45.0786512628,44.93135014058538,45.197977104378005,68.06,45.118426543326,3.71429,15,DUK
02-19-2013,70.4,76.5,63.0,3.15278,70.0,45.23775238490399,45.23775238490399,45.721684964637,68.96,45.71505575121599,3.71429,15,DUK
02-20-2013,70.3125,76.5,63.0,3.07142,69.5,45.642134403585,45.555954629112,45.95370743437199,68.85,45.642134403585,3.68182,16,DUK
02-21-2013,70.3125,76.5,63.0,3.07142,69.5,45.522808562007,45.489662494902,45.787977098846994,68.83,45.628875976743,3.68182,16,DUK
02-22-2013,70.3125,76.5,63.0,3.07142,69.5,45.655392830427004,45.648763617006,46.066404062529,69.46,46.046516422266,3.68182,16,DUK
02-25-2013,70.375,76.5,63.0,3.15486,69.5,46.092920916213,45.80786473911,46.60337034963,69.11,45.814493952531,3.68182,16,DUK
02-26-2013,70.375,76.5,63.0,3.15486,69.5,45.99348271489799,45.907302940425,46.371347879895,69.59,46.132696196739,3.68182,16,DUK
02-27-2013,70.5625,76.5,63.0,3.38598,69.5,46.225505184633,46.106179343055,46.576853495946,70.13,46.490673721472994,3.68182,16,DUK
02-28-2013,70.75,76.5,63.0,3.32133,70.5,46.45089844094699,45.860898446478,46.4681343958416,69.25,45.907302940425,3.68182,16,DUK
03-01-2013,70.75,76.5,63.0,3.32133,70.5,45.350449013061,45.111797329905,45.920561367267,69.25,45.907302940425,3.59091,16,DUK
03-04-2013,70.75,76.5,63.0,3.32133,70.5,45.675280470690005,45.536066988848994,46.364718666474,69.71,46.21224675779099,3.5,16,DUK
03-05-2013,70.75,76.5,63.0,3.32133,70.5,46.324943385948,46.20561754437,46.6504377649191,70.16,46.510561361736,3.5,16,DUK
03-06-2013,70.75,76.5,63.0,3.32133,70.5,46.53707821542,46.172471477265,46.5403928221305,69.88,46.324943385948,3.5,16,DUK
03-07-2013,70.75,76.5,63.0,3.32133,70.5,46.37797709331599,46.05321192782121,46.37797709331599,69.55,46.106179343055,3.5,16,DUK
03-08-2013,70.75,76.5,63.0,3.32133,70.5,46.132696196739,45.78598833482069,46.258651251738,69.64,46.165842263844,3.5,16,DUK
03-11-2013,70.75,76.5,63.0,3.32133,70.5,46.092920916213,46.086291702792,46.27190967858,69.79,46.265280465159,3.5,16,DUK
03-12-2013,70.75,76.5,63.0,3.32133,70.5,46.258651251738,45.947078220951,46.27190967858,69.54,46.099550129634,3.5,16,DUK
03-13-2013,70.76471,76.5,63.0,3.2227,71.0,46.106179343055,46.019999568582,46.4674714744995,69.91,46.344831026211,3.47826,17,DUK
03-14-2013,70.76471,76.5,63.0,3.2227,71.0,46.39786473357899,46.172471477265,46.5165276538149,69.93,46.358089453053005,3.47826,17,DUK
