 Date,DOW Price Target,DOW Price Target - High,DOW Price Target - Low,DOW Price Target - StdDev,DOW Price Target - Median,DOW Open,DOW Low,DOW High,DOW Close,DOW Adj. Close,DOW Rating,DOW Price Target - #,Ticker
04-02-2019,64.375,74,57,5.17053,63.0,45.155246739408,44.48348871462,47.014869564126,56.25,46.08096206625,4.42857,8,DOW
04-03-2019,64.16667,74,53,5.63964,64.0,46.760912262072,45.474741409734,46.85921831448,56.88,46.597068841392,4.45455,12,DOW
04-04-2019,64.16667,74,53,5.63964,64.0,46.85921831448,46.77729660414,49.579019097768,59.71,48.915453244014,4.45455,12,DOW
04-05-2019,63.07143,74,49,6.51881,64.0,47.834086667526,46.097346408318,48.317424758532,57.24,46.891986998616,4.15385,14,DOW
04-08-2019,63.0,74,49,6.30344,64.0,46.2857663421,46.097346408318,47.834086667526,57.15,46.81825745931,4.07143,15,DOW
04-09-2019,63.0,74,49,6.30344,64.0,46.53153147312,45.941695158672,46.85921831448,56.27,46.097346408318,4.07143,15,DOW
04-10-2019,63.0,74,49,6.30344,64.0,45.867965619366,45.13886239734,46.212036802794,55.71,45.638584830414,4.07143,15,DOW
04-11-2019,63.0,74,49,6.30344,64.0,45.63039265938,44.917673779422,46.048193382114,54.89,44.966826805626,4.07143,15,DOW
04-12-2019,63.06667,74,49,6.2872,64.0,45.818812593162,45.818812593162,47.784933641322,58.3,47.76035712822,4.07143,15,DOW
04-15-2019,63.3125,74,49,6.30197,64.0,47.981545746138,46.932947853786,48.21092653509,57.78,47.334364234452,4.06667,16,DOW
04-16-2019,63.58824,74,49,6.2125,64.0,48.096236140614,47.383517260656,48.325616929566,58.5,47.9242005489,4.125,17,DOW
04-17-2019,63.94444,74,49,6.21354,64.0,48.29284824543,47.67843541788,48.37476995577,58.32,47.776741470288,4.17647,18,DOW
04-18-2019,64.0,75,49,6.30696,64.0,47.809510154424,47.14594430067,48.014314430274,57.77,47.326172063418,4.17647,18,DOW
04-22-2019,64.0,75,49,6.30696,64.0,47.088599103432,46.908371340684,47.850471009594,57.89,47.424478115826,4.17647,18,DOW
04-23-2019,64.0,75,49,6.30696,64.0,46.932947853786,46.6953748938,47.383517260656,57.64,47.219673839976,4.17647,18,DOW
04-24-2019,64.0,75,49,6.30696,64.0,47.096791274466,45.765563481441,47.424478115826,55.98,45.859773448332,4.17647,18,DOW
04-25-2019,64.0,75,49,6.30696,64.0,45.679545685584,44.909481608388,45.859773448332,55.33,45.327282331122,4.17647,18,DOW
04-26-2019,64.0,75,49,6.30696,64.0,45.30270581802,45.01597983183,45.54847094904,55.25,45.26174496285,4.11111,18,DOW
04-29-2019,64.0,75,49,6.30696,64.0,45.09790154217,44.89309726632,45.618104402829,55.5,45.4665492387,4.11111,18,DOW
04-30-2019,64.0,75,49,6.30696,64.0,45.679545685584,45.54847094904,46.863314399997,56.73,46.474186275882,4.11111,18,DOW
05-01-2019,64.0,75,49,6.30696,64.0,46.547915815188,45.777851737992,47.088599103432,56.13,45.982656013842,4.11111,18,DOW
05-02-2019,63.33333,75,49,6.4291,64.0,45.499317922836,42.623865889902,46.277574171066,52.7,43.17274134918,4.11111,18,DOW
05-03-2019,62.77778,75,49,6.46835,63.0,43.58234990088,42.369908587848,43.70523246639,53.3,43.66427161122,4.11111,18,DOW
05-06-2019,62.11111,75,49,6.68239,61.0,42.72217194231,42.35352424578,44.262300096702,53.46,43.795346347764,4.11111,18,DOW
05-07-2019,61.66667,75,49,6.60808,60.0,43.303816085724,43.13178049401,43.684752038805,52.95,43.37754562503,4.11111,18,DOW
05-08-2019,61.66667,75,49,6.60808,60.0,43.688848124322,42.853246678854,43.742097236043,52.48,42.992513586432,4.11111,18,DOW
05-09-2019,61.66667,75,49,6.60808,60.0,42.812285823684,42.23064168027,43.533196874676,52.93,43.361161282962,4.11111,18,DOW
