 Date,PM Price Target,PM Price Target - High,PM Price Target - Low,PM Price Target - StdDev,PM Price Target - Median,PM Open,PM Low,PM High,PM Close,PM Adj. Close,PM Rating,PM Price Target - #,Ticker
02-05-2013,95.94211,108.0,86.0,4.91714,95.0,53.31010689120201,53.23693735183401,53.74607539660301,87.96,53.633272356744,3.78261,19,PM
02-06-2013,95.94211,108.0,86.0,4.91714,95.0,53.50522566285,53.267424659904,53.608882510288005,87.69,53.468640893166,3.78261,19,PM
02-07-2013,96.1,108.0,86.0,4.8355,95.0,53.13937796601001,52.95645411759,54.877154526000005,89.82,54.767400216948,3.78261,19,PM
02-08-2013,96.15263,108.0,86.0,4.96836,95.0,54.657645907896,54.657645907896,55.39543876319,90.45,55.15154029863,3.78261,19,PM
02-11-2013,96.15263,108.0,86.0,4.96836,95.0,55.12105299056001,55.023493604736,55.377146378348,90.35,55.09056568249,3.78261,19,PM
02-12-2013,96.15263,108.0,86.0,4.96836,95.0,55.261294607682,54.88325198761401,55.322269223822005,90.14,54.962518988596,3.78261,19,PM
02-13-2013,96.25789,108.0,86.0,4.91714,95.0,55.13934537540201,55.13934537540201,55.773481383258,90.99,55.480803225786,3.82609,19,PM
02-14-2013,96.36316,108.0,88.0,4.71361,95.0,55.401536224804005,54.78569260179,55.4792788603825,90.01,54.88325198761401,3.82609,19,PM
02-15-2013,96.36316,108.0,88.0,4.71361,95.0,54.913739295684,54.511306829160006,55.4869006874,89.99,54.871057064386,3.82609,19,PM
02-19-2013,96.41579,108.0,88.0,4.69246,95.0,55.102760605718,54.93203168052601,55.73079915196001,91.31,55.675921997434,3.82609,19,PM
02-20-2013,96.41579,108.0,88.0,4.69246,95.0,55.657629612592,55.33446414705001,56.57834631630601,92.09,56.151524003326,3.82609,19,PM
02-21-2013,96.41579,108.0,88.0,4.69246,95.0,55.858845845854006,55.70031184389,57.07833816865401,93.13,56.785660011182,3.82609,19,PM
02-22-2013,96.41579,108.0,88.0,4.69246,95.0,56.84053716570801,56.480786930482,56.9978516753492,93.42,56.962486397988,3.82609,19,PM
02-25-2013,96.41579,108.0,88.0,4.69246,95.0,56.877121935392005,55.82226107617,57.053948322198,91.56,55.828358537784005,3.82609,19,PM
02-26-2013,96.41579,108.0,88.0,4.69246,95.0,56.114939233642005,55.584460073224,56.45639708402601,91.6,55.85274838424,3.82609,19,PM
02-27-2013,96.37158,108.0,88.0,4.73667,95.0,55.706409305504,55.322269223822005,55.986892539748,91.43,55.749091536802005,3.82609,19,PM
02-28-2013,96.37158,108.0,88.0,4.73667,95.0,55.90152807715201,55.718604228732,56.24908338915,91.75,55.94421030845,3.82609,19,PM
03-01-2013,96.37158,108.0,88.0,4.73667,95.0,55.907625538766005,55.57226514999601,56.50517677693801,91.44,55.755188998416,3.82609,19,PM
03-04-2013,96.37158,108.0,88.0,4.73667,95.0,55.779578844872006,55.773481383258,56.444202160798,92.36,56.316155466904,3.82609,19,PM
03-05-2013,96.37158,108.0,88.0,4.73667,95.0,56.4015199295,56.04786715588801,56.657613317288,92.28,56.26737577399201,3.82609,19,PM
03-06-2013,96.37158,108.0,88.0,4.73667,95.0,56.303960543676006,55.736896613574,56.480786930482,91.6,55.85274838424,3.82609,19,PM
03-07-2013,96.37158,108.0,88.0,4.73667,95.0,55.73079915196001,55.73079915196001,56.072257002344,91.81,55.98079507813401,3.82609,19,PM
03-08-2013,96.37158,108.0,88.0,4.73667,95.0,56.017379847818006,55.432023532874,56.04786715588801,91.11,55.553972765154,3.82609,19,PM
03-11-2013,96.37158,108.0,88.0,4.73667,95.0,55.42592607126001,55.377146378348,55.82226107617,91.21,55.614947381294,3.82609,19,PM
03-12-2013,96.37158,108.0,88.0,4.73667,95.0,55.718604228732,55.06007837442,55.74299407518801,90.89,55.419828609646,3.82609,19,PM
03-13-2013,96.42842,108.0,88.0,4.72393,95.0,55.389341301576,54.89983708320408,55.42592607126001,90.55,55.21251491477,3.82609,19,PM
03-14-2013,96.42842,108.0,88.0,4.72393,95.0,55.44421845610201,55.38330481457815,55.84969965343301,91.31,55.675921997434,3.82609,19,PM
03-15-2013,96.42842,108.0,88.0,4.72393,95.0,55.47470576417201,55.023493604736,55.871040769082,91.37,55.71250676711801,3.82609,19,PM
03-18-2013,96.42842,108.0,88.0,4.72393,95.0,55.20641745315601,55.02959106635,55.447267186909,90.36,55.09666314410401,3.82609,19,PM
03-19-2013,96.42842,108.0,88.0,4.72393,95.0,55.23690476122601,55.053980912806,55.621044842908006,90.81,55.371048916734,3.82609,19,PM
03-20-2013,96.42842,108.0,88.0,4.72393,95.0,55.4869006874,55.480803225786,55.919820461994,91.42,55.74299407518801,3.82609,19,PM
03-21-2013,96.42842,108.0,88.0,4.72393,95.0,55.560070226768005,55.413731148032,55.813114883749,91.05,55.51738799547,3.82609,19,PM
03-22-2013,96.42842,108.0,88.0,4.72393,95.0,55.4869006874,55.39543876319,56.078354463958,91.62,55.864943307468,3.82609,19,PM
03-25-2013,96.42842,108.0,88.0,4.72393,95.0,56.090549387186,55.962502693292,56.480786930482,91.99,56.090549387186,3.82609,19,PM
03-26-2013,96.42842,108.0,88.0,4.72393,95.0,56.336722521452,55.99829600064638,56.502889389278,91.76,56.472117747088,3.82609,19,PM
03-27-2013,96.42842,108.0,88.0,4.72393,95.0,56.182864310502,56.152092668312,57.010621485413,92.0,56.6198216296,3.82609,19,PM
03-28-2013,96.42842,108.0,88.0,4.72393,95.0,56.644438943352,56.58904998741,57.19832850277199,92.71,57.056778948698,3.82609,19,PM
04-01-2013,96.67444,108.0,88.0,4.73342,95.44,57.07524193401199,56.659824764447,57.11524506885901,92.78,57.099859247764,3.86364,18,PM
04-02-2013,96.67444,108.0,88.0,4.73342,95.44,57.26602611559,57.17371118902,58.12763209691,94.41,58.103014783158,3.86364,18,PM
04-03-2013,96.67444,108.0,88.0,4.73342,95.44,58.207638366604,57.89376761626599,58.6636741038598,94.36,58.072243140968,3.86364,18,PM
04-04-2013,96.67444,108.0,88.0,4.73342,95.44,58.30610762161199,58.06608881252999,58.626132700388,94.53,58.176866724414,3.86364,18,PM
04-05-2013,96.67444,108.0,88.0,4.73342,95.44,57.721446420002,56.822914468054,57.8506873172,92.72,57.062933277136,3.86364,18,PM
04-08-2013,96.67444,108.0,88.0,4.73342,95.44,57.19832850277199,57.11216790464,58.152249410662,94.44,58.121477768472,3.86364,18,PM
04-09-2013,96.78556,108.0,88.0,4.80956,95.44,58.324570606926,57.887613287828,58.52766344537999,94.54,58.183021052852,3.86364,18,PM
04-10-2013,96.78556,108.0,88.0,4.80956,95.44,58.398422548182,57.998391199712,58.724601955396,95.26,58.626132700388,3.86364,18,PM
04-11-2013,96.78556,108.0,88.0,4.80956,95.44,58.669212999454,58.484583146314,59.12463330386599,95.6,58.83537986727999,3.86364,18,PM
04-12-2013,97.17444,108.0,88.0,5.08622,95.44,58.878460166346,58.65075001414,59.45081271107999,96.44,59.35234345607199,3.86364,18,PM
04-15-2013,97.17444,108.0,88.0,5.08622,95.44,59.044627034172,57.906076273142,59.186176588246,94.11,57.91838493001799,3.86364,18,PM
04-16-2013,97.17444,108.0,88.0,5.08622,95.44,58.13378642534799,57.684520449374,58.607669715074,94.97,58.447657175686,3.86364,18,PM
04-17-2013,97.335,108.0,88.0,5.08844,95.5,58.201484038166,57.555279552176,58.293798964736,94.04,57.875304630952,3.86364,18,PM
04-18-2013,97.335,108.0,88.0,5.08844,95.5,56.6198216296,55.81975893266,57.001389992756,91.69,56.429037448022,3.86364,18,PM
04-19-2013,97.44667,108.0,88.0,5.11145,96.0,56.58289565897199,56.31210520769999,56.98908133588,91.95,56.58904998741,3.86364,18,PM
04-22-2013,97.44667,108.0,88.0,5.11145,96.0,56.55827834522,56.41666724786162,57.20140566699099,92.82,57.12447656151599,3.86364,18,PM
04-23-2013,97.44667,108.0,88.0,5.11145,96.0,57.407575669664,56.6198216296,57.776835375944,93.6,57.60451417968,3.86364,18,PM
04-24-2013,97.44667,108.0,88.0,5.11145,96.0,57.709137763126,57.629131493432,58.429194190372,94.05,57.88145895939,3.86364,18,PM
04-25-2013,97.44667,108.0,88.0,5.11145,96.0,58.13994075378599,57.979928214398,58.349187920678,94.64,58.244564337232,3.86364,18,PM
04-26-2013,97.44667,108.0,88.0,5.11145,96.0,58.324570606926,58.263027322546,58.909231808536,95.31,58.656904342578,3.86364,18,PM
04-29-2013,97.44667,108.0,88.0,5.11145,96.0,58.656904342578,58.441502847248,59.155404946056,95.96,59.05693569104799,3.86364,18,PM
04-30-2013,97.44667,108.0,88.0,5.11145,96.0,58.976929421354,58.503046131628,59.02000972042,95.59,58.829225538842,3.86364,18,PM
05-01-2013,97.44667,108.0,88.0,5.11145,96.0,58.66305867101599,58.601515386636,59.530818980774,95.67,58.878460166346,3.86364,18,PM
05-02-2013,97.44667,108.0,88.0,5.11145,96.0,59.00770106354399,58.18308259613637,59.106170318552,95.01,58.472274489438,3.86364,18,PM
05-03-2013,97.44667,108.0,88.0,5.11145,96.0,58.74921926914799,57.88145895939,58.83537986727999,94.26,58.010699856588,3.86364,18,PM
05-06-2013,97.59059,108.0,88.0,5.22408,97.0,57.715292091564,57.14293954682999,57.899921944704,93.11,57.302952086218,3.90476,17,PM
05-07-2013,97.59059,108.0,88.0,5.22408,97.0,57.309106414656,57.2352544734,57.782989704382,93.61,57.610668508118,3.90476,17,PM
05-08-2013,97.59059,108.0,88.0,5.22408,97.0,57.63528582187,57.524507909986,58.195329709728,94.51,58.164558067538,3.90476,17,PM
05-09-2013,97.59059,108.0,88.0,5.22408,97.0,58.08455179784399,57.499890596234,58.17994388863299,93.71,57.67221179249799,3.90476,17,PM
05-10-2013,97.59059,108.0,88.0,5.22408,97.0,57.81991567501,57.2352544734,57.91223060157999,93.32,57.432192983416,3.90476,17,PM
05-13-2013,97.76706,108.0,88.0,5.51401,97.0,57.333723728408,57.253717458714,58.183021052852,94.04,57.875304630952,3.90476,17,PM
05-14-2013,97.76706,108.0,88.0,5.51401,97.0,57.832224331886,57.752218062192,58.490737474752,94.96,58.441502847248,3.90476,17,PM
