 Date,CVS Price Target,CVS Price Target - High,CVS Price Target - Low,CVS Price Target - StdDev,CVS Price Target - Median,CVS Open,CVS Low,CVS High,CVS Close,CVS Adj. Close,CVS Rating,CVS Price Target - #,Ticker
02-05-2013,55.86364,60.0,49.0,2.39878,55.0,40.77653280727,40.649478372038,41.117991601956,51.72,41.070346188744,4.34615,22,CVS
02-06-2013,56.34091,60.0,49.0,2.45591,57.0,41.364159570218,40.474778523594,41.45150949444,51.24,40.689182883048,4.34615,22,CVS
02-07-2013,57.34091,60.0,53.0,2.01915,57.5,40.752710100664,40.474778523594,40.752710100664,51.19,40.649478372038,4.34615,22,CVS
02-08-2013,57.34091,60.0,53.0,2.01915,57.5,40.593892056624,40.522423936806,40.808296416078,51.2,40.65741927424,4.34615,22,CVS
02-11-2013,57.34091,60.0,53.0,2.01915,57.5,40.69712378525,40.633596567634,40.81623731828,51.24,40.689182883048,4.34615,22,CVS
02-12-2013,57.34091,60.0,53.0,2.01915,57.5,40.705064687452,40.601832958826,40.744769198462,51.17,40.633596567634,4.34615,22,CVS
02-13-2013,57.34091,60.0,53.0,2.01915,57.5,40.601832958826,40.347724088362,40.645507920937,51.06,40.546246643412,4.34615,22,CVS
02-14-2013,57.34091,60.0,53.0,2.01915,57.5,40.435074012584,40.435074012584,41.340336863612,51.89,41.205341526178,4.34615,22,CVS
02-15-2013,57.34091,60.0,53.0,2.01915,57.5,41.37210047242,40.411251305978,41.37210047242,51.12,40.593892056624,4.34615,22,CVS
02-19-2013,57.34091,60.0,53.0,2.01915,57.5,40.800355513876,40.800355513876,41.904140919954,52.66,41.816790995732,4.34615,22,CVS
02-20-2013,57.34091,60.0,53.0,2.01915,57.5,41.6897365605,41.17357791737,41.816790995732,51.85,41.17357791737,4.34615,22,CVS
02-21-2013,57.34091,60.0,53.0,2.01915,57.5,41.070346188744,40.911528144704,41.229164232784,51.86,41.181518819572,4.34615,22,CVS
02-22-2013,57.34091,60.0,53.0,2.01915,57.5,41.205341526178,40.689182883048,41.245046037188,51.35,40.77653280727,4.34615,22,CVS
02-25-2013,57.34091,60.0,53.0,2.01915,57.5,41.046523482138,40.125378826706,41.268868743794,50.53,40.125378826706,4.34615,22,CVS
02-26-2013,57.34091,60.0,53.0,2.01915,57.5,40.268315066342,39.87277872766038,40.486689876897,50.64,40.212728750928,4.34615,22,CVS
02-27-2013,57.34091,60.0,53.0,2.01915,57.5,40.268315066342,40.109497022302,40.70109423635101,51.16,40.625655665432,4.34615,22,CVS
02-28-2013,57.34091,60.0,53.0,2.01915,57.5,40.665360176442,40.53830574121,40.998878068926,51.12,40.593892056624,4.34615,22,CVS
03-01-2013,57.30952,60.0,53.0,2.06142,57.0,40.554187545614,40.403310403776,41.006818971128,51.56,40.943291753512,4.32,21,CVS
03-04-2013,57.30952,60.0,53.0,2.06142,57.0,40.81623731828,40.69712378525,41.189459721774,51.87,41.189459721774,4.32,21,CVS
