 Date,LMT Price Target,LMT Price Target - High,LMT Price Target - Low,LMT Price Target - StdDev,LMT Price Target - Median,LMT Open,LMT Low,LMT High,LMT Close,LMT Adj. Close,LMT Rating,LMT Price Target - #,Ticker
02-05-2013,95.6,111,75,9.85089,95.0,65.453786454758,64.780470557978,65.483711605726,87.01,65.094684643142,3.25,15,LMT
02-06-2013,95.6,111,75,9.85089,95.0,64.86276472314,64.795433133462,65.53608061992,87.6,65.53608061992,3.25,15,LMT
02-07-2013,95.6,111,75,9.85089,95.0,65.38645486508001,64.97498403927,65.87273856831,87.44,65.416380016048,3.25,15,LMT
02-08-2013,95.6,111,75,9.85089,95.0,65.408898728306,65.408898728306,66.00740174766601,88.01,65.842813417342,3.25,15,LMT
02-11-2013,95.6,111,75,9.85089,95.0,65.827850841858,65.24431039798199,65.842813417342,87.53,65.483711605726,3.25,15,LMT
02-12-2013,95.6,111,75,9.85089,95.0,65.670743799276,65.094684643142,65.827850841858,87.26,65.281716836692,3.25,15,LMT
02-13-2013,95.6,111,75,9.85089,95.0,65.319123275402,64.70565768055799,65.453786454758,87.06,65.132091081852,3.25,15,LMT
02-14-2013,95.6,111,75,9.85089,95.0,64.69817639281601,64.249299128296,65.356529714112,87.08,65.147053657336,3.16667,15,LMT
02-15-2013,95.6,111,75,9.85089,95.0,65.147053657336,65.12460979411,65.738075388954,87.87,65.738075388954,3.16667,15,LMT
02-19-2013,95.6,111,75,9.85089,95.0,65.79792569089,65.393936152822,66.00740174766601,88.23,66.00740174766601,3.16667,15,LMT
02-20-2013,95.6,111,75,9.85089,95.0,65.782963115406,65.625856072824,66.194433941216,87.73,65.633337360566,3.16667,15,LMT
02-21-2013,95.6,111,75,9.85089,95.0,65.57348705863001,65.16201623282,65.68570637476,87.56,65.506155468952,3.16667,15,LMT
02-22-2013,95.6,111,75,9.85089,95.0,65.76051925218,65.57348705863001,66.336578408314,88.12,65.925107582504,3.16667,15,LMT
02-25-2013,95.6,111,75,9.85089,95.0,66.15702750250601,65.618374785082,66.643311205736,87.88,65.745556676696,3.16667,15,LMT
02-26-2013,95.6,111,75,9.85089,95.0,65.895182431536,65.117128506368,66.089695912828,87.3,65.31164198766,3.16667,15,LMT
02-27-2013,95.6,111,75,9.85089,95.0,65.129694288912,65.129694288912,67.153862415456,88.33,66.964333564656,3.16667,15,LMT
02-28-2013,95.6,111,75,9.85089,95.0,67.161443569488,66.668668557408,67.31306665012801,88.0,66.7141554816,3.16667,15,LMT
03-01-2013,95.6,111,75,9.85089,95.0,66.5246266308,66.024270464688,66.994658180784,88.17,66.84303510014401,3.16667,15,LMT
03-04-2013,95.6,111,75,9.85089,95.0,66.59285701708801,65.58456353083201,66.630762787248,87.1,66.03185161872,3.16667,15,LMT
03-05-2013,95.6,111,75,9.85089,95.0,66.03185161872,65.88022853808,66.78238586788801,87.81,66.570113554992,3.16667,15,LMT
03-06-2013,95.0,111,75,9.71597,93.0,66.78996702191999,66.494302014672,67.03256395094401,88.36,66.987077026752,3.16667,15,LMT
03-07-2013,95.0,111,75,9.71597,93.0,67.123537799328,67.028773373928,67.684543197696,88.79,67.31306665012801,3.16667,15,LMT
03-08-2013,94.78571,111,75,10.02268,93.0,67.593569349312,67.457108576736,68.38200936864,89.99,68.222805133968,3.17391,14,LMT
03-11-2013,94.78571,111,75,10.02268,93.0,68.071182053328,68.00295166704001,68.670093221856,90.54,68.63976860572801,3.17391,14,LMT
03-12-2013,94.78571,111,75,10.02268,93.0,68.404752830736,68.19248051784001,68.563957065408,90.37,68.510888987184,3.17391,14,LMT
03-13-2013,94.78571,111,75,10.02268,93.0,68.715580146048,68.45782090896,70.118093641968,92.3,69.97405171536,3.17391,14,LMT
03-14-2013,94.78571,111,75,10.02268,93.0,69.96647056132801,69.754198248432,70.15599941212801,92.54,70.15599941212801,3.17391,14,LMT
03-15-2013,94.78571,111,75,10.02268,93.0,69.814847480688,69.761779402464,70.35310941696,92.74,70.307622492768,3.17391,14,LMT
03-18-2013,94.78571,111,75,10.02268,93.0,69.60257516779201,69.51918247344001,70.610868654048,92.36,70.019538639552,3.17391,14,LMT
03-19-2013,94.78571,111,75,10.02268,93.0,70.30004133873601,70.095350179872,70.936858277424,92.87,70.40617749518401,3.17391,14,LMT
03-20-2013,94.78571,111,75,10.02268,93.0,70.67909904033601,69.920983637136,70.8837901992,92.24,69.928564791168,3.17391,14,LMT
03-21-2013,94.78571,111,75,10.02268,93.0,69.74661709440001,69.48127670328,70.08776902584,91.68,69.504020165376,3.17391,14,LMT
03-22-2013,94.53333,111,75,9.72877,93.0,69.875496712944,69.59506982530033,70.38343403308801,92.26,69.943727099232,3.17391,15,LMT
03-25-2013,94.53333,111,75,9.72877,93.0,70.209067490352,69.678386708112,70.5047324976,92.31,69.981632869392,3.17391,15,LMT
03-26-2013,94.53333,111,75,9.72877,93.0,70.3152036468,70.224229798416,71.07331905000001,93.7,71.03541327984,3.17391,15,LMT
03-27-2013,94.53333,111,75,9.72877,93.0,70.686680194368,70.535057113728,71.770785220944,94.47,71.619162140304,3.17391,15,LMT
03-28-2013,95.0,111,75,9.57079,93.0,71.558512908048,71.558512908048,73.22636679508801,96.52,73.173298716864,3.17391,15,LMT
