 Date,GM Price Target,GM Price Target - High,GM Price Target - Low,GM Price Target - StdDev,GM Price Target - Median,GM Open,GM Low,GM High,GM Close,GM Adj. Close,GM Rating,GM Price Target - #,Ticker
02-05-2013,35.0,52,25,6.20292,35.0,21.56689703426,21.56689703426,22.0054675412,28.59,21.99777332178,4.08,21,GM
02-06-2013,35.0,52,25,6.20292,35.0,21.813112055700003,21.71308720324,22.0054675412,28.52,21.94391378584,4.08,21,GM
02-07-2013,35.0,52,25,6.20292,35.0,22.06702129656,21.56689703426,22.24398834322,28.47,21.90544268874,4.08,21,GM
02-08-2013,35.0,52,25,6.20292,35.0,21.95930222468,21.928525347,22.10549239366,28.57,21.98238488294,4.08,21,GM
02-11-2013,35.0,52,25,6.20292,35.0,21.936219566420004,21.813112055700003,22.0439386383,28.53,21.95160800526,4.08,21,GM
02-12-2013,35.0,52,25,6.20292,35.0,21.87466581106,21.72847564208,22.1208808325,28.55,21.9669964441,4.08,21,GM
02-13-2013,35.0,52,25,6.20292,35.0,22.1208808325,21.88236003048,22.21321146554,28.67,22.05932707714,4.08,21,GM
02-14-2013,35.0,52,25,6.20292,35.0,22.11318661308,21.289905135140003,22.59022821712,27.75,21.3514588905,4.08,21,GM
02-15-2013,35.09524,52,25,5.68125,35.0,21.22835137978,20.94366526124,21.48226062064,27.76,21.35915310992,3.96,21,GM
02-19-2013,35.09524,52,25,5.68125,35.0,21.30529357398,21.12832652732,21.3899299876,27.68,21.29759935456,3.96,21,GM
02-20-2013,35.09524,52,25,5.68125,35.0,21.39762420702,20.8128635311,21.39762420702,27.1,20.8513346282,3.96,21,GM
02-21-2013,35.09524,52,25,5.68125,35.0,20.78978087284,20.25887973286,20.80516931168,26.51,20.39737568242,3.96,21,GM
02-22-2013,35.09524,52,25,5.68125,35.0,20.3127392688,20.24349129402,20.86672306704,27.11,20.85902884762,3.96,21,GM
02-25-2013,35.09524,52,25,5.68125,35.0,20.85902884762,20.25887973286,20.905194164140003,26.33,20.25887973286,3.96,21,GM
02-26-2013,35.09524,52,25,5.68125,35.0,20.5050947543,20.15116066098,20.6589791427,26.83,20.64359070386,3.96,21,GM
02-27-2013,34.81818,52,25,5.69399,35.0,20.6205080456,20.55895429024,21.22065716036,27.4,21.0821612108,3.96,22,GM
02-28-2013,34.81818,52,25,5.69399,35.0,21.159103405,20.689756020380003,21.21296294094,27.15,20.8898057253,3.96,22,GM
03-01-2013,34.81818,52,25,5.69399,35.0,20.64359070386,20.5820369485,21.15140918558,27.21,20.93597104182,3.96,22,GM
03-04-2013,34.81818,52,25,5.69399,35.0,20.88211150588,20.76669821458,20.99752479718,27.09,20.84364040878,3.96,22,GM
03-05-2013,34.81818,52,25,5.69399,35.0,20.94366526124,20.92058260298,21.38223576818,27.58,21.22065716036,3.96,22,GM
03-06-2013,34.81818,52,25,5.69399,35.0,21.35915310992,21.251434038040003,21.513037498320003,27.91,21.47456640122,3.96,22,GM
03-07-2013,34.81818,52,25,5.69399,35.0,21.43609530412,21.38223576818,21.65153344788,27.88,21.45148374296,3.96,22,GM
03-08-2013,35.19048,52,25,5.56022,35.0,21.47456640122,21.45917796238,21.690004544980003,28.0,21.543814376,4.0,21,GM
03-11-2013,35.19048,52,25,5.56022,35.0,21.5053432789,21.1975745021,21.84388893338,28.31,21.78233517802,4.0,21,GM
03-12-2013,35.19048,52,25,5.56022,35.0,21.74386408092,21.61306235078,22.036244418880003,28.37,21.82850049454,4.0,21,GM
03-13-2013,35.19048,52,25,5.56022,35.0,21.83619471396,21.580361918245,21.83619471396,28.07,21.59767391194,4.0,21,GM
03-14-2013,35.19048,52,25,5.56022,35.0,21.5822854731,21.57459125368,21.72078142266,28.16,21.66692188672,4.0,21,GM
03-15-2013,35.2381,52,25,5.58829,35.0,21.513037498320003,21.3899299876,21.74386408092,28.21,21.70539298382,4.0,21,GM
03-18-2013,35.2381,52,25,5.58829,35.0,21.5053432789,21.33607045166,21.6592276673,28.04,21.57459125368,4.0,21,GM
03-19-2013,35.2381,52,25,5.58829,35.0,21.6207565702,21.4668721818,21.6976987644,28.1,21.6207565702,4.0,21,GM
03-20-2013,35.2381,52,25,5.58829,35.0,21.7361698615,21.690004544980003,22.5440629006,29.2,22.4671207064,4.0,21,GM
03-21-2013,35.2381,52,25,5.58829,35.0,22.24398834322,21.98238488294,22.44403804814,28.63,22.02855019946,4.0,21,GM
03-22-2013,35.2381,52,25,5.58829,35.0,22.01700887033,21.513037498320003,22.09010395482,28.22,21.71308720324,4.0,21,GM
03-25-2013,35.2381,52,25,5.58829,35.0,21.84388893338,21.55920281484,21.91313690816,28.16,21.66692188672,4.0,21,GM
03-26-2013,35.2381,52,25,5.58829,35.0,21.75925251976,21.53612015658,21.813112055700003,28.15,21.6592276673,4.0,21,GM
03-27-2013,35.2381,52,25,5.58829,35.0,21.5822854731,21.513037498320003,21.75155830034,28.06,21.58997969252,4.0,21,GM
03-28-2013,35.2381,52,25,5.58829,35.0,21.55920281484,21.26682247688,21.61306235078,27.82,21.40531842644,4.0,21,GM
04-01-2013,35.2381,52,25,5.58829,35.0,21.2745166963,21.2745166963,21.61306235078,27.8,21.3899299876,4.0,21,GM
04-02-2013,35.2381,52,25,5.58829,35.0,21.513037498320003,21.18218606326,21.774640958600003,27.93,21.48995484006,4.0,21,GM
04-03-2013,35.2381,52,25,5.58829,35.0,21.543814376,21.28221091572,21.6207565702,27.8,21.3899299876,4.0,21,GM
04-04-2013,35.2381,52,25,5.58829,35.0,21.3514588905,21.166797624420003,21.543814376,27.74,21.34376467108,4.0,21,GM
04-05-2013,35.2381,52,25,5.58829,35.0,21.06677277196,20.85902884762,21.20526872152,27.52,21.17449184384,4.0,21,GM
04-08-2013,35.2381,52,25,5.58829,35.0,21.159103405,21.0821612108,21.26682247688,27.59,21.22835137978,4.0,21,GM
