 Date,GOOGL Price Target,GOOGL Price Target - High,GOOGL Price Target - Low,GOOGL Price Target - StdDev,GOOGL Price Target - Median,GOOGL Open,GOOGL Low,GOOGL High,GOOGL Close,GOOGL Adj. Close,GOOGL Rating,GOOGL Price Target - #,Ticker
02-05-2013,20.76216,23.75,17.5,1.24485,20.75,19.02825,18.986625,19.27775,19.1435,19.1435,4.18182,37,GOOGL
02-06-2013,20.75556,23.75,17.5,1.26138,20.75,18.97675,18.9625,19.324,19.25425,19.25425,4.13333,36,GOOGL
02-07-2013,20.75556,23.75,17.5,1.26138,20.75,19.2425,19.1375,19.470247,19.34875,19.34875,4.08889,36,GOOGL
02-08-2013,20.81571,23.75,17.5,1.34706,20.75,19.50325,19.489,19.66675,19.63425,19.63425,4.06818,35,GOOGL
02-11-2013,20.81571,23.75,17.5,1.34706,20.75,19.46,19.34375,19.575,19.5605,19.5605,4.06818,35,GOOGL
02-12-2013,20.81571,23.75,17.5,1.34706,20.75,19.54375,19.48425,19.6975,19.5175,19.5175,4.06818,35,GOOGL
02-13-2013,20.81571,23.75,17.5,1.34706,20.75,19.50325,19.49925,19.63375,19.5715,19.5715,4.06818,35,GOOGL
02-14-2013,20.81571,23.75,17.5,1.34706,20.75,19.49325,19.44425,19.7185,19.6955,19.6955,4.06818,35,GOOGL
02-15-2013,20.81571,23.75,17.5,1.34706,20.75,19.685,19.67675,19.8315,19.82225,19.82225,4.06818,35,GOOGL
02-19-2013,20.81571,23.75,17.5,1.34706,20.75,19.89975,19.882,20.175,20.17125,20.17125,4.06818,35,GOOGL
02-20-2013,20.81571,23.75,17.5,1.34706,20.75,20.1325,19.79485,20.22425,19.8115,19.8115,4.06818,35,GOOGL
02-21-2013,21.07643,25.0,17.5,1.68669,20.75,19.95,19.7805,20.13625,19.88825,19.88825,4.06818,35,GOOGL
02-22-2013,21.07643,25.0,17.5,1.68669,20.75,19.9815,19.845,20.03125,19.99275,19.99275,4.06818,35,GOOGL
02-25-2013,21.07643,25.0,17.5,1.68669,20.75,20.0575,19.76225,20.21025,19.76925,19.76925,4.06818,35,GOOGL
02-26-2013,21.07643,25.0,17.5,1.68669,20.75,19.875,19.61,19.898747,19.75325,19.75325,4.06818,35,GOOGL
02-27-2013,21.16929,25.0,17.5,1.70052,21.0,19.87,19.77775,20.11875,19.9945,19.9945,4.11364,35,GOOGL
02-28-2013,21.16929,25.0,17.5,1.70052,21.0,20.0275,20.02575,20.17475,20.03,20.03,4.11364,35,GOOGL
03-01-2013,21.24786,25.0,17.5,1.74009,21.15,19.945,19.90375,20.1785,20.15475,20.15475,4.11364,35,GOOGL
03-04-2013,21.24786,25.0,17.5,1.74009,21.15,20.1325,20.125,20.571,20.5376,20.5376,4.11364,35,GOOGL
03-05-2013,21.33714,25.0,17.5,1.84687,21.15,20.72325,20.7225,21.003747,20.9651,20.9651,4.11364,35,GOOGL
03-06-2013,21.33714,25.0,17.5,1.84687,21.15,21.025625,20.72025,21.1,20.7845,20.7845,4.11364,35,GOOGL
03-07-2013,21.43,25.0,17.5,1.94442,21.15,20.8515,20.7395,20.9155,20.8149,20.8149,4.11364,35,GOOGL
03-08-2013,21.65515,25.0,17.5,1.92357,21.2125,20.8625,20.62625,20.872997,20.788,20.788,4.13953,34,GOOGL
03-11-2013,21.73603,25.0,17.5,1.95193,21.25,20.79225,20.7875,20.9925,20.8705,20.8705,4.13953,34,GOOGL
03-12-2013,21.73603,25.0,17.5,1.95193,21.25,20.76775,20.59175,20.79725,20.69025,20.69025,4.13953,34,GOOGL
