 Date,GOOGL Price Target,GOOGL Price Target - High,GOOGL Price Target - Low,GOOGL Price Target - StdDev,GOOGL Price Target - Median,GOOGL Open,GOOGL Low,GOOGL High,GOOGL Close,GOOGL Adj. Close,GOOGL Rating,GOOGL Price Target - #,Ticker
03-13-2013,21.73603,25.0,17.5,1.95193,21.25,20.6975,20.55775,20.76725,20.63275,20.63275,4.13953,34,GOOGL
03-14-2013,21.73603,25.0,17.5,1.95193,21.25,20.67475,20.43475,20.67475,20.5385,20.5385,4.13953,34,GOOGL
03-15-2013,21.73603,25.0,17.5,1.95193,21.25,20.4625,20.3335,20.5075,20.35755,20.35755,4.13953,34,GOOGL
03-18-2013,21.76591,25.0,17.5,1.97361,21.25,20.125,20.03675,20.319,20.19475,20.19475,4.11905,33,GOOGL
03-19-2013,21.82794,25.0,17.5,1.97676,21.375,20.281,20.16125,20.48125,20.283,20.283,4.11628,34,GOOGL
03-20-2013,21.82794,25.0,17.5,1.97676,21.375,20.42075,20.286,20.43775,20.3677,20.3677,4.11628,34,GOOGL
03-21-2013,21.82794,25.0,17.5,1.97676,21.375,20.28225,20.24625,20.422932,20.2815,20.2815,4.11628,34,GOOGL
03-22-2013,21.82794,25.0,17.5,1.97676,21.375,20.3685,20.241,20.381,20.25775,20.25775,4.11628,34,GOOGL
03-25-2013,21.82794,25.0,17.5,1.97676,21.375,20.31025,20.1705,20.48075,20.241,20.241,4.11628,34,GOOGL
03-26-2013,21.82794,25.0,17.5,1.97676,21.375,20.3375,20.19475,20.349997,20.3105,20.3105,4.11628,34,GOOGL
03-27-2013,21.97132,25.0,18.5,1.94337,21.5,20.167,20.03325,20.175,20.0665,20.0665,4.11628,34,GOOGL
03-28-2013,21.97132,25.0,18.5,1.94337,21.5,20.09975,19.8325,20.13425,19.8547,19.8547,4.11628,34,GOOGL
04-01-2013,22.01857,25.0,18.5,1.93512,21.5,19.87525,19.83125,20.05625,20.02975,20.02975,4.13636,35,GOOGL
04-02-2013,22.01857,25.0,18.5,1.93512,21.5,20.1135,20.1,20.37075,20.326,20.326,4.13636,35,GOOGL
04-03-2013,22.01857,25.0,18.5,1.93512,21.5,20.3365,20.0167,20.355,20.15505,20.15505,4.13636,35,GOOGL
04-04-2013,21.99706,25.0,18.5,1.95924,21.5,20.10625,19.7825,20.14375,19.87675,19.87675,4.13953,34,GOOGL
04-05-2013,21.99706,25.0,18.5,1.95924,21.5,19.6515,19.41,19.67475,19.57625,19.57625,4.13953,34,GOOGL
04-08-2013,21.99706,25.0,18.5,1.95924,21.5,19.46875,19.21,19.48875,19.37125,19.37125,4.13953,34,GOOGL
04-09-2013,21.99706,25.0,18.5,1.95924,21.5,19.3875,19.32775,19.59375,19.44125,19.44125,4.13953,34,GOOGL
04-10-2013,21.99706,25.0,18.5,1.95924,21.5,19.573,19.4,19.80875,19.7545,19.7545,4.13953,34,GOOGL
04-11-2013,21.99706,25.0,18.5,1.95924,21.5,19.822,19.6015,19.8275,19.75975,19.75975,4.13953,34,GOOGL
04-12-2013,22.01212,25.0,18.5,1.98677,21.5,19.79975,19.57325,19.80255,19.75125,19.75125,4.14286,33,GOOGL
04-15-2013,22.06324,25.0,18.5,1.97923,21.625,19.64875,19.4255,19.925,19.54825,19.54825,4.16279,34,GOOGL
04-16-2013,22.1,25.0,18.5,1.96372,21.8125,19.66475,19.598,19.9,19.83425,19.83425,4.16279,34,GOOGL
04-17-2013,22.16857,25.0,18.5,1.92693,21.875,19.66875,19.4525,19.771125,19.564,19.564,4.18182,35,GOOGL
04-18-2013,22.16643,25.0,18.5,1.92554,21.875,19.63375,19.031502,19.645,19.14785,19.14785,4.18182,35,GOOGL
04-19-2013,22.40214,25.0,18.5,1.76916,22.5,19.229,19.1565,20.086,19.99675,19.99675,4.18182,35,GOOGL
04-22-2013,22.42357,25.0,19.0,1.72578,22.5,20.015,19.375,20.09895,20.00285,20.00285,4.23256,35,GOOGL
04-23-2013,22.42357,25.0,19.0,1.72578,22.5,20.025,20.009,20.3875,20.1975,20.1975,4.23256,35,GOOGL
04-24-2013,22.42357,25.0,19.0,1.72578,22.5,20.20275,20.2,20.45,20.33635,20.33635,4.23256,35,GOOGL
04-25-2013,22.42357,25.0,19.0,1.72578,22.5,20.40625,20.19075,20.41175,20.2275,20.2275,4.23256,35,GOOGL
04-26-2013,22.42357,25.0,19.0,1.72578,22.5,20.19,19.9145,20.1935,20.0355,20.0355,4.23256,35,GOOGL
04-29-2013,22.41029,25.0,19.0,1.74921,22.5,20.08125,20.075,20.5675,20.4765,20.4765,4.21429,34,GOOGL
04-30-2013,22.48529,25.0,19.0,1.71794,22.75,20.475,20.442,20.691,20.61425,20.61425,4.21429,34,GOOGL
05-01-2013,22.48529,25.0,19.0,1.71794,22.75,20.5815,20.409,20.618,20.51075,20.51075,4.21429,34,GOOGL
05-02-2013,22.48529,25.0,19.0,1.71794,22.75,20.5025,20.47625,20.86375,20.74025,20.74025,4.21429,34,GOOGL
05-03-2013,22.48529,25.0,19.0,1.71794,22.75,20.924,20.9,21.17,21.143,21.143,4.21429,34,GOOGL
05-06-2013,22.48529,25.0,19.0,1.71794,22.75,21.2065,21.2065,21.54625,21.53875,21.53875,4.21429,34,GOOGL
05-07-2013,22.48529,25.0,19.0,1.71794,22.75,21.57525,21.26675,21.596747,21.43075,21.43075,4.21429,34,GOOGL
05-08-2013,22.50357,25.0,19.0,1.69657,23.0,21.425,21.32275,21.847,21.84075,21.84075,4.2093,35,GOOGL
05-09-2013,22.50357,25.0,19.0,1.69657,23.0,21.771,21.70575,21.9915,21.787,21.787,4.2093,35,GOOGL
05-10-2013,22.53214,25.0,19.25,1.64497,23.0,21.88275,21.804,22.0135,22.00575,22.00575,4.2093,35,GOOGL
05-13-2013,22.58571,25.0,19.25,1.6532,23.125,21.97225,21.834525,22.061747,21.93825,21.93825,4.2093,35,GOOGL
05-14-2013,22.58571,25.0,19.25,1.6532,23.125,21.9375,21.9285,22.21725,22.1775,22.1775,4.2093,35,GOOGL
05-15-2013,22.63143,25.0,19.25,1.69394,23.125,22.3875,22.3505,22.9095,22.89725,22.89725,4.2093,35,GOOGL
05-16-2013,22.86286,25.625,19.25,1.70456,23.125,22.975,22.55025,22.999497,22.59675,22.59675,4.16279,35,GOOGL
05-17-2013,22.86286,25.625,19.25,1.70456,23.125,22.7505,22.513,22.837225,22.7295,22.7295,4.16279,35,GOOGL
05-20-2013,22.97,25.625,19.25,1.74341,23.125,22.625,22.625,23.015,22.71325,22.71325,4.16279,35,GOOGL
05-21-2013,22.97,25.625,19.25,1.74341,23.125,22.7005,22.44025,22.7915,22.67425,22.67425,4.16279,35,GOOGL
05-22-2013,22.97,25.625,19.25,1.74341,23.125,22.564,22.172,22.73275,22.2355,22.2355,4.16279,35,GOOGL
05-23-2013,22.97,25.625,19.25,1.74341,23.125,21.925,21.85,22.249,22.06975,22.06975,4.16279,35,GOOGL
05-24-2013,22.97,25.625,19.25,1.74341,23.125,21.8815,21.77525,21.9705,21.833,21.833,4.16279,35,GOOGL
05-28-2013,22.97,25.625,19.25,1.74341,23.125,22.0875,22.01,22.3035,22.03175,22.03175,4.16279,35,GOOGL
05-29-2013,22.97,25.625,19.25,1.74341,23.125,21.89275,21.60725,21.94975,21.70775,21.70775,4.16279,35,GOOGL
05-30-2013,22.97,25.625,19.25,1.74341,23.125,21.748,21.66025,21.9725,21.769,21.769,4.16279,35,GOOGL
05-31-2013,22.97,25.625,19.25,1.74341,23.125,21.703,21.688,21.925,21.78045,21.78045,4.16279,35,GOOGL
06-03-2013,23.06286,25.75,19.25,1.80149,23.25,21.825,21.3755,21.849247,21.69075,21.69075,4.16279,35,GOOGL
06-04-2013,23.06286,25.75,19.25,1.80149,23.25,21.69625,21.35175,21.76475,21.4775,21.4775,4.16279,35,GOOGL
06-05-2013,23.12357,25.75,19.25,1.80046,23.375,21.56275,21.42825,21.73625,21.4925,21.4925,4.16279,35,GOOGL
06-06-2013,23.12357,25.75,19.25,1.80046,23.375,21.6075,21.1805,21.65825,21.616,21.616,4.16279,35,GOOGL
06-07-2013,23.12357,25.75,19.25,1.80046,23.375,21.7605,21.633,22.0,21.99325,21.99325,4.16279,35,GOOGL
06-10-2013,23.12357,25.75,19.25,1.80046,23.375,22.0525,22.002252,22.275,22.2555,22.2555,4.16279,35,GOOGL
06-11-2013,23.12357,25.75,19.25,1.80046,23.375,22.09925,21.988,22.175,21.99525,21.99525,4.18605,35,GOOGL
06-12-2013,23.26357,25.75,19.25,1.81321,23.75,22.1365,21.74125,22.15,21.7995,21.7995,4.18605,35,GOOGL
06-13-2013,23.26357,25.75,19.25,1.81321,23.75,21.7245,21.6375,21.9915,21.925,21.925,4.18605,35,GOOGL
06-14-2013,23.35286,26.25,19.25,1.8799,23.75,22.0025,21.85325,22.1175,21.876,21.876,4.18605,35,GOOGL
06-17-2013,23.35286,26.25,19.25,1.8799,23.75,21.98075,21.957,22.23575,22.15625,22.15625,4.18605,35,GOOGL
06-18-2013,23.35286,26.25,19.25,1.8799,23.75,22.21625,22.20875,22.525,22.5155,22.5155,4.18605,35,GOOGL
06-19-2013,23.42429,27.5,19.25,1.98565,23.75,22.53425,22.4375,22.771,22.517,22.517,4.18605,35,GOOGL
06-20-2013,23.42429,27.5,19.25,1.98565,23.75,22.34975,22.08275,22.525,22.1185,22.1185,4.18605,35,GOOGL
06-21-2013,23.42429,27.5,19.25,1.98565,23.75,22.2085,21.82675,22.247,22.02325,22.02325,4.18605,35,GOOGL
06-24-2013,23.54214,27.5,19.25,1.99035,23.875,21.797,21.58125,21.908,21.74475,21.74475,4.18605,35,GOOGL
06-25-2013,23.61736,27.5,19.25,2.01233,24.0,21.9315,21.61275,21.992,21.655,21.655,4.20455,36,GOOGL
06-26-2013,23.61736,27.5,19.25,2.01233,24.0,21.84375,21.764252,21.95,21.84125,21.84125,4.20455,36,GOOGL
06-27-2013,23.61736,27.5,19.25,2.01233,24.0,21.97,21.91625,22.11725,21.92675,21.92675,4.20455,36,GOOGL
06-28-2013,23.61736,27.5,19.25,2.01233,24.0,21.8725,21.854775,22.046,22.00925,22.00925,4.20455,36,GOOGL
07-01-2013,23.61736,27.5,19.25,2.01233,24.0,22.16125,22.125,22.302,22.197,22.197,4.20455,36,GOOGL
07-02-2013,23.61736,27.5,19.25,2.01233,24.0,22.255,21.93175,22.275,22.05775,22.05775,4.20455,36,GOOGL
07-03-2013,23.61736,27.5,19.25,2.01233,24.0,21.9975,21.9625,22.22925,22.16075,22.16075,4.20455,36,GOOGL
07-05-2013,23.61736,27.5,19.25,2.01233,24.0,22.25025,22.1835,22.38525,22.33725,22.33725,4.20455,36,GOOGL
07-08-2013,23.61736,27.5,19.25,2.01233,24.0,22.48025,22.4271,22.65675,22.62725,22.62725,4.20455,36,GOOGL
07-09-2013,23.67292,27.5,19.25,2.02896,24.1375,22.775,22.4495,22.82375,22.631,22.631,4.20455,36,GOOGL
07-10-2013,23.86776,27.5,19.25,2.14108,24.2625,22.58625,22.5095,22.778375,22.64975,22.64975,4.21739,38,GOOGL
07-11-2013,23.89474,27.5,19.25,2.16122,24.2625,22.825,22.713,23.02025,23.006,23.006,4.21739,38,GOOGL
07-12-2013,23.89474,27.5,19.25,2.16122,24.2625,23.0,22.881,23.075,23.075,23.075,4.21739,38,GOOGL
07-15-2013,24.24562,28.75,19.25,2.15509,24.4375,23.1075,22.909,23.2,23.11725,23.11725,4.25,40,GOOGL
07-16-2013,24.4939,29.375,19.25,2.23579,24.9,23.17825,22.8475,23.19925,22.9902,22.9902,4.25,41,GOOGL
07-17-2013,24.62143,29.375,19.25,2.15809,25.0,23.025,22.9075,23.1715,22.96375,22.96375,4.28,42,GOOGL
07-18-2013,24.69583,29.375,19.25,2.03947,25.0,22.97475,22.57975,23.0,22.767,22.767,4.28,42,GOOGL
07-19-2013,24.60833,29.375,19.25,1.96313,24.95,22.16525,21.89025,22.57375,22.41495,22.41495,4.26,42,GOOGL
07-22-2013,24.47988,29.375,19.25,1.87883,24.9,22.55,22.425,22.81675,22.7675,22.7675,4.2449,41,GOOGL
07-23-2013,24.61042,29.9625,19.25,2.03583,24.95,22.7675,22.48925,22.825,22.595,22.595,4.26,42,GOOGL
07-24-2013,24.61042,29.9625,19.25,2.03583,24.95,22.6815,22.5175,22.7575,22.5725,22.5725,4.26,42,GOOGL
07-25-2013,24.61042,29.9625,19.25,2.03583,24.95,22.34675,22.152,22.42125,22.1925,22.1925,4.26,42,GOOGL
07-26-2013,24.61042,29.9625,19.25,2.03583,24.95,22.17475,22.05,22.24975,22.13375,22.13375,4.26,42,GOOGL
07-29-2013,24.61042,29.9625,19.25,2.03583,24.95,22.1225,22.02225,22.3705,22.05675,22.05675,4.26,42,GOOGL
07-30-2013,24.61042,29.9625,19.25,2.03583,24.95,22.1365,22.02175,22.39025,22.273,22.273,4.26,42,GOOGL
07-31-2013,24.61042,29.9625,19.25,2.03583,24.95,22.32475,22.1545,22.412725,22.19375,22.19375,4.26,42,GOOGL
08-01-2013,24.61042,29.9625,19.25,2.03583,24.95,22.375,22.375,22.61375,22.6055,22.6055,4.28571,42,GOOGL
08-02-2013,24.61042,29.9625,19.25,2.03583,24.95,22.586,22.5205,22.675,22.66425,22.66425,4.28571,42,GOOGL
08-05-2013,24.61042,29.9625,19.25,2.03583,24.95,22.63475,22.48,22.638125,22.625,22.625,4.28571,42,GOOGL
08-06-2013,24.61042,29.9625,19.25,2.03583,24.95,22.61725,22.39325,22.742725,22.41425,22.41425,4.28571,42,GOOGL
08-07-2013,24.61042,29.9625,19.25,2.03583,24.95,22.376,22.22725,22.46125,22.26625,22.26625,4.28571,42,GOOGL
08-08-2013,24.61042,29.9625,19.25,2.03583,24.95,22.38725,22.132375,22.396,22.3165,22.3165,4.28571,42,GOOGL
08-09-2013,24.61042,29.9625,19.25,2.03583,24.95,22.264,22.25,22.388,22.26025,22.26025,4.28571,42,GOOGL
08-12-2013,24.61042,29.9625,19.25,2.03583,24.95,22.1725,22.04125,22.175,22.13775,22.13775,4.28571,42,GOOGL
08-13-2013,24.61042,29.9625,19.25,2.03583,24.95,22.17075,21.905,22.2125,22.03125,22.03125,4.28571,42,GOOGL
08-14-2013,24.61042,29.9625,19.25,2.03583,24.95,21.95925,21.679,22.00575,21.74525,21.74525,4.28571,42,GOOGL
08-15-2013,24.61042,29.9625,19.25,2.03583,24.95,21.611,21.45,21.623,21.4915,21.4915,4.28571,42,GOOGL
08-16-2013,24.61042,29.9625,19.25,2.03583,24.95,21.532,21.4135,21.561,21.4227,21.4227,4.28571,42,GOOGL
08-19-2013,24.61042,29.9625,19.25,2.03583,24.95,21.44275,21.43625,21.8,21.64125,21.64125,4.28571,42,GOOGL
08-20-2013,24.61042,29.9625,19.25,2.03583,24.95,21.70875,21.5885,21.80275,21.6355,21.6355,4.28571,42,GOOGL
08-21-2013,24.61042,29.9625,19.25,2.03583,24.95,21.76625,21.6625,21.922725,21.73325,21.73325,4.28571,42,GOOGL
08-22-2013,24.61042,29.9625,19.25,2.03583,24.95,21.8175,21.75625,21.86875,21.84275,21.84275,4.28571,42,GOOGL
08-23-2013,24.61042,29.9625,19.25,2.03583,24.95,21.94575,21.74375,21.95,21.75525,21.75525,4.28571,42,GOOGL
08-26-2013,24.61042,29.9625,19.25,2.03583,24.95,21.75,21.65125,21.8725,21.65975,21.65975,4.28571,42,GOOGL
08-27-2013,24.61042,29.9625,19.25,2.03583,24.95,21.4905,21.1975,21.59325,21.25375,21.25375,4.28571,42,GOOGL
08-28-2013,24.61042,29.9625,19.25,2.03583,24.95,21.25625,21.19425,21.38525,21.21375,21.21375,4.28571,42,GOOGL
08-29-2013,24.61042,29.9625,19.25,2.03583,24.95,21.22675,21.21475,21.5095,21.38575,21.38575,4.28571,42,GOOGL
08-30-2013,24.61042,29.9625,19.25,2.03583,24.95,21.394,21.139,21.451,21.1725,21.1725,4.28571,42,GOOGL
09-03-2013,24.60091,29.9625,19.25,2.05959,24.9,21.359,21.34875,21.65475,21.5095,21.5095,4.29167,41,GOOGL
09-04-2013,24.60091,29.9625,19.25,2.05959,24.9,21.50875,21.37925,21.8375,21.79085,21.79085,4.29167,41,GOOGL
09-05-2013,24.6314,29.9625,19.25,2.00725,24.9,21.8375,21.79025,21.997,21.989,21.989,4.29167,41,GOOGL
09-06-2013,24.6314,29.9625,19.25,2.00725,24.9,22.061,21.8435,22.0945,21.9895,21.9895,4.29167,41,GOOGL
09-09-2013,24.6314,29.9625,19.25,2.00725,24.9,22.09325,22.0605,22.24375,22.20135,22.20135,4.29167,41,GOOGL
09-10-2013,24.6314,29.9625,19.25,2.00725,24.9,22.2505,22.100002,22.3,22.21675,22.21675,4.29167,41,GOOGL
09-11-2013,24.6314,29.9625,19.25,2.00725,24.9,22.2135,22.152,22.42425,22.40475,22.40475,4.29167,41,GOOGL
09-12-2013,24.6314,29.9625,19.25,2.00725,24.9,22.435,22.25025,22.4475,22.3266,22.3266,4.29167,41,GOOGL
09-13-2013,24.6314,29.9625,19.25,2.00725,24.9,22.3625,22.121,22.392,22.2267,22.2267,4.29167,41,GOOGL
09-16-2013,24.6314,29.9625,19.25,2.00725,24.9,22.405,22.12175,22.425,22.194,22.194,4.29167,41,GOOGL
09-17-2013,24.6314,29.9625,19.25,2.00725,24.9,22.18525,22.025,22.209875,22.15275,22.15275,4.29167,41,GOOGL
09-18-2013,24.69375,29.9625,19.25,2.02299,24.95,22.15875,22.076752,22.59925,22.583,22.583,4.30612,42,GOOGL
09-19-2013,24.69375,29.9625,19.25,2.02299,24.95,22.64975,22.385,22.64975,22.45975,22.45975,4.30612,42,GOOGL
09-20-2013,24.69375,29.9625,19.25,2.02299,24.95,22.45975,22.3905,22.60325,22.57775,22.57775,4.30612,42,GOOGL
09-23-2013,24.69375,29.9625,19.25,2.02299,24.95,22.40375,22.13,22.53975,22.1625,22.1625,4.30612,42,GOOGL
09-24-2013,24.69375,29.9625,19.25,2.02299,24.95,22.1625,22.035,22.2525,22.171,22.171,4.30612,42,GOOGL
09-25-2013,24.69375,29.9625,19.25,2.02299,24.95,22.16375,21.89,22.16375,21.93075,21.93075,4.30612,42,GOOGL
09-26-2013,24.69375,29.9625,19.25,2.02299,24.95,21.9575,21.875,22.06875,21.95425,21.95425,4.30612,42,GOOGL
09-27-2013,24.69375,29.9625,19.25,2.02299,24.95,21.8705,21.78275,21.938,21.90975,21.90975,4.30612,42,GOOGL
09-30-2013,24.69375,29.9625,19.25,2.02299,24.95,21.727,21.70775,22.021,21.89775,21.89775,4.30612,42,GOOGL
10-01-2013,24.69375,29.9625,19.25,2.02299,24.95,22.00625,22.00125,22.19175,22.1751,22.1751,4.30612,42,GOOGL
10-02-2013,24.73542,29.9625,19.25,2.02114,25.0,22.06825,21.9455,22.233875,22.19975,22.19975,4.30612,42,GOOGL
10-03-2013,24.73542,29.9625,19.25,2.02114,25.0,22.2,21.8025,22.3525,21.90225,21.90225,4.30612,42,GOOGL
10-04-2013,24.73542,29.9625,19.25,2.02114,25.0,21.875,21.75,21.937747,21.80875,21.80875,4.30612,42,GOOGL
10-07-2013,24.73542,29.9625,19.25,2.02114,25.0,21.68625,21.60275,21.84975,21.6435,21.6435,4.30612,42,GOOGL
10-08-2013,24.73542,29.9625,19.25,2.02114,25.0,21.633,21.29075,21.6495,21.34175,21.34175,4.30612,42,GOOGL
10-09-2013,24.73542,29.9625,19.25,2.02114,25.0,21.407,21.0745,21.56625,21.3965,21.3965,4.30612,42,GOOGL
10-10-2013,24.69613,29.9625,19.25,2.048,25.0,21.596,21.50525,21.72075,21.706,21.706,4.32653,42,GOOGL
10-11-2013,24.69613,29.9625,19.25,2.048,25.0,21.65075,21.6325,21.837,21.79975,21.79975,4.32653,42,GOOGL
10-14-2013,24.69613,29.9625,19.25,2.048,25.0,21.6665,21.63475,21.90625,21.90275,21.90275,4.32653,42,GOOGL
10-15-2013,24.69613,29.9625,19.25,2.048,25.0,21.894,21.85,22.14075,22.05025,22.05025,4.32653,42,GOOGL
10-16-2013,24.8003,29.9625,19.25,2.16852,25.0,22.14675,22.10025,22.45825,22.450725,22.450725,4.32653,42,GOOGL
10-17-2013,24.80625,29.9625,19.25,2.16769,25.0,22.32475,22.14325,22.4225,22.21985,22.21985,4.32653,42,GOOGL
10-18-2013,26.54673,30.5,20.5,2.4998,27.1875,24.4145,24.35,25.386502,25.2852,25.2852,4.35417,42,GOOGL
10-21-2013,26.55863,30.5,20.5,2.49419,27.1875,25.2865,24.98875,25.475,25.0825,25.0825,4.32653,42,GOOGL
10-22-2013,26.55863,30.5,20.5,2.49419,27.1875,25.125,24.894775,25.325,25.175,25.175,4.32653,42,GOOGL
10-23-2013,26.55863,30.5,20.5,2.49419,27.1875,25.025,25.01575,25.868747,25.785175,25.785175,4.32653,42,GOOGL
10-24-2013,26.68958,30.5,20.5,2.55262,27.5,25.79675,25.62,26.01425,25.63875,25.63875,4.32653,42,GOOGL
10-25-2013,26.68958,30.5,20.5,2.55262,27.5,25.7205,25.2685,25.7205,25.38,25.38,4.32653,42,GOOGL
10-28-2013,26.68958,30.5,20.5,2.55262,27.5,25.38,25.324625,25.58575,25.375,25.375,4.32653,42,GOOGL
10-29-2013,26.68958,30.5,20.5,2.55262,27.5,25.4775,25.3375,25.9235,25.906,25.906,4.30612,42,GOOGL
10-30-2013,26.68958,30.5,20.5,2.55262,27.5,25.93575,25.65,25.93775,25.7605,25.7605,4.30612,42,GOOGL
10-31-2013,26.68958,30.5,20.5,2.55262,27.5,25.72325,25.59925,26.038097,25.7645,25.7645,4.30612,42,GOOGL
11-01-2013,26.68958,30.5,20.5,2.55262,27.5,25.79475,25.6275,25.899997,25.676,25.676,4.30612,42,GOOGL
11-04-2013,26.72827,30.5,20.5,2.56175,27.5,25.7875,25.55075,25.80925,25.65265,25.65265,4.30612,42,GOOGL
11-05-2013,26.72827,30.5,20.5,2.56175,27.5,25.50875,25.4355,25.79125,25.538,25.538,4.30612,42,GOOGL
11-06-2013,26.72827,30.5,20.5,2.56175,27.5,25.64,25.38425,25.675,25.56875,25.56875,4.30612,42,GOOGL
11-07-2013,26.75446,30.5,20.5,2.52891,27.5,25.56525,25.191,25.59825,25.19875,25.19875,4.30612,42,GOOGL
11-08-2013,26.75446,30.5,20.5,2.52891,27.5,25.21875,25.2125,25.4625,25.40075,25.40075,4.30612,42,GOOGL
11-11-2013,26.75446,30.5,20.5,2.52891,27.5,25.23775,25.2,25.39825,25.26475,25.26475,4.30612,42,GOOGL
11-12-2013,26.75446,30.5,20.5,2.52891,27.5,25.1925,25.125,25.439,25.2945,25.2945,4.30612,42,GOOGL
11-13-2013,26.75446,30.5,20.5,2.52891,27.5,25.16875,25.1625,25.82125,25.81175,25.81175,4.30612,42,GOOGL
11-14-2013,26.75446,30.5,20.5,2.52891,27.5,25.848,25.75875,25.99375,25.88075,25.88075,4.30612,42,GOOGL
11-15-2013,26.75446,30.5,20.5,2.52891,27.5,25.87175,25.757775,25.95,25.839,25.839,4.30612,42,GOOGL
11-18-2013,26.75446,30.5,20.5,2.52891,27.5,25.89375,25.73106,26.2185,25.78875,25.78875,4.30612,42,GOOGL
11-19-2013,26.85268,30.5,20.5,2.56301,27.5,25.793,25.57625,25.86875,25.6301,25.6301,4.30612,42,GOOGL
11-20-2013,26.85268,30.5,20.5,2.56301,27.5,25.74875,25.509,25.834,25.55775,25.55775,4.30612,42,GOOGL
11-21-2013,26.85268,30.5,20.5,2.56301,27.5,25.675,25.65,25.95775,25.85175,25.85175,4.30612,42,GOOGL
11-22-2013,26.85268,30.5,20.5,2.56301,27.5,25.8355,25.730562,25.90425,25.79725,25.79725,4.30612,42,GOOGL
11-25-2013,27.06101,32.5,20.5,2.65627,27.5,25.929,25.875562,26.32975,26.14825,26.14825,4.30612,42,GOOGL
11-26-2013,27.06101,32.5,20.5,2.65627,27.5,26.215,26.073375,26.5375,26.46025,26.46025,4.30612,42,GOOGL
11-27-2013,27.06101,32.5,20.5,2.65627,27.5,26.55075,26.5,26.7,26.57775,26.57775,4.30612,42,GOOGL
11-29-2013,27.06101,32.5,20.5,2.65627,27.5,26.554,26.48625,26.6655,26.48975,26.48975,4.30612,42,GOOGL
