 Date,ORCL Price Target,ORCL Price Target - High,ORCL Price Target - Low,ORCL Price Target - StdDev,ORCL Price Target - Median,ORCL Open,ORCL Low,ORCL High,ORCL Close,ORCL Adj. Close,ORCL Rating,ORCL Price Target - #,Ticker
02-05-2013,37.55,44.0,30,2.90431,38.0,30.26607583979,30.20590471486,30.70446546428,35.48,30.498164464519995,4.0,40,ORCL
02-06-2013,37.55,44.0,30,2.90431,38.0,30.35203458969,30.09415833999,30.44658921458,35.1,30.1715212149,4.0,40,ORCL
02-07-2013,37.55,44.0,30,2.90431,38.0,30.210202652355,29.61278934055,30.24888408981,34.56,29.70734396544,4.0,40,ORCL
02-08-2013,37.55,44.0,30,2.90431,38.0,29.87926146524,29.6557687155,30.068370715019995,34.9,29.9996037151,4.0,40,ORCL
02-11-2013,37.55,44.0,30,2.90431,38.0,30.068370715019995,29.69874809045,30.11994596496,34.96,30.05117896504,4.0,40,ORCL
02-12-2013,37.55,44.0,30,2.90431,38.0,29.99100784011,29.95662434015,30.30045933975,35.11,30.18011708989,4.0,40,ORCL
02-13-2013,37.55,44.0,30,2.90431,38.0,30.26607583979,29.98241196512,30.30905521474,34.99,30.07696659001,4.0,40,ORCL
02-14-2013,37.55,44.0,30,2.90431,38.0,29.97381609013,29.81909034031,30.14573358993,34.9,29.9996037151,4.0,40,ORCL
02-15-2013,37.55,44.0,30,2.90431,38.0,29.9136449652,29.78470684035,30.07696659001,34.81,29.92224084019,4.0,40,ORCL
02-19-2013,37.55,44.0,30,2.90431,38.0,30.02539134007,29.93083671518,30.43799333959,35.4,30.4293974646,4.0,40,ORCL
02-20-2013,37.55,44.0,30,2.90431,38.0,30.5153562145,30.085562465,30.592719089410004,35.005,30.089860402495,4.0,40,ORCL
02-21-2013,37.55,44.0,30,2.90431,38.0,30.04258309005,29.37210484083,30.04258309005,34.28,29.46665946572,4.0,40,ORCL
02-22-2013,37.55,44.0,30,2.90431,38.0,29.66436459049,29.33772134087,29.89645321522,34.75,29.87066559025,4.0,40,ORCL
02-25-2013,37.55,44.0,30,2.90431,38.0,30.14573358993,29.458063590730003,30.45518508957,34.28,29.46665946572,4.0,40,ORCL
02-26-2013,37.55,44.0,30,2.90431,38.0,29.46665946572,29.29474196592,29.71593984043,34.32,29.50104296568,4.0,40,ORCL
02-27-2013,37.55,44.0,30,2.90431,38.0,29.44087184075,29.27755021594,30.055476902535,34.68,29.81049446532,4.0,40,ORCL
