 Date,PFE Price Target,PFE Price Target - High,PFE Price Target - Low,PFE Price Target - StdDev,PFE Price Target - Median,PFE Open,PFE Low,PFE High,PFE Close,PFE Adj. Close,PFE Rating,PFE Price Target - #,Ticker
02-05-2013,29.19737,32.75,25.0,2.42055,29.0,18.03290326296,18.02628325442,18.2712235704,27.51,18.21164349354,4.04167,19,PFE
02-06-2013,29.19737,32.75,25.0,2.42055,29.0,18.15206341668,18.06600330566,18.205023485,27.32,18.08586333128,4.04167,19,PFE
02-07-2013,29.1875,32.75,25.0,2.35965,29.0,18.09248333982,17.82768299822,18.11234336544,26.96,17.84754302384,4.0,20,PFE
02-08-2013,29.1875,32.75,25.0,2.35965,29.0,17.84754302384,17.735002878659998,17.89388308362,26.88,17.79458295552,4.0,20,PFE
02-11-2013,29.1875,32.75,25.0,2.35965,29.0,17.80120296406,17.80120296406,18.02628325442,27.14,17.96670317756,4.0,20,PFE
02-12-2013,29.1875,32.75,25.0,2.35965,29.0,17.96670317756,17.86740304946,17.993183211719998,26.99,17.86740304946,4.0,20,PFE
02-13-2013,29.2375,32.75,25.0,2.32308,29.0,17.88064306654,17.761482912819996,17.99980322026,27.0,17.874023058,4.0,20,PFE
02-14-2013,29.2375,32.75,25.0,2.32308,29.0,17.81444298114,17.74824289574,17.96670317756,27.06,17.91374310924,4.0,20,PFE
02-15-2013,29.2375,32.75,25.0,2.32308,29.0,17.9733231861,17.95346316048,18.15868342522,27.29,18.06600330566,4.0,20,PFE
02-19-2013,29.2375,32.75,25.0,2.32308,29.0,18.1388233996,18.12558338252,18.34404366434,27.71,18.34404366434,4.0,20,PFE
02-20-2013,29.35526,32.75,25.0,2.32452,29.0,18.3043236131,18.2381235277,18.3705236985,27.57,18.25136354478,4.0,19,PFE
02-21-2013,29.35526,32.75,25.0,2.32452,29.0,18.14544340814,18.02628325442,18.23150351916,27.41,18.14544340814,4.0,19,PFE
02-22-2013,29.46053,32.75,25.0,2.35118,30.0,18.19178346792,17.96008316902,18.205023485,27.38,18.12558338252,4.0,19,PFE
02-25-2013,29.46053,32.75,25.0,2.35118,30.0,18.01304323734,17.76810292136,18.1057233569,26.84,17.76810292136,4.0,19,PFE
02-26-2013,29.46053,32.75,25.0,2.35118,30.0,17.80120296406,17.75486290428,17.9402231434,27.03,17.89388308362,4.0,19,PFE
02-27-2013,29.46053,32.75,25.0,2.35118,30.0,17.82768299822,17.82106298968,18.23150351916,27.41,18.14544340814,4.0,19,PFE
02-28-2013,29.46053,32.75,25.0,2.35118,30.0,18.11896337398,18.11234336544,18.297041603706,27.37,18.11896337398,4.0,19,PFE
03-01-2013,29.46053,32.75,25.0,2.35118,30.0,17.993183211719998,17.9733231861,18.1719234423,27.39,18.13220339106,4.0,19,PFE
03-04-2013,29.51316,32.75,25.0,2.35147,30.0,18.07924332274,18.04614328004,18.3374236558,27.69,18.33080364726,4.0,19,PFE
03-05-2013,29.51316,32.75,25.0,2.35147,30.0,18.38376371558,18.38376371558,18.6684240828,28.07,18.58236397178,4.0,19,PFE
03-06-2013,29.51316,32.75,25.0,2.35147,30.0,18.6022239974,18.48968385222,18.67504409134,28.12,18.61546401448,4.0,19,PFE
03-07-2013,29.72368,32.75,25.0,2.29544,31.0,18.65518406572,18.61546401448,18.78758423652,28.27,18.71476414258,4.0,19,PFE
03-08-2013,29.72368,32.75,25.0,2.29544,31.0,18.75448419382,18.56250394616,18.77434421944,28.19,18.66180407426,4.0,19,PFE
03-11-2013,29.72368,32.75,25.0,2.29544,31.0,18.64194404864,18.6022239974,18.74124417674,28.25,18.7015241255,4.0,19,PFE
03-12-2013,29.72368,32.75,25.0,2.29544,31.0,18.68828410842,18.45658380952,18.68828410842,27.94,18.49630386076,4.0,19,PFE
