 Date,V Price Target,V Price Target - High,V Price Target - Low,V Price Target - StdDev,V Price Target - Median,V Open,V Low,V High,V Close,V Adj. Close,V Rating,V Price Target - #,Ticker
02-05-2013,41.26562,47.5,30.75,4.14999,42.375,36.7491173867655,36.55793431192,37.21075456749,39.8825,37.19443406110075,4.08333,32,V
02-06-2013,41.34375,47.5,30.75,4.24207,42.375,37.1221575328055,36.9822674780405,37.509186684322,40.205,37.4951976788455,4.05556,32,V
02-07-2013,42.82031,48.75,30.75,4.40491,43.875,37.066201510899496,36.595238326524,37.25505308483225,39.265,36.6185533356515,4.0,32,V
02-08-2013,42.82031,48.75,30.75,4.40491,43.875,36.697824366685,36.627879339302496,37.0568755072485,39.45,36.791084403195,4.0,32,V
02-11-2013,42.82031,48.75,30.75,4.40491,43.875,36.7397913831145,36.3574252334235,36.877349936966745,39.0825,36.44835376902076,4.0,32,V
02-12-2013,42.82031,48.75,30.75,4.40491,43.875,36.567260315571,36.469337277235496,36.7677693940675,39.2,36.55793431192,4.0,32,V
02-13-2013,42.82031,48.75,30.75,4.40491,43.875,36.55326147566625,36.013548890119495,36.77288477887575,38.6925,36.16074323163225,4.0,32,V
02-14-2013,42.82031,48.75,30.75,4.40491,43.875,36.121024123605,36.0509315800275,36.59998983805125,38.995,36.443449824061496,4.0,32,V
02-15-2013,42.82031,48.75,30.75,4.40491,43.875,36.52989729447375,36.3873757891995,36.934097629104,39.4975,36.91306986603075,4.0,32,V
02-19-2013,42.82031,48.75,30.75,4.40491,43.875,36.91774270226925,36.6023262561705,37.099983315570746,39.4025,36.82428597749925,4.0,32,V
02-20-2013,42.82031,48.75,30.75,4.40491,43.875,36.709801489656,36.25887279264075,36.82428597749925,38.855,36.312610409383495,4.0,32,V
02-21-2013,43.07812,48.75,32.5,3.90384,43.875,36.242517865806,36.16541606787075,36.98316240960825,39.36,36.784566869472,4.05556,32,V
02-22-2013,43.11719,48.75,32.5,3.92905,43.875,36.985498827727504,36.60933551052825,37.28456034699151,39.8575,37.249514075202754,4.11111,32,V
02-25-2013,43.11719,48.75,32.5,3.92905,43.875,37.19577645846,36.42242206098825,37.46446454217375,38.9725,36.42242206098825,4.11111,32,V
02-26-2013,43.11719,48.75,32.5,3.92905,43.875,36.45045907841925,36.45045907841925,37.05325495318575,39.4575,36.87568717612275,4.11111,32,V
02-27-2013,43.11719,48.75,32.5,3.92905,43.875,36.78690328759125,36.7518570158025,37.4060540891925,39.9675,37.35231647244975,4.11111,32,V
02-28-2013,43.11719,48.75,32.5,3.92905,43.875,37.4621281240545,36.98783524584675,37.4621281240545,39.66,37.064937043782,4.11111,32,V
03-01-2013,43.11719,48.75,32.5,3.92905,43.875,36.89905135731525,36.59998983805125,37.116338242405504,39.52,36.934097629104,4.05556,32,V
03-04-2013,43.11719,48.75,32.5,3.92905,43.875,36.859332249288,36.81026746878375,37.2752146745145,39.875,37.2658690020375,4.05556,32,V
03-05-2013,43.11719,48.75,32.5,3.92905,43.875,37.40371767107325,37.3499800543305,37.7985723332265,40.0725,37.45044603345825,4.05556,32,V
03-06-2013,43.11719,48.75,32.5,3.92905,43.875,37.58362186625551,37.429418270385,37.779880988272495,40.265,37.6303502286405,4.05556,32,V
03-07-2013,43.11719,48.75,32.5,3.92905,43.875,37.58595828437475,37.30091527382625,37.79854896904531,40.1275,37.50184723208175,4.05556,32,V
03-08-2013,43.11719,48.75,32.5,3.92905,43.875,37.6957699359795,37.35698930868825,37.709788444695,40.1675,37.539229921989744,4.05556,32,V
03-11-2013,43.11719,48.75,32.5,3.92905,43.875,37.70277919033725,37.478483050889245,37.75651680708,40.295,37.6583872460715,4.05556,32,V
03-12-2013,43.11719,48.75,32.5,3.92905,43.875,37.541566340109,37.15605735043275,37.60932246556725,39.95,37.335961545615,4.05556,32,V
03-13-2013,43.11719,48.75,32.5,3.92905,43.875,37.2658690020375,37.11400182428625,37.47614663277,39.8425,37.23549556648725,4.05556,32,V
03-14-2013,43.11719,48.75,32.5,3.92905,43.875,37.242504820845,37.2191406396525,37.63268664675975,40.165,37.5368935038705,4.05556,32,V
03-15-2013,43.06818,48.75,32.5,3.87898,43.75,37.38969916235775,37.03923644447025,37.53198702582008,39.6375,37.04390928070875,4.02703,33,V
03-18-2013,43.07031,48.75,32.5,3.9391,43.875,36.747184179564,36.54157938507,37.19110362222151,39.5175,36.931761210984746,4.02703,32,V
