 Date,WBA Price Target,WBA Price Target - High,WBA Price Target - Low,WBA Price Target - StdDev,WBA Price Target - Median,WBA Open,WBA Low,WBA High,WBA Close,WBA Adj. Close,WBA Rating,WBA Price Target - #,Ticker
02-05-2013,41.05,50.0,26,6.01228,41.5,30.554079059208004,30.516245875628,31.480992056918,41.33,31.272909547228,3.52,20,WBA
02-06-2013,41.05,50.0,26,6.01228,41.5,31.106443539476,30.894577711428,31.356142551104,41.44,31.356142551104,3.52,20,WBA
02-07-2013,41.05,50.0,26,6.01228,41.5,31.303176094092,31.0232105356,31.416675644832004,41.31,31.257776273796004,3.52,20,WBA
02-08-2013,41.05,50.0,26,6.01228,41.5,31.204809816784003,31.144276723056,31.462075465128,41.4,31.32587600424,3.52,20,WBA
02-11-2013,41.35,50.0,26,6.19899,41.5,31.363709187820003,31.144276723056,31.598274926016,41.48,31.386409097968,3.52,20,WBA
02-12-2013,41.7,50.0,26,6.2538,42.5,31.711774476756,31.46964210184401,31.742041023620004,41.95,31.742041023620004,3.6,20,WBA
02-13-2013,41.7,50.0,26,6.2538,42.5,31.68491677728,31.205073085701,31.68491677728,41.48,31.593517978884,3.6,20,WBA
02-14-2013,41.7,50.0,26,6.2538,42.5,31.4526114980235,31.2012648024345,31.9895794386,41.86,31.882947507138,3.6,20,WBA
02-15-2013,41.9,50.0,26,6.1636,42.5,31.928646906336,31.235539351833,31.966729739001,41.15,31.342171283295,3.6,20,WBA
02-19-2013,42.25,50.0,26,6.29186,45.0,31.464036347823,31.464036347823,31.76108244261,41.7,31.76108244261,3.6,20,WBA
02-20-2013,42.6,53.0,26,6.67383,45.0,31.783932142209,31.68491677728,31.981962872067,41.6,31.68491677728,3.6,20,WBA
02-21-2013,42.6,53.0,26,6.67383,45.0,31.585901412351,31.502119180488,31.791548708742003,41.62,31.700149910346,3.6,20,WBA
02-22-2013,42.6,53.0,26,6.67383,45.0,31.738232743011,31.570668279285,31.890564073671,41.81,31.844864674473,3.6,20,WBA
02-25-2013,42.6,53.0,26,6.67383,45.0,31.890564073671,30.930876690513,31.981962872067,40.64,30.953726390112,3.6,20,WBA
02-26-2013,42.6,53.0,26,6.67383,45.0,31.045125188508,30.778545359853,31.220306218767,40.8,31.07559145464,3.6,20,WBA
02-27-2013,42.6,53.0,26,6.67383,45.0,31.014658922376,30.976576089711,31.4297617984245,41.17,31.357404416361,3.6,20,WBA
02-28-2013,42.6,53.0,26,6.67383,45.0,31.243155918366003,30.976576089711,31.403103815559,40.94,31.182223386102,3.6,20,WBA
03-01-2013,42.36842,53.0,26,6.76843,45.0,31.128907420371,30.938493257046,31.486886047422,41.32,31.471652914356,3.54167,19,WBA
