 Date,AVGO Price Target,AVGO Price Target - High,AVGO Price Target - Low,AVGO Price Target - StdDev,AVGO Price Target - Median,AVGO Open,AVGO Low,AVGO High,AVGO Close,AVGO Adj. Close,AVGO Rating,AVGO Price Target - #,Ticker
02-05-2013,40.8,45,32,2.94279,41.0,27.074756200824,27.059320193868,27.452938371246,35.41,27.329450315597995,4.3,20,AVGO
02-06-2013,40.8,45,32,2.94279,41.0,27.190526252994,27.0855614056932,27.622734447762,35.64,27.506964395592,4.3,20,AVGO
02-07-2013,40.8,45,32,2.94279,41.0,27.506964395592,26.654125011272995,27.506964395592,34.96,26.982140159088,4.3,20,AVGO
02-08-2013,40.8,45,32,2.94279,41.0,27.229116270384,27.05160219039,27.422066357334,35.32,27.259988284296,4.3,20,AVGO
02-11-2013,40.8,45,32,2.94279,41.0,27.306296305164,27.013012173,27.545554412982,35.4,27.32173231212,4.3,20,AVGO
02-12-2013,40.8,45,32,2.94279,41.0,27.16737224256,26.843216096484,27.28314229473,35.14,27.121064221692,4.3,20,AVGO
02-13-2013,40.8,45,32,2.94279,41.0,27.290860298208,26.928114134742,27.391194343422,35.17,27.144218232126,4.3,20,AVGO
02-14-2013,40.8,45,32,2.94279,41.0,27.082474204302,27.005294169522,27.530118406026,35.64,27.506964395592,4.3,20,AVGO
02-15-2013,40.8,45,32,2.94279,41.0,27.460656374724,26.997576166043995,27.615016444284,35.14,27.121064221692,4.3,20,AVGO
02-19-2013,40.8,45,32,2.94279,41.0,27.013012173,26.85865210344,27.43750236429,35.545,27.433643362551,4.3,20,AVGO
02-20-2013,40.8,45,32,2.94279,41.0,27.383476339944,26.758318058226,27.576426426893995,34.67,26.758318058226,4.3,20,AVGO
02-21-2013,40.8,45,32,2.94279,41.0,26.603957988666,25.438539463488,26.762177059965,33.67,25.986517710426,4.3,20,AVGO
02-22-2013,40.8,45,32,2.94279,41.0,26.218057814766,26.017389724338,26.603957988666,34.09,26.310673856502,4.3,20,AVGO
02-25-2013,40.8,45,32,2.94279,41.0,26.341545870414,25.423103456532,26.414866903455,32.95,25.43082146001,4.3,20,AVGO
02-26-2013,40.8,45,32,2.94279,41.0,25.569745522614,25.206999359148,25.77813161652,33.13,25.569745522614,4.3,20,AVGO
02-27-2013,40.8,45,32,3.00998,41.5,26.08685175564,25.955645696514,26.526777953886,33.69,26.001953717382,4.3,20,AVGO
02-28-2013,40.8,45,32,3.00998,41.5,26.001953717382,25.724105592174,26.480469933018,34.22,26.411007901716,4.3,20,AVGO
03-01-2013,40.8,45,32,3.00998,41.5,26.179467797376,25.6708513681758,26.310673856502,33.7,26.00967172086,4.3,20,AVGO
