 Date,MSFT Price Target,MSFT Price Target - High,MSFT Price Target - Low,MSFT Price Target - StdDev,MSFT Price Target - Median,MSFT Open,MSFT Low,MSFT High,MSFT Close,MSFT Adj. Close,MSFT Rating,MSFT Price Target - #,Ticker
02-05-2013,33.05588,40.0,28.0,3.13192,33.0,22.774672812180004,22.56028414704,22.80765568374,27.495,22.671601338555003,3.825,34,MSFT
02-06-2013,33.05588,40.0,28.0,3.13192,33.0,22.57677558282,22.46958125025,22.70870706906,27.34,22.54379271126,3.825,34,MSFT
02-07-2013,33.05588,40.0,28.0,3.13192,33.0,22.55203842915,22.3458954819,22.58502130071,27.283,22.496792119287,3.825,34,MSFT
02-08-2013,33.05588,40.0,28.0,3.13192,33.0,22.55203842915,22.51905555759,22.84888427319,27.55,22.716952786950003,3.825,34,MSFT
02-11-2013,33.05588,40.0,28.0,3.13192,33.0,22.79940996585,22.675724197500003,23.02204434888,27.86,22.972570041540003,3.825,34,MSFT
02-12-2013,33.05588,40.0,28.0,3.13192,33.0,22.98906147732,22.88186714475,23.088010092,27.88,22.98906147732,3.825,34,MSFT
02-13-2013,33.05588,40.0,28.0,3.13192,33.0,23.03029006677,22.98906147732,23.17871298879,28.03,23.112747245670004,3.825,34,MSFT
02-14-2013,33.05588,40.0,28.0,3.13192,33.0,23.02204434888,22.98081575943,23.13748439934,28.04,23.12099296356,3.825,34,MSFT
02-15-2013,33.05588,40.0,28.0,3.13192,33.0,23.12099296356,22.984938618375,23.21994157824,28.01,23.096255809890003,3.825,34,MSFT
02-19-2013,33.05588,40.0,28.0,3.13192,33.0,23.179395680724,23.112883784940003,23.353989407157,28.045,23.316576465778503,3.825,34,MSFT
02-20-2013,33.05588,40.0,28.0,3.13192,33.0,23.387245355049,23.137825745859,23.44544326386,27.87,23.171081693751,3.825,34,MSFT
02-21-2013,32.90882,38.0,28.0,2.91208,33.0,23.062999863102,22.638986527479,23.062999863102,27.49,22.855150188777,3.8,34,MSFT
02-22-2013,32.90882,38.0,28.0,2.91208,33.0,23.013115941264,22.846836201804003,23.079627837048,27.76,23.079627837048,3.8,34,MSFT
02-25-2013,32.90882,38.0,28.0,2.91208,33.0,23.254221563481,22.755382345101,23.320733459265004,27.37,22.755382345101,3.8,34,MSFT
02-26-2013,32.90882,38.0,28.0,2.91208,33.0,22.763696332074,22.730440384182,22.94660404548,27.37,22.755382345101,3.8,34,MSFT
02-27-2013,32.90882,38.0,28.0,2.91208,33.0,22.796952279966003,22.722126397209,23.2791635244,27.81,23.121197771913,3.8,34,MSFT
02-28-2013,32.90882,38.0,28.0,2.91208,33.0,23.179395680724,23.062999863102,23.254221563481,27.8,23.112883784940003,3.8,34,MSFT
03-01-2013,32.85429,38.0,28.0,2.88774,33.0,23.046371889156,22.880092149696,23.262535550454,27.95,23.237593589535,3.80488,35,MSFT
03-04-2013,32.85429,38.0,28.0,2.88774,33.0,23.154453719805,23.02974391521,23.403873328995,28.15,23.403873328995,3.80488,35,MSFT
03-05-2013,32.91143,38.0,28.0,2.83012,33.0,23.520269146617,23.412187315968,23.728118820942,28.35,23.570153068455003,3.87805,35,MSFT
03-06-2013,32.91143,38.0,28.0,2.83012,33.0,23.453757250833004,23.096255810994,23.470385224779,28.09,23.353989407157,3.87805,35,MSFT
03-07-2013,33.02647,38.0,28.0,2.78961,33.0,23.370617381103,23.2833205178865,23.511955159644003,28.14,23.395559342022,3.9,34,MSFT
03-08-2013,33.02647,38.0,28.0,2.78961,33.0,23.487013198725,23.245907576508003,23.553525094509,28.0,23.2791635244,3.9,34,MSFT
03-11-2013,32.99706,38.0,27.0,2.84713,33.0,23.229279602562,23.004801954291004,23.254221563481,27.87,23.171081693751,3.9,34,MSFT
03-12-2013,32.87576,38.0,27.0,2.80206,33.0,23.146139732832,22.979859993372003,23.237593589535,27.91,23.204337641643,3.9,33,MSFT
03-13-2013,32.87576,38.0,27.0,2.80206,33.0,23.171081693751,23.071313850075,23.295791498346,27.915,23.2084946351295,3.9,33,MSFT
03-14-2013,32.87576,38.0,27.0,2.80206,33.0,23.2791635244,23.220965615589,23.412187315968,28.135,23.391402348535504,3.9,33,MSFT
03-15-2013,32.87576,38.0,27.0,2.80206,33.0,23.304105485319003,23.262535550454,23.412187315968,28.035,23.308262478805503,3.9,33,MSFT
03-18-2013,32.87576,38.0,27.0,2.80206,33.0,23.179395680724,23.121197771913,23.511955159644003,28.1,23.36230339413,3.9,33,MSFT
03-19-2013,32.87576,38.0,27.0,2.80206,33.0,23.378931368076003,23.304105485319003,23.462071237806,28.18,23.428815289914,3.9,33,MSFT
03-20-2013,32.87576,38.0,27.0,2.80206,33.0,23.561839081482,23.428815289914,23.686548886077,28.315,23.5410541140495,3.9,33,MSFT
03-21-2013,32.87576,38.0,27.0,2.80206,33.0,23.370617381103,23.320733459265004,23.578467055428,28.11,23.370617381103,3.9,33,MSFT
03-22-2013,32.87576,38.0,27.0,2.80206,33.0,23.437129276887003,23.36230339413,23.56009314421767,28.25,23.487013198725,3.9,33,MSFT
03-25-2013,32.87576,38.0,27.0,2.80206,33.0,23.52858313359,23.245907576508003,23.570153068455003,28.16,23.412187315968,3.9,33,MSFT
