 Date,ABT Price Target,ABT Price Target - High,ABT Price Target - Low,ABT Price Target - StdDev,ABT Price Target - Median,ABT Open,ABT Low,ABT High,ABT Close,ABT Adj. Close,ABT Rating,ABT Price Target - #,Ticker
02-05-2013,34.96294,40,29.0,2.87491,35.0,27.859536723392,27.83472122156,28.11604629399544,33.84,27.991886066496004,3.46154,17,ABT
02-06-2013,34.96294,40,29.0,2.87491,35.0,27.851264889448,27.851264889448,28.322759424256,34.1,28.20695374904,3.46154,17,ABT
02-07-2013,35.085,40,29.0,2.92034,35.0,28.322759424256,28.149050911432,28.446836933416,34.39,28.446836933416,3.48,16,ABT
02-08-2013,35.085,40,29.0,2.92034,35.0,28.446836933416,28.364118593976,28.670176449904,34.41,28.463380601304,3.48,16,ABT
02-11-2013,35.085,40,29.0,2.92034,35.0,28.471652435248,28.322759424256,28.529555272856,34.26,28.339303092144,3.48,16,ABT
02-12-2013,35.085,40,29.0,2.92034,35.0,28.347574926088,28.297943922424,28.5378271068,34.3,28.37239042792,3.48,16,ABT
02-13-2013,35.37412,40,29.0,3.06009,35.0,28.364118593976,28.3310312582,28.604001778352,34.46,28.504739771024,3.53846,17,ABT
02-14-2013,35.37412,40,29.0,3.06009,35.0,28.355846760032,28.355846760032,28.7446229554,34.7,28.70326378568,3.53846,17,ABT
02-15-2013,35.37412,40,29.0,3.06009,35.0,28.819069460896003,28.76530254026,29.03413714344,35.08,29.017593475552,3.53846,17,ABT
02-19-2013,35.37412,40,29.0,3.06009,35.0,29.100311814992,28.7446229554,29.191301988376,34.82,28.802525793008,3.53846,17,ABT
02-20-2013,35.37412,40,29.0,3.06009,35.0,28.70326378568,28.546098940744,28.843884962728,34.52,28.554370774688003,3.53846,17,ABT
02-21-2013,35.37412,40,29.0,3.06009,35.0,28.513011604968,28.235905167844,28.529555272856,34.26,28.339303092144,3.53846,17,ABT
02-22-2013,35.37412,40,29.0,3.06009,35.0,28.273128420592,28.132507243544,28.57918627652,34.55,28.57918627652,3.53846,17,ABT
02-25-2013,35.37412,40,29.0,3.06009,35.0,28.62054544624,28.3310312582,28.819069460896003,34.27,28.347574926088,3.53846,17,ABT
02-26-2013,35.37412,40,29.0,3.06009,35.0,28.430293265528,28.074604405936,28.488196103136,34.06,28.173866413264,3.53846,17,ABT
02-27-2013,35.37412,40,29.0,3.06009,35.0,28.16559457932,28.00015790044,28.49646793708,34.26,28.339303092144,3.53846,17,ABT
02-28-2013,35.37412,40,29.0,3.06009,35.0,28.380662261864003,27.950526896776,28.422021431584,33.79,27.950526896776,3.53846,17,ABT
03-01-2013,35.37412,40,29.0,3.06009,35.0,27.867808557336,27.75200288212,28.049788904104,33.6,27.793362051840003,3.53846,17,ABT
03-04-2013,35.37412,40,29.0,3.06009,35.0,27.718915546344,27.62792537296,28.397205929752,34.31,28.380662261864003,3.53846,17,ABT
03-05-2013,35.37412,40,29.0,3.06009,35.0,28.438565099472,28.430293265528,28.70326378568,34.67,28.678448283848,3.53846,17,ABT
03-06-2013,35.37412,40,29.0,3.06009,35.0,28.678448283848,28.24831291876,28.70326378568,34.27,28.347574926088,3.53846,17,ABT
03-07-2013,35.37412,40,29.0,3.06009,35.0,28.37239042792,28.256584752704,28.570914442576,34.43,28.479924269192,3.56,17,ABT
03-08-2013,35.37412,40,29.0,3.06009,35.0,28.5378271068,28.413749597640003,28.686720117792,34.68,28.686720117792,3.56,17,ABT
03-11-2013,35.37412,40,29.0,3.06009,35.0,28.612273612296004,28.550234857716,28.910059634280003,34.93,28.893515966392,3.56,17,ABT
03-12-2013,35.37412,40,29.0,3.06009,35.0,28.810797626952,28.78598212512,28.951418804,34.98,28.934875136112,3.56,17,ABT
03-13-2013,35.37412,40,29.0,3.06009,35.0,28.860428630616,28.711535619624,28.976234305832,35.01,28.959690637944,3.56,17,ABT
03-14-2013,35.37412,40,29.0,3.06009,35.0,28.976234305832,28.893515966392,29.067224479216,35.14,29.067224479216,3.56,17,ABT
03-15-2013,35.37412,40,29.0,3.06009,35.0,28.885244132448,28.231769250872,29.025865309496,34.14,28.240041084816,3.56,17,ABT
03-18-2013,35.37412,40,29.0,3.06009,35.0,28.074604405936,27.661012708736,28.132507243544,33.46,27.677556376624,3.56,17,ABT
03-19-2013,35.37412,40,29.0,3.06009,35.0,27.723051463316,27.520391531688,27.909167727056,33.54,27.743731048176,3.56,17,ABT
03-20-2013,35.37412,40,29.0,3.06009,35.0,27.842993055504,27.7106437124,27.975342398608,33.81,27.967070564664,3.56,17,ABT
03-21-2013,35.37412,40,29.0,3.06009,35.0,27.942255062832,27.561750701408,27.975342398608,33.48,27.694100044512,3.56,17,ABT
03-22-2013,35.37412,40,29.0,3.06009,35.0,27.7106437124,27.570022535352,27.867808557336,33.69,27.867808557336,3.56,17,ABT
03-25-2013,35.37412,40,29.0,3.06009,35.0,27.925711394944,27.768546550008,28.190410081152,33.8,27.95879873072,3.56,17,ABT
03-26-2013,35.37412,40,29.0,3.06009,35.0,28.00015790044,28.00015790044,28.413749597640003,34.35,28.413749597640003,3.56,17,ABT
03-27-2013,35.37412,40,29.0,3.06009,35.0,28.231769250872,28.173866413264,28.653632782016,34.61,28.628817280184,3.56,17,ABT
03-28-2013,35.37412,40,29.0,3.06009,35.0,28.62054544624,28.562642608632,29.232661158096004,35.32,29.216117490208,3.56,17,ABT
