 Date,BRKB Price Target,BRKB Price Target - High,BRKB Price Target - Low,BRKB Price Target - StdDev,BRKB Price Target - Median,BRKB Open,BRKB Low,BRKB High,BRKB Close,BRKB Adj. Close,BRKB Rating,BRKB Price Target - #,Ticker
02-05-2013,158500.0,175000,143000,13083.06794,157500,97.17,97.0,98.04,97.91,97.91,3.75,3,BRKB
02-06-2013,158500.0,175000,143000,13083.06794,157500,97.35,97.26,97.89,97.83,97.83,3.75,3,BRKB
02-07-2013,158500.0,175000,143000,13083.06794,157500,97.8,97.01,97.97,97.11,97.11,3.75,3,BRKB
02-08-2013,158500.0,175000,143000,13083.06794,157500,97.25,96.7301,97.33,97.25,97.25,3.75,3,BRKB
02-11-2013,158500.0,175000,143000,13083.06794,157500,97.46,97.04,97.5,97.13,97.13,3.75,3,BRKB
02-12-2013,158500.0,175000,143000,13083.06794,157500,97.07,97.01,97.99,97.7,97.7,3.75,3,BRKB
02-13-2013,158500.0,175000,143000,13083.06794,157500,97.72,97.591,98.2,97.97,97.97,3.75,3,BRKB
02-14-2013,163500.0,175000,157500,8134.28956,158000,97.84,97.84,99.31,99.21,99.21,3.5,3,BRKB
02-15-2013,163500.0,175000,157500,8134.28956,158000,99.64,99.23,99.79,99.77,99.77,3.66667,3,BRKB
02-19-2013,163500.0,175000,157500,8134.28956,158000,99.98,99.7,101.08,101.02,101.02,3.66667,3,BRKB
02-20-2013,163500.0,175000,157500,8134.28956,158000,101.14,100.02,101.49,100.22,100.22,3.66667,3,BRKB
02-21-2013,163500.0,175000,157500,8134.28956,158000,100.09,99.67,100.55,100.17,100.17,3.66667,3,BRKB
02-22-2013,163500.0,175000,157500,8134.28956,158000,100.5,100.22,101.27,101.21,101.21,3.66667,3,BRKB
02-25-2013,163500.0,175000,157500,8134.28956,158000,101.74,98.44,102.0,98.58,98.58,3.66667,3,BRKB
02-26-2013,163500.0,175000,157500,8134.28956,158000,99.05,98.25,101.0,98.72,98.72,3.66667,3,BRKB
02-27-2013,163500.0,175000,157500,8134.28956,158000,98.58,98.58,101.27,101.21,101.21,3.66667,3,BRKB
02-28-2013,163500.0,175000,157500,8134.28956,158000,101.44,101.31,102.33,102.16,102.16,3.66667,3,BRKB
03-01-2013,163500.0,175000,157500,8134.28956,158000,101.45,100.44,102.255,102.05,102.05,3.66667,3,BRKB
03-04-2013,168166.66667,178500,151000,12222.47474,175000,101.66,100.5,101.98,101.95,101.95,3.66667,3,BRKB
03-05-2013,168166.66667,178500,151000,12222.47474,175000,102.48,102.33,103.48,102.66,102.66,3.66667,3,BRKB
03-06-2013,168166.66667,178500,151000,12222.47474,175000,103.29,102.76,103.56,103.24,103.24,3.66667,3,BRKB
03-07-2013,168166.66667,178500,151000,12222.47474,175000,103.25,103.03,103.58,103.41,103.41,3.66667,3,BRKB
03-08-2013,168166.66667,178500,151000,12222.47474,175000,103.98,103.1,104.0,103.63,103.63,3.66667,3,BRKB
03-11-2013,168166.66667,178500,151000,12222.47474,175000,103.77,103.41,104.15,104.07,104.07,3.66667,3,BRKB
03-12-2013,168166.66667,178500,151000,12222.47474,175000,104.09,102.12,104.19,103.01,103.01,3.66667,3,BRKB
03-13-2013,168166.66667,178500,151000,12222.47474,175000,103.06,102.97,103.7,103.65,103.65,3.66667,3,BRKB
03-14-2013,168166.66667,178500,151000,12222.47474,175000,103.81,103.59,104.25,103.99,103.99,3.66667,3,BRKB
03-15-2013,168166.66667,178500,151000,12222.47474,175000,103.67,102.79,103.79,102.79,102.79,3.66667,3,BRKB
03-18-2013,168166.66667,178500,151000,12222.47474,175000,102.11,101.91,102.85,102.12,102.12,3.66667,3,BRKB
03-19-2013,168166.66667,178500,151000,12222.47474,175000,102.37,101.3,102.74,101.77,101.77,3.66667,3,BRKB
03-20-2013,168166.66667,178500,151000,12222.47474,175000,102.18,101.87,102.57,102.34,102.34,3.66667,3,BRKB
03-21-2013,168166.66667,178500,151000,12222.47474,175000,101.94,101.73,102.57,101.96,101.96,3.66667,3,BRKB
03-22-2013,168166.66667,178500,151000,12222.47474,175000,101.99,101.95,102.7,102.57,102.57,3.66667,3,BRKB
03-25-2013,168166.66667,178500,151000,12222.47474,175000,103.0,101.92,103.27,102.4,102.4,3.66667,3,BRKB
03-26-2013,168166.66667,178500,151000,12222.47474,175000,102.89,102.46,103.84,103.82,103.82,3.66667,3,BRKB
03-27-2013,168166.66667,178500,151000,12222.47474,175000,103.21,102.64,103.45,103.16,103.16,3.66667,3,BRKB
03-28-2013,168166.66667,178500,151000,12222.47474,175000,103.32,102.97,104.48,104.2,104.2,3.66667,3,BRKB
04-01-2013,168166.66667,178500,151000,12222.47474,175000,104.17,103.17,104.46,103.47,103.47,3.66667,3,BRKB
04-02-2013,168166.66667,178500,151000,12222.47474,175000,103.96,103.8,105.5,105.14,105.14,3.66667,3,BRKB
04-03-2013,168166.66667,178500,151000,12222.47474,175000,105.53,104.05,105.53,104.24,104.24,3.66667,3,BRKB
04-04-2013,168166.66667,178500,151000,12222.47474,175000,104.66,104.36,105.56,105.13,105.13,3.66667,3,BRKB
04-05-2013,168166.66667,178500,151000,12222.47474,175000,103.91,103.34,104.39,104.15,104.15,3.66667,3,BRKB
04-08-2013,168166.66667,178500,151000,12222.47474,175000,104.54,103.62,105.29,105.26,105.26,3.66667,3,BRKB
04-09-2013,168166.66667,178500,151000,12222.47474,175000,105.38,104.78,105.47,105.12,105.12,3.66667,3,BRKB
04-10-2013,168166.66667,178500,151000,12222.47474,175000,105.27,104.91,106.37,106.33,106.33,3.66667,3,BRKB
04-11-2013,168166.66667,178500,151000,12222.47474,175000,106.38,106.02,106.98,106.73,106.73,3.66667,3,BRKB
04-12-2013,168166.66667,178500,151000,12222.47474,175000,106.5,106.3,107.05,107.04,107.04,3.66667,3,BRKB
04-15-2013,168166.66667,178500,151000,12222.47474,175000,106.84,104.27,107.43,104.52,104.52,3.66667,3,BRKB
04-16-2013,168166.66667,178500,151000,12222.47474,175000,105.29,105.15,107.49,107.16,107.16,3.66667,3,BRKB
04-17-2013,168166.66667,178500,151000,12222.47474,175000,106.42,104.3,106.69,105.17,105.17,3.66667,3,BRKB
04-18-2013,168166.66667,178500,151000,12222.47474,175000,105.02,102.69,105.23,103.0,103.0,3.66667,3,BRKB
04-19-2013,168166.66667,178500,151000,12222.47474,175000,103.46,103.09,105.46,105.28,105.28,3.66667,3,BRKB
04-22-2013,168166.66667,178500,151000,12222.47474,175000,105.52,104.131,105.72,105.02,105.02,3.66667,3,BRKB
04-23-2013,168166.66667,178500,151000,12222.47474,175000,105.42,105.3,106.71,106.68,106.68,3.66667,3,BRKB
04-24-2013,168166.66667,178500,151000,12222.47474,175000,106.72,106.36,107.0,106.75,106.75,3.66667,3,BRKB
