 Date,CVX Price Target,CVX Price Target - High,CVX Price Target - Low,CVX Price Target - StdDev,CVX Price Target - Median,CVX Open,CVX Low,CVX High,CVX Close,CVX Adj. Close,CVX Rating,CVX Price Target - #,Ticker
02-05-2013,126.09524,140.0,118.0,5.89515,125.0,76.537764969984,76.385668150016,76.96092477475585,115.81,76.584055306496,4.04167,21,CVX
02-06-2013,126.09524,140.0,118.0,5.89515,125.0,76.33276490828801,75.94921640576,76.65679726387201,115.91,76.650184358656,4.04167,21,CVX
02-07-2013,126.09524,140.0,118.0,5.89515,125.0,76.703087600384,75.605345334528,76.7097005056,115.02,76.061635794432,4.04167,21,CVX
02-08-2013,126.09524,140.0,118.0,5.89515,125.0,76.002119647488,75.98228093184001,76.564216590848,115.64,76.471635917824,4.04167,21,CVX
02-11-2013,126.19048,140.0,120.0,5.77861,125.0,76.49808753868801,76.055022889216,76.603894022144,115.64,76.471635917824,4.04167,21,CVX
02-12-2013,126.19048,140.0,120.0,5.77861,125.0,76.524539159552,76.385668150016,77.261878091136,116.5,77.04034576640001,4.04167,21,CVX
02-13-2013,126.19048,140.0,120.0,5.77861,125.0,76.927051138196,76.5831686259608,77.200291118848,115.53,76.993695035916,4.04167,21,CVX
02-14-2013,126.19048,140.0,120.0,5.77861,125.0,76.747112614352,76.683800911518,77.480195489272,115.71,77.11365405181199,4.04167,21,CVX
02-15-2013,126.19048,140.0,120.0,5.77861,125.0,76.9737018666,75.994036570116,77.10698966204001,114.96,76.613824818912,4.04167,21,CVX
02-19-2013,126.19048,140.0,120.0,5.77861,125.0,76.767105783668,76.767105783668,77.480195489272,115.92,77.253606237024,4.04167,21,CVX
02-20-2013,126.19048,140.0,120.0,5.77861,125.0,77.260270626796,76.533852141648,77.37356525292,114.99,76.633817988228,4.04167,21,CVX
02-21-2013,126.19048,140.0,120.0,5.77861,125.0,76.500530192788,76.034022908748,76.84041407116,114.99,76.633817988228,4.04167,21,CVX
02-22-2013,126.63636,140.0,120.0,6.00413,125.0,76.98036625637201,76.520523362104,77.460202319956,115.96,77.280263796112,4.08,22,CVX
02-25-2013,126.63636,140.0,120.0,6.00413,125.0,77.6401408438,75.6408239122,78.199949584648,113.54,75.667481471288,4.08,22,CVX
02-26-2013,126.63636,140.0,120.0,6.00413,125.0,76.287269720084,75.8074336565,76.753777004124,114.96,76.613824818912,4.08,22,CVX
02-27-2013,126.63636,140.0,120.0,6.00413,125.0,76.44721507461199,76.44721507461199,77.94003838354,116.65,77.74010669038,4.08,22,CVX
02-28-2013,126.63636,140.0,120.0,6.00413,125.0,77.686791572204,77.54017499721999,78.566491022108,117.15,78.07332617898001,4.08,22,CVX
03-01-2013,126.63636,140.0,120.0,6.00413,125.0,77.793421808556,77.27359940634,78.133305686928,116.9,77.90671643468,4.08,22,CVX
03-04-2013,126.63636,140.0,120.0,6.00413,125.0,77.826743757416,77.360236473376,78.51317590393201,117.49,78.299915431228,4.08,22,CVX
03-05-2013,126.63636,140.0,120.0,6.00413,125.0,78.619806140284,78.419874447124,78.8064090539,117.93,78.593148581196,4.08,22,CVX
03-06-2013,126.63636,140.0,120.0,6.00413,125.0,78.83973100276,78.659792478916,79.159621711816,118.47,78.953025628884,4.08,22,CVX
03-07-2013,126.63636,140.0,120.0,6.00413,125.0,79.052991475464,78.77975149481199,79.232929999308,118.56,79.013005136832,4.08,22,CVX
03-08-2013,126.63636,140.0,120.0,6.00413,125.0,79.27291633794,78.633134919828,79.37954657429201,118.57,79.01966952660399,4.08,22,CVX
03-11-2013,126.63636,140.0,120.0,6.00413,125.0,79.059655865236,78.70644320731999,79.17295049136,118.73,79.12629976295601,4.08,22,CVX
03-12-2013,126.63636,140.0,120.0,6.00413,125.0,79.226265609536,78.746429545952,79.50616997995999,118.25,78.8064090539,4.08,22,CVX
03-13-2013,128.54545,148.0,120.0,6.99823,129.0,78.89304612093599,78.679785648232,79.10630659364,118.36,78.879717341392,4.08,22,CVX
03-14-2013,128.54545,148.0,120.0,6.99823,129.0,79.12629976295601,79.03966269592,80.145951398072,120.0,79.972677264,4.08,22,CVX
03-15-2013,128.54545,148.0,120.0,6.99823,129.0,79.699437283348,79.246258778852,79.919362145824,119.68,79.759416791296,4.08,22,CVX
