 Date,EMR Price Target,EMR Price Target - High,EMR Price Target - Low,EMR Price Target - StdDev,EMR Price Target - Median,EMR Open,EMR Low,EMR High,EMR Close,EMR Adj. Close,EMR Rating,EMR Price Target - #,Ticker
02-05-2013,57.95238,68,51,5.42899,60.0,42.575378752214,41.91784394523,43.016225952351,56.91,42.523074847113,3.65385,21,EMR
02-06-2013,59.28571,68,51,5.06287,60.0,42.306387240266,42.306387240266,42.941506087921,57.44,42.919090128592,3.53846,21,EMR
02-07-2013,59.28571,68,51,5.06287,60.0,42.836898277719,42.470770942012,42.971394033693,57.47,42.941506087921,3.53846,21,EMR
02-08-2013,59.28571,68,51,5.06287,60.0,42.95645006080701,42.896674169263,43.26280150497,57.5,42.96392204725,3.53846,21,EMR
02-11-2013,59.28571,68,51,5.06287,60.0,42.971394033693,42.63515464375801,43.24038554564101,57.73,43.135777735439,3.53846,21,EMR
02-12-2013,59.28571,68,51,5.06287,60.0,43.150721708325,43.076001843895,43.606512881348,58.08,43.397297260944,3.53846,21,EMR
02-13-2013,59.28571,68,51,5.06287,60.0,43.6080002805,43.5026487699,43.9014794886,58.1,43.720876899,3.53846,21,EMR
02-14-2013,59.77273,70,51,5.42663,60.0,43.570374741,43.4123474751,44.0143561071,58.41,43.9541552439,3.55556,22,EMR
02-15-2013,59.77273,70,51,5.42663,60.0,44.0068309992,43.6305756042,44.1347578335,58.29,43.8638539491,3.55556,22,EMR
02-19-2013,60.0,70,51,5.53501,60.0,43.8864292728,43.5929500647,44.14604549535,58.56,44.0670318624,3.55556,22,EMR
02-20-2013,60.0,70,51,5.53501,60.0,44.1272327256,43.4574981225,44.1272327256,57.75,43.4574981225,3.55556,22,EMR
02-21-2013,60.0,70,51,5.53501,60.0,43.2016444539,42.742612872,43.3596717198,56.99,42.8855899221,3.55556,22,EMR
02-22-2013,60.0,70,51,5.53501,60.0,43.0586674038,42.8329141668,43.4123474751,57.27,43.0962929433,3.55556,22,EMR
02-25-2013,60.13636,70,51,5.69126,60.0,43.269370425,41.9675267583,43.3747219356,55.77,41.9675267583,3.55556,22,EMR
02-26-2013,60.13636,70,51,5.69126,60.0,42.2760561822,41.8170246003,42.3738825849,56.12,42.2309055348,3.55556,22,EMR
02-27-2013,60.13636,70,51,5.69126,60.0,42.1631795637,42.095528843679,43.2242197776,57.26,43.0887678354,3.55556,22,EMR
02-28-2013,60.13636,70,51,5.69126,60.0,43.0887678354,42.6523115772,43.2543202092,56.7,42.667361793,3.55556,22,EMR
03-01-2013,60.13636,70,51,5.69126,60.0,42.4491336639,42.020202513600005,42.6071609298,56.07,42.1932799953,3.55556,22,EMR
03-04-2013,60.13636,70,51,5.69126,60.0,42.0126774057,41.4181938816,42.0277276215,55.54,41.7944492766,3.55556,22,EMR
03-05-2013,60.13636,70,51,5.69126,60.0,42.0427778373,41.8772254635,42.366357477,56.25,42.3287319375,3.55556,22,EMR
03-06-2013,60.13636,70,51,5.69126,60.0,42.4942843113,42.2835812901,42.7200375483,56.36,42.4115081244,3.55556,22,EMR
03-07-2013,60.57143,70,51,5.45607,60.0,42.4190332323,42.4039830165,42.7350877641,56.48,42.5018094192,3.57692,21,EMR
03-08-2013,60.57143,70,51,5.45607,60.0,42.7200375483,42.4717089876,43.18283168415,57.29,43.1113431591,3.57692,21,EMR
03-11-2013,60.57143,70,51,5.45607,60.0,43.1564938065,42.8329141668,43.28065808685,57.49,43.2618453171,3.57692,21,EMR
03-12-2013,60.57143,70,51,5.45607,60.0,43.2768955329,42.63726136139999,43.3370963961,56.82,42.7576630878,3.57692,21,EMR
03-13-2013,60.57143,70,51,5.45607,60.0,42.7049873325,42.18199233345,42.7952886273,56.2,42.291106398,3.57692,21,EMR
03-14-2013,60.57143,70,51,5.45607,60.0,42.3738825849,42.3287319375,43.344621504,57.52,43.2844206408,3.57692,21,EMR
03-15-2013,61.0,70,51,5.02375,60.0,43.0511422959,42.9608410011,43.5252240936,57.59,43.3370963961,3.57692,21,EMR
03-18-2013,61.0,70,51,5.02375,60.0,42.8554894905,42.6598366851,43.2618453171,56.93,42.8404392747,3.57692,21,EMR
03-19-2013,61.33333,70,51,5.30349,60.0,42.968366109,42.3212068296,43.0586674038,56.95,42.8554894905,3.57692,21,EMR
03-20-2013,61.33333,70,51,5.30349,60.0,43.1414435907,42.6748869009,43.194119346,57.11,42.9758912169,3.57692,21,EMR
03-21-2013,61.36364,70,51,5.18341,60.0,42.7200375483,42.2459557506,42.8479643826,56.47,42.4942843113,3.55556,22,EMR
03-22-2013,61.36364,70,51,5.18341,60.0,42.6447864693,42.4115081244,42.8103388431,56.79,42.7350877641,3.55556,22,EMR
03-25-2013,61.40909,70,51,5.24542,60.0,42.7952886273,41.837718647025,42.8780648142,55.83,42.0126774057,3.55556,22,EMR
03-26-2013,61.40909,70,51,5.24542,60.0,41.9299012188,41.1849155367,41.9976271899,55.49,41.7568237371,3.55556,22,EMR
03-27-2013,61.34783,70,51,5.13817,60.0,41.4783947448,41.2074908604,41.75306118315,55.36,41.6589973344,3.53571,23,EMR
03-28-2013,61.34783,70,51,5.13817,60.0,41.6665224423,41.6063215791,42.1105038084,55.87,42.0427778373,3.53571,23,EMR
