 Date,BABA Price Target,BABA Price Target - High,BABA Price Target - Low,BABA Price Target - StdDev,BABA Price Target - Median,BABA Open,BABA Low,BABA High,BABA Close,BABA Adj. Close,BABA Rating,BABA Price Target - #,Ticker
09-19-2014,88.64873794945287,99.99511464304324,77.06895518499219,7.999454468473164,89.9868095362168,92.7,89.95,99.7,93.89,93.89,4.83333,6,BABA
09-22-2014,93.84801563390604,125.00008794072144,77.07272046250306,14.7174611188014,90.00000651412752,92.7,89.5,92.95,89.89,89.89,4.71429,7,BABA
09-23-2014,93.89694816939044,125.06526322650024,77.11290632688642,14.725134831277597,90.04693269027096,88.94,86.62,90.48,87.17,87.17,4.71429,7,BABA
09-24-2014,91.48132642925763,124.98380473189717,75.00008141598684,15.109046944458017,89.98828261117353,88.47,87.22,90.57,90.57,90.57,4.5,8,BABA
09-25-2014,91.56034387222944,125.09176010430248,75.0648631029987,15.12209745762712,90.06601043024772,91.09,88.5,91.5,88.92,88.92,4.5,8,BABA
09-26-2014,91.6603998694304,125.00000652848053,75.17512648930962,15.068031663130409,90.1983091235515,89.73,88.66,90.46,90.46,90.46,4.5,8,BABA
09-29-2014,96.26749918699188,125.0,74.8939837398374,14.96430243902439,94.85333333333332,89.62,88.02,89.7,88.75,88.75,4.44444,9,BABA
09-30-2014,96.44784882300236,125.23417773071598,75.0342917650892,14.992336890119738,95.0310336401401,89.0,88.46,90.88,88.85,88.85,4.44444,9,BABA
10-01-2014,96.44784882300236,125.23417773071598,75.0342917650892,14.992336890119738,95.0310336401401,88.7,86.04,88.94,86.1,86.1,4.44444,9,BABA
10-02-2014,96.44784882300236,125.23417773071598,75.0342917650892,14.992336890119738,95.0310336401401,86.27,85.611,88.2,87.06,87.06,4.44444,9,BABA
10-03-2014,96.42207525655644,125.2239778465548,75.02818048542107,14.998705000814464,95.02329369604168,88.1,87.65,89.94,88.1,88.1,4.44444,9,BABA
10-06-2014,96.42207525655644,125.2239778465548,75.02818048542107,14.998705000814464,95.02329369604168,89.15,88.06,89.65,88.31,88.31,4.44444,9,BABA
10-07-2014,96.42207525655644,125.2239778465548,75.02818048542107,14.998705000814464,95.02329369604168,87.95,87.06,89.7,87.67,87.67,4.44444,9,BABA
10-08-2014,96.38439443775034,125.17504152147718,74.99886019474387,14.992843651284725,94.98615950760411,88.0,87.06,88.5,88.3,88.3,4.44444,9,BABA
10-09-2014,95.70301779684516,125.40169322871635,75.13465898895649,14.47871392917149,92.65395168262565,88.51,88.0,90.35,88.79,88.79,4.3,10,BABA
10-10-2014,95.62405589616488,125.3505739629533,75.10403078528567,14.44537568484216,92.6161818418993,88.25,85.24,88.74,85.88,85.88,4.3,10,BABA
10-13-2014,95.74895670062696,125.514302507837,75.20212904911182,14.464243730407524,92.7371538662487,86.85,84.92,86.89,85.12,85.12,4.3,10,BABA
10-14-2014,97.4512285112566,125.50405694414968,75.19599040047018,13.961934925636296,97.61954516513477,85.81,83.22,85.88,84.95,84.95,4.41667,12,BABA
10-15-2014,97.45054772827454,125.50405694414968,75.19599040047018,13.961810850080813,97.61546373238862,84.04,82.81,86.49,85.6,85.6,4.41667,12,BABA
10-16-2014,98.4423319996734,125.54094880378868,75.21809422715768,13.82659753408998,100.02449579488854,84.98,84.015,89.175,88.85,88.85,4.46154,13,BABA
10-17-2014,98.4101432000392,125.5245497444606,75.20826870009634,13.829397645445194,100.01142987770032,90.4,87.6701,90.9,87.91,87.91,4.46154,13,BABA
10-20-2014,98.40800483360006,125.53479865443026,75.2144093536693,13.836665142558545,100.01959567588752,88.0,87.86,89.5,88.26,88.26,4.46154,13,BABA
