 Date,KHC Price Target,KHC Price Target - High,KHC Price Target - Low,KHC Price Target - StdDev,KHC Price Target - Median,KHC Open,KHC Low,KHC High,KHC Close,KHC Adj. Close,KHC Rating,KHC Price Target - #,Ticker
07-06-2015,83.58333,95.0,73.0,7.62898,82.5,51.9369813445,51.9369813445,54.343638649055,72.96,53.37073463232,3.71429,6,KHC
07-07-2015,77.55,85.0,68.0,5.62339,78.25,53.933994852535,53.37073463232,54.65087149644499,74.63,54.59235095408499,3.54545,10,KHC
07-08-2015,78.5,88.0,68.0,6.14595,79.0,54.35095371684999,54.16076195418,55.22876185225,75.4,55.155611174300006,3.58333,11,KHC
07-09-2015,78.625,88.0,68.0,5.89889,79.5,55.938323428365,54.49725507275,56.374301468947,74.8,54.7167071066,3.38462,12,KHC
07-10-2015,78.625,88.0,68.0,5.89889,79.5,54.899583801475,54.8630084625,56.9112274451,77.31,56.552789123145,3.38462,12,KHC
07-13-2015,78.625,88.0,68.0,5.89889,79.5,58.15478897025,56.991693190845,58.30109032615,78.83,57.664679427985,3.38462,12,KHC
07-14-2015,78.625,88.0,68.0,5.89889,79.5,58.118213631275,56.801501428175,58.15478897025,78.0,57.057528801,3.38462,12,KHC
07-15-2015,78.625,88.0,68.0,5.89889,79.5,56.801501428175,55.8871179538,57.181884953515,76.71,56.113885055445,3.38462,12,KHC
07-16-2015,78.625,88.0,68.0,5.89889,79.5,56.304076818115,56.28951983320295,57.67199449578,78.75,57.606158885625,3.38462,12,KHC
07-17-2015,78.625,88.0,68.0,5.89889,79.5,58.103583495685,56.516213784170006,58.293775258355,79.63,58.249884851584994,3.38462,12,KHC
07-20-2015,77.95833,85.0,68.0,5.214,79.5,58.483967021025,57.884131461835,59.3983504954,80.11,58.601008105745,3.38462,12,KHC
07-21-2015,78.73077,88.0,68.0,5.6793,80.0,58.498597156615,58.0816382923,59.01796697006,80.22,58.68147385149,3.42857,13,KHC
07-22-2015,78.73077,88.0,68.0,5.6793,80.0,59.127692986985,57.48180273311,59.178898461550006,78.64,57.52569313988,3.42857,13,KHC
07-23-2015,78.35714,88.0,68.0,5.63607,79.5,57.768790577268,56.457537743456,57.87928941157799,76.74,56.53120363299599,3.4,14,KHC
07-24-2015,78.71429,88.0,68.0,5.88192,79.5,56.663802234168,55.94924310563,57.039498270822,76.41,56.288106197514,3.4,14,KHC
07-27-2015,78.71429,88.0,68.0,5.88192,79.5,56.450171154502,56.199707130066,57.444660663292,77.38,57.002665326052,3.4,14,KHC
07-28-2015,78.71429,88.0,68.0,5.88192,79.5,57.78352375517599,57.0910643935,57.93822212321,78.32,57.69512468772799,3.4,14,KHC
07-29-2015,80.17857,94.0,68.0,6.87024,80.0,57.650925154004,56.7227349458,57.68031784393045,77.91,57.393094540614,3.53333,14,KHC
07-30-2015,80.17857,94.0,68.0,6.87024,80.0,57.614092209234,57.16473028304,58.70434737442599,79.21,58.35075110463399,3.53333,14,KHC
07-31-2015,80.17857,94.0,68.0,6.87024,80.0,58.888512098276,58.096603785720994,58.888512098276,79.47,58.542282417438,3.53333,14,KHC
08-03-2015,80.17857,94.0,68.0,6.87024,80.0,58.93271163199999,58.866412331414,59.691470294262,80.37,59.205275423298,3.53333,14,KHC
08-04-2015,81.43333,99.0,68.0,8.12992,80.0,59.35260720237799,58.689614196518,59.6693705274,79.81,58.792746441874,3.625,15,KHC
08-05-2015,81.43333,99.0,68.0,8.12992,80.0,58.940078220954,58.82221279768999,59.6693705274,80.48,59.286307901792,3.625,15,KHC
08-06-2015,81.43333,99.0,68.0,8.12992,80.0,59.70620347217,58.571748773254,59.809335717526,79.76,58.755913497104,3.625,15,KHC
08-07-2015,81.43333,99.0,68.0,8.12992,80.0,58.299184981956,56.936366025466,58.47598311685199,78.46,57.79825693308399,3.625,15,KHC
08-10-2015,81.43333,99.0,68.0,8.12992,80.0,58.512816061622,57.87928941157799,58.78537985292,78.81,58.056087546474,3.625,15,KHC
08-11-2015,80.93333,94.0,68.0,6.80653,82.0,57.18683004990199,56.77430106847799,59.286307901792,77.97,57.437294074338,3.625,15,KHC
08-12-2015,80.33333,94.0,68.0,7.32727,82.0,57.334161828982,56.052375350986,57.687758098774,76.69,56.49437068822599,3.625,15,KHC
08-13-2015,80.33333,94.0,68.0,7.32727,82.0,56.730101534754,55.83874427132,56.77430106847799,75.99,55.978709461446,3.625,15,KHC
08-14-2015,80.33333,94.0,68.0,7.32727,82.0,56.03764217307799,55.3356062457618,56.53120363299599,76.42,56.295472786468,3.625,15,KHC
08-17-2015,80.33333,94.0,68.0,7.32727,82.0,55.88294380504399,55.625113191654,56.288106197514,75.8,55.83874427132,3.625,15,KHC
08-18-2015,80.33333,94.0,68.0,7.32727,82.0,55.77981155968799,55.293616688724,55.9514530823162,75.19,55.389382345126,3.625,15,KHC
08-19-2015,80.06667,94.0,68.0,7.65477,82.0,55.249417155,54.453825547968,55.463048234666005,74.78,55.087352198012,3.625,15,KHC
