 Date,IBM Price Target,IBM Price Target - High,IBM Price Target - Low,IBM Price Target - StdDev,IBM Price Target - Median,IBM Open,IBM Low,IBM High,IBM Close,IBM Adj. Close,IBM Rating,IBM Price Target - #,Ticker
02-05-2013,223.36,251,198,15.70702,225.0,132.06294476616398,130.89945154224398,132.3473542209,202.79,131.08043937707598,3.63636,25,IBM
02-06-2013,223.36,251,198,15.70702,225.0,130.07432526926098,129.535567397244,130.65852055217098,201.02,130.483261967298,3.63636,25,IBM
02-07-2013,223.36,251,198,15.70702,225.0,130.223619619338,128.964354231732,130.411860321609,199.74,129.652406453826,3.63636,25,IBM
02-08-2013,223.36,251,198,15.70702,225.0,129.801700803903,129.613460101632,131.177805248091,201.68,130.911671841432,3.63636,25,IBM
02-11-2013,223.36,251,198,15.70702,225.0,130.45729773250198,129.658897512525,131.08693042630497,200.16,129.925030919184,3.63636,25,IBM
02-12-2013,223.36,251,198,15.70702,225.0,129.827665038699,129.185050227498,130.2982667943765,200.04,129.847138214796,3.63636,25,IBM
02-13-2013,223.36,251,198,15.70702,225.0,130.243092795435,129.542058455943,130.437824556405,200.09,129.879593508291,3.63636,25,IBM
02-14-2013,223.36,251,198,15.70702,225.0,129.645915395127,129.340835636274,130.028887858368,199.65,129.593986925535,3.63636,25,IBM
02-15-2013,223.36,251,198,15.70702,225.0,129.80819186260197,129.704334923418,130.632556317375,200.98,130.45729773250198,3.63636,25,IBM
02-19-2013,223.36,251,198,15.70702,225.0,130.21063750194,129.96397727137798,131.047984074111,200.32,130.028887858368,3.63636,25,IBM
02-20-2013,223.36,251,198,15.70702,225.0,130.223619619338,129.081193288314,130.937636076228,199.31,129.37329092976898,3.63636,25,IBM
02-21-2013,223.36,251,198,15.70702,225.0,128.931898938237,128.594363885889,129.217505520993,198.33,128.737167177267,3.63636,25,IBM
02-22-2013,223.36,251,198,15.70702,225.0,129.321362460177,129.068211170916,130.528699378191,201.09,130.528699378191,3.63636,25,IBM
02-25-2013,223.36,251,198,15.70702,225.0,130.905180782733,128.20490036394898,131.437447596051,197.51,128.20490036394898,3.63636,25,IBM
02-26-2013,223.36,251,198,15.70702,225.0,128.931898938237,128.419105301016,129.75626339301,199.14,129.262942931886,3.63636,25,IBM
02-27-2013,223.36,251,198,15.70702,225.0,129.10066646441098,128.91242576214,131.606215122225,202.33,131.333590656867,3.63636,25,IBM
02-28-2013,223.36,251,198,15.70702,225.0,131.236224776382,130.333967617221,131.8483316116977,200.83,130.359931852017,3.63636,25,IBM
03-01-2013,223.36,251,198,15.70702,225.0,130.243092795435,129.405746223264,131.729545237506,202.91,131.710072061409,3.63636,25,IBM
03-04-2013,223.36,251,198,15.70702,225.0,131.502358183041,131.476393948245,133.190033444781,205.19,133.190033444781,3.63636,25,IBM
03-05-2013,223.36,251,198,15.70702,225.0,133.624934377614,133.514586379731,134.81928917822998,206.53,134.059835310447,3.63636,25,IBM
03-06-2013,223.61538,251,198,15.45484,225.0,134.384388245397,134.144219073534,135.332082815451,208.38,135.260681169762,3.64706,26,IBM
03-07-2013,223.61538,251,198,15.45484,225.0,135.20226164147098,135.169806347976,136.05259033104,209.42,135.93575127445797,3.64706,26,IBM
03-08-2013,223.61538,251,198,15.45484,225.0,136.21486679851498,135.942242333157,136.792571022726,210.38,136.558892909562,3.64706,26,IBM
03-11-2013,223.61538,251,198,15.45484,225.0,136.338196913796,135.68909104389598,136.441988942393,210.08,136.364161148592,3.64706,26,IBM
03-12-2013,223.61538,251,198,15.45484,225.0,135.92276915706,135.721546337391,136.78607996402698,210.55,136.669240907445,3.64706,26,IBM
03-13-2013,223.61538,251,198,15.45484,225.0,136.44205385298,136.162938328923,137.844122531964,212.06,137.649390770994,3.64706,26,IBM
03-14-2013,223.61538,251,198,15.45484,225.0,137.707810299285,137.707810299285,140.115993076614,215.8,140.07704672442,3.64706,26,IBM
03-15-2013,223.61538,251,198,15.45484,225.0,139.804422259062,138.525683695359,140.14195731141,214.92,139.505833558908,3.64706,26,IBM
03-18-2013,223.61538,251,198,15.45484,225.0,138.19463970171,138.025872175536,139.23320909355,213.21,138.395862521379,3.64706,26,IBM
03-19-2013,223.61538,251,198,15.45484,225.0,138.993039921687,137.4994473150471,139.635654732888,213.44,138.545156871456,3.64706,26,IBM
03-20-2013,223.61538,251,198,15.45484,225.0,139.401976619724,139.10338791957,140.090028841818,215.06,139.596708380694,3.64706,26,IBM
03-21-2013,223.61538,251,198,15.45484,225.0,138.233586053904,136.383634324689,138.25955028869998,212.26,137.77921194497398,3.64706,26,IBM
03-22-2013,223.61538,251,198,15.45484,225.0,137.746756651479,137.3631350823681,138.36989828658298,212.08,137.662372888392,3.64706,26,IBM
03-25-2013,223.61538,251,198,15.45484,225.0,137.96096158854598,136.344687972495,138.136220173419,210.74,136.792571022726,3.64706,26,IBM
