 Date,GE Price Target,GE Price Target - High,GE Price Target - Low,GE Price Target - StdDev,GE Price Target - Median,GE Open,GE Low,GE High,GE Close,GE Adj. Close,GE Rating,GE Price Target - #,Ticker
02-05-2013,197.88235,240.0,184.0,12.87899,192.0,109.463947734144,109.31786595336,110.145662711136,180.32,109.756111295712,4.04545,17,GE
02-06-2013,197.88235,240.0,184.0,12.87899,192.0,109.415253807216,108.636150976368,109.561335588,179.52,109.269172026432,4.04545,17,GE
02-07-2013,197.88235,240.0,184.0,12.87899,192.0,109.561335588,108.441375268656,109.610029514928,179.84,109.463947734144,4.04545,17,GE
02-08-2013,197.88235,240.0,184.0,12.87899,192.0,109.561335588,109.31786595336,109.853499149568,180.0,109.561335588,4.04545,17,GE
02-11-2013,197.88235,240.0,184.0,12.87899,192.0,109.512641661072,108.83092668408,109.610029514928,179.6,109.31786595336,4.04545,17,GE
02-12-2013,198.35294,240.0,184.0,12.80138,200.0,109.463947734144,109.463947734144,110.29174449192,180.64,109.950887003424,4.04545,17,GE
02-13-2013,198.82353,240.0,184.0,12.40605,200.0,112.531665130608,112.190807642112,114.333340426944,187.12,113.895095084592,4.04545,17,GE
02-14-2013,198.82353,240.0,184.0,12.40605,200.0,113.2133801076,112.531665130608,114.382034353872,187.28,113.992482938448,4.0,17,GE
02-15-2013,200.47059,240.0,184.0,12.71459,200.0,114.333340426944,113.115992253744,114.67419791544,186.32,113.408155815312,4.09091,17,GE
02-19-2013,200.47059,240.0,184.0,12.71459,200.0,114.041176865376,113.992482938448,115.648076454,190.0,115.648076454,4.09091,17,GE
02-20-2013,200.47059,240.0,184.0,12.71459,200.0,115.453300746288,113.70031937688,115.648076454,187.28,113.992482938448,4.09091,17,GE
02-21-2013,200.47059,240.0,184.0,12.71459,200.0,113.79611347456,113.50155925504,114.6306837632,186.08,114.18885243392002,4.09091,17,GE
02-22-2013,200.47059,240.0,184.0,12.71459,200.0,114.6306837632,114.04157532416,115.111788988416,187.12,114.82705324288,4.09091,17,GE
02-25-2013,200.94118,240.0,184.0,12.53921,200.0,115.367069312,111.97969578752,115.51434642176,182.48,111.97969578752,4.09091,17,GE
02-26-2013,200.94118,240.0,184.0,12.53921,200.0,112.76517370624,112.47061948672,113.6488363648,184.4,113.1579126656,4.09091,17,GE
02-27-2013,200.94118,240.0,184.0,12.53921,200.0,113.01063555584,112.912450816,114.8761456128,186.96,114.72886850304002,4.09091,17,GE
02-28-2013,200.94118,240.0,184.0,12.53921,200.0,114.72886850304002,113.8942982144,115.17069983232,185.76,113.99248295424,4.09091,17,GE
03-01-2013,201.88235,240.0,184.0,13.02433,200.0,113.01063555584,112.912450816,114.58159139328,185.52,113.84520584448002,4.13636,17,GE
03-04-2013,201.88235,240.0,184.0,13.02433,200.0,113.6488363648,113.05972792576,114.28703717376,186.16,114.23794480384,4.13636,17,GE
03-05-2013,201.88235,240.0,184.0,13.02433,200.0,115.17069983232,115.07251509248002,116.39800908032,188.72,115.80890064128,4.13636,17,GE
03-06-2013,201.88235,240.0,184.0,13.02433,200.0,117.03620988928,116.20163960064002,117.03620988928,189.36,116.20163960064002,4.13636,17,GE
03-07-2013,201.88235,240.0,184.0,13.02433,200.0,116.3489167104,116.20163960064002,116.98711751936,189.44,116.25073197056,4.13636,17,GE
03-08-2013,201.88235,240.0,184.0,13.02433,200.0,117.13439462912,116.25073197056,117.3307641088,190.16,116.69256329984,4.13636,17,GE
03-11-2013,201.88235,240.0,184.0,13.02433,200.0,116.29982434048,115.1216074624,116.59437856,188.96,115.95617775104002,4.09091,17,GE
03-12-2013,201.88235,240.0,184.0,13.02433,200.0,115.80890064128,114.53249902336,115.8579930112,187.28,114.92523798272,4.09091,17,GE
03-13-2013,201.88235,240.0,184.0,13.02433,200.0,115.07251509248002,114.8761456128,115.46525405184,187.92,115.31797694208,4.09091,17,GE
03-14-2013,201.88235,240.0,184.0,13.02433,200.0,115.61253116160002,115.41616168192002,116.64347092992,189.52,116.29982434048,4.09091,17,GE
03-15-2013,201.88235,240.0,184.0,13.02433,200.0,115.07251509248002,114.67977613312,116.44710145024,187.52,115.07251509248002,4.09091,17,GE
03-18-2013,201.88235,240.0,184.0,13.02433,200.0,113.74702110464,113.55065162496,114.6306837632,186.0,114.139760064,4.09091,17,GE
03-19-2013,203.29412,240.0,184.0,14.00741,200.0,114.3852219136,113.74702110464,114.67977613312,186.56,114.48340665344,4.09091,17,GE
03-20-2013,203.29412,240.0,184.0,14.00741,200.0,116.49619382016002,114.53249902336,116.8398404096,187.68,115.17069983232,4.09091,17,GE
03-21-2013,203.29412,240.0,184.0,14.00741,200.0,114.97433035264,114.33612954368,115.8579930112,186.32,114.33612954368,4.09091,17,GE
03-22-2013,203.29412,240.0,184.0,14.00741,200.0,114.48340665344,114.28703717376,114.8761456128,186.96,114.72886850304002,4.09091,17,GE
03-25-2013,204.70588,240.0,184.0,14.79175,200.0,115.1216074624,113.1579126656,115.26888457216,185.92,114.09066769408,4.09091,17,GE
03-26-2013,204.70588,240.0,184.0,14.79175,200.0,114.23794480384,112.96154318592002,114.3852219136,184.96,113.50155925504,4.09091,17,GE
03-27-2013,204.70588,240.0,184.0,14.79175,200.0,113.01063555584,112.17606526720002,113.59974399488,184.8,113.4033745152,4.09091,17,GE
03-28-2013,204.70588,240.0,184.0,14.79175,200.0,113.59974399488,112.86335844608,113.86975202944,184.96,113.50155925504,4.09091,17,GE
04-01-2013,205.17647,240.0,184.0,14.76178,200.0,113.05972792576,112.76517370624,113.4033745152,184.64,113.30518977536,4.09091,17,GE
04-02-2013,206.0,240.0,184.0,14.8324,200.0,113.74702110464,113.3783374065408,114.72886850304002,186.72,114.58159139328,4.14286,16,GE
