 Date,TXN Price Target,TXN Price Target - High,TXN Price Target - Low,TXN Price Target - StdDev,TXN Price Target - Median,TXN Open,TXN Low,TXN High,TXN Close,TXN Adj. Close,TXN Rating,TXN Price Target - #,Ticker
02-05-2013,32.34412,40,22.0,4.56349,33.0,25.598611504894,25.430149209618,25.927878718388,33.75,25.84364757075,3.32558,34,TXN
02-06-2013,32.34412,40,22.0,4.56349,33.0,25.72878691488,25.567981996662,25.797703308402,33.56,25.698157406648,3.32558,34,TXN
02-07-2013,32.34412,40,22.0,4.56349,33.0,25.636898390184,25.208085274936,25.69050002959,33.42,25.590954127836003,3.32558,34,TXN
02-08-2013,32.43235,40,22.0,4.46797,33.0,25.736444291938,25.694328718119,26.257145931882,34.28,26.249488554824,3.32558,34,TXN
02-11-2013,32.46176,40,22.0,4.44853,33.0,26.172914784244,25.774731177228,26.180572161302,33.69,25.797703308402,3.32558,34,TXN
02-12-2013,32.46176,40,22.0,4.44853,33.0,25.721129537822,25.583296750778,25.80536068546,33.56,25.698157406648,3.32558,34,TXN
02-13-2013,32.46176,40,22.0,4.44853,33.0,25.744101668996,25.682842652532,25.947022161033,33.72,25.820675439576,3.32558,34,TXN
02-14-2013,32.46176,40,22.0,4.44853,33.0,25.644555767242,25.49906560314,25.912563964272003,33.79,25.874277078982,3.32558,34,TXN
02-15-2013,32.46176,40,22.0,4.44853,33.0,25.904906587214,25.571810685191004,25.927878718388,33.585,25.717300849293,3.32558,34,TXN
02-19-2013,32.46176,40,22.0,4.44853,33.0,25.820675439576,25.598611504894,26.081026259548,33.94,25.989137734852,3.32558,34,TXN
02-20-2013,32.46176,40,22.0,4.44853,33.0,26.019767243084,25.30763117669,26.023595931613,33.06,25.315288553748,3.32558,34,TXN
02-21-2013,32.46176,40,22.0,4.44853,33.0,25.261686914342,24.649096749702,25.2693442914,32.48,24.871160684384,3.32558,34,TXN
02-22-2013,32.57941,40,22.0,4.55901,33.0,25.38420494727,25.38420494727,26.22651642365,34.18,26.172914784244,3.32558,34,TXN
02-25-2013,32.63824,40,22.0,4.62805,33.0,26.18822953836,25.809189373989,26.379663964810003,33.73,25.828332816634,3.32558,34,TXN
02-26-2013,32.72647,40,22.0,4.50864,33.0,25.813018062518,25.744101668996,26.019767243084,33.76,25.851304947808,3.27907,34,TXN
02-27-2013,32.72647,40,22.0,4.50864,33.0,25.88193445604,25.813018062518,26.402636095984,34.29,26.257145931882,3.27907,34,TXN
02-28-2013,32.72647,40,22.0,4.50864,33.0,26.318404948346,26.218859046592,26.540468883028,34.428,26.3628177352824,3.27907,34,TXN
03-01-2013,32.72647,40,22.0,4.50864,33.0,26.134627898954,25.904906587214,26.471552489506,34.52,26.433265604216004,3.27907,34,TXN
03-04-2013,32.72647,40,22.0,4.50864,33.0,26.372006587752,26.119313144838,26.471552489506,34.56,26.463895112448,3.27907,34,TXN
03-05-2013,32.72647,40,22.0,4.50864,33.0,26.555783637144,26.486867243622,26.808477080058,35.0,26.800819703,3.27907,34,TXN
03-06-2013,32.72647,40,22.0,4.50864,33.0,26.823791834174,26.762532817710003,26.999911506508,35.14,26.908022981812,3.27907,34,TXN
03-07-2013,33.05,41,26.0,4.43451,33.0,26.946309867102,26.846763965348003,26.99225412945,35.2,26.95396724416,3.27907,34,TXN
03-08-2013,34.14706,41,26.0,4.38964,34.6,27.03054101474,26.662986915956,27.045855768856,35.29,27.022883637682,3.27907,34,TXN
03-11-2013,34.23529,41,26.0,4.37573,35.0,27.007568883566,26.885050850638,27.252604949422004,35.52,27.199003310016003,3.27907,34,TXN
03-12-2013,34.23529,41,26.0,4.37573,35.0,27.1836885559,27.042027080327,27.352150851176,35.62,27.275577080596,3.27907,34,TXN
