 Date,LIN Price Target,LIN Price Target - High,LIN Price Target - Low,LIN Price Target - StdDev,LIN Price Target - Median,LIN Open,LIN Low,LIN High,LIN Close,LIN Adj. Close,LIN Rating,LIN Price Target - #,Ticker
02-05-2013,120.11111,134,107.0,7.21025,121.5,90.545283972108,90.3164278653,91.387147507866,110.58,90.381815324388,3.7619,18,LIN
02-06-2013,120.27778,134,107.0,7.347,121.5,90.161132649966,90.03853116417599,90.688319038863,110.79,90.553457404494,3.7619,18,LIN
02-07-2013,120.27778,134,107.0,7.347,121.5,90.300081000528,89.61351268010401,90.790486943688,110.43,90.259213838598,3.7619,18,LIN
02-08-2013,120.27778,134,107.0,7.347,121.5,90.39816218916,90.3278706706404,91.25637258969,111.61,91.223678860146,3.7619,18,LIN
02-11-2013,120.27778,134,107.0,7.347,121.5,91.05203678004,90.577977701652,91.444361534568,110.99,90.716926052214,3.7619,18,LIN
02-12-2013,120.27778,134,107.0,7.347,121.5,90.782313511302,90.169306082352,91.002996185724,110.98,90.708752619828,3.7619,18,LIN
02-13-2013,120.27778,134,107.0,7.347,121.5,90.978475888566,90.716926052214,91.477055264112,111.77,91.354453778322,3.7619,18,LIN
02-14-2013,120.27778,134,107.0,7.347,121.5,90.978475888566,90.56163083688,91.182811698216,111.21,90.896741564706,3.7619,18,LIN
02-15-2013,120.27778,134,107.0,7.347,121.5,90.528937107336,89.519518207665,91.117424239128,110.15,90.03035773179,3.7619,18,LIN
02-19-2013,120.27778,134,107.0,7.347,121.5,90.708752619828,90.03853116417599,90.708752619828,110.74,90.512590242564,3.7619,18,LIN
02-20-2013,120.27778,134,107.0,7.347,121.5,90.47989651302,89.719767301122,91.182811698216,110.38,90.218346676668,3.7619,18,LIN
02-21-2013,120.27778,134,107.0,7.347,121.5,89.68707357157801,89.155800466488,90.60249799881,109.96,89.875062516456,3.7619,18,LIN
02-22-2013,120.27778,134,107.0,7.347,121.5,90.136612352808,89.86688908407001,90.953955591408,111.17,90.864047835162,3.7619,18,LIN
02-25-2013,120.27778,134,107.0,7.347,121.5,91.346280345936,89.490911194314,91.7042766844428,109.54,89.531778356244,3.7619,18,LIN
02-26-2013,120.27778,134,107.0,7.347,121.5,89.94044997554401,89.94044997554401,90.774140078916,110.58,90.381815324388,3.7619,18,LIN
02-27-2013,120.27778,134,107.0,7.347,121.5,90.259213838598,90.087571758492,92.122756422606,112.22,91.722258235692,3.7619,18,LIN
02-28-2013,120.27778,134,107.0,7.347,121.5,91.730431668078,91.616003614674,92.792977878258,113.05,92.40065312373,3.7619,18,LIN
03-01-2013,120.27778,134,107.0,7.347,121.5,92.253531340782,91.37897407548,93.062701146996,113.51,92.776631013486,3.7619,18,LIN
03-04-2013,120.44444,134,110.0,7.07281,121.5,92.408826556116,91.587396601323,92.506907744748,112.9,92.27805163794,3.7619,18,LIN
03-05-2013,120.44444,134,110.0,7.07281,121.5,92.77107773011,92.77107773011,94.110465300527,113.41,93.190149914719,3.7619,18,LIN
03-06-2013,120.44444,134,110.0,7.07281,121.5,93.59278789601,92.68890671352,93.748912827531,112.9,92.77107773011,3.7619,18,LIN
03-07-2013,120.44444,134,110.0,7.07281,121.5,92.738209323474,92.335571342183,93.066893389834,112.67,92.582084391953,3.7619,18,LIN
03-08-2013,120.44444,134,110.0,7.07281,121.5,93.124413101447,92.713558018497,93.601004997669,113.64,93.379143252876,3.7619,18,LIN
03-11-2013,120.44444,134,110.0,7.07281,121.5,93.140847304765,92.623169900248,93.34627484624,113.44,93.214801219696,3.7619,18,LIN
