 Date,MDT Price Target,MDT Price Target - High,MDT Price Target - Low,MDT Price Target - StdDev,MDT Price Target - Median,MDT Open,MDT Low,MDT High,MDT Close,MDT Adj. Close,MDT Rating,MDT Price Target - #,Ticker
02-05-2013,47.09524,52,41,2.90983,48.0,37.41076694817,37.33052077282,37.739776267105,46.77,37.531136211195005,3.82143,21,MDT
02-06-2013,47.09524,52,41,2.90983,48.0,37.370643860495,37.113856099375,37.675579326825,46.95,37.675579326825,3.82143,21,MDT
02-07-2013,47.09524,52,41,2.90983,48.0,37.595333151475,37.170028422120005,37.7157024145,46.76,37.52311159366,3.82143,21,MDT
02-08-2013,47.09524,52,41,2.90983,48.0,37.58730853394,37.499037741055,37.860145530130005,47.1,37.795948589850006,3.82143,21,MDT
02-11-2013,47.09524,52,41,2.90983,48.0,37.787923972315006,37.68360394436,37.89224400027,47.22,37.89224400027,3.82143,21,MDT
02-12-2013,47.47619,55,41,3.06468,48.0,37.980514793155,37.74780088464,38.0406994246675,47.11,37.803973207385,3.82143,21,MDT
02-13-2013,47.47619,55,41,3.06468,48.0,37.89224400027,37.62269709726935,37.996564028225,46.99,37.707677796965,3.82143,21,MDT
02-14-2013,48.05,55,43,2.67348,48.0,37.474963888450006,37.33052077282,37.932367087945,47.17,37.852120912595005,3.78571,20,MDT
02-15-2013,48.05,55,43,2.67348,48.0,37.7157024145,37.3947177131,37.81199782492,47.12,37.81199782492,3.78571,20,MDT
02-19-2013,48.65,55,45,2.65094,48.0,36.905216043465,36.102754289965006,37.113856099375,45.8,36.7527483103,3.78571,20,MDT
02-20-2013,48.75,55,45,2.50749,48.0,36.784846780440006,35.66140032554,36.784846780440006,44.76,35.91818808666,3.78571,20,MDT
02-21-2013,48.95,55,45,2.74727,48.0,35.926212704195,35.685474178145,35.990409644475,44.73,35.894114234055,3.78571,20,MDT
02-22-2013,48.95,55,45,2.74727,48.0,36.1107789075,35.749671118425,36.17497584778,44.72,35.88608961652,3.78571,20,MDT
02-25-2013,48.95,55,45,2.74727,48.0,36.1107789075,35.21202174358,36.479911314110005,43.88,35.21202174358,3.78571,20,MDT
02-26-2013,48.95,55,45,2.74727,48.0,35.444735652095005,34.9178392647469,35.67744956061,44.12,35.40461256442,3.78571,20,MDT
02-27-2013,48.95,55,45,2.74727,48.0,35.40461256442,35.34041562414,35.789794206100005,44.54,35.74164650089,3.78571,20,MDT
02-28-2013,48.95,55,45,2.74727,48.0,35.894114234055,35.64535109047,36.2712712582,44.96,36.07868043736,3.78571,20,MDT
03-01-2013,48.95,55,45,2.74727,48.0,35.9502865568,35.717572648285,36.359542051085,45.23,36.295345110805,3.78571,20,MDT
03-04-2013,48.95,55,45,2.74727,48.0,36.1107789075,35.88608961652,36.31941896341,45.26,36.31941896341,3.78571,20,MDT
03-05-2013,48.95,55,45,2.74727,48.0,36.51200978425,36.4317636089,36.913240661,45.78,36.73669907523,3.78571,20,MDT
03-06-2013,48.95,55,45,2.74727,48.0,36.88114219086,36.744723692765,37.001511453885,46.03,36.937314513605,3.78571,20,MDT
03-07-2013,48.95,55,45,2.74727,48.0,36.92928989607,36.5922559596,37.105831481840006,45.73,36.696575987555,3.78571,20,MDT
03-08-2013,48.95,55,45,2.74727,48.0,36.86509295579,36.520034401785,36.913240661,45.6,36.5922559596,3.78571,20,MDT
03-11-2013,48.95,55,45,2.74727,48.0,36.5922559596,36.51200978425,37.081757629235,46.21,37.081757629235,3.78571,20,MDT
03-12-2013,48.95,55,45,2.74727,48.0,37.081757629235,36.83299448565,37.105831481840006,46.0,36.913240661,3.78571,20,MDT
