 Date,AAPL Price Target,AAPL Price Target - High,AAPL Price Target - Low,AAPL Price Target - StdDev,AAPL Price Target - Median,AAPL Open,AAPL Low,AAPL High,AAPL Close,AAPL Adj. Close,AAPL Rating,AAPL Price Target - #,Ticker
02-05-2013,22.125,31.71429,9.64286,3.90159,21.42857,13.638485635080508,13.58227940817463,14.12038585526038,16.351571,14.06215263695623,4.12281,46,AAPL
02-06-2013,22.125,31.71429,9.64286,3.90159,21.42857,14.019952172423,13.900474918298633,14.328011865567753,16.333928,14.046979871050508,4.12281,46,AAPL
02-07-2013,22.125,31.71429,9.64286,3.90159,21.42857,14.311113520016166,14.029062140688334,14.519640773642887,16.722142,14.464651000597668,4.12281,46,AAPL
02-08-2013,22.125,31.71429,9.64286,3.90159,21.42857,14.643212063014335,14.465578280480388,14.791806934220944,16.963571,14.673487059185335,4.12281,46,AAPL
02-11-2013,22.125,31.71429,9.64286,3.90159,21.42857,14.720444443246445,14.620042175944722,14.981179630270224,17.140357,14.826406929844946,4.12281,46,AAPL
02-12-2013,22.125,31.71429,9.64286,3.90159,21.42857,14.813431931485946,14.449946002457464,14.902094420272444,16.710714,14.454765781847888,4.12281,46,AAPL
02-13-2013,22.125,31.71429,9.64286,3.90159,21.42857,14.433449589543832,14.310187105133334,14.63209075942089,16.678928,14.427270895325275,4.12281,46,AAPL
02-14-2013,22.125,31.71429,9.64286,3.90159,21.42857,14.350348185054,14.334901017007663,14.57030468223522,16.663928,14.414295896966276,4.12281,46,AAPL
02-15-2013,22.125,31.71429,9.64286,3.90159,21.42857,14.484113498136164,14.208240813026888,14.524583383017776,16.434285,14.215654727089222,4.12281,46,AAPL
02-19-2013,22.125,31.71429,9.64286,3.90159,21.42857,14.244694503416444,14.020720946743278,14.295049607047837,16.428214,14.210403312753389,4.12281,46,AAPL
02-20-2013,22.125,31.71429,9.64286,3.90159,21.42857,14.139349626739833,13.864712161474332,14.139349626739833,16.030357,13.866257051278945,4.12281,46,AAPL
02-21-2013,22.125,31.71429,9.64286,3.90159,21.42857,13.778212172414332,13.679973269839,13.876142270028724,15.930714,13.78006586717989,4.12281,46,AAPL
02-22-2013,22.125,31.71429,9.64286,3.90159,21.42857,13.878613574716166,13.79674825507,13.951212150534332,16.100357,13.926807043620943,4.12281,46,AAPL
02-25-2013,22.09395,31.71429,9.64286,3.86993,21.42857,14.020720946743278,13.672249685815832,14.05995474678122,15.814285,13.679354794917222,4.12281,46,AAPL
