 Date,MA Price Target,MA Price Target - High,MA Price Target - Low,MA Price Target - StdDev,MA Price Target - Median,MA Open,MA Low,MA High,MA Close,MA Adj. Close,MA Rating,MA Price Target - #,Ticker
02-05-2013,56.63636,63.0,42.5,6.16082,59.0,49.0006043899335,48.66443559144,49.155976523691,52.069,49.0307371673895,4.10811,33,MA
02-06-2013,56.63636,63.0,42.5,6.16082,59.0,48.9798881054325,48.786849999855,49.3301816433585,52.355,49.3000488659025,4.10811,33,MA
02-07-2013,56.63636,63.0,42.5,6.16082,59.0,49.144676732144994,48.612644880187496,49.276507633515,51.955,48.923389147702494,4.10811,33,MA
02-08-2013,56.63636,63.0,42.5,6.16082,59.0,48.820749374493,48.8066246350605,49.3866806010885,52.447,49.3866806010885,4.10811,33,MA
02-11-2013,56.63636,63.0,42.5,6.16082,59.0,49.49497027007099,48.89372719489425,49.545819332028,52.085,49.0458035561175,4.10811,33,MA
02-12-2013,56.63636,63.0,42.5,6.16082,59.0,49.046745205413,48.8254576209705,49.1663346659415,51.964,48.931863991362,4.10811,33,MA
02-13-2013,56.63636,63.0,42.5,6.16082,59.0,49.0834695279375,48.606053335119,49.144676732144994,51.921,48.8913730716555,4.10811,33,MA
02-14-2013,56.63636,63.0,42.5,6.16082,59.0,48.6032283872325,48.6032283872325,49.272741036333,52.216,49.169159613828,4.10811,33,MA
02-15-2013,56.63636,63.0,42.5,6.16082,59.0,48.6182947759605,48.6182947759605,49.430938117977,52.313,49.2604995954915,4.10811,33,MA
02-19-2013,56.89062,63.0,42.5,6.08345,59.0,49.43658801375,49.056161698368,49.5768937587795,52.286,49.235075064513,4.11111,32,MA
02-20-2013,56.89062,63.0,42.5,6.08345,59.0,49.1540932251,48.2981340154905,49.3621977194055,51.291,48.2981340154905,4.11111,32,MA
02-21-2013,57.18438,63.0,42.5,5.58828,59.0,48.4007737887,48.076846431048,49.0533367504815,51.959,48.9271557448845,4.16667,32,MA
02-22-2013,57.18438,63.0,42.5,5.58828,59.0,49.2397833109905,48.7105764069195,49.3829140039065,52.383,49.3264150461765,4.16667,32,MA
02-25-2013,57.18438,63.0,42.5,5.58828,59.0,49.468604089797,48.10886250709501,49.5307529433,51.09,48.10886250709501,4.16667,32,MA
02-26-2013,57.18438,63.0,42.5,5.58828,59.0,48.357457921107,47.775518656488,48.5674457140035,50.97,47.995864591635,4.16667,32,MA
02-27-2013,57.18438,63.0,42.5,5.58828,59.0,48.114512402868,47.83295926351349,48.605111685823495,51.519,48.512830054864494,4.16667,32,MA
02-28-2013,57.18438,63.0,42.5,5.58828,59.0,48.512830054864494,48.343333181674495,49.0945809896244,51.782,48.760483819581,4.16667,32,MA
03-01-2013,57.18438,63.0,42.5,5.58828,59.0,48.49493871825,48.3339166887195,48.91961313402754,51.83,48.805682985765,4.16667,32,MA
03-04-2013,57.18438,63.0,42.5,5.58828,59.0,48.587220349209,48.56659822963755,49.1925125163564,52.141,49.0985359166655,4.16667,32,MA
03-05-2013,57.18438,63.0,42.5,5.58828,59.0,49.204000637761496,49.1399684856675,49.980861306549,52.71,49.634334365805,4.16667,32,MA
03-06-2013,57.18438,63.0,42.5,5.58828,59.0,49.485553777116,49.2812158799925,50.0232355248465,52.758,49.679533531989,4.11111,32,MA
03-07-2013,57.18438,63.0,42.5,5.58828,59.0,49.692716622126,49.502032639787245,49.9074126615,52.667,49.5938434460985,4.11111,32,MA
03-08-2013,57.18438,63.0,42.5,5.58828,59.0,49.9121209079775,49.385738951793,49.93754543895599,52.923,49.8349056657465,4.11111,32,MA
03-11-2013,57.18438,63.0,42.5,5.58828,59.0,49.867863391089,49.7576904235155,50.1400000374885,53.089,49.9912194487995,4.11111,32,MA
03-12-2013,57.18438,63.0,42.5,5.58828,59.0,49.8951712206585,49.175751158896496,50.000635941754496,52.316,49.263324543378005,4.11111,32,MA
03-13-2013,57.18438,63.0,42.5,5.58828,59.0,49.18516765185149,49.071228087096,49.75392382633351,52.748,49.670117039034,4.11111,32,MA
03-14-2013,57.18438,63.0,42.5,5.58828,59.0,49.7708735136525,49.5976100432805,50.0251188234375,52.718,49.64186756016901,4.11111,32,MA
03-15-2013,57.14848,63.0,42.5,5.5067,59.0,49.529811294004496,48.798149791401,49.79723027743354,51.937,48.906439460383496,4.08108,33,MA
