 Date,GS Price Target,GS Price Target - High,GS Price Target - Low,GS Price Target - StdDev,GS Price Target - Median,GS Open,GS Low,GS High,GS Close,GS Adj. Close,GS Rating,GS Price Target - #,Ticker
02-05-2013,146.29167,176.0,112.0,16.39481,148.5,125.34129023649,125.197656806492,127.36905630705,150.45,127.11558554823,3.3,24,GS
02-06-2013,147.33333,176.0,112.0,16.18298,150.0,126.52415377765,126.03411031059798,127.698568293516,151.12,127.681670242928,3.3,24,GS
02-07-2013,147.33333,176.0,112.0,16.18298,150.0,127.377505332344,125.8904768806,128.8476357335,150.26,126.955054067644,3.3,24,GS
02-08-2013,147.33333,176.0,112.0,16.18298,150.0,127.394403382932,127.03109529529,128.399837392918,151.6,128.08722345703998,3.3,24,GS
02-11-2013,147.33333,176.0,112.0,16.18298,150.0,127.935141001748,127.54657032847696,129.160249669378,152.24,128.627961075856,3.3,24,GS
02-12-2013,147.33333,176.0,112.0,16.18298,150.0,128.830737682912,128.24775493762598,130.385358337008,154.11,130.207928805834,3.3,24,GS
02-13-2013,147.33333,176.0,112.0,16.18298,150.0,130.207928805834,129.506659706432,130.83315667758998,154.52,130.554338842888,3.3,24,GS
02-14-2013,147.33333,176.0,112.0,16.18298,150.0,129.979805122896,129.793926566428,132.41227950503858,155.93,131.745651409342,3.3,24,GS
02-15-2013,146.78261,176.0,112.0,16.30939,150.0,132.14275559816,130.182581729952,132.261041952276,154.99,130.95144303170602,3.27586,23,GS
02-19-2013,146.78261,176.0,112.0,16.30939,150.0,131.542874802286,131.17111768935,134.3395021746,158.65,134.04378628931,3.27586,23,GS
02-20-2013,146.78261,176.0,112.0,16.30939,150.0,133.680478201668,130.588134944064,133.91705090989998,155.18,131.111974512292,3.27586,23,GS
02-21-2013,146.78261,176.0,112.0,16.30939,150.0,129.878416819368,126.56639890412,130.07274440113,150.88,127.478893635872,3.27586,23,GS
02-22-2013,146.78261,176.0,112.0,16.30939,150.0,128.737798404678,128.46742959527,130.224826856422,154.09,130.191030755246,3.28571,23,GS
02-25-2013,146.78261,176.0,112.0,16.30939,150.0,131.120423537586,124.70761333944,131.542874802286,147.65,124.74985846591,3.28571,23,GS
02-26-2013,146.78261,176.0,112.0,16.30939,150.0,125.56372093998,124.37683815478,126.70821505428,148.0,125.470465864,3.28571,23,GS
02-27-2013,146.78261,176.0,112.0,16.30939,150.0,125.36025531966,125.26700024368,128.9039482069,151.65,128.5648388397,3.28571,23,GS
02-28-2013,146.78261,176.0,112.0,16.30939,150.0,128.3105068143,126.96254707967998,129.20066890319998,149.76,126.96254707967998,3.28571,23,GS
03-01-2013,146.78261,176.0,112.0,16.30939,150.0,125.57219867416,124.80920259796,128.60722751059998,150.53,127.61533261154,3.28571,23,GS
03-04-2013,146.78261,176.0,112.0,16.30939,150.0,127.17449043418,126.92015840878,129.26001304246,152.18,129.01415875124,3.28571,23,GS
03-05-2013,146.78261,176.0,112.0,16.30939,150.0,130.0908309921,129.5397782704,131.37096885328,152.96,129.67542201728,3.28571,23,GS
03-06-2013,146.78261,176.0,112.0,16.30939,150.0,130.60797277708,129.5397782704,131.4472684609,154.13,130.66731691633998,3.28571,23,GS
03-07-2013,146.78261,176.0,112.0,16.30939,150.0,131.1505477646,130.98099308099998,133.26150357542,156.62,132.77827272716,3.28571,23,GS
03-08-2013,147.59091,176.0,112.0,16.21912,150.0,132.15939813202,128.87003727017998,132.44764109413998,152.98,129.69237748563998,3.2963,22,GS
03-11-2013,148.59091,176.0,117.0,14.59034,150.0,129.2430575741,129.16675796648,130.82839386575998,153.3,129.9636649794,3.2963,22,GS
03-12-2013,148.59091,176.0,117.0,14.59034,150.0,129.9636649794,127.55598847228,130.3875516884,151.85,128.7343935233,3.2963,22,GS
03-13-2013,148.59091,176.0,117.0,14.59034,150.0,128.88699273854,127.65772128244,129.596579089406,151.91,128.78525992838,3.2963,22,GS
03-14-2013,148.59091,176.0,117.0,14.59034,150.0,129.09045835886,128.99720328287998,130.84534933412,154.02,130.57406184036,3.2963,22,GS
03-15-2013,149.77273,176.0,117.0,13.21477,150.0,128.3105068143,128.2681181434,131.93897704333995,154.84,131.26923604312,3.2963,22,GS
03-18-2013,149.77273,176.0,117.0,13.21477,150.0,129.31087944754,127.92053104201996,129.80258802998,151.95,128.81917086509998,3.2963,22,GS
03-19-2013,149.77273,176.0,117.0,13.21477,150.0,129.37870132098,125.31786664876,129.78563256162,148.84,126.18259553512,3.2963,22,GS
03-20-2013,149.7619,176.0,117.0,13.52565,150.0,127.18296816836,126.5301826365,128.42071735864,150.13,127.27622324434,3.30769,21,GS
03-21-2013,149.7619,176.0,117.0,13.52565,150.0,126.56409357322,123.24082177466,127.35252285196,145.38,123.24929950883998,3.30769,21,GS
03-22-2013,149.7619,176.0,117.0,13.52565,150.0,124.20728347118,123.44428739498,125.2161338386,146.6,124.2835830788,3.30769,21,GS
03-25-2013,149.7619,176.0,117.0,13.52565,150.0,125.46198812982,122.65585811624,126.02999631987998,146.11,123.86817410398,3.30769,21,GS
03-26-2013,149.7619,176.0,117.0,13.52565,150.0,125.71632015522,122.81693506566,125.75870882612,146.54,124.23271667372,3.30769,21,GS
03-27-2013,151.13636,176.0,117.0,14.48289,150.0,123.67318621783998,123.65623074948,126.00456311733998,147.84,125.33482211712,3.37037,22,GS
03-28-2013,151.13636,176.0,117.0,14.48289,150.0,125.57219867416,124.73290299034,126.36910568708,147.15,124.7498584587,3.37037,22,GS
04-01-2013,151.13636,176.0,117.0,14.48289,150.0,124.34292721805998,122.5880362428,125.52133226908,146.04,123.80882996472,3.37037,22,GS
04-02-2013,152.04545,180.0,117.0,15.59568,150.0,123.15604443286,122.731309950442,125.03386255373,146.68,124.35140495224,3.2963,22,GS
04-03-2013,152.04545,180.0,117.0,15.59568,150.0,124.41922682567998,120.53642457124,124.51248190166,143.41,121.57918587538,3.2963,22,GS
04-04-2013,152.04545,180.0,117.0,15.59568,150.0,121.67244095136,120.58729097632,122.8847569391,142.99,121.22312103982,3.2963,22,GS
04-05-2013,152.04545,180.0,117.0,15.59568,150.0,119.20542030498,118.97652148212,121.9098175084,143.69,121.81656243242,3.2963,22,GS
04-08-2013,152.04545,180.0,117.0,15.59568,150.0,121.93525071094,120.24818160912,122.1797485646912,143.82,121.92677297676,3.2963,22,GS
04-09-2013,152.04545,180.0,117.0,15.59568,150.0,122.35065968576,122.1354100149298,125.10592329425998,146.52,124.21576120536,3.2963,22,GS
04-10-2013,152.38095,180.0,117.0,15.88493,150.0,124.8770244714,124.8262428436618,126.94559161132,149.46,126.70821505428,3.30769,21,GS
04-11-2013,152.71429,180.0,117.0,15.48007,150.0,126.70821505428,125.65697601596,127.665351243202,149.07,126.37758342125998,3.30769,21,GS
04-12-2013,152.71429,180.0,117.0,15.48007,150.0,125.8095752312,124.63117018017998,126.8269033328,149.12,126.41997209216,3.30769,21,GS
04-15-2013,152.81818,180.0,117.0,15.13165,152.5,126.1062959275,123.37646552154,128.3952841561,146.46,124.16489480028,3.2963,22,GS
04-16-2013,152.90909,180.0,117.0,15.15048,152.5,125.58067640833998,120.50251363452,125.83500843374,144.1,122.1641495338,3.2963,22,GS
04-17-2013,153.04545,180.0,117.0,15.01962,152.5,121.22312103982,117.0351203549,121.74026282479998,140.6,119.1969425708,3.33333,22,GS
04-18-2013,153.04545,180.0,117.0,15.01962,152.5,118.76457812762,116.50102310155998,119.4512745962,138.6,117.50139573479998,3.33333,22,GS
04-19-2013,153.04545,180.0,117.0,15.01962,152.5,118.10331486158,116.8655656713,118.55263477312,138.72,117.60312854496,3.33333,22,GS
04-22-2013,153.04545,180.0,117.0,15.01962,152.5,117.84898283618,116.39081255722,118.56111250729998,139.52,118.28134727936,3.33333,22,GS
04-23-2013,153.04545,180.0,117.0,15.01962,152.5,119.06129882391998,118.62045664656,121.56223040701998,142.94,121.18073236892,3.33333,22,GS
04-24-2013,153.04545,180.0,117.0,15.01962,152.5,121.46049759686,121.19005787651798,122.4608702301,143.93,122.02002805274,3.33333,22,GS
04-25-2013,153.04545,180.0,117.0,15.01962,152.5,122.17262726798,121.8674288375,123.8173076989,144.76,122.72367998967998,3.33333,22,GS
04-26-2013,153.04545,180.0,117.0,15.01962,152.5,122.503258901,121.29094291325998,123.27473271137998,144.11,122.17262726798,3.33333,22,GS
04-29-2013,153.04545,180.0,117.0,15.01962,152.5,122.53716983772,122.00307258438,123.6901416862,145.11,123.02040068598,3.33333,22,GS
04-30-2013,153.04545,180.0,117.0,15.01962,152.5,123.08822255942,122.55412530608,124.23263189637818,146.07,123.83426316726,3.33333,22,GS
05-01-2013,153.04545,180.0,117.0,15.01962,152.5,123.63079754694,120.7229347232,123.63079754694,142.61,120.90096714098,3.33333,22,GS
05-02-2013,153.04545,180.0,117.0,15.01962,152.5,120.96031128024,119.01891015302,121.79960696405998,143.67,121.79960696405998,3.33333,22,GS
05-03-2013,153.27273,180.0,117.0,15.38353,152.5,123.18995536958,122.97801201508,124.48704869912,145.37,123.24082177466,3.33333,22,GS
05-06-2013,153.27273,180.0,117.0,15.38353,152.5,123.70709715455996,123.46972059751998,126.77603692772,148.45,125.85196390209998,3.33333,22,GS
05-07-2013,153.27273,180.0,117.0,15.38353,152.5,126.66582638338,125.090663372736,127.11514629492,149.32,126.58952677576,3.33333,22,GS
05-08-2013,153.27273,180.0,117.0,15.38353,152.5,126.42844982634,125.8095752312,128.00530838382,150.26,127.38643378867998,3.33333,22,GS
05-09-2013,153.27273,180.0,117.0,15.38353,152.5,127.2507900418,125.6824092185,127.89509783948,148.54,125.92826350971998,3.33333,22,GS
05-10-2013,153.27273,180.0,117.0,15.38353,152.5,125.95369671225998,125.047426928418,126.47083849724,149.1,126.4030166238,3.33333,22,GS
05-13-2013,153.27273,180.0,117.0,15.38353,152.5,125.19070063606,124.67355885108,127.44577792794,149.63,126.85233653534,3.33333,22,GS
05-14-2013,153.27273,180.0,117.0,15.38353,152.5,126.742125991,126.742125991,131.35401338492,154.52,130.99794854936,3.33333,22,GS
05-15-2013,153.27273,180.0,117.0,15.38353,152.5,130.59101730871998,130.37907395422,132.488334218204,155.61,131.92202157498,3.33333,22,GS
05-16-2013,153.27273,180.0,117.0,15.38353,152.5,131.17598096714,130.52319543528,133.51159673373002,154.47,130.95555987845998,3.33333,22,GS
05-17-2013,153.27273,180.0,117.0,15.38353,152.5,131.75246689137998,131.40487979,134.54164143659995,158.18,134.10079925924,3.33333,22,GS
05-20-2013,153.27273,180.0,117.0,15.38353,152.5,133.59213520844,133.54126880336,136.05915585482,158.9,134.7111961202,3.33333,22,GS
05-21-2013,153.27273,180.0,117.0,15.38353,152.5,134.51620823405997,134.39751995554,137.1187878499782,160.73,136.26262147513998,3.33333,22,GS
05-22-2013,153.27273,180.0,117.0,15.38353,152.5,136.16088866498,134.39751995554,139.43329405845998,159.34,135.08421642412,3.33333,22,GS
05-23-2013,153.72727,190.0,117.0,16.2877,152.5,132.55785163848,131.08272589115998,134.7026336086782,157.41,133.44801372738,3.33333,22,GS
05-24-2013,153.72727,190.0,117.0,16.2877,152.5,131.88811063825997,131.65073408121998,134.72815158855997,158.72,134.55859690495998,3.33333,22,GS
05-28-2013,153.72727,190.0,117.0,16.2877,152.5,136.85481869770797,135.995861657659,138.351615123932,160.7,136.66771914442998,3.33333,22,GS
05-29-2013,153.72727,190.0,117.0,16.2877,152.5,135.851284730126,135.570635400209,139.58477127053698,162.87,138.513201101763,3.33333,22,GS
05-30-2013,154.18182,190.0,117.0,16.03586,152.5,138.33460607363398,136.9228548989,140.707368590205,164.35,139.771870823815,3.33333,22,GS
05-31-2013,154.18182,190.0,117.0,16.03586,152.5,139.431689817855,137.832839089843,141.0288396408372,162.08,137.841343614992,3.33333,22,GS
06-03-2013,154.18182,190.0,117.0,16.03586,152.5,137.399108307244,135.8921064508412,139.253094789726,163.56,139.100013337044,3.33333,22,GS
06-04-2013,154.86364,190.0,117.0,16.37153,152.5,139.014968085554,136.49762864145,140.953999819526,161.68,137.501162609032,3.33333,22,GS
06-05-2013,155.40909,190.0,117.0,16.59863,152.5,137.288549480307,133.988793722495,138.530210152061,158.3,134.62663310867,3.33333,22,GS
06-06-2013,155.40909,190.0,117.0,16.59863,152.5,134.62663310867,132.9605966319809,135.893807355871,159.68,135.800257579232,3.33333,22,GS
06-07-2013,156.30435,190.0,117.0,16.40635,155.0,136.897341323453,136.574169367791,141.31969440093297,166.01,141.18362199854897,3.32143,23,GS
06-10-2013,156.30435,190.0,117.0,16.40635,155.0,141.77043423382997,140.571296187821,143.04611300617998,167.49,142.442291720601,3.32143,23,GS
06-11-2013,156.30435,190.0,117.0,16.40635,155.0,140.62232333871498,138.78534590653098,141.5135975743302,163.31,138.887400208319,3.32143,23,GS
06-12-2013,156.95652,190.0,117.0,16.28143,155.0,140.30765590820198,136.98238657494298,140.30765590820198,161.86,137.654244061714,3.32143,23,GS
06-13-2013,156.95652,190.0,117.0,16.28143,155.0,137.09294540187997,136.98238657494298,141.506793954211,165.82,141.022036020718,3.32143,23,GS
06-14-2013,156.95652,190.0,117.0,16.28143,155.0,140.953999819526,138.547219202359,141.26858220478752,162.92,138.555723727508,3.32143,23,GS
06-17-2013,156.95652,190.0,117.0,16.28143,155.0,139.542248644792,138.5429669397845,140.89446814348298,164.11,139.56776222023902,3.32143,23,GS
06-18-2013,156.95652,190.0,117.0,16.28143,155.0,139.601780320835,138.666282554445,140.2140210863115,164.15,139.601780320835,3.32143,23,GS
06-19-2013,156.95652,190.0,117.0,16.28143,155.0,139.61028484598398,137.35658568149898,140.265133282457,161.56,137.399108307244,3.32143,23,GS
06-20-2013,156.95652,190.0,117.0,16.28143,155.0,135.349517746335,131.684067407116,136.063897858851,155.41,132.168825340609,3.32143,23,GS
06-21-2013,156.95652,190.0,117.0,16.28143,155.0,133.5210448393,129.52391801927,133.742162493174,154.25,131.182300423325,3.32143,23,GS
06-24-2013,156.95652,190.0,117.0,16.28143,155.0,129.260277739651,126.470793490779,129.77905377373995,150.78,128.231230196622,3.32143,23,GS
06-25-2013,156.95652,190.0,117.0,16.28143,155.0,129.651485896505,128.886078633095,131.233327574219,153.06,130.170261930594,3.32143,23,GS
06-26-2013,156.73913,190.0,117.0,16.13858,155.0,131.37790450175197,128.205716621175,131.445940702944,151.66,128.97962840973398,3.32143,23,GS
06-27-2013,156.73913,190.0,117.0,16.13858,155.0,130.144748355147,129.787558298889,131.811635284351,153.51,130.552965562299,3.32143,23,GS
06-28-2013,156.95652,190.0,117.0,16.34806,155.0,129.855594500081,128.41832974989998,129.923630701273,151.25,128.630942878625,3.32143,23,GS
07-01-2013,156.95652,190.0,117.0,16.34806,155.0,129.932135226422,129.01364651032998,131.05473254608998,151.75,129.056169136075,3.32143,23,GS
07-02-2013,158.0,190.0,117.0,16.3175,157.0,128.55440215228398,127.48283198351,130.280820757531,150.92,128.35029354870798,3.32143,23,GS
07-03-2013,158.0,190.0,117.0,16.3175,157.0,127.244705279338,126.955551424272,128.77551980615797,150.43,127.933571816407,3.32143,23,GS
07-05-2013,158.0,190.0,117.0,16.3175,157.0,129.52391801927,128.84355600735,130.36586600902098,153.24,130.323343383276,3.32143,23,GS
07-08-2013,158.0,190.0,117.0,16.3175,157.0,131.462949753242,130.01718047791198,131.65004930652,153.81,130.80810131676898,3.32143,23,GS
07-09-2013,158.0,190.0,117.0,16.3175,157.0,131.811635284351,130.26381170723295,133.89524394585598,156.94,133.470017688406,3.32143,23,GS
07-10-2013,158.0,190.0,117.0,16.3175,157.0,133.155350257893,131.53949047958298,134.05045152982524,155.83,132.526015396867,3.32143,23,GS
07-11-2013,158.0,190.0,117.0,16.3175,157.0,134.79672361164998,132.764142101039,135.851284730126,157.71,134.124866124879,3.32143,23,GS
07-12-2013,158.0,190.0,117.0,16.3175,157.0,134.898777913438,134.84349849996948,136.310529088172,160.11,136.165952160639,3.32143,23,GS
07-15-2013,158.75,190.0,117.0,16.37389,159.0,138.45366942572,137.058927301284,138.95543640951098,163.0,138.6237599287,3.37931,24,GS
07-16-2013,160.91667,190.0,117.0,17.816,161.0,139.40617624240798,135.587644450507,139.72934819807,160.24,136.276510987576,3.34483,24,GS
07-17-2013,162.45833,190.0,117.0,18.14061,162.5,135.93632998161598,135.64717612655,137.764802888651,161.5,137.34808115635,3.34483,24,GS
07-18-2013,162.45833,190.0,117.0,18.14061,162.5,137.416117357542,137.34808115635,139.967474902242,164.06,139.525239594494,3.34483,24,GS
07-19-2013,162.45833,190.0,117.0,18.14061,162.5,139.261599314875,138.266569872442,140.197097081265,164.36,139.780375348964,3.34483,24,GS
07-22-2013,161.86957,190.0,117.0,18.30492,160.0,139.431689817855,139.37215814181198,141.455766803317,166.25,141.387730602125,3.28571,23,GS
07-23-2013,161.86957,190.0,117.0,18.30492,160.0,141.60034373085,140.73288216565197,142.374255519409,166.26,141.396235127274,3.28571,23,GS
07-24-2013,162.69565,190.0,117.0,17.90418,163.0,141.812956859575,139.848411550156,141.93202021166098,165.04,140.358683059096,3.28571,23,GS
07-25-2013,163.21739,190.0,117.0,17.93456,165.0,139.71233914777198,139.210572163981,141.17511747339998,165.91,141.09857674705898,3.28571,23,GS
07-26-2013,163.21739,190.0,117.0,17.93456,165.0,140.36718758424502,139.703834622623,140.877459093185,165.26,140.54578261237398,3.28571,23,GS
07-29-2013,163.21739,190.0,117.0,17.93456,165.0,140.009997527987,137.790316464098,140.17668622090738,163.17,138.768336856233,3.28571,23,GS
07-30-2013,163.21739,190.0,117.0,17.93456,165.0,139.040481661001,138.053956743717,139.48271696874895,162.43,138.139001995207,3.28571,23,GS
07-31-2013,163.21739,190.0,117.0,17.93456,165.0,138.22404724669698,138.139001995207,141.149603897953,164.03,139.499726019047,3.28571,23,GS
08-01-2013,163.21739,190.0,117.0,17.93456,165.0,140.953999819526,140.222610656712,142.7867249891355,167.49,142.442291720601,3.28571,23,GS
08-02-2013,163.21739,190.0,117.0,17.93456,165.0,141.880993060767,141.566325630254,142.7901267991951,167.62,142.552850547538,3.28571,23,GS
08-05-2013,163.21739,190.0,117.0,17.93456,165.0,142.263696692472,141.55016703247088,144.313287253381,168.32,143.14816730796798,3.28571,23,GS
08-06-2013,163.21739,190.0,117.0,17.93456,165.0,142.93555417924298,139.873925125603,143.11414920737198,164.78,140.137565405222,3.28571,23,GS
08-07-2013,163.21739,190.0,117.0,17.93456,165.0,139.47421244359998,137.815830039545,139.669816522027,163.45,139.006463560405,3.28571,23,GS
08-08-2013,163.21739,190.0,117.0,17.93456,165.0,140.112051829775,138.479183001167,141.540812054807,162.84,138.487687526316,3.28571,23,GS
08-09-2013,163.21739,190.0,117.0,17.93456,165.0,138.11348841976,137.790316464098,139.55925769509,162.13,137.88386624073698,3.28571,23,GS
08-12-2013,163.21739,190.0,117.0,17.93456,165.0,137.54368523477697,136.540151267195,138.096479369462,161.69,137.509667134181,3.28571,23,GS
08-13-2013,163.21739,190.0,117.0,17.93456,165.0,137.764802888651,136.88033227315498,139.941961326795,163.71,139.227581214279,3.28571,23,GS
08-14-2013,163.21739,190.0,117.0,17.93456,165.0,139.346644566365,138.56465347891444,140.15457445552,163.34,138.912913783766,3.28571,23,GS
08-15-2013,163.21739,190.0,117.0,17.93456,165.0,137.696766687459,136.131934060043,137.747793838353,160.75,136.710241770175,3.28571,23,GS
08-16-2013,163.21739,190.0,117.0,17.93456,165.0,136.310529088172,136.097915959447,138.01993864312098,160.66,136.63370104383398,3.28571,23,GS
08-19-2013,163.21739,190.0,117.0,17.93456,165.0,136.21697931153298,134.822237187097,136.74425987077095,158.63,134.90728243858698,3.28571,23,GS
08-20-2013,163.21739,190.0,117.0,17.93456,165.0,134.983823164928,134.184397800922,136.09621505441717,159.56,135.698203277444,3.28571,23,GS
08-21-2013,163.21739,190.0,117.0,17.93456,165.0,135.03485031582198,133.10432310699898,135.4174689022755,157.11,133.614594615939,3.28571,23,GS
08-22-2013,163.21739,190.0,117.0,17.93456,165.0,134.209911376369,133.69113534227998,135.783248528934,159.41,135.570635400209,3.28571,23,GS
08-23-2013,163.5,190.0,117.0,18.28748,165.0,135.723716852891,134.3714973542,135.8921064508412,158.65,134.924291488885,3.25926,22,GS
08-26-2013,163.5,190.0,117.0,18.28748,165.0,134.720182885309,134.158884225475,136.66771914442998,157.9,134.28645210271,3.25926,22,GS
08-27-2013,163.5,190.0,117.0,18.28748,165.0,132.432465620228,130.059703103657,133.121332157297,153.23,130.314838858127,3.25926,22,GS
08-28-2013,163.5,190.0,117.0,18.28748,165.0,130.5452127591,129.222695897815,131.52643494650502,152.97,130.519615658559,3.25926,22,GS
08-29-2013,163.5,190.0,117.0,18.28748,165.0,130.007673647739,129.768767376023,131.97865038939602,153.63,131.082751870461,3.25926,22,GS
08-30-2013,163.5,190.0,117.0,18.28748,165.0,131.20220500631902,129.12030749565102,131.38351780181773,152.13,129.802896843411,3.25926,22,GS
09-03-2013,163.5,190.0,117.0,18.28748,165.0,131.808003052456,130.988895835144,133.13734580721862,154.76,132.046909324172,3.25926,22,GS
09-04-2013,163.5,190.0,117.0,18.28748,165.0,132.046909324172,131.697082283445,134.171468669075,155.74,132.883081275178,3.25926,22,GS
09-05-2013,163.5,190.0,117.0,18.28748,165.0,133.096390446353,132.73803103877898,134.854058016835,156.17,133.249973049599,3.25926,22,GS
09-06-2013,163.5,190.0,117.0,18.28748,165.0,133.941094764206,130.903572166674,134.563957544037,156.66,133.668059025102,3.25926,22,GS
09-09-2013,163.5,190.0,117.0,18.28748,165.0,134.307986538627,134.094677367452,136.26189854659,159.49,136.08271884280302,3.25926,22,GS
09-10-2013,163.5,190.0,117.0,18.28748,165.0,139.060514872406,138.702155464832,141.236268418391,165.14,140.90350611135798,3.25926,22,GS
09-11-2013,163.5,190.0,117.0,18.28748,165.0,140.724326407571,139.743104220166,141.45802463274453,165.06,140.83524717658202,3.25926,22,GS
09-12-2013,163.5,190.0,117.0,18.28748,165.0,140.647535105948,139.137306174029,141.048556347757,163.35,139.376212445745,3.25926,22,GS
09-13-2013,163.5,190.0,117.0,18.28748,165.0,140.255046230986,139.04345013871202,140.5408805203605,164.0,139.9308162908,3.25926,22,GS
09-16-2013,163.5,190.0,117.0,18.28748,165.0,141.901793032457,140.946167945593,143.8304492345529,167.03,142.516123445441,3.25926,22,GS
09-17-2013,163.5,190.0,117.0,18.28748,165.0,142.652641314993,141.347189187402,142.985403622026,167.42,142.848885752474,3.25926,22,GS
09-18-2013,163.5,190.0,117.0,18.28748,165.0,142.06390800255,141.33012445370798,144.273791015923,168.06,143.394957230682,3.25926,22,GS
