 Date,META Price Target,META Price Target - High,META Price Target - Low,META Price Target - StdDev,META Price Target - Median,META Open,META Low,META High,META Close,META Adj. Close,META Rating,META Price Target - #,Ticker
02-05-2013,33.51562,40.0,22.5,4.0029,33.5,28.26,28.04,28.96,28.64,28.64,3.94872,32,META
02-06-2013,33.51562,40.0,22.5,4.0029,33.5,28.74,28.66,29.29,29.05,29.05,3.94872,32,META
02-07-2013,33.51562,40.0,22.5,4.0029,33.5,29.11,28.27,29.15,28.65,28.65,3.94872,32,META
02-08-2013,33.51562,40.0,22.5,4.0029,33.5,28.89,28.51,29.17,28.545,28.545,3.94872,32,META
02-11-2013,33.32812,40.0,22.5,4.1601,33.5,28.61,28.04,28.68,28.26,28.26,3.89744,32,META
02-12-2013,32.98485,40.0,22.0,4.53352,33.0,27.67,27.1,28.16,27.37,27.37,3.84615,33,META
02-13-2013,32.98485,40.0,22.0,4.53352,33.0,27.36,27.31,28.32,27.9075,27.9075,3.84615,33,META
02-14-2013,32.98485,40.0,22.0,4.53352,33.0,28.02,28.01,28.63,28.5,28.5,3.84615,33,META
02-15-2013,32.98485,40.0,22.0,4.53352,33.0,28.52,28.09,28.75,28.32,28.32,3.84615,33,META
02-19-2013,32.83824,40.0,22.0,4.54507,33.0,28.23,28.12,29.08,28.93,28.93,3.825,34,META
02-20-2013,32.83824,40.0,22.0,4.54507,33.0,28.92,28.33,29.05,28.462,28.462,3.825,34,META
02-21-2013,32.83824,40.0,22.0,4.54507,33.0,28.28,27.15,28.55,27.283,27.283,3.825,34,META
02-22-2013,32.83824,40.0,22.0,4.54507,33.0,27.62,26.82,27.63,27.13,27.13,3.825,34,META
02-25-2013,32.83824,40.0,22.0,4.54507,33.0,27.16,27.15,27.64,27.27,27.27,3.825,34,META
02-26-2013,32.83824,40.0,22.0,4.54507,33.0,27.36,26.7,27.46,27.39,27.39,3.825,34,META
02-27-2013,32.90882,40.0,22.0,4.40029,33.0,27.34,26.63,27.34,26.87,26.87,3.825,34,META
02-28-2013,32.90882,40.0,22.0,4.40029,33.0,26.84,26.34,27.3,27.25,27.25,3.825,34,META
03-01-2013,32.90882,40.0,22.0,4.40029,33.0,27.05,26.81,28.1164,27.78,27.78,3.85,34,META
03-04-2013,32.90882,40.0,22.0,4.40029,33.0,27.76,27.44,28.06,27.72,27.72,3.825,34,META
03-05-2013,32.90882,40.0,22.0,4.40029,33.0,27.88,27.21,28.18,27.52,27.52,3.825,34,META
03-06-2013,32.90882,40.0,22.0,4.40029,33.0,28.1,27.35,28.13,27.4525,27.4525,3.825,34,META
03-07-2013,32.90882,40.0,22.0,4.40029,33.0,27.57,27.47,28.675,28.578,28.578,3.825,34,META
03-08-2013,32.90882,40.0,22.0,4.40029,33.0,28.425,27.73,28.47,27.96,27.96,3.825,34,META
03-11-2013,32.90882,40.0,22.0,4.40029,33.0,28.01,27.83,28.64,28.14,28.14,3.825,34,META
03-12-2013,32.90882,40.0,22.0,4.40029,33.0,28.1,27.6,28.32,27.83,27.83,3.825,34,META
03-13-2013,32.90882,40.0,22.0,4.40029,33.0,27.62,26.92,27.65,27.08,27.08,3.825,34,META
03-14-2013,32.90882,40.0,22.0,4.40029,33.0,27.1,26.83,27.43,27.04,27.04,3.825,34,META
03-15-2013,32.90882,40.0,22.0,4.40029,33.0,27.03,26.56,27.06,26.645,26.645,3.825,34,META
03-18-2013,32.90882,40.0,22.0,4.40029,33.0,26.37,25.78,26.79,26.49,26.49,3.825,34,META
03-19-2013,32.99697,40.0,22.0,4.43679,33.0,26.53,26.21,26.9,26.55,26.55,3.8,33,META
03-20-2013,32.99697,40.0,22.0,4.43679,33.0,26.68,25.78,26.69,25.86,25.86,3.8,33,META
