 Date,META Price Target,META Price Target - High,META Price Target - Low,META Price Target - StdDev,META Price Target - Median,META Open,META Low,META High,META Close,META Adj. Close,META Rating,META Price Target - #,Ticker
03-21-2013,32.99697,40.0,22.0,4.43679,33.0,25.66,25.56,26.11,25.74,25.74,3.8,33,META
03-22-2013,32.99697,40.0,22.0,4.43679,33.0,25.796,25.63,26.01,25.73,25.73,3.8,33,META
03-25-2013,32.99697,40.0,22.0,4.43679,33.0,25.75,25.078,25.8,25.131,25.131,3.8,33,META
03-26-2013,32.99697,40.0,22.0,4.43679,33.0,25.08,25.03,25.48,25.205,25.205,3.8,33,META
03-27-2013,32.99697,40.0,22.0,4.43679,33.0,25.0,24.72,26.28,26.09,26.09,3.8,33,META
03-28-2013,32.99697,40.0,22.0,4.43679,33.0,26.09,25.52,26.17,25.58,25.58,3.8,33,META
04-01-2013,32.79118,40.0,22.0,4.52811,33.0,25.63,25.28,25.89,25.53,25.53,3.78049,34,META
04-02-2013,32.79118,40.0,22.0,4.52811,33.0,25.77,25.3,26.12,25.42,25.42,3.78049,34,META
04-03-2013,32.79118,40.0,22.0,4.52811,33.0,25.83,25.7,26.39,26.25,26.25,3.78049,34,META
04-04-2013,32.72424,40.0,22.0,4.5796,33.0,26.62,26.11,27.2301,27.0725,27.0725,3.775,33,META
04-05-2013,32.72424,40.0,22.0,4.5796,33.0,26.86,26.61,27.8,27.39,27.39,3.85,33,META
04-08-2013,32.72424,40.0,22.0,4.5796,33.0,27.19,26.63,27.2,26.849,26.849,3.85,33,META
04-09-2013,32.69394,40.0,22.0,4.58098,32.0,26.58,26.42,26.89,26.59,26.59,3.85,33,META
04-10-2013,32.69394,40.0,22.0,4.58098,32.0,27.01,26.9,27.84,27.57,27.57,3.85,33,META
04-11-2013,32.69394,40.0,22.0,4.58098,32.0,27.48,27.25,28.1,28.0175,28.0175,3.85,33,META
04-12-2013,32.71562,40.0,22.0,4.65034,32.5,28.0,27.24,28.0,27.4,27.4,3.84615,32,META
04-15-2013,32.71562,40.0,22.0,4.65034,32.5,27.16,26.36,27.48,26.52,26.52,3.84615,32,META
04-16-2013,32.71562,40.0,22.0,4.65034,32.5,26.81,26.4,27.11,26.92,26.92,3.84615,32,META
04-17-2013,32.71562,40.0,22.0,4.65034,32.5,26.65,26.39,27.2,26.625,26.625,3.84615,32,META
04-18-2013,32.71562,40.0,22.0,4.65034,32.5,26.82,25.15,26.82,25.69,25.69,3.84615,32,META
04-19-2013,32.71562,40.0,22.0,4.65034,32.5,25.62,25.33,25.96,25.73,25.73,3.84615,32,META
04-22-2013,32.71562,40.0,22.0,4.65034,32.5,25.81,25.7,26.36,25.97,25.97,3.84615,32,META
04-23-2013,32.71562,40.0,22.0,4.65034,32.5,26.215,25.77,26.33,25.98,25.98,3.84615,32,META
04-24-2013,32.71562,40.0,22.0,4.65034,32.5,25.93,25.8,26.4,26.11,26.11,3.84615,32,META
04-25-2013,32.71562,40.0,22.0,4.65034,32.5,26.07,26.0,26.4,26.14,26.14,3.84615,32,META
04-26-2013,32.71562,40.0,22.0,4.65034,32.5,26.6,26.6,27.62,26.85,26.85,3.87179,32,META
04-29-2013,32.80323,40.0,22.0,4.69869,33.0,27.16,26.86,27.41,26.98,26.98,3.89474,31,META
04-30-2013,32.80323,40.0,22.0,4.69869,33.0,27.13,27.005,27.85,27.769,27.769,3.89474,31,META
05-01-2013,33.13,40.0,22.0,4.46879,33.5,27.85,27.31,27.915,27.43,27.43,3.89474,30,META
05-02-2013,33.13,40.0,22.0,4.46879,34.0,28.01,27.98,29.02,28.97,28.97,3.89474,30,META
05-03-2013,33.13,40.0,22.0,4.46879,34.0,29.04,28.15,29.07,28.311,28.311,3.89474,30,META
05-06-2013,33.13,40.0,22.0,4.46879,34.0,28.33,27.48,28.46,27.57,27.57,3.89474,30,META
05-07-2013,33.13,40.0,22.0,4.46879,34.0,27.55,26.85,27.85,26.889,26.889,3.89474,30,META
05-08-2013,33.13,40.0,22.0,4.46879,34.0,26.88,26.65,27.3,27.12,27.12,3.89474,30,META
05-09-2013,33.13,40.0,22.0,4.46879,34.0,27.08,26.85,27.55,27.04,27.04,3.89474,30,META
05-10-2013,33.13,40.0,22.0,4.46879,34.0,27.14,26.57,27.3,26.68,26.68,3.89474,30,META
05-13-2013,33.13,40.0,22.0,4.46879,34.0,26.6,26.531,27.325,26.82,26.82,3.89474,30,META
05-14-2013,33.13,40.0,22.0,4.46879,34.0,26.885,26.82,27.28,27.07,27.07,3.89474,30,META
05-15-2013,33.13,40.0,22.0,4.46879,34.0,26.92,26.4,26.99,26.6,26.6,3.89474,30,META
05-16-2013,33.06333,40.0,22.0,4.55884,34.0,26.48,25.9,26.55,26.13,26.13,3.89474,30,META
05-17-2013,33.06333,40.0,22.0,4.55884,34.0,26.4,26.2,26.6,26.25,26.25,3.89474,30,META
05-20-2013,33.06333,40.0,22.0,4.55884,34.0,26.18,25.69,26.19,25.759,25.759,3.89474,30,META
05-21-2013,33.06333,40.0,22.0,4.55884,34.0,25.87,25.59,26.075,25.66,25.66,3.89474,30,META
05-22-2013,33.06333,40.0,22.0,4.55884,34.0,25.65,24.92,25.85,25.159,25.159,3.89474,30,META
05-23-2013,33.06333,40.0,22.0,4.55884,34.0,24.8,24.77,25.53,25.06,25.06,3.89474,30,META
05-24-2013,33.06333,40.0,22.0,4.55884,34.0,24.97,24.08,24.97,24.3125,24.3125,3.89474,30,META
05-28-2013,33.06333,40.0,22.0,4.55884,34.0,24.54,23.92,24.54,24.1,24.1,3.89474,30,META
05-29-2013,33.06333,40.0,22.0,4.55884,34.0,23.79,23.26,23.81,23.32,23.32,3.89474,30,META
05-30-2013,33.13,40.0,22.0,4.54277,34.0,24.13,23.93,24.779,24.55,24.55,4.02632,30,META
05-31-2013,33.13,40.0,22.0,4.54277,34.0,24.63,24.27,24.95,24.348,24.348,4.02632,30,META
06-03-2013,33.13,40.0,22.0,4.54277,34.0,24.265,23.71,24.32,23.848,23.848,4.02632,30,META
06-04-2013,33.13,40.0,22.0,4.54277,34.0,23.89,23.32,23.93,23.52,23.52,4.02632,30,META
06-05-2013,33.13,40.0,22.0,4.54277,34.0,23.35,22.79,23.705,22.899,22.899,4.02632,30,META
06-06-2013,33.13,40.0,22.0,4.54277,34.0,22.99,22.67,23.09,22.97,22.97,4.02632,30,META
06-07-2013,33.13,40.0,22.0,4.54277,34.0,23.03,22.86,23.4,23.291,23.291,4.02632,30,META
06-10-2013,32.99677,40.0,22.0,4.52808,34.0,24.06,23.99,24.6,24.33,24.33,4.07895,31,META
06-11-2013,32.99677,40.0,22.0,4.52808,34.0,24.03,24.0,24.35,24.03,24.03,4.07895,31,META
06-12-2013,32.62188,40.0,21.0,4.92137,33.5,24.16,23.58,24.26,23.77,23.77,4.07895,32,META
06-13-2013,32.62188,40.0,21.0,4.92137,33.5,23.72,23.265,23.83,23.73,23.73,4.07895,32,META
06-14-2013,32.62188,40.0,21.0,4.92137,33.5,23.56,23.26,23.89,23.63,23.63,4.07895,32,META
06-17-2013,32.62188,40.0,21.0,4.92137,33.5,23.91,23.75,24.25,24.022,24.022,4.07895,32,META
06-18-2013,32.62188,40.0,21.0,4.92137,33.5,24.09,24.08,24.69,24.21,24.21,4.07895,32,META
06-19-2013,32.62188,40.0,21.0,4.92137,33.5,24.2,24.1,25.19,24.309,24.309,4.07895,32,META
06-20-2013,32.62188,40.0,21.0,4.92137,33.5,24.28,23.65,24.745,23.9,23.9,4.10256,32,META
06-21-2013,32.68438,40.0,21.0,4.87475,33.5,24.59,24.05,24.7,24.53,24.53,4.15385,32,META
06-24-2013,32.68438,40.0,21.0,4.87475,33.5,23.95,23.38,24.11,23.935,23.935,4.15385,32,META
06-25-2013,32.68438,40.0,21.0,4.87475,33.5,24.14,24.04,24.43,24.25,24.25,4.15385,32,META
06-26-2013,32.68438,40.0,21.0,4.87475,33.5,24.51,23.99,24.65,24.16,24.16,4.15385,32,META
06-27-2013,32.54516,40.0,21.0,4.88974,33.0,24.24,24.21,24.84,24.66,24.66,4.15385,31,META
06-28-2013,32.54516,40.0,21.0,4.88974,33.0,24.68,24.42,24.98,24.88,24.88,4.15385,31,META
07-01-2013,32.54516,40.0,21.0,4.88974,33.0,24.9694,24.62,25.0601,24.81,24.81,4.15385,31,META
07-02-2013,32.54516,40.0,21.0,4.88974,33.0,24.7,24.3,24.77,24.41,24.41,4.15385,31,META
07-03-2013,32.54516,40.0,21.0,4.88974,33.0,24.22,24.15,24.71,24.52,24.52,4.15385,31,META
07-05-2013,32.54516,40.0,21.0,4.88974,33.0,24.65,24.2,24.66,24.37,24.37,4.15385,31,META
07-08-2013,32.54516,40.0,21.0,4.88974,33.0,24.47,24.42,25.04,24.71,24.71,4.15385,31,META
07-09-2013,32.54516,40.0,21.0,4.88974,33.0,25.07,25.03,25.49,25.48,25.48,4.15385,31,META
07-10-2013,32.11818,40.0,21.0,5.04209,33.0,25.58,25.47,25.83,25.8,25.8,4.09756,33,META
07-11-2013,32.11818,40.0,21.0,5.04209,33.0,25.96,25.45,26.0,25.81,25.81,4.09756,33,META
07-12-2013,32.11818,40.0,21.0,5.04209,33.0,25.74,25.55,25.93,25.91,25.91,4.09756,33,META
07-15-2013,32.25429,40.0,21.0,5.03175,33.0,25.93,25.65,26.43,26.28,26.28,4.13953,35,META
07-16-2013,32.25429,40.0,21.0,5.03175,33.0,26.39,26.01,26.75,26.32,26.32,4.13953,35,META
07-17-2013,32.25429,40.0,21.0,5.03175,33.0,26.37,26.3,26.78,26.65,26.65,4.13953,35,META
07-18-2013,32.25429,40.0,21.0,5.03175,33.0,26.75,26.12,26.77,26.18,26.18,4.13953,35,META
07-19-2013,32.25429,40.0,21.0,5.03175,33.0,25.82,25.6,26.1077,25.881,25.881,4.13953,35,META
07-22-2013,32.02647,40.0,21.0,4.92409,32.5,25.99,25.72,26.13,26.045,26.045,4.11905,34,META
07-23-2013,32.31143,40.0,21.0,5.07379,33.0,26.1,25.97,26.3,26.13,26.13,4.11905,35,META
07-24-2013,32.31143,40.0,21.0,5.07379,33.0,26.32,26.05,26.53,26.51,26.51,4.11905,35,META
07-25-2013,36.71171,46.0,24.9,4.7495,37.0,33.545,32.75,34.88,34.359,34.359,4.21429,35,META
07-26-2013,36.71171,46.0,24.9,4.7495,37.0,33.77,33.56,34.73,34.01,34.01,4.16667,35,META
07-29-2013,36.71171,46.0,24.9,4.7495,37.0,34.07,34.01,35.63,35.43,35.43,4.16667,35,META
07-30-2013,36.71171,46.0,24.9,4.7495,37.0,35.65,35.32,37.96,37.627,37.627,4.14286,35,META
07-31-2013,36.69757,46.0,24.9,4.6215,37.0,37.96,36.33,38.31,36.8,36.8,4.06977,37,META
08-01-2013,36.69757,46.0,24.9,4.6215,37.0,37.3,36.92,38.29,37.489,37.489,4.06977,37,META
08-02-2013,36.86342,46.0,24.9,4.67054,37.0,37.66,37.5,38.49,38.05,38.05,4.06977,38,META
08-05-2013,37.28447,46.0,24.9,4.61851,37.0,38.43,38.25,39.32,39.189,39.189,4.06977,38,META
08-06-2013,37.28447,46.0,24.9,4.61851,37.0,39.11,37.94,39.25,38.55,38.55,4.06977,38,META
08-07-2013,37.495,46.0,24.9,4.78025,37.0,38.61,37.7,38.94,38.87,38.87,4.06977,38,META
08-08-2013,37.495,46.0,24.9,4.78025,37.0,39.13,38.43,39.19,38.54,38.54,4.06977,38,META
08-09-2013,37.73184,46.0,24.9,4.92119,37.5,38.59,38.01,38.74,38.5,38.5,4.06977,38,META
08-12-2013,37.73184,46.0,24.9,4.92119,37.5,38.2,38.1,38.5,38.22,38.22,4.06977,38,META
08-13-2013,37.73184,46.0,24.9,4.92119,37.5,38.24,36.77,38.32,37.019,37.019,4.06977,38,META
08-14-2013,37.73184,46.0,24.9,4.92119,37.5,36.83,36.62,37.55,36.65,36.65,4.06977,38,META
08-15-2013,37.73184,46.0,24.9,4.92119,37.5,36.36,36.0201,37.07,36.56,36.56,4.06977,38,META
08-16-2013,37.99513,47.0,24.9,5.08648,38.0,36.97,36.9,37.49,37.08,37.08,4.04651,39,META
08-19-2013,38.57025,50.0,24.9,5.41529,38.005,37.43,37.14,38.28,37.81,37.81,4.06818,40,META
08-20-2013,38.57025,50.0,24.9,5.41529,38.005,38.35,37.69,38.58,38.41,38.41,4.06818,40,META
08-21-2013,38.57025,50.0,24.9,5.41529,38.005,38.38,38.145,38.85,38.32,38.32,4.06818,40,META
08-22-2013,38.57025,50.0,24.9,5.41529,38.005,38.37,38.34,38.75,38.55,38.55,4.06818,40,META
08-23-2013,38.57025,50.0,24.9,5.41529,38.005,39.0,38.93,40.63,40.55,40.55,4.06818,40,META
08-26-2013,38.69525,50.0,24.9,5.50383,38.005,40.9,40.62,41.94,41.34,41.34,4.06818,40,META
08-27-2013,38.69525,50.0,24.9,5.50383,38.005,40.68,39.42,41.2,39.64,39.64,4.06818,40,META
08-28-2013,38.69525,50.0,24.9,5.50383,38.005,39.96,39.88,40.85,40.548,40.548,4.06818,40,META
08-29-2013,38.69525,50.0,24.9,5.50383,38.005,40.89,40.8,41.78,41.28,41.28,4.06818,40,META
08-30-2013,38.995,50.0,24.9,5.77802,38.5,42.025,41.06,42.26,41.294,41.294,4.06818,40,META
09-03-2013,39.41842,50.0,28.0,5.44339,39.5,41.84,41.51,42.165,41.87,41.87,4.14286,38,META
09-04-2013,39.78684,50.0,28.0,5.66867,40.0,42.01,41.44,42.17,41.78,41.78,4.14286,38,META
09-05-2013,40.12895,50.0,28.0,5.76098,40.0,41.79,41.77,42.765,42.66,42.66,4.14286,38,META
09-06-2013,40.52368,55.0,28.0,6.23316,40.0,43.09,42.4,44.61,43.95,43.95,4.14286,38,META
09-09-2013,41.28684,55.0,28.0,6.71778,41.0,44.36,43.7,44.79,44.04,44.04,4.11905,38,META
09-10-2013,41.28684,55.0,28.0,6.71778,41.0,44.24,43.23,44.26,43.6,43.6,4.11905,38,META
09-11-2013,41.76053,60.0,28.0,7.35568,41.0,43.39,43.11,45.09,45.04,45.04,4.11905,38,META
09-12-2013,42.31316,60.0,28.0,7.72468,42.0,45.53,44.65,45.62,44.75,44.75,4.11905,38,META
09-13-2013,42.65526,60.0,28.0,7.76953,43.0,45.04,43.93,45.08,44.31,44.31,4.11905,38,META
09-16-2013,42.81316,60.0,28.0,7.89584,43.0,44.85,42.43,44.94,42.51,42.51,4.11905,38,META
09-17-2013,42.81316,60.0,28.0,7.89584,43.0,42.5,42.43,45.44,45.07,45.07,4.11905,38,META
09-18-2013,43.30513,60.0,28.0,7.95465,45.0,44.84,44.395,45.47,45.23,45.23,4.13953,39,META
09-19-2013,43.30513,60.0,28.0,7.95465,45.0,45.51,45.23,46.05,45.98,45.98,4.13953,39,META
09-20-2013,43.92051,60.0,28.0,7.74988,45.0,46.32,45.74,47.6,47.49,47.49,4.18605,39,META
09-23-2013,43.92051,60.0,28.0,7.74988,45.0,47.28,46.29,47.55,47.19,47.19,4.18605,39,META
09-24-2013,43.92051,60.0,28.0,7.74988,45.0,48.505,48.16,49.66,48.45,48.45,4.18605,39,META
09-25-2013,45.3475,60.0,28.0,7.96709,46.5,49.23,48.46,49.54,49.46,49.46,4.25,40,META
09-26-2013,46.1975,60.0,28.0,8.20434,47.5,50.01,49.5,50.6,50.39,50.39,4.25,40,META
09-27-2013,47.0475,62.0,28.0,8.79221,49.0,50.29,49.86,51.28,51.24,51.24,4.25,40,META
09-30-2013,47.0475,62.0,28.0,8.79221,49.0,50.14,49.8,51.6,50.23,50.23,4.25,40,META
10-01-2013,47.0475,62.0,28.0,8.79221,49.0,49.97,49.45,51.03,50.42,50.42,4.25,40,META
10-02-2013,47.5975,62.0,28.0,8.25519,49.5,50.13,49.95,51.1,50.28,50.28,4.25,40,META
10-03-2013,47.9975,62.0,28.0,8.60292,50.0,50.47,49.06,50.72,49.183,49.183,4.20455,40,META
10-04-2013,48.1975,62.0,28.0,8.73906,50.0,49.77,49.57,51.16,51.04,51.04,4.20455,40,META
10-07-2013,49.58293,63.0,28.0,9.0563,50.0,50.73,50.4,51.29,50.515,50.515,4.2,41,META
10-08-2013,49.58293,63.0,28.0,9.0563,50.0,50.6,47.08,50.6,47.14,47.14,4.2,41,META
10-09-2013,49.58293,63.0,28.0,9.0563,50.0,47.375,45.26,47.84,46.77,46.77,4.2,41,META
10-10-2013,49.68049,63.0,28.0,9.0279,50.0,47.865,47.83,49.68,49.05,49.05,4.2,41,META
10-11-2013,49.68049,63.0,28.0,9.0279,50.0,49.18,48.79,49.87,49.11,49.11,4.2,41,META
10-14-2013,49.68049,63.0,28.0,9.0279,50.0,48.31,47.91,49.63,49.51,49.51,4.2,41,META
10-15-2013,50.04634,63.0,28.0,9.13413,52.0,49.99,49.18,51.0,49.5,49.5,4.22727,41,META
10-16-2013,50.04634,63.0,28.0,9.13413,52.0,50.04,49.9,51.24,51.135,51.135,4.22727,41,META
10-17-2013,50.04634,63.0,28.0,9.13413,52.0,51.12,50.95,52.22,52.21,52.21,4.22727,41,META
10-18-2013,50.04634,63.0,28.0,9.13413,52.0,54.18,53.6,54.825,54.22,54.22,4.22727,41,META
10-21-2013,50.04634,63.0,28.0,9.13413,52.0,54.68,53.51,54.81,53.85,53.85,4.22727,41,META
10-22-2013,50.72927,65.0,28.0,9.17978,52.0,54.33,52.2,54.76,52.675,52.675,4.22727,41,META
10-23-2013,50.72927,65.0,28.0,9.17978,52.0,51.75,51.13,52.25,51.9,51.9,4.22727,41,META
10-24-2013,51.60732,65.0,28.0,9.25899,53.0,52.38,51.5928,52.84,52.445,52.445,4.22727,41,META
10-25-2013,52.02195,65.0,28.0,9.15475,54.0,53.18,51.88,53.24,51.95,51.95,4.22727,41,META
10-28-2013,52.63171,65.0,28.0,8.89622,55.0,51.54,49.61,51.7,50.229,50.229,4.22727,41,META
10-29-2013,54.16829,68.0,34.0,8.15318,55.0,50.73,49.25,50.79,49.395,49.395,4.30233,41,META
10-30-2013,54.16829,68.0,34.0,8.15318,55.0,50.0,48.75,50.21,49.01,49.01,4.30233,41,META
10-31-2013,56.8878,72.5,35.9,8.53107,60.0,47.155,46.5,52.0,50.205,50.205,4.30233,41,META
11-01-2013,56.8878,72.5,35.9,8.53107,60.0,50.85,49.72,52.09,49.75,49.75,4.34884,41,META
11-04-2013,56.8878,72.5,35.9,8.53107,60.0,49.365,48.02,49.75,48.22,48.22,4.34884,41,META
11-05-2013,56.8878,72.5,35.9,8.53107,60.0,47.79,47.51,50.18,50.105,50.105,4.34884,41,META
11-06-2013,56.8878,72.5,35.9,8.53107,60.0,50.26,48.71,50.45,49.12,49.12,4.34884,41,META
11-07-2013,56.8878,72.5,35.9,8.53107,60.0,49.24,47.3,49.87,47.56,47.56,4.34884,41,META
11-08-2013,56.8878,72.5,35.9,8.53107,60.0,47.81,47.25,48.65,47.53,47.53,4.34884,41,META
11-11-2013,56.8878,72.5,35.9,8.53107,60.0,47.04,45.73,47.53,46.2,46.2,4.34884,41,META
11-12-2013,56.8878,72.5,35.9,8.53107,60.0,46.0,45.83,47.37,46.605,46.605,4.34884,41,META
11-13-2013,56.8878,72.5,35.9,8.53107,60.0,46.23,46.06,48.74,48.71,48.71,4.34884,41,META
11-14-2013,56.8878,72.5,35.9,8.53107,60.0,48.7,48.03,49.57,48.99,48.99,4.34884,41,META
11-15-2013,56.8878,72.5,35.9,8.53107,60.0,49.11,48.71,49.48,49.01,49.01,4.34884,41,META
11-18-2013,56.8878,72.5,35.9,8.53107,60.0,48.47,45.8,48.84,45.83,45.83,4.34884,41,META
11-19-2013,56.8878,72.5,35.9,8.53107,60.0,46.26,45.72,47.0,46.36,46.36,4.34884,41,META
11-20-2013,56.9619,72.5,35.9,8.44224,60.0,46.61,46.31,47.55,46.43,46.43,4.36364,42,META
11-21-2013,56.9619,72.5,35.9,8.44224,60.0,46.99,46.685,47.46,46.7,46.7,4.36364,42,META
11-22-2013,56.9619,72.5,35.9,8.44224,60.0,47.04,45.96,47.27,46.23,46.23,4.36364,42,META
11-25-2013,56.9619,72.5,35.9,8.44224,60.0,46.36,44.04,46.65,44.82,44.82,4.36364,42,META
11-26-2013,56.9619,72.5,35.9,8.44224,60.0,44.66,43.55,46.17,45.89,45.89,4.36364,42,META
11-27-2013,56.9619,72.5,35.9,8.44224,60.0,45.97,45.53,46.67,46.49,46.49,4.36364,42,META
11-29-2013,56.9619,72.5,35.9,8.44224,60.0,46.75,46.5,47.21,47.01,47.01,4.38636,42,META
12-02-2013,56.9619,72.5,35.9,8.44224,60.0,46.9,46.26,47.54,47.06,47.06,4.38636,42,META
12-03-2013,56.9619,72.5,35.9,8.44224,60.0,46.75,46.29,47.2,46.73,46.73,4.38636,42,META
12-04-2013,56.9619,72.5,35.9,8.44224,60.0,46.46,46.26,48.77,48.62,48.62,4.38636,42,META
12-05-2013,56.9619,72.5,35.9,8.44224,60.0,48.15,47.87,48.7,48.34,48.34,4.38636,42,META
12-06-2013,56.9619,72.5,35.9,8.44224,60.0,48.98,47.71,49.39,47.94,47.94,4.38636,42,META
12-09-2013,56.9619,72.5,35.9,8.44224,60.0,48.09,47.74,48.97,48.84,48.84,4.38636,42,META
12-10-2013,56.9619,72.5,35.9,8.44224,60.0,48.64,48.54,50.77,50.245,50.245,4.38636,42,META
12-11-2013,56.9619,72.5,35.9,8.44224,60.0,50.55,49.01,50.77,49.38,49.38,4.38636,42,META
12-12-2013,56.9619,72.5,35.9,8.44224,60.0,51.045,50.66,52.07,51.83,51.83,4.38636,42,META
12-13-2013,56.9619,72.5,35.9,8.44224,60.0,51.66,51.34,53.5,53.32,53.32,4.38636,42,META
12-16-2013,57.05714,72.5,35.9,8.5319,60.0,53.25,52.91,54.5,53.81,53.81,4.38636,42,META
12-17-2013,57.53333,72.5,35.9,8.68155,60.0,54.76,54.24,55.18,54.86,54.86,4.40909,42,META
12-18-2013,57.53333,72.5,35.9,8.68155,60.0,54.86,53.75,55.89,55.57,55.57,4.40909,42,META
12-19-2013,57.435,72.5,35.9,8.88382,60.0,54.33,53.95,55.19,55.05,55.05,4.42857,40,META
12-20-2013,57.49756,72.5,35.9,8.78373,60.0,54.93,54.23,55.15,55.12,55.12,4.44186,41,META
12-23-2013,57.54634,72.5,35.9,8.81963,60.0,55.5,55.45,58.32,57.77,57.77,4.4186,41,META
12-24-2013,57.54634,72.5,35.9,8.81963,60.0,58.27,56.91,58.58,57.96,57.96,4.4186,41,META
12-26-2013,57.54634,72.5,35.9,8.81963,60.0,58.32,57.37,58.38,57.73,57.73,4.4186,41,META
12-27-2013,57.54634,72.5,35.9,8.81963,60.0,57.48,55.25,57.68,55.44,55.44,4.4186,41,META
12-30-2013,57.54634,72.5,35.9,8.81963,60.0,54.93,53.43,55.18,53.71,53.71,4.4186,41,META
12-31-2013,57.54634,72.5,35.9,8.81963,60.0,54.12,53.91,54.86,54.649,54.649,4.4186,41,META
01-02-2014,57.59512,72.5,35.9,8.70511,60.0,54.83,54.19,55.22,54.71,54.71,4.4186,41,META
01-03-2014,57.69268,72.5,35.9,8.7538,60.0,55.02,54.53,55.65,54.557,54.557,4.4186,41,META
01-06-2014,58.1561,72.5,35.9,8.80086,60.0,54.42,54.05,57.26,57.2,57.2,4.4186,41,META
01-07-2014,58.1561,72.5,35.9,8.80086,60.0,57.7,57.22,58.55,57.92,57.92,4.4186,41,META
01-08-2014,58.1561,72.5,35.9,8.80086,60.0,57.6,57.23,58.41,58.23,58.23,4.4186,41,META
01-09-2014,58.1561,72.5,35.9,8.80086,60.0,58.65,56.65,58.96,57.22,57.22,4.4186,41,META
01-10-2014,58.37561,72.5,35.9,8.85641,61.0,57.13,57.06,58.3,57.94,57.94,4.4186,41,META
01-13-2014,58.49756,72.5,35.9,8.98034,61.0,57.91,55.38,58.25,55.91,55.91,4.4186,41,META
01-14-2014,58.91628,72.5,35.9,8.98779,61.0,56.46,56.1,57.78,57.74,57.74,4.42222,43,META
01-15-2014,58.91628,72.5,35.9,8.98779,61.0,57.98,57.27,58.57,57.6,57.6,4.42222,43,META
