 Date,NKE Price Target,NKE Price Target - High,NKE Price Target - Low,NKE Price Target - StdDev,NKE Price Target - Median,NKE Open,NKE Low,NKE High,NKE Close,NKE Adj. Close,NKE Rating,NKE Price Target - #,Ticker
09-20-2013,33.93182,40.0,26.5,3.09433,34.0,31.29574126742,30.798265611435,31.431416446325,34.685,31.3726238687995,3.85714,22,NKE
09-23-2013,34.36364,40.5,26.5,3.42179,34.0,31.255038713748498,30.771130575654,31.454028976142496,34.49,31.196246136223,3.85714,22,NKE
09-24-2013,34.52273,40.5,26.5,3.48202,34.25,31.404281410544,31.29239461300701,31.530911577522,34.715,31.3997589045805,3.85714,22,NKE
09-25-2013,35.0,40.5,26.5,3.47066,34.75,31.3997589045805,31.087705993099,31.4449839642155,34.46,31.169111100442,3.85714,22,NKE
09-26-2013,35.0,40.5,26.5,3.47066,34.75,31.3093087853105,31.2731287376025,31.879144536711497,35.17,31.811306947259,3.85714,22,NKE
09-27-2013,37.79545,45.0,26.5,4.17421,37.25,33.837389618907,33.17258124227249,34.031857375337495,36.82,33.303733915214,3.85714,22,NKE
09-30-2013,37.79545,45.0,26.5,4.17421,37.25,32.697718116104994,32.634403032616,33.0911761349295,36.32,32.851483318864,3.89286,22,NKE
10-01-2013,38.02273,45.0,26.5,4.15188,38.0,33.032383557404,32.571087949127,33.1273561826375,36.21,32.751988187667,3.96429,22,NKE
10-02-2013,38.18182,45.0,30.0,3.75544,38.0,32.580132961054,32.3766201926965,32.679628092251,35.945,32.512295371601496,3.96429,22,NKE
10-03-2013,38.18182,45.0,30.0,3.75544,38.0,32.512295371601496,32.136927376631,32.78812301031536,35.82,32.399232722514,3.96429,22,NKE
10-04-2013,38.29545,45.0,30.0,3.80089,38.0,32.458025300039495,32.254512531682,32.720330645922495,36.07,32.625358020689,3.96429,22,NKE
10-07-2013,38.29545,45.0,30.0,3.80089,38.0,32.2952150853535,32.245467519755,32.5484754193095,35.67,32.263557543609,3.96429,22,NKE
10-08-2013,38.29545,45.0,30.0,3.80089,38.0,32.317827615171,31.73677604898052,32.8469608129005,35.14,31.784171911478,3.96429,22,NKE
10-09-2013,38.29545,45.0,30.0,3.80089,38.0,31.892712054602,31.639451720646,32.324611374116245,35.445,32.0600447752515,3.96429,22,NKE
10-10-2013,38.63636,45.0,30.0,3.68098,39.5,32.6298805266525,32.534907901419,33.2178063019075,36.72,33.213283795943994,3.96429,22,NKE
10-11-2013,38.68182,45.0,30.0,3.66664,39.5,33.2268513138345,32.960023461987994,33.3444364688855,36.73,33.222328807870994,3.96429,22,NKE
10-14-2013,38.68182,45.0,30.0,3.66664,39.5,32.9916810037325,32.914798402353,33.543426731279496,37.03,33.493679165681,3.96429,22,NKE
10-15-2013,38.68182,45.0,30.0,3.66664,39.5,33.421319070265,33.199716278053494,33.6338768505495,36.855,33.3353914569585,3.96429,22,NKE
10-16-2013,38.68182,45.0,30.0,3.66664,39.5,33.5072466835715,33.339913962922,33.746939499637,37.26,33.701714440002,3.96429,22,NKE
10-17-2013,38.68182,45.0,30.0,3.66664,39.5,33.6248318386225,33.50498543058975,33.7605070175275,37.27,33.710759451929,3.96429,22,NKE
10-18-2013,39.09091,45.0,30.0,3.56637,40.0,33.7152819578925,33.5886517909145,34.3665228166365,37.965,34.3393877808555,3.96429,22,NKE
10-21-2013,39.09091,45.0,30.0,3.56637,40.0,34.321297757001496,34.144920024425,34.5383780432495,38.045,34.4117478762715,3.96429,22,NKE
10-22-2013,39.09091,45.0,30.0,3.56637,40.0,34.4207928881985,34.153965036352,34.592648114811496,37.98,34.352955298746,3.96429,22,NKE
10-23-2013,39.09091,45.0,30.0,3.56637,40.0,34.163010048279,33.9685422918485,34.343910286819,37.78,34.172055060206,3.96429,22,NKE
10-24-2013,39.09091,45.0,30.0,3.56637,40.0,34.1946675900235,34.027334869373995,34.271550191403,37.755,34.1494425303885,3.96429,22,NKE
10-25-2013,39.09091,45.0,30.0,3.56637,40.0,34.172055060206,34.077082434972496,34.533855537286,37.85,34.235370143695,3.96429,22,NKE
