 Date,MMM Price Target,MMM Price Target - High,MMM Price Target - Low,MMM Price Target - StdDev,MMM Price Target - Median,MMM Open,MMM Low,MMM High,MMM Close,MMM Adj. Close,MMM Rating,MMM Price Target - #,Ticker
02-05-2013,105.64706,125,92,7.81357,105.0,75.767919422448,75.719307096296,76.22412740633601,101.49,75.902538171792,3.52632,17,MMM
02-06-2013,105.64706,125,92,7.81357,105.0,75.633300673104,75.595906576064,77.024361082992,102.69,76.799996500752,3.52632,17,MMM
02-07-2013,105.64706,125,92,7.81357,105.0,76.77008122312,75.88002692537393,76.837390597792,102.22,76.44849198857601,3.52632,17,MMM
02-08-2013,105.64706,125,92,7.81357,105.0,76.53823782147201,76.31387323923201,77.278640942864,102.66,76.777560042528,3.52632,17,MMM
02-11-2013,105.64706,125,92,7.81357,105.0,76.575631918512,76.31394802742608,76.942094069504,102.62,76.74764476489601,3.52632,17,MMM
02-12-2013,105.82353,125,92,7.71732,105.0,76.777560042528,76.755123584304,77.473090247472,103.46,77.375865595168,3.52632,17,MMM
02-13-2013,105.82353,125,92,7.71732,105.0,77.530128204692,77.19150297231201,77.804790893178,102.86,77.402203116904,3.52632,17,MMM
02-14-2013,105.82353,125,92,7.71732,105.0,77.078627894852,76.920602786408,77.612903261496,102.78,77.342003075592,3.52632,17,MMM
02-15-2013,105.82353,125,92,7.71732,105.0,77.552703220184,77.221602992968,77.793503385432,103.23,77.680628307972,3.52632,17,MMM
02-19-2013,105.82353,125,92,7.71732,105.0,77.82360340608801,77.748353354448,78.55473290782224,104.18,78.39550379855201,3.52632,17,MMM
02-20-2013,105.82353,125,92,7.71732,105.0,78.39550379855201,77.62042826666001,78.56105391216,103.15,77.62042826666001,3.52632,17,MMM
02-21-2013,105.82353,125,92,7.71732,105.0,77.417253127232,77.04852787419601,77.612903261496,102.72,77.296853044608,3.52632,17,MMM
02-22-2013,105.82353,125,92,7.71732,105.0,77.500028184036,77.372103096248,78.03430355068001,103.54,77.913903468056,3.52632,17,MMM
02-25-2013,106.41176,125,92,8.08091,105.0,78.192328659124,76.5669275437,78.29015372625601,101.75,76.5669275437,3.52632,17,MMM
02-26-2013,106.41176,125,92,8.08091,105.0,76.837827729604,76.687327626324,77.251703013624,102.31,76.98832783288401,3.52632,17,MMM
02-27-2013,106.41176,125,92,8.08091,105.0,76.83030272444,76.71742764698001,78.20737866945201,103.57,77.936478483548,3.52632,17,MMM
02-28-2013,106.41176,125,92,8.08091,105.0,77.95905349904,77.612903261496,78.68145399478401,104.0,78.2600537056,3.52632,17,MMM
03-01-2013,106.41176,125,92,8.08091,105.0,77.801028390596,77.296853044608,78.214903674616,103.77,78.086978586828,3.52632,17,MMM
03-04-2013,106.41176,125,92,8.08091,105.0,77.89132845256401,77.199027977476,77.89132845256401,103.28,77.718253333792,3.52632,17,MMM
03-05-2013,106.41176,125,92,8.08091,105.0,78.07945358166401,77.99667852486,78.86957912388401,104.45,78.59867893798001,3.52632,17,MMM
03-06-2013,106.41176,125,92,8.08091,105.0,78.80937908257201,78.61372894830801,79.32860443888801,104.66,78.756704046424,3.52632,17,MMM
03-07-2013,106.41176,125,92,8.08091,105.0,78.86205411872,78.628778958636,79.129191802042,104.54,78.66640398445601,3.52632,17,MMM
03-08-2013,106.41176,125,92,8.08091,105.0,79.012554222,78.88086663163001,79.622079640284,105.71,79.546829588644,3.52632,17,MMM
03-11-2013,106.41176,125,92,8.08091,105.0,79.26087939241201,79.26087939241201,79.731192215162,105.81,79.622079640284,3.52632,17,MMM
03-12-2013,106.41176,125,92,8.08091,105.0,79.629604645448,78.982454201344,79.75000472807201,105.13,79.110379289132,3.52632,17,MMM
03-13-2013,106.41176,125,92,8.08091,105.0,79.110379289132,78.922254160032,79.441479516348,105.09,79.080279268476,3.52632,17,MMM
03-14-2013,106.41176,125,92,8.08091,105.0,79.26087939241201,79.208204356264,79.78010474872801,106.02,79.78010474872801,3.52632,17,MMM
03-15-2013,106.41176,125,92,8.08091,105.0,79.68980468676001,79.6529321614564,80.427255192832,106.4,80.06605494496002,3.52632,17,MMM
03-18-2013,106.52941,125,92,8.16101,105.0,79.18562934077201,79.178104335608,79.734954717744,105.41,79.32107943372401,3.52632,17,MMM
03-19-2013,107.47059,125,92,7.80737,108.0,79.637129650612,78.74165403609601,79.75000472807201,105.18,79.148004314952,3.52632,17,MMM
03-20-2013,108.4375,125,97,6.99079,109.0,79.697329691924,79.298504418232,79.89297982618801,105.66,79.509204562824,3.55556,16,MMM
03-21-2013,108.82353,125,97,6.95562,110.0,79.306029423396,78.80185407740801,79.36013421052516,104.94,78.967404191016,3.52632,17,MMM
03-22-2013,108.82353,125,97,6.95562,110.0,79.08780427364,79.08780427364,80.13001748885401,106.42,80.08110495528801,3.52632,17,MMM
03-25-2013,108.82353,125,97,6.95562,110.0,80.16388001209201,78.77175405675202,80.36705515152,105.17,79.140479309788,3.52632,17,MMM
03-26-2013,108.82353,125,97,6.95562,110.0,79.32107943372401,79.32107943372401,79.93436735459,106.07,79.817729774548,3.52632,17,MMM
03-27-2013,108.82353,125,97,6.95562,110.0,79.27592940274,78.989979206508,79.38880448020001,105.29,79.23077937175601,3.52632,17,MMM
03-28-2013,108.82353,125,97,6.95562,110.0,79.51672956798801,79.223254366592,80.02090491397601,106.31,79.998329898484,3.52632,17,MMM
04-01-2013,108.82353,125,97,6.95562,110.0,79.76505473840001,79.32860443888801,79.89297982618801,105.65,79.50167955766001,3.52632,17,MMM
04-02-2013,108.82353,125,97,6.95562,110.0,79.61455463512,79.607029629956,80.36705515152,106.52,80.156355006928,3.52632,17,MMM
04-03-2013,108.82353,125,97,6.95562,110.0,80.21655504824,79.336129444052,80.494980239308,105.68,79.524254573152,3.52632,17,MMM
04-04-2013,108.82353,125,97,6.95562,110.0,79.629604645448,79.23830437692,79.930604852008,105.82,79.629604645448,3.52632,17,MMM
04-05-2013,108.82353,125,97,6.95562,110.0,78.59867893798001,78.52342888634,79.67099217385001,105.78,79.599504624792,3.52632,17,MMM
04-08-2013,108.82353,125,97,6.95562,110.0,79.659704666104,79.08780427364,80.08110495528801,105.75,79.57692960930001,3.52632,17,MMM
04-09-2013,108.82353,125,97,6.95562,110.0,79.76505473840001,79.306029423396,80.284280094716,105.95,79.72742971258,3.52632,17,MMM
04-10-2013,108.82353,125,97,6.95562,110.0,79.83277978487601,79.78612475285921,81.217380735052,107.69,81.036780611116,3.52632,17,MMM
