 Date,MO Price Target,MO Price Target - High,MO Price Target - Low,MO Price Target - StdDev,MO Price Target - Median,MO Open,MO Low,MO High,MO Close,MO Adj. Close,MO Rating,MO Price Target - #,Ticker
02-05-2013,35.76923,45.0,28.0,3.84615,36.0,19.243147822476,19.243147822476,19.401807462944,34.18,19.367808968558,3.8125,13,MO
02-06-2013,35.76923,45.0,28.0,3.84615,36.0,19.305478395517,19.271479901131,19.37914180002,34.12,19.333810474172,3.8125,13,MO
02-07-2013,35.76923,45.0,28.0,3.84615,36.0,19.339476889903,19.311144811248,19.634130507915,34.61,19.611464844991,3.8125,13,MO
02-08-2013,35.76923,45.0,28.0,3.84615,36.0,19.617131260722,19.585965974201496,19.764458069728,34.69,19.656796170839,3.8125,13,MO
02-11-2013,35.76923,45.0,28.0,3.84615,36.0,19.685128249494,19.639796923646,19.71912674388,34.75,19.690794665225,3.8125,13,MO
02-12-2013,35.76923,45.0,28.0,3.84615,36.0,19.66246258657,19.571799934874,19.741792406804,34.66,19.639796923646,3.8125,13,MO
02-13-2013,35.76923,45.0,28.0,3.84615,36.0,19.639796923646,19.611464844991,19.713460328149,34.78,19.707793912418,3.8125,13,MO
02-14-2013,35.76923,45.0,28.0,3.84615,36.0,19.707793912418,19.299811979786,19.71912674388,34.11,19.328144058441,3.8125,13,MO
02-15-2013,35.76923,45.0,28.0,3.84615,36.0,19.350809721365,19.350809721365,19.560467103412,34.38,19.481137283178,3.8125,13,MO
02-19-2013,35.84615,45.0,28.0,3.79972,36.0,19.54913427195,19.5123025696985,19.707793912418,34.77,19.702127496687,3.8125,13,MO
02-20-2013,35.84615,45.0,28.0,3.79972,36.0,19.679461833763,19.668129002301,19.8862860079445,34.89,19.770124485459,3.8125,13,MO
02-21-2013,35.84615,45.0,28.0,3.79972,36.0,19.792790148383,19.617131260722,19.968449036044,35.2,19.94578337312,3.8125,13,MO
02-22-2013,35.84615,45.0,28.0,3.79972,36.0,19.911784878734,19.7842905247865,20.013780361892,35.32,20.013780361892,3.8125,13,MO
02-25-2013,35.84615,45.0,28.0,3.79972,36.0,20.081777350664,19.625630884318497,20.1016098057225,34.65,19.634130507915,3.8125,13,MO
02-26-2013,35.92308,45.0,28.0,3.79193,36.0,19.577466350605,19.396141047213,19.656796170839,34.3,19.43580595733,3.6875,13,MO
02-27-2013,35.92308,45.0,28.0,3.79193,36.0,19.37914180002,19.005158361774,19.396141047213,34.07,19.305478395517,3.6875,13,MO
02-28-2013,35.92308,45.0,28.0,3.79193,36.0,19.294145564055,19.010824777505,19.305478395517,33.55,19.010824777505,3.6875,13,MO
03-01-2013,35.92308,45.0,28.0,3.79193,36.0,18.999491946043,18.9399945808675,19.107153844932,33.49,18.976826283119,3.6875,13,MO
03-04-2013,35.92308,45.0,28.0,3.79193,36.0,18.988159114581,18.988159114581,19.316811226979,33.93,19.226148575283,3.6875,13,MO
03-05-2013,35.92308,45.0,28.0,3.79193,36.0,19.32247764271,19.277146316862,19.43580595733,34.24,19.401807462944,3.6875,13,MO
03-06-2013,35.92308,45.0,28.0,3.79193,36.0,19.441472373061,19.271479901131,19.458471620254,34.13,19.339476889903,3.6875,13,MO
03-07-2013,35.92308,45.0,28.0,3.79193,36.0,19.384808215751,19.169484417973,19.396141047213,33.96,19.243147822476,3.6875,13,MO
03-08-2013,35.92308,45.0,28.0,3.79193,36.0,19.248814238207,19.14931197797064,19.3083116033825,34.0,19.2658134854,3.6875,13,MO
03-11-2013,35.92308,45.0,28.0,3.79193,36.0,19.277146316862,19.2658134854,19.43580595733,34.26,19.413140294406,3.6875,13,MO
03-12-2013,35.92308,45.0,28.0,3.79193,36.0,19.418806710137,19.342933403498908,19.486803698909,34.16,19.356476137096,3.6875,13,MO
03-13-2013,35.92308,45.0,28.0,3.79193,36.0,19.477023585318,19.339255071894,19.477023585318,33.93,19.477023585318,3.6875,13,MO
03-14-2013,35.92308,45.0,28.0,3.79193,36.0,19.471283230592,19.310553298264,19.520076245763,33.8,19.40239897388,3.6875,13,MO
03-15-2013,35.92308,45.0,28.0,3.79193,36.0,19.31629365299,19.241669041552,19.367956845524,33.68,19.333514717168,3.6875,13,MO
03-18-2013,35.76923,45.0,28.0,3.94489,36.0,19.224447977374,19.138342656484003,19.299072588812,33.47,19.212967267922,3.6875,13,MO
03-19-2013,35.76923,45.0,28.0,3.94489,36.0,19.2301883321,19.2301883321,19.362216490798,33.69,19.339255071894,3.6875,13,MO
03-20-2013,35.76923,45.0,28.0,3.94489,36.0,19.362216490798,19.34499542662,19.614792098742,34.04,19.540167487304,3.6875,13,MO
03-21-2013,35.76923,45.0,28.0,3.94489,36.0,19.482763940044,19.37369720025,19.511465713674,33.86,19.436841102236,3.6875,13,MO
03-22-2013,35.76923,45.0,28.0,3.94489,36.0,19.471283230592,19.413879683332,19.54590784203,33.91,19.465542875866,3.6875,13,MO
03-25-2013,35.76923,45.0,28.0,3.94489,36.0,19.494244649496,19.411009505969,19.571739438297,33.88,19.448321811688,3.6875,13,MO
03-26-2013,35.76923,45.0,28.0,3.94489,36.0,19.540167487304,19.494244649496,19.723858838536,34.36,19.723858838536,3.6875,13,MO
03-27-2013,35.76923,45.0,28.0,3.94489,36.0,19.620532453468,19.60331138929,19.827185223604,34.41,19.752560612166,3.6875,13,MO
03-28-2013,35.76923,45.0,28.0,3.94489,36.0,19.71811848381,19.643493872372,19.809964159426,34.39,19.741079902714,3.6875,13,MO
04-01-2013,35.91667,45.0,28.0,4.07141,36.0,19.626272808194,19.563128906208,19.769781676344,34.3,19.68941671018,3.73333,12,MO
04-02-2013,35.91667,45.0,28.0,4.07141,36.0,19.798483449974,19.781262385796,20.20604863552,35.2,20.20604863552,3.73333,12,MO
04-03-2013,35.91667,45.0,28.0,4.07141,36.0,20.211788990246,19.94773267285,20.23475040915,34.82,19.987915155932,3.73333,12,MO
04-04-2013,35.91667,45.0,28.0,4.07141,36.0,20.051059057918,19.987915155932,20.194567926068,35.16,20.183087216616,3.73333,12,MO
04-05-2013,35.91667,45.0,28.0,4.07141,36.0,20.06253976737,19.867367706686,20.11994331463,34.84,19.999395865384,3.73333,12,MO
04-08-2013,35.91667,45.0,28.0,4.07141,36.0,20.028097639014,19.97643444648,20.240490763876,35.26,20.240490763876,3.73333,12,MO
04-09-2013,35.91667,45.0,28.0,4.07141,36.0,20.297894311136,20.240490763876,20.441403179286,35.48,20.366778567848,3.73333,12,MO
04-10-2013,35.91667,45.0,28.0,4.07141,36.0,20.470104952916,20.355297858396,20.507417258635,35.66,20.470104952916,3.73333,12,MO
04-11-2013,35.91667,45.0,28.0,4.07141,36.0,20.441403179286,20.355297858396,20.556210273806,35.62,20.447143534012,3.73333,12,MO
04-12-2013,35.91667,45.0,28.0,4.07141,36.0,20.389739986752,20.3782592773,20.630834885244,35.91,20.613613821066,3.73333,12,MO
