 Date,F Price Target,F Price Target - High,F Price Target - Low,F Price Target - StdDev,F Price Target - Median,F Open,F Low,F High,F Close,F Adj. Close,F Rating,F Price Target - #,Ticker
02-05-2013,15.1875,20.0,11.0,2.34104,15.0,8.693519252560002,8.67341088112,8.881197386,13.18,8.83427785264,3.61538,20,F
02-06-2013,15.2125,20.0,11.0,2.31473,15.0,8.800763900240002,8.7471415764,8.89460296696,13.2,8.8476834336,3.57692,20,F
02-07-2013,15.2125,20.0,11.0,2.31473,15.0,8.88790017648,8.713627624,8.92141412888,13.07,8.760547157360001,3.57692,20,F
02-08-2013,15.2125,20.0,11.0,2.31473,15.0,8.7806555288,8.7471415764,8.82087227168,13.1,8.7806555288,3.57692,20,F
02-11-2013,15.2125,20.0,11.0,2.31473,15.0,8.753844366880001,8.72703320496,8.8476834336,13.11,8.78735831928,3.57692,20,F
02-12-2013,15.2125,20.0,11.0,2.31473,15.0,8.79406110976,8.7471415764,8.8476834336,13.08,8.76724994784,3.57692,20,F
02-13-2013,15.2125,20.0,11.0,2.31473,15.0,8.78735831928,8.70692483352,8.80746669072,13.04,8.74043878592,3.57692,20,F
02-14-2013,15.2125,20.0,11.0,2.31473,15.0,8.713627624,8.686816462080001,8.827575062160001,13.11,8.78735831928,3.57692,20,F
02-15-2013,15.2125,20.0,11.0,2.31473,15.0,8.80746669072,8.720330414480001,8.80746669072,13.02,8.72703320496,3.57692,20,F
02-19-2013,15.2125,20.0,11.0,2.31473,15.0,8.74043878592,8.646599719200001,8.77395273832,12.99,8.70692483352,3.57692,20,F
02-20-2013,15.2125,20.0,11.0,2.31473,15.0,8.680113671600001,8.42540763336,8.70022204304,12.6,8.4455160048,3.57692,20,F
02-21-2013,15.2125,20.0,11.0,2.31473,15.0,8.38519089048,8.2444322904,8.38519089048,12.39,8.30475740472,3.57692,20,F
02-22-2013,15.2125,20.0,11.0,2.31473,15.0,8.33827135712,8.251135080880001,8.3784881,12.48,8.365082519040001,3.57692,20,F
02-25-2013,15.2125,20.0,11.0,2.31473,15.0,8.39859647144,8.110376480800001,8.42540763336,12.13,8.13048485224,3.57692,20,F
