 Date,AMGN Price Target,AMGN Price Target - High,AMGN Price Target - Low,AMGN Price Target - StdDev,AMGN Price Target - Median,AMGN Open,AMGN Low,AMGN High,AMGN Close,AMGN Adj. Close,AMGN Rating,AMGN Price Target - #,Ticker
02-05-2013,95.3913,108.0,83.0,6.47228,97.0,66.451256432064,65.941755627636,66.844961599122,86.53,66.798643344174,3.76667,23,AMGN
02-06-2013,95.3913,108.0,83.0,6.47228,97.0,66.744605380068,66.3894987588,67.524296005026,86.59,66.844961599122,3.76667,23,AMGN
02-07-2013,95.3913,108.0,83.0,6.47228,97.0,67.1614696746,65.648406679632,67.1614696746,85.22,65.787361444476,3.76667,23,AMGN
02-08-2013,95.65217,108.0,83.0,6.41065,97.0,66.088430101638,65.918596500162,67.288844875707,86.77,66.983916363966,3.76667,23,AMGN
02-11-2013,95.78261,108.0,83.0,6.5472,97.0,66.347452728088,65.65665683515401,66.73554030838801,84.92,65.91279463815201,3.7,23,AMGN
02-12-2013,95.78261,108.0,83.0,6.5472,97.0,65.974888651,65.416042535368,66.15340893793801,84.54,65.61784807712401,3.7,23,AMGN
02-13-2013,95.78261,108.0,83.0,6.5472,97.0,65.943841644576,65.54799231267,66.075791421878,84.94,65.928318141364,3.7,23,AMGN
02-14-2013,95.78261,108.0,83.0,6.5472,97.0,66.7510638116,65.6714041632054,67.0599815255188,84.72,65.757559606032,3.7,23,AMGN
02-15-2013,95.78261,108.0,83.0,6.5472,97.0,65.384995528944,64.67091438119199,65.75748198851593,83.61,64.896005177766,3.7,23,AMGN
02-19-2013,95.78261,108.0,83.0,6.5472,97.0,64.81838766170601,64.360444316952,65.408280783762,84.131,65.3003924364386,3.7,23,AMGN
02-20-2013,96.0,108.0,83.0,6.69847,97.0,65.48589829982201,65.384995528944,66.23878820560401,84.65,65.70322734479001,3.7,23,AMGN
02-21-2013,96.47826,115.0,83.0,7.58643,97.0,65.65665683515401,65.31513976449001,66.223264702392,85.13,66.075791421878,3.7,23,AMGN
02-22-2013,96.47826,115.0,83.0,7.58643,97.0,66.029220912242,66.029220912242,67.434097952928,86.82,67.387527443292,3.7,23,AMGN
02-25-2013,96.78261,115.0,83.0,7.72324,98.0,69.31244184158,69.31244184158,70.82598340475,89.55,69.50648563173,3.7,23,AMGN
02-26-2013,96.78261,115.0,83.0,7.72324,98.0,69.568579644578,68.815689738796,70.018761237726,89.47,69.44439161888201,3.7,23,AMGN
02-27-2013,96.78261,115.0,83.0,7.72324,98.0,69.19601556749001,69.126159803036,70.86479216278,91.03,70.655224869418,3.7,23,AMGN
02-28-2013,96.78261,115.0,83.0,7.72324,98.0,70.6319396146,70.531036843722,72.510283503252,91.55,71.05883595293,3.7,23,AMGN
03-01-2013,96.78261,115.0,83.0,7.72324,98.0,70.756127640296,70.251613785906,71.998007897256,92.58,71.85829636834801,3.7,23,AMGN
03-04-2013,97.43478,115.0,83.0,7.78419,98.0,71.493494042866,71.0200271949,71.99024614565,92.73,71.97472264243801,3.7,23,AMGN
03-05-2013,97.43478,115.0,83.0,7.78419,98.0,72.26966920346601,71.842772865136,72.774183057856,93.44,72.525807006464,3.7,23,AMGN
03-06-2013,97.43478,115.0,83.0,7.78419,98.0,72.82075356749199,72.254145700254,73.18555589297401,93.27,72.393857229162,3.7,23,AMGN
03-07-2013,97.68182,115.0,83.0,7.87046,98.5,72.51804525485801,72.044578406892,72.867324077128,92.95,72.14548117777001,3.72414,22,AMGN
03-08-2013,97.68182,115.0,83.0,7.87046,98.5,72.5172690796974,72.06786366170999,72.867324077128,93.0,72.1842899358,3.72414,22,AMGN
03-11-2013,97.68182,115.0,83.0,7.87046,98.5,71.920390381196,70.531036843722,72.463712993616,91.44,70.973456685264,3.72414,22,AMGN
03-12-2013,97.68182,115.0,83.0,7.87046,98.5,71.082121207748,70.662986621024,71.260641494686,91.75,71.21407098505,3.72414,22,AMGN
03-13-2013,97.68182,115.0,83.0,7.87046,98.5,71.09764471096,70.375801811602,71.245117991474,91.54,71.05107420132401,3.72414,22,AMGN
03-14-2013,97.81818,115.0,83.0,7.95234,98.5,71.13878199447181,70.74836588869,71.63320557177401,92.18,71.54782630410801,3.72414,22,AMGN
03-15-2013,97.81818,115.0,83.0,7.95234,98.5,71.283926749504,70.833745156356,71.532302800896,91.808,71.25908914436481,3.72414,22,AMGN
03-18-2013,97.81818,115.0,83.0,7.95234,98.5,70.841506907962,70.12742576021,70.911362672416,90.39,70.158472766634,3.72414,22,AMGN
03-19-2013,97.81818,115.0,83.0,7.95234,98.5,70.38356356320801,70.27489904072401,71.811725858712,92.4,71.71858483944001,3.72414,22,AMGN
03-20-2013,97.90909,115.0,83.0,7.9539,99.0,72.122195922952,72.08726804072501,73.651260989334,94.05,72.99927385443,3.72414,22,AMGN
03-21-2013,97.90909,115.0,83.0,7.9539,99.0,72.68880379019001,72.549092261282,73.201079396186,94.31,73.201079396186,3.72414,22,AMGN
03-22-2013,97.90909,115.0,83.0,7.9539,99.0,73.496025957214,73.03808261246,74.97852051395999,96.56,74.947473507536,3.76667,22,AMGN
03-25-2013,97.90909,115.0,83.0,7.9539,99.0,75.226896565352,74.520577169206,75.692601661712,96.81,75.14151729768601,3.76667,22,AMGN
03-26-2013,97.90909,115.0,83.0,7.9539,99.0,75.51408137477401,75.343322839442,76.655058860856,98.66,76.577441344796,3.76667,22,AMGN
03-27-2013,97.90909,115.0,83.0,7.9539,99.0,76.111736248436,76.080689242012,77.865892111392,100.15,77.73394233409,3.76667,22,AMGN
03-28-2013,97.90909,115.0,83.0,7.9539,99.0,77.493328034304,77.45451927627401,79.651094980772,102.51,79.565715713106,3.76667,22,AMGN
04-01-2013,97.90909,115.0,83.0,7.9539,99.0,79.651094980772,78.93701383302,80.64459918634,102.31,79.410480680986,3.76667,22,AMGN
04-02-2013,98.40909,115.0,83.0,7.72045,99.0,79.472574693834,79.472574693834,82.74803387156601,106.4,82.58503708784,3.76667,22,AMGN
04-03-2013,98.40909,115.0,83.0,7.72045,99.0,82.802366132808,80.66788444115801,82.887745400474,104.81,81.350918582486,3.76667,22,AMGN
04-04-2013,99.09091,115.0,83.0,8.45797,99.0,81.645865143514,81.29658632124399,82.69370161032401,105.88,82.181426004328,3.76667,22,AMGN
04-05-2013,99.09091,115.0,83.0,8.45797,99.0,80.88521348612599,80.310843867282,81.20344530197201,104.04,80.75326370882401,3.76667,22,AMGN
04-08-2013,99.54545,115.0,83.0,8.49453,99.5,80.79207246685401,79.961565045012,81.607056385484,105.1,81.57600937906,3.76667,22,AMGN
04-09-2013,99.54545,115.0,83.0,8.49453,99.5,81.87095594008801,80.551458167068,81.87095594008801,104.3,80.95506925058,3.76667,22,AMGN
04-10-2013,99.54545,115.0,83.0,8.49453,99.5,81.133589537518,81.1103042827,84.036484638162,108.255,84.024842010753,3.76667,22,AMGN
04-11-2013,100.40909,125.0,83.0,9.94832,99.5,84.269337186342,83.53197078377201,84.882515563216,108.22,83.99767588013201,3.76667,22,AMGN
04-12-2013,101.90909,125.0,83.0,10.90833,101.5,84.2150049251,83.958867122102,87.00923550326,111.57,86.597862668142,3.76667,22,AMGN
04-15-2013,102.63636,125.0,83.0,10.61536,103.5,86.396057126386,83.98215237692,86.496959897264,108.48,84.19948142188801,3.76667,22,AMGN
04-16-2013,102.63636,125.0,83.0,10.61536,103.5,84.851468556792,84.37800170882599,86.108872316964,110.85,86.03901655250999,3.76667,22,AMGN
04-17-2013,102.63636,125.0,83.0,10.61536,103.5,85.332697156364,83.55525603859,85.681975978634,109.44,84.944609576064,3.76667,22,AMGN
04-18-2013,103.04545,125.0,83.0,10.32859,103.5,85.092082856578,82.50741957178,85.30165014994,107.46,83.407782758076,3.76667,22,AMGN
04-19-2013,104.59091,133.0,83.0,12.01385,104.5,83.182691961502,83.182691961502,86.628909674566,111.38,86.450389387628,3.76667,22,AMGN
04-22-2013,107.68182,133.0,83.0,11.02636,105.0,86.93937973880601,86.023493049298,88.460683053582,113.42,88.033786715252,3.76667,22,AMGN
04-23-2013,107.68182,133.0,83.0,11.02636,105.0,88.258877511826,86.9316179872,89.22133471097,112.76,87.52151110925601,3.73333,22,AMGN
04-24-2013,111.22727,133.0,83.0,11.69667,112.0,82.794604381202,80.73851638077261,84.11410215422201,104.93,81.44405960175801,3.7,22,AMGN
04-25-2013,111.77273,133.0,83.0,11.5795,115.0,81.87871769169399,81.661388646726,84.78937454394399,108.66,84.339192950796,3.63333,22,AMGN
04-26-2013,111.77273,133.0,83.0,11.5795,115.0,84.634139511824,82.97312466814,85.138653366214,108.38,84.121863905828,3.63333,22,AMGN
04-29-2013,111.77273,133.0,83.0,11.5795,115.0,83.94334361889001,82.5322571769192,84.121863905828,106.67,82.794604381202,3.63333,22,AMGN
04-30-2013,111.77273,133.0,83.0,11.5795,115.0,82.786842629596,80.60579042831,82.786842629596,104.21,80.88521348612599,3.63333,22,AMGN
05-01-2013,113.13636,133.0,83.0,11.87547,115.0,81.53720062103,80.96283100218601,82.957601164928,104.54,81.141351289124,3.66667,22,AMGN
05-02-2013,113.13636,133.0,83.0,11.87547,115.0,81.61481813709001,81.03268676664001,82.984767295549,105.59,81.95633520775401,3.66667,22,AMGN
05-03-2013,113.13636,133.0,83.0,11.87547,115.0,82.81788963602,82.383231546084,83.497042901545,106.48,82.647131100688,3.66667,22,AMGN
05-06-2013,113.13636,133.0,83.0,11.87547,115.0,82.336661036448,81.246134935805,82.375469794478,104.83,81.366442085698,3.66667,22,AMGN
