 Date,RTX Price Target,RTX Price Target - High,RTX Price Target - Low,RTX Price Target - StdDev,RTX Price Target - Median,RTX Open,RTX Low,RTX High,RTX Close,RTX Adj. Close,RTX Rating,RTX Price Target - #,Ticker
02-05-2013,95.35,105.0,82.0,6.37397,97.0,42.013528471178006,41.450307005965,42.17178904818,89.26,41.548056185878,4.2,20,RTX
02-06-2013,95.35,105.0,82.0,6.37397,97.0,41.268772814698,41.268772814698,41.67373370290901,89.37,41.599258137261,4.2,20,RTX
02-07-2013,95.35,105.0,82.0,6.37397,97.0,41.678388425762,41.245499200433,41.869232062735,89.95,41.869232062735,4.2,20,RTX
02-08-2013,95.35,105.0,82.0,6.37397,97.0,41.93905290553,41.77613760567501,42.306776010917,90.09,41.934398182677,4.2,20,RTX
02-11-2013,95.75,105.0,82.0,6.14715,97.0,41.925088736971,41.594603414408,42.041456808296,89.61,41.710971485733,4.2,20,RTX
02-12-2013,95.75,105.0,82.0,6.14715,97.0,41.79941121994,41.683043148615,41.929743459824,89.98,41.883196231294,4.2,20,RTX
02-13-2013,95.75,105.0,82.0,6.14715,97.0,42.058792389906,41.6748221187,42.058792389906,89.5,41.90895033285,4.2,20,RTX
02-14-2013,95.75,105.0,82.0,6.14715,97.0,41.782521097209006,41.58117083304,42.143078547,89.69,41.997919054227005,4.2,20,RTX
02-15-2013,95.75,105.0,82.0,6.14715,97.0,42.166491368415,42.072840082755,42.508318561074006,90.78,42.508318561074006,4.2,20,RTX
02-19-2013,95.95,105.0,82.0,6.15203,98.0,42.625382668149,42.438080096829,42.850145753733,91.02,42.620700103866,4.2,20,RTX
02-20-2013,95.95,105.0,82.0,6.15203,98.0,42.620700103866,42.19458675411301,42.70241085060435,90.16,42.217999575528,4.2,20,RTX
02-21-2013,95.95,105.0,82.0,6.15203,98.0,42.040062132774,41.450059033116,42.054109825623,89.41,41.866807254303,4.2,20,RTX
02-22-2013,95.95,105.0,82.0,6.15203,98.0,42.091570339887,41.988553925661,42.372524196867,90.49,42.372524196867,4.2,20,RTX
02-25-2013,95.95,105.0,82.0,6.15203,98.0,42.56450933247,41.37982056887101,42.587922153885,88.37,41.37982056887101,4.2,20,RTX
02-26-2013,95.95,105.0,82.0,6.15203,98.0,41.679504682983,41.52025067171817,41.922998025699,89.2,41.76847340436,4.2,20,RTX
02-27-2013,95.95,105.0,82.0,6.15203,98.0,41.72164776153,41.398550826003,42.498953432508,90.57,42.409984711131,4.2,20,RTX
02-28-2013,95.95,105.0,82.0,6.15203,98.0,42.489588303942,42.250777525509,42.761177032356,90.55,42.400619582565,4.2,20,RTX
03-01-2013,95.95,105.0,82.0,6.15203,98.0,42.264825218358006,41.805933918624,42.494270868225,90.13,42.203951882679,4.2,20,RTX
03-04-2013,95.95,105.0,82.0,6.15203,98.0,41.927680589982,41.436011340267,42.007284182793,89.13,41.735695454379,4.2,20,RTX
03-05-2013,95.95,105.0,82.0,6.15203,98.0,41.997919054227005,41.913632897133006,42.747129339507005,91.02,42.620700103866,4.2,20,RTX
03-06-2013,95.95,105.0,82.0,6.15203,98.0,42.88760626799701,42.56450933247,43.014035503638006,91.07,42.644112925281,4.2,20,RTX
03-07-2013,96.68421,105.0,88.0,5.39056,98.0,42.704986260960005,42.695621132394,43.028083196487,91.71,42.943797039393,4.25,19,RTX
03-08-2013,96.68421,105.0,88.0,5.39056,98.0,43.093639096449,43.028083196487,43.505704753353,92.07,43.112369353581,4.25,19,RTX
03-11-2013,96.68421,105.0,88.0,5.39056,98.0,43.154512432128,43.037448325053,43.59467347473,92.91,43.505704753353,4.25,19,RTX
03-12-2013,97.42105,105.0,88.0,5.51854,99.0,43.482291931938,43.196655510675,43.660229374692,93.14,43.613403731862,4.25,19,RTX
03-13-2013,97.42105,105.0,88.0,5.51854,99.0,43.636816553277,43.412053467693,43.74919809606901,93.08,43.585308346164,4.25,19,RTX
03-14-2013,97.42105,105.0,88.0,5.51854,99.0,43.725785274654,43.533800139051,43.758563224635004,93.45,43.758563224635004,4.25,19,RTX
03-15-2013,99.42105,107.0,88.0,5.20441,100.0,43.68832476039,43.5478478319,43.781976046050005,93.28,43.678959631824,4.25,19,RTX
03-18-2013,100.57895,110.0,90.0,4.97696,100.0,43.533800139051,43.36991038914601,43.819436560314,92.77,43.440148853391,4.33333,19,RTX
03-19-2013,100.57895,110.0,90.0,4.97696,100.0,43.5478478319,43.30435448918401,43.856897074578,93.11,43.599356039013,4.33333,19,RTX
03-20-2013,100.57895,110.0,90.0,4.97696,100.0,43.931818103106,43.711737581805,44.0161042602,93.45,43.758563224635004,4.33333,19,RTX
03-21-2013,100.57895,110.0,90.0,4.97696,100.0,43.552530396183,43.210703203524005,43.693007324673005,92.43,43.28094166776901,4.33333,19,RTX
03-22-2013,100.57895,110.0,90.0,4.97696,100.0,43.44951398195701,43.36054526058,43.847531946012005,93.59,43.82411912459701,4.33333,19,RTX
03-25-2013,100.73684,110.0,90.0,5.15897,100.0,43.913087845974005,43.234116024939,44.0161042602,92.8,43.45419654624,4.33333,19,RTX
03-26-2013,100.73684,110.0,90.0,5.15897,100.0,43.678959631824,43.332449874882,43.772610917484,92.65,43.38395808199501,4.33333,19,RTX
03-27-2013,100.73684,110.0,90.0,5.15897,100.0,43.23879858922201,42.747129339507005,43.43546628910801,92.61,43.365227824863005,4.33333,19,RTX
03-28-2013,100.95,110.0,90.0,5.11346,100.5,43.59467347473,43.552530396183,43.88967502455901,93.43,43.74919809606901,4.32,20,RTX
04-01-2013,101.2,110.0,90.0,5.18266,101.5,43.622768860428,43.407370903410005,43.739832967503,92.92,43.510387317636,4.32,20,RTX
04-02-2013,101.45,110.0,90.0,5.23904,102.5,43.618086296145,43.477609367655,43.800706303182,92.99,43.543165267617,4.32,20,RTX
04-03-2013,101.45,110.0,90.0,5.23904,102.5,43.618086296145,43.552530396183,44.002056567351005,93.2,43.64149911756,4.32,20,RTX
04-04-2013,101.45,110.0,90.0,5.23904,102.5,43.72110271037101,43.5267762926265,43.92245297454,93.16,43.622768860428,4.32,20,RTX
04-05-2013,101.85,110.0,92.0,4.61817,102.5,43.079591403600006,43.032765760770005,43.430783724825005,92.64,43.379275517712,4.32,20,RTX
04-08-2013,102.45,110.0,95.0,4.0432,103.5,43.472926803372005,43.276259103486005,43.884992460276,93.71,43.880309895993,4.32,20,RTX
04-09-2013,102.45,110.0,95.0,4.0432,103.5,43.988008874502,43.725785274654,44.287692988614005,94.45,44.226819652935006,4.32,20,RTX
04-10-2013,102.45,110.0,95.0,4.0432,103.5,44.353248888576005,44.315788374312,44.811671931881705,95.18,44.568646845594,4.32,20,RTX
04-11-2013,102.45,110.0,95.0,4.0432,103.5,44.727854031216,44.563964281311,44.877696088272,95.82,44.868330959706,4.32,20,RTX
04-12-2013,102.45,110.0,95.0,4.0432,103.5,44.779362238329,44.563964281311,44.807457624027,95.69,44.807457624027,4.32,20,RTX
04-15-2013,102.45,110.0,95.0,4.0432,103.5,44.657615566971,43.781976046050005,44.709123774084006,93.52,43.791341174616,4.32,20,RTX
04-16-2013,102.45,110.0,95.0,4.0432,103.5,44.203406831520006,43.884992460276,44.400074531406,94.51,44.25491503863301,4.32,20,RTX
04-17-2013,102.45,110.0,95.0,4.0432,103.5,43.917770410257006,43.27157653920301,43.964596053087,92.85,43.477609367655,4.32,20,RTX
04-18-2013,102.45,110.0,95.0,4.0432,103.5,43.505704753353,42.728399082375006,43.599356039013,91.55,42.868876010865,4.32,20,RTX
04-19-2013,102.45,110.0,95.0,4.0432,103.5,42.948479603676,42.948479603676,43.68364219610701,93.22,43.650864246126005,4.32,20,RTX
04-22-2013,102.45,110.0,95.0,4.0432,103.5,43.650864246126005,43.332449874882,44.044199645898,93.63,43.842849381729,4.32,20,RTX
04-23-2013,102.45,110.0,95.0,4.0432,103.5,43.68832476039,42.44744522539501,44.133168367275005,92.89,43.496339624787005,4.32,20,RTX
