 Date,JPM Price Target,JPM Price Target - High,JPM Price Target - Low,JPM Price Target - StdDev,JPM Price Target - Median,JPM Open,JPM Low,JPM High,JPM Close,JPM Adj. Close,JPM Rating,JPM Price Target - #,Ticker
02-05-2013,51.5,62,37.0,5.18411,52.0,36.305206935048,36.297633883956,36.95648932896,48.79,36.948916277868,4.13514,32,JPM
02-06-2013,51.65625,62,37.0,5.18176,52.0,36.668713387464,36.592982876544,36.979208482236,48.61,36.812601358212,4.13514,32,JPM
02-07-2013,51.65625,62,37.0,5.18176,52.0,36.84289356258,36.27491473068,36.918624073500006,48.23,36.524825416716,4.13514,32,JPM
02-08-2013,51.65625,62,37.0,5.18176,52.0,36.600555927636,36.547544569992,36.873185766948,48.63,36.827747460396,4.13514,32,JPM
02-11-2013,51.65625,62,37.0,5.18176,52.0,36.736870847292,36.63842118309601,37.03221983988,48.66,36.850466613672,4.13514,32,JPM
02-12-2013,51.65625,62,37.0,5.18176,52.0,36.95648932896,36.80502830712,37.342714934652,49.14,37.213973066088,4.13514,32,JPM
02-13-2013,51.65625,62,37.0,5.18176,52.0,37.37300713902,36.7292977962,37.44873764994001,48.68,36.865612715856,4.13514,32,JPM
02-14-2013,52.0625,62,43.0,4.47868,52.0,36.653567285280005,36.630848132004,37.32749310195708,49.22,37.274557474824,4.13514,32,JPM
02-15-2013,52.0625,62,43.0,4.47868,52.0,37.37300713902,36.782309153844,37.456310701032,48.88,37.017073737696,4.16667,32,JPM
02-19-2013,52.0625,62,43.0,4.47868,52.0,37.198826963904,37.198826963904,37.622917825056,49.45,37.44873764994001,4.16667,32,JPM
02-20-2013,52.15625,64,43.0,4.64428,52.0,37.37300713902,36.623275080912,37.516895109768,48.61,36.812601358212,4.16667,32,JPM
02-21-2013,52.15625,64,43.0,4.64428,52.0,36.661140336372,36.221903373036,36.69143254074,48.25,36.5399715189,4.16667,32,JPM
02-22-2013,52.45161,64,43.0,4.41287,52.0,36.827747460396,36.661140336372,37.039792890972,48.91,37.039792890972,4.2,31,JPM
02-25-2013,52.45161,64,43.0,4.41287,52.0,37.183680861720006,36.08558845338,37.25941137264,47.7,36.12345370884,4.2,31,JPM
02-26-2013,52.45161,64,43.0,4.41287,52.0,36.517252365624,35.47974436602,36.547544569992,47.6,36.04772319792,4.2,31,JPM
02-27-2013,53.32258,64,43.0,4.38021,54.0,36.237049475220005,36.168892015392,37.41087239448,49.28,37.319995781376,4.2,31,JPM
02-28-2013,53.41935,64,44.0,4.17963,54.0,37.229119168272,36.918624073500006,37.52446816086,48.92,37.047365942064005,4.2,31,JPM
03-01-2013,53.45161,64,44.0,4.13357,54.0,36.80502830712,36.630848132004,37.42601849666401,48.91,37.039792890972,4.2,31,JPM
03-04-2013,53.45161,64,44.0,4.13357,54.0,36.903477971316,36.600555927636,37.213973066088,49.1,37.183680861720006,4.2,31,JPM
03-05-2013,53.58065,64,44.0,4.08596,54.0,37.479029854308,37.342714934652,37.948559022012,49.49,37.479029854308,4.2,31,JPM
03-06-2013,53.90323,64,44.0,4.10629,54.0,37.774378846896006,37.577479518504,38.009143430748,50.03,37.887974613276,4.2,31,JPM
03-07-2013,53.90323,64,44.0,4.10629,54.0,37.90312071546,37.872828511092,38.516537853912006,50.63,38.342357678796006,4.2,31,JPM
03-08-2013,54.23333,64,46.0,3.74774,54.0,38.312065474428,37.569906467412,38.50896480282,50.2,38.01671648184001,4.23529,30,JPM
03-11-2013,54.23333,64,46.0,3.74774,54.0,38.039435635116,37.797098000172,38.448380394084005,50.48,38.228761912416,4.23529,30,JPM
03-12-2013,54.23333,64,46.0,3.74774,54.0,38.13031224822,37.90312071546,38.372649883164,50.28,38.077300890576005,4.23529,30,JPM
03-13-2013,54.33333,64,46.0,3.75352,54.0,38.084873941668,37.948559022012,38.190896656956,50.16,37.986424277472,4.23529,30,JPM
03-14-2013,54.33333,64,46.0,3.75352,54.0,38.054581737300005,38.009143430748,38.6225605692,51.0,38.6225605692,4.23529,30,JPM
03-15-2013,54.46667,64,46.0,3.87929,54.0,37.842536306724,37.22154611718,38.084873941668,50.02,37.880401562184005,4.23529,30,JPM
03-18-2013,54.46667,64,46.0,3.87929,54.0,37.251838321548,37.070085095340005,37.607771722872,49.51,37.494175956492,4.23529,30,JPM
03-19-2013,54.46667,64,46.0,3.87929,54.0,37.60019867178,36.865612715856,37.857682408908005,49.2,37.25941137264,4.23529,30,JPM
03-20-2013,54.46667,64,46.0,3.87929,54.0,37.539614263044,37.138242555168,37.592625620688,49.12,37.198826963904,4.23529,30,JPM
03-21-2013,54.46667,64,46.0,3.87929,54.0,36.948916277868,36.61570202982001,37.282130525916,48.35,36.61570202982001,4.23529,30,JPM
03-22-2013,54.46667,64,46.0,3.87929,54.0,36.827747460396,36.608128978728,37.1079503508,48.78,36.941343226776006,4.23529,30,JPM
03-25-2013,54.46667,64,46.0,3.87929,54.0,37.138242555168,36.471814059072,37.350287985744,48.52,36.744443898384006,4.23529,30,JPM
03-26-2013,54.46667,64,46.0,3.87929,54.0,36.911051022408,36.592982876544,37.085231197524,48.64,36.835320511488,4.23529,30,JPM
03-27-2013,54.46667,64,46.0,3.87929,54.0,36.502106263440005,36.017430993552004,36.585409825452,47.77,36.176465066484006,4.23529,30,JPM
03-28-2013,54.46667,64,46.0,3.87929,54.0,36.229476424128,35.80538556297601,36.297633883956,47.46,35.941700482632,4.23529,30,JPM
04-01-2013,54.63333,64,46.0,3.79019,54.0,36.00985794246,35.964419635908,36.343072190508,47.83,36.221903373036,4.23529,30,JPM
04-02-2013,54.63333,64,46.0,3.79019,54.0,36.358218292692,36.25598210295,36.63842118309601,48.28,36.562690672176,4.23529,30,JPM
04-03-2013,54.63333,64,46.0,3.79019,54.0,36.600792683973,35.457732325323,36.631274293537,46.85,35.701585201835,4.23529,30,JPM
04-04-2013,54.7,66,46.0,3.96779,54.0,35.785409628136,35.73968721379,36.22731676279009,47.49,36.189290954859,4.23529,30,JPM
04-05-2013,54.93333,66,46.0,3.7677,54.5,35.655862787489,35.625381177925,36.608413086364,47.91,36.50934785528099,4.29412,30,JPM
04-08-2013,55.03333,66,46.0,3.83391,55.0,36.486486648108,36.265494978769,37.027535217869,48.58,37.019914815478,4.29412,30,JPM
04-09-2013,55.03333,66,46.0,3.83391,55.0,37.141841253734,36.928469986786,37.31040455462291,48.68,37.096118839388,4.29412,30,JPM
04-10-2013,55.03448,66,46.0,3.89945,55.0,37.294249301554,37.248526887208,37.766714249796,49.25,37.530481775675,4.30303,29,JPM
04-11-2013,55.03448,66,46.0,3.89945,55.0,37.500000166111,37.210424875253,37.79719585936,49.31,37.576204190021,4.30303,29,JPM
04-12-2013,55.13793,67,46.0,3.96297,55.0,37.26376769199,36.920849584395,37.781955054578,49.01,37.347592118291,4.30303,29,JPM
04-15-2013,56.0,67,50.0,3.58156,55.0,36.875127170049,36.50172745289,37.599065397194,47.93,36.524588660063,4.30303,29,JPM
04-16-2013,56.13793,67,50.0,3.5304,55.0,36.905608779613,36.265494978769,36.974192401132,48.49,36.951331193959,4.30303,29,JPM
04-17-2013,56.13793,67,50.0,3.5304,55.0,36.661755903101,35.343426289458,36.715098719838,46.79,35.655862787489,4.30303,29,JPM
04-18-2013,56.13793,67,50.0,3.5304,55.0,35.66348318988,35.091953010554995,36.067364516603,46.64,35.541556751624,4.30303,29,JPM
04-19-2013,56.13793,67,50.0,3.5304,55.0,35.930197273565,35.58727916597,36.0932738847324,47.23,35.991160492693,4.30303,29,JPM
04-22-2013,56.13793,67,50.0,3.5304,55.0,36.12070733334,35.716826006617,36.189290954859,47.35,36.082605321385,4.30303,29,JPM
04-23-2013,56.13793,67,50.0,3.5304,55.0,36.334078600288,36.113086930949,36.760821134184,48.17,36.707478317447,4.30303,29,JPM
04-24-2013,56.10345,66,50.0,3.42752,55.0,36.821784353312,36.69985791505599,37.279008496772,48.72,37.126600448952,4.30303,29,JPM
04-25-2013,56.13793,66,50.0,3.3705,55.0,37.355212520682,37.25607108557509,37.820057066533,49.0,37.3399717159,4.30303,29,JPM
04-26-2013,56.13793,66,50.0,3.3705,55.0,37.233286082426,37.042776022651,37.408555337419,48.88,37.248526887208,4.30303,29,JPM
04-29-2013,56.13793,66,50.0,3.3705,55.0,37.400934935028,37.073257632215,37.41617573981,48.92,37.279008496772,4.30303,29,JPM
04-30-2013,56.13793,66,50.0,3.3705,55.0,37.309490106336,37.126600448952,37.530481775675,49.01,37.347592118291,4.30303,29,JPM
05-01-2013,56.13793,66,50.0,3.3705,55.0,37.157082058516,36.463625440935,37.271388094381,48.01,36.585551879190994,4.30303,29,JPM
05-02-2013,56.13793,66,50.0,3.3705,55.0,36.768441536575,36.356939807461,36.768441536575,48.08,36.638894695928,4.30303,29,JPM
05-03-2013,56.13793,66,50.0,3.3705,55.0,37.058016827433,35.800650432918,37.11135964417,47.57,36.250254173987,4.30303,29,JPM
05-06-2013,56.13793,66,50.0,3.3705,55.0,36.356939807461,36.250254173987,36.875127170049,48.18,36.715098719838,4.30303,29,JPM
05-07-2013,56.13793,66,50.0,3.3705,55.0,37.012294413087,36.776061938966,37.637167409149,49.14,37.446657349374,4.30303,29,JPM
05-08-2013,56.13793,66,50.0,3.3705,55.0,37.507620568502,37.423796142201,38.094391552609,49.76,37.919122297616,4.30303,29,JPM
05-09-2013,56.13793,66,50.0,3.3705,55.0,37.87339988327,37.279008496772,37.957224309571,49.04,37.370453325464,4.30303,29,JPM
05-10-2013,56.13793,66,50.0,3.3705,55.0,37.378073727855,37.065637229824,37.515240970893,48.96,37.309490106336,4.30303,29,JPM
05-13-2013,56.13793,66,50.0,3.3705,55.0,37.218045277644,37.042776022651,37.87339988327,49.67,37.850538676097,4.30303,29,JPM
05-14-2013,56.13793,66,50.0,3.3705,55.0,37.926742700007,37.842918273706,38.422068855422,50.23,38.27728120999299,4.30303,29,JPM
05-15-2013,56.2069,66,50.0,3.36697,56.0,38.25442000282,38.216317990864994,39.191729496913,51.09,38.932635815619,4.30303,29,JPM
05-16-2013,56.2069,66,50.0,3.36697,56.0,38.764986963017,38.742125755844,39.366998751906,50.97,38.841190986927,4.30303,29,JPM
05-17-2013,56.2069,66,50.0,3.36697,56.0,39.062182656266,39.054562253875,39.877565712103,52.3,39.85470450493,4.30303,29,JPM
05-20-2013,56.2069,66,50.0,3.36697,56.0,39.839463700148,39.557508811681,40.106177783833,52.29,39.847084102539,4.30303,29,JPM
05-21-2013,56.2069,66,50.0,3.36697,56.0,40.029973759923,39.969010540795,40.898699632497,53.02,40.403373477082,4.30303,29,JPM
05-22-2013,56.34483,66,50.0,3.35565,56.0,40.715809975113,40.609124341639,41.881731540936,53.63,40.868218022933,4.30303,29,JPM
05-23-2013,56.41379,66,50.0,3.46925,56.0,40.250965429262,40.129038991006,40.9893824209499,53.35,40.654846755985,4.30303,29,JPM
05-24-2013,56.65517,66,50.0,3.55524,56.0,40.31192864839,40.174761405352,40.891079230106,53.66,40.891079230106,4.30303,29,JPM
05-28-2013,56.65517,66,50.0,3.55524,56.0,41.576915445296,41.16922391737749,41.64443221048026,54.6,41.60739705486,4.30303,29,JPM
05-29-2013,56.89655,66,50.0,3.79968,56.0,41.218756532919,41.081589289881,41.881731540936,54.67,41.660739871597,4.30303,29,JPM
05-30-2013,57.10345,66,50.0,3.90707,57.0,41.60739705486,41.554054238123,42.59804936569,55.62,42.38467809874199,4.30303,29,JPM
05-31-2013,57.10345,66,50.0,3.90707,57.0,42.453261720261,41.59977665246901,42.544706548953,54.59,41.59977665246901,4.30303,29,JPM
