 Date,COP Price Target,COP Price Target - High,COP Price Target - Low,COP Price Target - StdDev,COP Price Target - Median,COP Open,COP Low,COP High,COP Close,COP Adj. Close,COP Rating,COP Price Target - #,Ticker
02-05-2013,62.52941,83.0,50.0,6.85237,62.0,41.70878926518,41.1271215161875,41.77295114325904,57.72,41.19492327834,3.40909,17,COP
02-06-2013,62.52941,83.0,50.0,6.85237,62.0,41.03790867125,40.716742429475,41.18064922315,57.59,41.102141919605,3.40909,17,COP
02-07-2013,62.82353,83.0,50.0,7.05637,62.0,41.159238140365,40.93799028492,41.28056760948,57.63,41.130690029985,3.40909,17,COP
02-08-2013,62.82353,83.0,50.0,7.05637,62.0,41.26629355429,41.09500489201,41.301978692265,57.87,41.301978692265,3.40909,17,COP
02-11-2013,62.82353,83.0,50.0,7.05637,62.0,41.35193788543,41.059319754035,41.35193788543,57.59,41.102141919605,3.40909,17,COP
02-12-2013,62.82353,83.0,50.0,7.05637,62.0,41.28056760948,41.1092789472,41.58032276847,58.25,41.573185740875,3.40909,17,COP
02-13-2013,62.82353,83.0,50.0,7.05637,62.0,41.644556016825,41.394760051,41.83725576188999,58.61,41.830118734295,3.40909,17,COP
02-14-2013,62.82353,83.0,50.0,7.05637,62.0,41.7218440536,41.5918422523188,41.87342860812,57.92,41.80846379904,3.40909,17,COP
02-15-2013,62.82353,83.0,50.0,7.05637,62.0,41.7940271748,40.98557621736,41.87342860812,57.02,41.15881570824,3.40909,17,COP
02-19-2013,62.82353,83.0,50.0,7.05637,62.0,41.60635105968,41.519731314240005,42.30652733532,58.6,42.2993090232,3.40909,17,COP
02-20-2013,62.82353,83.0,50.0,7.05637,62.0,42.2993090232,41.60635105968,42.30652733532,57.67,41.62800599604,3.40909,17,COP
02-21-2013,62.82353,83.0,50.0,7.05637,62.0,41.54860456272,41.20934389308,41.98170328992,58.11,41.94561172932,3.40909,17,COP
02-22-2013,62.82353,83.0,50.0,7.05637,62.0,42.0827596596,41.6135693718,42.10441459596,58.2,42.0105765384,3.40909,17,COP
02-25-2013,62.82353,83.0,50.0,7.05637,62.0,42.20547096564,41.02166777796,42.2632174626,56.89,41.06497765068,3.40909,17,COP
02-26-2013,63.05882,83.0,50.0,6.75165,62.0,41.3609284476,41.107926607794,41.80846379904,57.75,41.685752493,3.45455,17,COP
02-27-2013,63.05882,83.0,50.0,6.75165,62.0,41.54860456272,41.44032988092,41.99613991416,58.04,41.89508354448,3.45455,17,COP
02-28-2013,63.35294,83.0,50.0,6.93619,62.0,41.7940271748,41.7579356142,42.0827596596,57.95,41.8301187354,3.45455,17,COP
03-01-2013,63.88235,83.0,50.0,7.0784,62.0,41.81568211116,41.6135693718,42.06832303536,58.28,42.06832303536,3.45455,17,COP
03-04-2013,63.88235,83.0,50.0,7.0784,62.0,41.96726666568,41.324836887,42.00335822628,57.62,41.59191443544,3.45455,17,COP
03-05-2013,63.88235,83.0,50.0,7.0784,62.0,41.82290042328,41.40423832032,41.87342860812,57.66,41.62078768392,3.45455,17,COP
03-06-2013,63.88235,83.0,50.0,7.0784,62.0,41.81568211116,41.46198481728,41.89508354448,58.0,41.866210296,3.45455,17,COP
