 Date,COF Price Target,COF Price Target - High,COF Price Target - Low,COF Price Target - StdDev,COF Price Target - Median,COF Open,COF Low,COF High,COF Close,COF Adj. Close,COF Rating,COF Price Target - #,Ticker
02-05-2013,66.375,72,57.0,3.476,67.5,47.25722830145801,47.032352523499,47.781938450029,57.13,47.582048869621005,4.19355,28,COF
02-06-2013,66.375,72,57.0,3.476,67.5,47.298871964043,47.232242103907005,48.231690005947,57.47,47.865225775199,4.19355,28,COF
02-07-2013,66.375,72,57.0,3.476,67.5,48.140313276825,47.340058718457,48.215337141672,57.19,47.673498117777,4.19355,28,COF
02-08-2013,66.375,72,57.0,3.476,67.5,47.831881832454,47.423418568287,47.981929562148,57.27,47.740185997641,4.19355,28,COF
02-11-2013,66.375,72,57.0,3.476,67.5,47.531786373066005,46.956603409239,47.581802282964,56.55,47.139995078865,4.19355,28,COF
02-12-2013,66.375,72,57.0,3.476,67.5,47.031627274086,46.123004910939,47.1191551164075,55.78,46.498124235174,4.19355,28,COF
02-13-2013,66.375,72,57.0,3.476,67.5,46.51479620514,45.889597331415,46.76487575463,55.07,45.906269301381,4.19355,28,COF
02-14-2013,66.375,72,57.0,3.476,67.5,45.814573466568,45.62968131964506,46.364748475446,55.59,46.339740520497,4.19355,28,COF
02-15-2013,66.375,72,57.0,3.476,67.5,46.756539769647006,44.747567388744,46.756539769647006,54.03,45.039326863149,4.19355,28,COF
02-19-2013,66.16071,72,56.0,3.51287,67.0,45.005982923217005,44.139040484985,45.0143189082,53.12,44.280752229696,4.19355,28,COF
02-20-2013,65.48214,72,56.0,4.03441,67.0,43.555521536175,43.26376206177,44.172384424917,52.27,43.572193506141005,4.12903,28,COF
02-21-2013,65.48214,74,56.0,4.24155,66.0,43.463825701362,43.205410166889,43.697233280886,52.21,43.522177596243,4.12903,28,COF
02-22-2013,65.48214,74,56.0,4.24155,66.0,43.855616995563,43.280434031736,43.897296920478,52.28,43.580529491124,4.16667,28,COF
02-25-2013,65.33929,74,56.0,4.18768,65.0,43.722241235835,42.34680371364,43.822273055631,50.8,42.34680371364,4.16667,28,COF
02-26-2013,65.08929,74,56.0,4.2888,65.0,42.746930992824,42.255107878827,43.022018497263,51.47,42.905314707501,4.16667,28,COF
02-27-2013,64.875,74,50.0,4.85067,65.0,42.796946902722006,42.446835533436,43.122050317059,51.59,43.005346527297,4.16667,28,COF
02-28-2013,64.875,74,50.0,4.85067,65.0,42.84696281262,42.296787803742,43.038690467229,51.03,42.53853136824901,4.16667,28,COF
