 Date,ABBV Price Target,ABBV Price Target - High,ABBV Price Target - Low,ABBV Price Target - StdDev,ABBV Price Target - Median,ABBV Open,ABBV Low,ABBV High,ABBV Close,ABBV Adj. Close,ABBV Rating,ABBV Price Target - #,Ticker
02-05-2013,39.0,45.0,36.0,2.79285,38.0,24.91219157701,24.75241268929,25.118572640315,37.2,24.7657275966,3.69231,10,ABBV
02-06-2013,39.0,45.0,36.0,2.79285,38.0,24.60594870888,24.53937417233,24.81898722584,37.14,24.72578287467,3.69231,10,ABBV
02-07-2013,38.81818,45.0,36.0,2.72424,38.0,25.012053381835,23.8336840849,25.012053381835,36.42,24.24644621151,3.64286,11,ABBV
02-08-2013,38.81818,45.0,36.0,2.72424,38.0,24.213158943235,23.8503277190375,24.24644621151,36.25,24.133269499375,3.64286,11,ABBV
02-11-2013,38.81818,45.0,36.0,2.72424,38.0,24.053380055515,23.800396816625,24.08666732379,35.85,23.866971353175,3.64286,11,ABBV
02-12-2013,38.81818,45.0,36.0,2.72424,38.0,23.813711723935,23.4342368656,23.90025862145,35.42,23.58070084601,3.64286,11,ABBV
02-13-2013,38.81818,45.0,36.0,2.72424,38.0,23.58070084601,23.400949597325,23.680562650835,35.27,23.480839041185,3.64286,11,ABBV
02-14-2013,38.81818,45.0,36.0,2.72424,38.0,23.334375060774995,23.307745246155,24.452827274815,36.57,24.346308016335,3.64286,11,ABBV
02-15-2013,38.81818,45.0,36.0,2.72424,38.0,24.585976347915,24.585976347915,25.171832269555,37.58,25.01871083549,3.64286,11,ABBV
02-19-2013,38.81818,45.0,36.0,2.72424,38.0,24.99208102087,24.705810513705,25.518019859615,38.19,25.424815508445,3.64286,11,ABBV
02-20-2013,38.81818,45.0,36.0,2.72424,38.0,25.40484314748,25.038683196455,26.050616152015,38.61,25.704428561955,3.64286,11,ABBV
02-21-2013,38.81818,45.0,36.0,2.72424,38.0,25.624539118095,25.424815508445,25.9807128886375,38.78,25.81760527409,3.64286,11,ABBV
02-22-2013,38.81818,45.0,36.0,2.72424,38.0,25.824262727745,25.39152824017,25.864207449675,38.46,25.60456675713,3.64286,11,ABBV
02-25-2013,38.81818,45.0,36.0,2.72424,38.0,25.65782638637,24.878904308734995,25.704428561955,37.37,24.878904308734995,3.64286,11,ABBV
02-26-2013,38.81818,45.0,36.0,2.72424,38.0,25.0320257428,24.60594870888,25.0320257428,37.09,24.692495606395,3.64286,11,ABBV
02-27-2013,38.81818,45.0,36.0,2.72424,38.0,24.612606162535,24.2331313042,24.61926361619,36.73,24.452827274815,3.64286,11,ABBV
02-28-2013,38.81818,45.0,36.0,2.72424,38.0,24.40622509923,24.29970584075,24.72578287467,36.92,24.57931889426,3.64286,11,ABBV
03-01-2013,38.81818,45.0,36.0,2.72424,38.0,24.4994294504,24.3336588543905,25.344926064585,37.81,25.171832269555,3.64286,11,ABBV
03-04-2013,38.81818,45.0,36.0,2.72424,38.0,24.985423567215,24.985423567215,25.464760230375,38.24,25.45810277672,3.64286,11,ABBV
03-05-2013,38.81818,45.0,36.0,2.72424,38.0,25.597909303475,24.825644679495,25.677798747335,37.51,24.972108659905,3.64286,11,ABBV
03-06-2013,38.81818,45.0,36.0,2.72424,38.0,25.00539592818,24.878904308734995,25.20511953783,37.74,25.12523009397,3.64286,11,ABBV
03-07-2013,38.81818,45.0,36.0,2.72424,38.0,25.065313011075,24.92550648432,25.304981342655,37.49,24.958793752595,3.71429,11,ABBV
03-08-2013,38.81818,45.0,36.0,2.72424,38.0,25.05865555742,24.73909778198,25.065313011075,37.34,24.85893194777,3.71429,11,ABBV
03-11-2013,39.0,45.0,36.0,2.86039,38.0,24.799014864875,24.68583815274,25.398185693825,37.67,25.078627918385,3.71429,11,ABBV
03-12-2013,39.0,45.0,36.0,2.86039,38.0,25.09860027935,24.665865791775,25.49804749865,37.17,24.745755235635,3.71429,11,ABBV
03-13-2013,39.0,45.0,36.0,2.86039,38.0,24.7657275966,24.65920833812,25.02530171460845,37.17,24.745755235635,3.71429,11,ABBV
03-14-2013,39.0,45.0,36.0,2.86039,38.0,24.918849030665,24.53937417233,25.025368289145,37.56,25.00539592818,3.71429,11,ABBV
03-15-2013,39.0,45.0,36.0,2.86039,38.0,24.92550648432,24.81898722584,25.65782638637,38.5,25.63119657175,3.71429,11,ABBV
03-18-2013,39.0,45.0,36.0,2.86039,38.0,25.331611157274995,25.291666435345,25.624539118095,38.16,25.40484314748,3.71429,11,ABBV
03-19-2013,39.0,45.0,36.0,2.86039,38.0,25.464760230375,25.19180463052,25.5646220352,38.36,25.53799222058,3.71429,11,ABBV
03-20-2013,39.0,45.0,36.0,2.86039,38.0,25.63119657175,25.571279488855,26.090560873945,39.06,26.00401397643,3.71429,11,ABBV
03-21-2013,39.0,45.0,36.0,2.86039,38.0,25.84423508871,25.617881664439995,25.944096893535,38.49,25.624539118095,3.71429,11,ABBV
03-22-2013,39.0,45.0,36.0,2.86039,38.0,25.677798747335,25.49804749865,25.944096893535,38.97,25.944096893535,3.71429,11,ABBV
03-25-2013,39.0,45.0,36.0,2.86039,38.0,26.04395869836,25.917467078915,26.31025684456,39.32,26.17710777146,3.71429,11,ABBV
03-26-2013,39.0,45.0,36.0,2.86039,38.0,26.343544112835,26.343544112835,26.97600221006,40.21,26.769621146755,3.71429,11,ABBV
03-27-2013,39.0,45.0,36.0,2.86039,38.0,26.77627860041,26.40346119573,26.822880775995,40.15,26.729676424825,3.71429,11,ABBV
03-28-2013,39.0,45.0,36.0,2.86039,38.0,26.80290841503,26.4800219127625,27.162410912399995,40.78,27.14909600509,3.71429,11,ABBV
04-01-2013,39.09091,45.0,36.0,2.93736,38.0,26.60318480538,26.60318480538,27.38876433667,41.12,27.37544942936,3.57143,11,ABBV
04-02-2013,39.09091,45.0,36.0,2.93736,38.0,27.44202396591,26.97600221006,27.44202396591,40.71,27.102493829505,3.57143,11,ABBV
04-03-2013,39.09091,45.0,36.0,2.93736,38.0,27.129123644125,26.862825497925,27.595145399975,40.57,27.009289478335,3.57143,11,ABBV
04-04-2013,39.18182,45.0,36.0,3.03968,38.0,27.142438551435,27.045239728072,27.81484137059,41.6,27.6950072048,3.57143,11,ABBV
04-05-2013,39.18182,45.0,36.0,3.03968,38.0,27.501941048805,27.355477068395,27.62843266825,41.31,27.501941048805,3.57143,11,ABBV
04-08-2013,39.18182,45.0,36.0,3.03968,38.0,27.475311234185,27.342162161085,27.874758453485,41.77,27.808183916935,3.57143,11,ABBV
04-09-2013,39.45455,45.0,36.0,3.39421,38.0,27.93467553638,27.8281562779,28.99986812118,42.55,28.327465302025,3.57143,11,ABBV
04-10-2013,40.27273,50.0,36.0,4.13611,38.0,28.394039838575,28.29417803375,29.139674647935,43.62,29.03981284311,3.57143,11,ABBV
04-11-2013,40.27273,50.0,36.0,4.13611,38.0,29.174194206898,28.965903092109,29.365687651139496,43.2,29.02637470608,3.57143,11,ABBV
04-12-2013,40.27273,50.0,36.0,4.13611,38.0,28.871836137043,28.636668749378,29.086846320051,43.09,28.952464955671,3.57143,11,ABBV
04-15-2013,40.63636,50.0,36.0,4.00619,40.0,28.804645454852995,27.823661494878998,28.912150546357,41.44,27.843818699536,3.57143,11,ABBV
04-16-2013,40.63636,50.0,36.0,4.00619,40.0,27.998357268573,27.635527584747,28.576197135407,42.45,28.522444589655,3.57143,11,ABBV
04-17-2013,40.63636,50.0,36.0,4.00619,40.0,28.314153474866,27.830380563098,28.509006453217,42.24,28.381344157056,3.57143,11,ABBV
04-18-2013,40.63636,50.0,36.0,4.00619,40.0,28.468692043903,28.146176769391,28.650106885816,42.32,28.435096702808,3.57143,11,ABBV
04-19-2013,40.63636,50.0,36.0,4.00619,40.0,28.562758998968995,28.35446788418,28.609792476502,42.39,28.482130180341,3.57143,11,ABBV
04-22-2013,42.36364,50.0,37.0,4.71502,41.0,28.8919933417,28.811364523072,30.121582825777,44.2,29.69828152798,3.64286,11,ABBV
04-23-2013,42.36364,50.0,37.0,4.71502,41.0,29.973763324959,29.83266289236,31.122723990408,45.14,30.329873940566,3.64286,11,ABBV
04-24-2013,42.36364,50.0,37.0,4.71502,41.0,30.329873940566,29.523585754286,30.464255304946,44.32,29.778910346608,3.64286,11,ABBV
04-25-2013,42.36364,50.0,37.0,4.71502,41.0,30.067830280025,29.402642526344,30.09463936221881,44.24,29.725157800856,3.64286,11,ABBV
04-26-2013,42.72727,50.0,37.0,4.82589,43.0,30.202211644405,30.067830280025,31.116004922189,45.84,30.800208715896,3.57143,11,ABBV
04-29-2013,44.0,52.0,37.0,5.37672,44.0,30.793489647677,30.269402326595,30.860680329867,45.23,30.390345554537,3.57143,11,ABBV
04-30-2013,44.09091,52.0,37.0,5.48476,44.0,30.269402326595,30.242526053719,31.062252376436994,46.05,30.941309148494994,3.57143,11,ABBV
05-01-2013,44.09091,52.0,37.0,5.48476,44.0,30.733018033706,30.605355737545,30.968185421371,45.55,30.605355737545,3.57143,11,ABBV
05-02-2013,44.09091,52.0,37.0,5.48476,44.0,30.692703624392,29.469833208534,30.692703624392,43.99,29.557181095381,3.57143,11,ABBV
05-03-2013,44.09091,52.0,37.0,5.48476,44.0,29.772191278389,29.449676003877,30.081268416463,44.68,30.020796802492,3.57143,11,ABBV
05-06-2013,44.09091,52.0,37.0,5.48476,44.0,30.202211644405,29.664686186885,30.202211644405,44.59,29.960325188521,3.57143,11,ABBV
05-07-2013,44.09091,52.0,37.0,5.48476,44.0,29.89985357455,29.846168219480187,30.2358069855,44.91,30.175335371528995,3.57143,11,ABBV
05-08-2013,44.09091,52.0,37.0,5.48476,44.0,30.242526053719,29.154037002241,30.269402326595,43.49,29.221227684431,3.57143,11,ABBV
05-09-2013,44.36364,52.0,37.0,5.24444,44.0,29.120441661146,29.059970047175,29.866258233455,44.24,29.725157800856,3.64286,11,ABBV
05-10-2013,44.36364,52.0,37.0,5.24444,44.0,29.705000596199,29.69828152798,30.242526053719,45.01,30.242526053719,3.64286,11,ABBV
05-13-2013,44.36364,52.0,37.0,5.24444,44.0,30.094706552901,29.678124323323,30.094706552901,44.54,29.926729847426,3.64286,11,ABBV
05-14-2013,44.36364,52.0,37.0,5.24444,44.0,29.624371777571,29.624371777571,30.585198532888,45.35,30.470974373165,3.53846,11,ABBV
05-15-2013,44.36364,52.0,37.0,5.24444,44.0,30.719579897268,30.558322260011995,31.532587151767,46.03,30.927871012057,3.64286,11,ABBV
05-16-2013,44.36364,52.0,37.0,5.24444,44.0,30.948028216714,30.914432875619,31.51242994711,46.21,31.048814239999,3.64286,11,ABBV
05-17-2013,44.36364,52.0,37.0,5.24444,44.0,30.927871012057,30.806927784115,31.808068948746,47.17,31.693844789023,3.64286,11,ABBV
05-20-2013,44.36364,52.0,37.0,5.24444,44.0,31.660249447927995,30.954814475615187,31.673687584366,46.26,31.082409581094,3.64286,11,ABBV
05-21-2013,44.36364,52.0,37.0,5.24444,44.0,31.035376103561,31.021937967123,31.552744356424,46.54,31.270543491226,3.57143,11,ABBV
05-22-2013,44.36364,52.0,37.0,5.24444,44.0,31.216790945474,30.806927784115,32.2515274512,46.76,31.418362992044,3.57143,11,ABBV
05-23-2013,44.36364,52.0,37.0,5.24444,44.0,30.988342626028,30.921151943838,31.5426657540955,46.59,31.304138832321,3.57143,11,ABBV
05-24-2013,44.36364,52.0,37.0,5.24444,44.0,31.075690512875,30.446651346212217,31.230229081912,45.44,30.531445987136,3.57143,11,ABBV
05-28-2013,45.4,54.0,37.0,5.35164,45.5,30.833804056991,30.03423493893,30.934590080276,45.39,30.497850646041,3.61538,10,ABBV
05-29-2013,45.4,54.0,37.0,5.35164,45.5,30.161897235091,29.422799731001,30.356750213442,43.88,29.483271344972,3.61538,10,ABBV
05-30-2013,45.4,54.0,37.0,5.35164,45.5,29.610933641133,29.610933641133,30.316435804127995,44.55,29.933448915644995,3.61538,10,ABBV
05-31-2013,46.15,54.0,40.0,4.59375,45.75,29.745315005513,28.678662925746742,30.027515870711,42.69,28.683702226910995,3.61538,10,ABBV
06-03-2013,46.15,54.0,40.0,4.59375,45.75,28.811364523072,28.724016636225,29.281699298402,43.36,29.133879797584,3.61538,10,ABBV
06-04-2013,46.15,54.0,40.0,4.59375,45.75,29.174194206898,29.147317934022,29.879696369893,43.63,29.315294639497,3.61538,10,ABBV
06-05-2013,46.15,54.0,40.0,4.59375,45.75,29.221227684431,28.683702226910995,29.49670948141,43.04,28.918869614576,3.61538,10,ABBV
06-06-2013,46.15,54.0,40.0,4.59375,45.75,29.039812842518,28.656825954035,29.274980230183,43.5,29.22794675265,3.61538,10,ABBV
06-07-2013,45.85,52.0,40.0,4.14759,45.75,29.375766253468,29.22794675265,29.745315005513,44.0,29.5639001636,3.61538,10,ABBV
06-10-2013,45.85,52.0,40.0,4.14759,45.75,29.785629414827,29.039812842518,29.785629414827,43.92,29.510147617848,3.61538,10,ABBV
06-11-2013,45.85,52.0,40.0,4.14759,45.75,29.100284456489,28.925588682794995,29.597495504695,43.59,29.288418366621,3.61538,10,ABBV
06-12-2013,45.85,52.0,40.0,4.14759,45.75,29.503428549629,28.703859431568,29.5639001636,42.77,28.737454772663,3.61538,10,ABBV
06-13-2013,45.85,52.0,40.0,4.14759,45.75,28.502287384998,26.94346355819,29.02637470608,43.15,28.992779364985,3.61538,10,ABBV
06-14-2013,45.85,52.0,40.0,4.14759,45.75,28.878555205262,28.55603993075,29.22794675265,43.21,29.033093774299,3.61538,10,ABBV
06-17-2013,45.85,52.0,40.0,4.14759,45.75,29.16075607046,28.676983158692,29.22794675265,43.01,28.898712409919,3.61538,10,ABBV
06-18-2013,45.85,52.0,40.0,4.14759,45.75,28.871836137043,28.643387817597,29.268261161964,43.54,29.254823025526,3.61538,10,ABBV
06-19-2013,45.85,52.0,40.0,4.14759,45.75,29.268261161964,28.898712409919,29.449676003877,43.04,28.918869614576,3.61538,10,ABBV
06-20-2013,45.85,52.0,40.0,4.14759,45.75,28.656825954035,27.487708083929,28.744173840882,41.06,27.588494107214,3.61538,10,ABBV
06-21-2013,45.85,52.0,40.0,4.14759,45.75,27.991638200354,27.68256106228,28.697140363349,42.62,28.636668749378,3.61538,10,ABBV
06-24-2013,45.85,52.0,40.0,4.14759,45.75,28.267119997333,27.763189880908,28.4854897144505,41.89,28.146176769391,3.61538,10,ABBV
06-25-2013,45.85,52.0,40.0,4.14759,45.75,28.320872543084995,27.958042859259,28.737454772663,42.63,28.643387817597,3.61538,10,ABBV
06-26-2013,45.85,52.0,40.0,4.14759,45.75,28.95918402389,28.908791012247494,29.301856503059,43.38,29.147317934022,3.61538,10,ABBV
06-27-2013,46.40909,52.0,40.0,4.3318,47.0,29.268261161964,28.713938033896497,29.550462027161995,43.13,28.979341228547,3.61538,11,ABBV
06-28-2013,46.40909,52.0,40.0,4.3318,47.0,28.576197135407,27.763189880908,28.871836137043,41.34,27.776628017346,3.61538,11,ABBV
07-01-2013,46.40909,52.0,40.0,4.3318,47.0,27.816942426659995,27.595213175433,28.173053042267,41.61,27.958042859259,3.61538,11,ABBV
07-02-2013,46.40909,52.0,40.0,4.3318,47.0,27.937885654601995,27.937885654601995,28.6024015014611,42.21,28.361186952399,3.61538,11,ABBV
07-03-2013,46.40909,52.0,40.0,4.3318,47.0,28.139457701172,27.958042859259,28.428377634589,42.23,28.374625088837,3.61538,11,ABBV
07-05-2013,46.40909,52.0,40.0,4.3318,47.0,28.522444589655,28.428377634589,28.777769181977,42.72,28.703859431568,3.61538,11,ABBV
07-08-2013,46.40909,52.0,40.0,4.3318,47.0,28.82480265951,28.771050113758,29.355609048811,43.68,29.348889980592,3.61538,11,ABBV
07-09-2013,46.40909,52.0,40.0,4.3318,47.0,29.5639001636,29.059970047175,29.718438732637,43.32,29.107003524708,3.61538,11,ABBV
07-10-2013,46.40909,52.0,40.0,4.3318,47.0,29.133879797584,29.133879797584,29.644528982228,43.91,29.503428549629,3.61538,11,ABBV
07-11-2013,46.40909,52.0,40.0,4.3318,47.0,29.795004606276,29.381373454482,29.910278861694003,43.78,29.686511189412,3.61538,11,ABBV
07-12-2013,46.40909,52.0,40.0,4.3318,47.0,29.788223767722,29.70007286652,30.588362717094,45.05,30.54767768577,3.61538,11,ABBV
07-15-2013,46.40909,52.0,40.0,4.3318,47.0,30.479869300230003,30.201854919516,30.493430977338,44.62,30.256101627948,3.61538,11,ABBV
07-16-2013,46.40909,52.0,40.0,4.3318,47.0,30.201854919516,29.632264480980005,30.35781420625801,43.81,29.706853705074003,3.61538,11,ABBV
07-17-2013,46.40909,52.0,40.0,4.3318,47.0,29.815347121938,29.659387835196004,29.93740221591,43.96,29.808566283384003,3.61538,11,ABBV
07-18-2013,46.40909,52.0,40.0,4.3318,47.0,29.808566283384003,29.706853705074003,30.215416596624003,44.32,30.052676471328,3.61538,11,ABBV
