 Date,DHR Price Target,DHR Price Target - High,DHR Price Target - Low,DHR Price Target - StdDev,DHR Price Target - Median,DHR Open,DHR Low,DHR High,DHR Close,DHR Adj. Close,DHR Rating,DHR Price Target - #,Ticker
02-05-2013,65.30435,77.0,54.0,5.66019,67.0,43.634232735548,43.561918793328005,43.981339658204,60.68,43.880100139096,4.22222,23,DHR
02-06-2013,65.30435,77.0,54.0,5.66019,67.0,43.323282784002,43.323282784002,43.771629225766006,60.43,43.699315283546,4.22222,23,DHR
02-07-2013,65.30435,77.0,54.0,5.66019,67.0,43.807786196876,43.287125812892,43.843943167986005,60.17,43.511299033774,4.22222,23,DHR
02-08-2013,65.30435,77.0,54.0,5.66019,67.0,43.49683624533,43.453447879998,43.974108263982,60.81,43.974108263982,4.22222,23,DHR
02-11-2013,65.3913,77.0,54.0,5.71603,67.0,43.952414081316,43.627001341326,43.988571052426,60.68,43.880100139096,4.22222,23,DHR
02-12-2013,65.3913,77.0,54.0,5.71603,67.0,44.00303384087,43.880100139096,44.234438455974,60.97,44.089810571534,4.22222,23,DHR
02-13-2013,65.3913,77.0,54.0,5.71603,67.0,44.25613263864,43.800554802654005,44.33567797508201,61.02,44.125967542644005,4.22222,23,DHR
02-14-2013,65.3913,77.0,54.0,5.71603,67.0,43.952414081316,43.764397831544,44.371834946192,61.16,44.227207061752,4.22222,23,DHR
02-15-2013,65.3913,77.0,54.0,5.71603,67.0,44.241669850196,43.99580244664801,44.76233023418,61.68,44.603239561296,4.22222,23,DHR
02-19-2013,65.3913,77.0,54.0,5.71603,67.0,44.65385932085,44.50923143641,44.935883695508,61.8,44.69001629196,4.22222,23,DHR
02-20-2013,65.3913,77.0,54.0,5.71603,67.0,44.740636051514,44.031959417758,44.834644176400005,60.97,44.089810571534,4.22222,23,DHR
02-21-2013,65.3913,77.0,54.0,5.71603,67.0,43.901794321762,43.815017591098005,44.25613263864,60.99,44.104273359978,4.22222,23,DHR
02-22-2013,65.3913,77.0,54.0,5.71603,67.0,44.191050090642,44.118736148422,44.444148888412,61.46,44.444148888412,4.22222,23,DHR
02-25-2013,65.52174,77.0,54.0,5.85231,67.0,44.480305859522,43.30158860133601,44.61770234974001,59.89,43.308819995558,4.22222,23,DHR
02-26-2013,65.52174,77.0,54.0,5.85231,67.0,43.489604851108005,43.475142062664,43.78609201421,60.3,43.60530715866,4.22222,23,DHR
02-27-2013,65.52174,77.0,54.0,5.85231,67.0,43.64146412977001,43.554687399106,44.465843071078005,61.24,44.285058215528,4.22222,23,DHR
02-28-2013,65.52174,77.0,54.0,5.85231,67.0,44.40076052308,44.20551287908601,44.827412782178,61.6,44.54538840752,4.22222,23,DHR
03-01-2013,65.52174,77.0,54.0,5.85231,67.0,44.29228960975,44.07534778309,44.661090715072,61.57,44.523694224854005,4.22222,23,DHR
03-04-2013,65.69565,77.0,54.0,5.80431,67.0,44.48753725374401,44.031959417758,44.603239561296,61.66,44.588776772852,4.22222,23,DHR
03-05-2013,65.69565,77.0,54.0,5.80431,67.0,44.711710474626,44.6328882776062,45.145594127946005,62.22,44.993734849284,4.22222,23,DHR
03-06-2013,65.69565,77.0,54.0,5.80431,67.0,45.066048791504,44.596008167074,45.167288310612,61.77,44.668322109294,4.22222,23,DHR
03-07-2013,65.69565,77.0,54.0,5.80431,67.0,44.76233023418,44.407991917302,44.834644176400005,61.42,44.415223311524,4.22222,23,DHR
03-08-2013,65.69565,77.0,54.0,5.80431,67.0,44.711710474626,44.502000042188,44.885263935954,61.94,44.791255811068,4.22222,23,DHR
03-11-2013,65.69565,77.0,54.0,5.80431,67.0,44.79848720529,44.791255811068,45.05158600306,62.26,45.022660426172,4.22222,23,DHR
03-12-2013,65.69565,77.0,54.0,5.80431,67.0,45.05158600306,44.733404657292006,45.174519704834005,62.16,44.950346483952,4.22222,23,DHR
03-13-2013,65.69565,77.0,54.0,5.80431,67.0,44.94311508973,44.702671231848505,45.000966243506,62.12,44.921420907064,4.22222,23,DHR
03-14-2013,65.69565,77.0,54.0,5.80431,67.0,45.015429031950006,44.993734849284,45.26852782972001,62.6,45.26852782972001,4.22222,23,DHR
03-15-2013,66.08696,77.0,54.0,5.28256,67.0,45.000966243506,44.94311508973,45.485469656380005,62.65,45.30468480083,4.22222,23,DHR
03-18-2013,66.08696,77.0,54.0,5.28256,67.0,44.812949993734,44.596008167074,44.975656363729,61.81,44.697247686182,4.22222,23,DHR
03-19-2013,66.34783,77.0,54.0,5.46617,68.0,44.849106964844005,44.082579177312006,45.0053050800392,61.28,44.313983792416,4.22222,23,DHR
03-20-2013,66.68182,77.0,54.0,5.35458,68.5,44.451380282634005,44.178756720464605,44.69001629196,61.31,44.33567797508201,4.26923,22,DHR
03-21-2013,66.68182,77.0,54.0,5.35458,68.5,44.162124513754,44.104273359978,44.61770234974001,61.19,44.248901244418,4.26923,22,DHR
03-22-2013,66.68182,77.0,54.0,5.35458,68.5,44.313983792416,44.191050090642,44.67555350351601,61.67,44.596008167074,4.26923,22,DHR
03-25-2013,66.95455,77.0,54.0,5.36383,69.0,44.69001629196,43.905410018873006,44.841875570622,61.04,44.140430331088005,4.26923,22,DHR
03-26-2013,66.95455,77.0,54.0,5.36383,69.0,44.433421793418006,44.324906435733006,44.751733509294006,61.84,44.737264794936,4.26923,22,DHR
03-27-2013,66.95455,77.0,54.0,5.36383,69.0,44.469593579313,44.339375150091,44.758967866473,61.84,44.737264794936,4.26923,22,DHR
03-28-2013,66.95455,77.0,54.0,5.36383,69.0,44.737264794936,44.556405865461,45.019404724917,62.15,44.961529867485005,4.26923,22,DHR
04-01-2013,66.95455,77.0,54.0,5.36383,69.0,44.751733509294006,44.498531008029005,44.925358081590005,61.79,44.701093009041,4.26923,22,DHR
04-02-2013,66.95455,77.0,54.0,5.36383,69.0,44.853014509800005,44.534702793924005,44.889186295695,61.74,44.664921223146,4.26923,22,DHR
