 Date,MDLZ Price Target,MDLZ Price Target - High,MDLZ Price Target - Low,MDLZ Price Target - StdDev,MDLZ Price Target - Median,MDLZ Open,MDLZ Low,MDLZ High,MDLZ Close,MDLZ Adj. Close,MDLZ Rating,MDLZ Price Target - #,Ticker
02-05-2013,29.61111,33.0,24.0,2.64867,31.0,22.956028000685,22.8697888972835,23.087439967773,27.95,22.956028000685,3.86957,18,MDLZ
02-06-2013,29.61111,33.0,24.0,2.64867,31.0,22.91496176097,22.83282928154,23.103866463659,28.0,22.997094240400003,3.86957,18,MDLZ
02-07-2013,29.61111,33.0,24.0,2.64867,31.0,22.701417314452,22.652137826794,23.0586935999725,28.04,23.029947232172,3.86957,18,MDLZ
02-08-2013,29.61111,33.0,24.0,2.64867,31.0,22.83282928154,22.791763041825,23.079226719830004,27.76,22.799976289768004,3.86957,18,MDLZ
02-11-2013,29.61111,33.0,24.0,2.64867,31.0,22.775336545939,22.693204066509,22.83282928154,27.75,22.791763041825,3.86364,18,MDLZ
02-12-2013,29.61111,33.0,24.0,2.64867,31.0,22.75069680211,22.397527140561,22.857469025369,27.68,22.734270306224,3.86364,18,MDLZ
02-13-2013,29.61111,33.0,24.0,2.64867,31.0,22.783549793882,22.5494722275065,22.841042529483,27.75,22.791763041825,3.81818,18,MDLZ
02-14-2013,30.05263,33.0,24.0,2.56441,31.0,21.921158759867,21.724040809235,22.192195941986,26.57,21.822599784551,3.86364,19,MDLZ
02-15-2013,30.05263,33.0,24.0,2.56441,31.0,22.044357479012,21.84723952838,22.233262181701,26.72,21.945798503696,3.86364,19,MDLZ
02-19-2013,30.0,33.0,24.0,2.53398,31.0,21.970438247525003,21.970438247525003,22.331821157017004,26.96,22.142916454328,3.86364,19,MDLZ
02-20-2013,30.0,33.0,24.0,2.53398,31.0,22.233262181701,22.134703206385,22.298968165245,27.025,22.1963025659575,3.86364,19,MDLZ
02-21-2013,29.8,33.0,24.0,2.61916,31.0,22.167556198157,21.875985896180502,22.212729061843504,26.82,22.027930983126,3.82609,20,MDLZ
02-22-2013,29.8,33.0,24.0,2.61916,31.0,22.085423718727,21.954011751639,22.282541669359,26.77,21.986864743411,3.82609,20,MDLZ
02-25-2013,29.8,33.0,24.0,2.61916,31.0,22.003291239297,21.748680553064,22.241475429644,26.49,21.756893801007,3.82609,20,MDLZ
02-26-2013,29.8,33.0,24.0,2.61916,31.0,21.789746792779003,21.773320296893,22.159342950214,26.95,22.134703206385,3.82609,20,MDLZ
02-27-2013,29.8,33.0,24.0,2.61916,31.0,22.060783974898,22.060783974898,22.726057058281004,27.57,22.643924578851003,3.82609,20,MDLZ
02-28-2013,29.8,33.0,24.0,2.61916,31.0,22.619284835022,22.611071587079003,22.878002145226503,27.64,22.701417314452,3.82609,20,MDLZ
03-01-2013,29.8,33.0,24.0,2.61916,31.0,22.126489958442,22.126489958442,22.878002145226503,27.81,22.841042529483,3.82609,20,MDLZ
03-04-2013,29.8,33.0,24.0,2.61916,31.0,22.75069680211,22.676777570623003,23.358477149892003,28.275,23.2229585588325,3.82609,20,MDLZ
