 Date,WMT Price Target,WMT Price Target - High,WMT Price Target - Low,WMT Price Target - StdDev,WMT Price Target - Median,WMT Open,WMT Low,WMT High,WMT Close,WMT Adj. Close,WMT Rating,WMT Price Target - #,Ticker
02-05-2013,77.09565,88.0,67.0,5.87933,78.0,55.95877423337101,55.87067540460801,56.92385685754751,70.77,56.679582832341,3.57576,23,WMT
02-06-2013,77.09565,88.0,67.0,5.87933,78.0,56.447322283784,56.30316056399,57.120076976156,71.31,57.112067991723,3.57576,23,WMT
02-07-2013,77.09565,88.0,67.0,5.87933,78.0,57.216184789352,56.78369962997001,57.37780609520995,71.23,57.04799611625901,3.57576,23,WMT
02-08-2013,77.09565,88.0,67.0,5.87933,78.0,57.02396916296001,56.919852365331,57.376364478012,71.48,57.248220727084,3.57576,23,WMT
02-11-2013,77.09565,88.0,67.0,5.87933,78.0,57.064014085125,56.487367205949006,57.27224768038301,71.4,57.18414885162001,3.57576,23,WMT
02-12-2013,77.13913,88.0,67.0,5.87476,78.0,57.256229711517,56.94387931863,57.392382446878,71.4,57.18414885162001,3.57576,23,WMT
02-13-2013,77.13913,88.0,67.0,5.87476,78.0,57.09605002285701,57.031978147393,57.42441838461001,71.39,57.17613986718701,3.57576,23,WMT
02-14-2013,77.31304,88.0,67.0,5.74829,78.0,56.94387931863,56.6675693556915,57.04799611625901,70.82,56.719627754506,3.57576,23,WMT
02-15-2013,77.31304,88.0,67.0,5.74829,78.0,55.694477747082,54.565210942029,56.062891031,69.3,55.50226212069,3.57576,23,WMT
02-19-2013,77.31304,88.0,67.0,5.74829,78.0,55.41416329192701,54.893579303782005,55.622396887185005,68.76,55.06977696130801,3.57576,23,WMT
02-20-2013,77.31304,88.0,67.0,5.74829,78.0,55.037741023576,54.70136367739,55.942756264505,69.21,55.430181260793,3.57576,23,WMT
02-21-2013,77.31304,88.0,67.0,5.74829,78.0,56.062891031,55.838639466876,57.240211742651,70.26,56.27112462625801,3.57576,23,WMT
02-22-2013,77.48696,88.0,67.0,5.65219,78.0,56.239088688526,55.974792202237005,56.49537619038201,70.4,56.38325040832001,3.54545,23,WMT
02-25-2013,77.68217,88.0,67.0,5.4718,78.0,56.463340252650006,56.415286346052,57.13609494502201,70.44,56.415286346052,3.52941,23,WMT
02-26-2013,77.68217,88.0,67.0,5.4718,78.0,56.615510956877,56.551439081413,57.17613986718701,71.11,56.951888303063,3.52941,23,WMT
02-27-2013,77.68217,88.0,67.0,5.4718,78.0,56.799717598836,56.527412128114,57.6286474876515,71.66,57.392382446878,3.52941,23,WMT
02-28-2013,77.68217,88.0,67.0,5.4718,78.0,57.336319555847005,56.687591816774,57.568580104404,70.78,56.687591816774,3.52941,23,WMT
03-01-2013,77.68217,88.0,67.0,5.4718,78.0,56.687591816774,56.687591816774,57.58459807327001,71.74,57.456454322342,3.52941,23,WMT
03-04-2013,77.68217,88.0,67.0,5.4718,78.0,57.280256664816,57.27224768038301,58.673819956158006,73.26,58.673819956158006,3.52941,23,WMT
03-05-2013,77.76913,88.0,67.0,5.39617,78.0,58.842008629251005,58.457577376467,59.29852074193201,73.72,59.042233240076,3.52941,23,WMT
03-06-2013,77.76913,88.0,67.0,5.39617,78.0,59.066260193375,58.66701231938995,59.370601601829,73.38,58.769927769354,3.52941,23,WMT
03-07-2013,77.76913,88.0,67.0,5.39617,78.0,58.858026598117,58.625766049560006,58.954134411313,73.32,58.721873862756,3.52941,23,WMT
03-08-2013,77.76913,88.0,67.0,5.39617,78.0,59.084603349,58.713813205200005,59.1571492467,73.03,58.8669656559,3.52941,23,WMT
03-11-2013,77.76913,88.0,67.0,5.39617,78.0,58.91532958770001,58.689631239300006,59.0362394172,72.98,58.826662379400005,3.52941,23,WMT
03-12-2013,77.76913,88.0,67.0,5.39617,78.0,58.80248041350001,58.713813205200005,59.56824266700001,73.6,59.326423008,3.52941,23,WMT
03-13-2013,77.76913,88.0,67.0,5.39617,78.0,59.5601820117,59.27805907620001,59.81006232600001,73.65,59.3667262845,3.52941,23,WMT
03-14-2013,77.76913,88.0,67.0,5.39617,78.0,59.54406070110001,58.9475722089,59.64884922,73.22,59.0201181066,3.52941,23,WMT
03-15-2013,77.76913,88.0,67.0,5.39617,78.0,58.8508443453,58.38735666555,59.245816455,72.5,58.439750925000006,3.52941,23,WMT
03-18-2013,77.76913,88.0,67.0,5.39617,78.0,58.27047716370001,58.044778815300006,58.6251459969,72.25,58.2382345425,3.52941,23,WMT
03-19-2013,77.76913,88.0,67.0,5.39617,78.0,58.3752656826,58.1898706107,58.7379951711,72.45,58.39944764850001,3.52941,23,WMT
03-20-2013,77.76913,88.0,67.0,5.39617,78.0,58.689631239300006,58.6332066522,59.14505826375,72.99,58.8347230347,3.52941,23,WMT
03-21-2013,77.76913,88.0,67.0,5.39617,78.0,58.7379951711,58.7218738605,59.221634489100005,73.13,58.9475722089,3.52941,23,WMT
03-22-2013,77.76913,88.0,67.0,5.39617,78.0,59.1249066255,59.076542693700006,59.88260822370001,74.28,59.8745475684,3.52941,23,WMT
