 Date,AMZN Price Target,AMZN Price Target - High,AMZN Price Target - Low,AMZN Price Target - StdDev,AMZN Price Target - Median,AMZN Open,AMZN Low,AMZN High,AMZN Close,AMZN Adj. Close,AMZN Rating,AMZN Price Target - #,Ticker
02-05-2013,15.88438,18.5,12.5,1.32615,16.25,13.1,13.073,13.4015,13.3445,13.3445,4.17073,32,AMZN
02-06-2013,15.88438,18.5,12.5,1.32615,16.25,13.258,13.0555,13.3445,13.111,13.111,4.17073,32,AMZN
02-07-2013,15.9625,18.5,13.0,1.19124,16.25,13.205,12.7555,13.205,13.0115,13.0115,4.17073,32,AMZN
02-08-2013,15.96935,18.5,13.0,1.20968,16.25,13.07,13.02775,13.2625,13.0975,13.0975,4.15,31,AMZN
02-11-2013,15.96935,18.5,13.0,1.20968,16.25,13.16,12.83,13.1625,12.8605,12.8605,4.15,31,AMZN
02-12-2013,15.96935,18.5,13.0,1.20968,16.25,12.9595,12.85,13.008,12.935,12.935,4.15,31,AMZN
02-13-2013,15.96935,18.5,13.0,1.20968,16.25,13.0765,13.015,13.498,13.4735,13.4735,4.15,31,AMZN
02-14-2013,15.96935,18.5,13.0,1.20968,16.25,13.3685,13.27,13.5325,13.462,13.462,4.15,31,AMZN
02-15-2013,15.96935,18.5,13.0,1.20968,16.25,13.3815,13.1555,13.446,13.2545,13.2545,4.15,31,AMZN
02-19-2013,15.96935,18.5,13.0,1.20968,16.25,13.2955,13.225,13.5055,13.4875,13.4875,4.15,31,AMZN
02-20-2013,15.98871,18.5,13.0,1.17643,16.25,13.51,13.31855,13.715,13.3205,13.3205,4.15,31,AMZN
02-21-2013,15.98871,18.5,13.0,1.17643,16.25,13.256,13.1625,13.474,13.297,13.297,4.15,31,AMZN
02-22-2013,15.98871,18.5,13.0,1.17643,16.25,13.331,13.0805,13.3555,13.271,13.271,4.15,31,AMZN
02-25-2013,15.98871,18.5,13.0,1.17643,16.25,13.347,12.9825,13.4347,12.9935,12.9935,4.15,31,AMZN
02-26-2013,15.98871,18.5,13.0,1.17643,16.25,13.0445,12.7865,13.102,12.968,12.968,4.15,31,AMZN
02-27-2013,15.98871,18.5,13.0,1.17643,16.25,12.97,12.843,13.2915,13.1625,13.1625,4.15,31,AMZN
02-28-2013,15.98871,18.5,13.0,1.17643,16.25,13.0905,13.0315,13.35,13.2135,13.2135,4.15,31,AMZN
03-01-2013,15.98871,18.5,13.0,1.17643,16.25,13.1635,13.052,13.33,13.287,13.287,4.15,31,AMZN
03-04-2013,15.98871,18.5,13.0,1.17643,16.25,13.268,13.207,13.665,13.6555,13.6555,4.15,31,AMZN
03-05-2013,15.98871,18.5,13.0,1.17643,16.25,13.7,13.4995,13.834,13.7795,13.7795,4.15,31,AMZN
03-06-2013,15.98871,18.5,13.0,1.17643,16.25,13.788,13.5916,13.82445,13.6895,13.6895,4.15,31,AMZN
03-07-2013,15.98871,18.5,13.0,1.17643,16.25,13.705,13.5925,13.74,13.694,13.694,4.15,31,AMZN
03-08-2013,15.98871,18.5,13.0,1.17643,16.25,13.75,13.575,13.772,13.7095,13.7095,4.15,31,AMZN
03-11-2013,15.98871,18.5,13.0,1.17643,16.25,13.6715,13.52,13.6995,13.562,13.562,4.15,31,AMZN
03-12-2013,15.98871,18.5,13.0,1.17643,16.25,13.55,13.518005,13.87,13.7065,13.7065,4.15,31,AMZN
03-13-2013,15.98871,18.5,13.0,1.17643,16.25,13.762,13.632,13.825,13.755,13.755,4.15,31,AMZN
03-14-2013,15.93548,18.5,13.0,1.18262,16.25,13.4835,13.1765,13.5,13.287,13.287,4.125,31,AMZN
03-15-2013,15.93548,18.5,13.0,1.18262,16.25,13.249,13.0025,13.363,13.091,13.091,4.125,31,AMZN
03-18-2013,15.93548,18.5,13.0,1.18262,16.25,12.965,12.856,13.0745,12.8945,12.8945,4.125,31,AMZN
03-19-2013,15.93548,18.5,13.0,1.18262,16.25,12.92,12.631,12.975,12.8205,12.8205,4.125,31,AMZN
03-20-2013,15.93548,18.5,13.0,1.18262,16.25,12.9025,12.727505,12.988,12.8639,12.8639,4.125,31,AMZN
03-21-2013,15.93548,18.5,13.0,1.18262,16.25,12.8055,12.634,12.85,12.6695,12.6695,4.125,31,AMZN
03-22-2013,15.93548,18.5,13.0,1.18262,16.25,12.7275,12.6035,12.8885,12.8875,12.8875,4.125,31,AMZN
03-25-2013,15.93548,18.5,13.0,1.18262,16.25,12.929,12.725,12.97145,12.801,12.801,4.125,31,AMZN
03-26-2013,15.93548,18.5,13.0,1.18262,16.25,12.8525,12.814,13.074,13.0155,13.0155,4.125,31,AMZN
03-27-2013,15.93548,18.5,13.0,1.18262,16.25,12.9375,12.895,13.2965,13.265,13.265,4.125,31,AMZN
03-28-2013,15.93548,18.5,13.0,1.18262,16.25,13.291,13.203,13.36875,13.3245,13.3245,4.125,31,AMZN
04-01-2013,15.86719,18.5,13.0,1.22453,16.25,13.349,13.0505,13.37,13.0805,13.0805,4.09756,32,AMZN
04-02-2013,15.86719,18.5,13.0,1.22453,16.25,13.12,13.0275,13.2945,13.1661,13.1661,4.09756,32,AMZN
04-03-2013,15.86719,18.5,13.0,1.22453,16.25,13.106,12.8875,13.1835,12.9515,12.9515,4.09756,32,AMZN
04-04-2013,15.86719,18.5,13.0,1.22453,16.25,12.9615,12.806,13.0205,12.954,12.954,4.09756,32,AMZN
04-05-2013,15.86719,18.5,13.0,1.22453,16.25,12.786,12.6835,12.809,12.774,12.774,4.09756,32,AMZN
04-08-2013,15.86719,18.5,13.0,1.22453,16.25,12.796,12.7815,12.98395,12.9475,12.9475,4.09756,32,AMZN
04-09-2013,15.86719,18.5,13.0,1.22453,16.25,12.9425,12.85,13.1305,13.057,13.057,4.09756,32,AMZN
04-10-2013,15.86719,18.5,13.0,1.22453,16.25,13.089,12.966,13.299,13.2385,13.2385,4.09756,32,AMZN
04-11-2013,15.86719,18.5,13.0,1.22453,16.25,13.237,13.237,13.5485,13.4925,13.4925,4.09756,32,AMZN
04-12-2013,15.86719,18.5,13.0,1.22453,16.25,13.506,13.351,13.6635,13.6435,13.6435,4.09756,32,AMZN
04-15-2013,15.86719,18.5,13.0,1.22453,16.25,13.554,13.355,13.756,13.386,13.386,4.175,32,AMZN
04-16-2013,15.85938,18.5,13.0,1.22286,16.125,13.4655,13.403,13.64,13.617,13.617,4.175,32,AMZN
04-17-2013,15.88281,18.5,13.0,1.21331,16.125,13.54,13.2125,13.5425,13.37,13.37,4.175,32,AMZN
04-18-2013,15.88281,18.5,13.0,1.21331,16.125,13.3405,12.83,13.349495,12.971,12.971,4.175,32,AMZN
04-19-2013,15.88281,18.5,13.0,1.21331,16.125,12.908,12.875,13.144,13.016,13.016,4.175,32,AMZN
04-22-2013,15.875,18.5,13.0,1.21495,16.125,12.9675,12.9015,13.23,13.1775,13.1775,4.175,32,AMZN
04-23-2013,15.85938,18.5,13.0,1.19049,16.125,13.225,13.225,13.4935,13.445,13.445,4.175,32,AMZN
