 Date,TMUS Price Target,TMUS Price Target - High,TMUS Price Target - Low,TMUS Price Target - StdDev,TMUS Price Target - Median,TMUS Open,TMUS Low,TMUS High,TMUS Close,TMUS Adj. Close,TMUS Rating,TMUS Price Target - #,Ticker
05-01-2013,20.0,20.0,20,,20.0,16.2199375,15.980381500000002,16.9585685,16.52,16.489438,4.0,1,TMUS
05-02-2013,18.6,22.0,15,2.33238,18.0,16.669105,16.5193825,17.9667,17.72,17.687217999999998,3.77778,5,TMUS
05-03-2013,18.83333,22.0,15,2.19216,19.0,17.7171625,17.397754499999998,17.9667,17.5,17.467624999999998,3.81818,6,TMUS
05-06-2013,18.78571,22.5,11,3.56428,20.0,17.647292,16.888698,17.806995999999998,17.64,17.607366,3.75,7,TMUS
05-07-2013,17.9375,22.5,11,4.019,19.0,17.56744,17.36781,17.9667,17.91,17.8768665,3.61538,8,TMUS
05-08-2013,18.1875,23.0,11,4.22742,19.0,17.9367555,17.587403000000002,18.405886,17.77,17.737125499999998,3.61538,8,TMUS
05-09-2013,18.05556,23.0,11,4.27164,18.0,17.8768665,17.8169775,18.3559785,18.28,18.246182,3.57143,9,TMUS
05-10-2013,17.8,23.0,11,4.21426,18.0,18.2561635,18.066515000000003,18.6354605,18.64,18.605516,3.53333,10,TMUS
05-13-2013,18.6,24.0,11,4.63033,20.5,18.96485,18.845072,19.384073,18.92,18.884998000000003,3.66667,10,TMUS
05-14-2013,18.6,24.0,11,4.63033,20.5,18.9149425,18.6354605,19.104591,18.98,18.944887,3.66667,10,TMUS
05-15-2013,18.81818,24.0,11,4.46844,21.0,19.064665,18.944887,19.304221,19.26,19.224369000000003,3.66667,11,TMUS
05-16-2013,18.91667,24.0,11,4.29066,20.5,19.184443,19.0946095,19.8132775,19.69,19.6535735,3.625,12,TMUS
05-17-2013,18.91667,24.0,11,4.29066,20.5,19.543777,19.1824467,20.0129075,19.92,19.883148,3.625,12,TMUS
05-20-2013,20.33333,28.0,12,4.24918,21.0,20.2125375,19.982963,20.541927,20.53,20.4920195,3.75,12,TMUS
05-21-2013,20.33333,28.0,12,4.24918,21.0,20.5519085,20.4920195,21.180743,20.86,20.821409,3.75,12,TMUS
05-22-2013,20.33333,28.0,12,4.24918,21.0,20.7315755,20.0129075,20.901261,20.06,20.022889,3.75,12,TMUS
05-23-2013,20.33333,28.0,12,4.24918,21.0,19.224369000000003,19.184443,20.4520935,20.38,20.342297,3.75,12,TMUS
05-24-2013,20.33333,28.0,12,4.24918,21.0,20.36226,20.182593,20.581853,20.54,20.502001,3.75,12,TMUS
05-28-2013,20.33333,28.0,12,4.24918,21.0,20.4321305,20.4121675,20.781483,20.56,20.521964,3.75,12,TMUS
05-29-2013,20.41667,28.0,12,4.27119,21.5,20.581853,20.3922045,21.0310205,20.98,20.941187,3.75,12,TMUS
05-30-2013,20.76923,28.0,12,4.28151,22.0,21.001076,20.9312055,21.580003,21.36,21.320484,3.66667,13,TMUS
05-31-2013,20.76923,28.0,12,4.28151,22.0,21.3703915,21.3703915,21.82454975,21.43,21.3903545,3.66667,13,TMUS
06-03-2013,20.76923,28.0,12,4.28151,22.0,21.719744,20.69264765,21.8295405,20.83,20.7914645,3.66667,13,TMUS
06-04-2013,20.76923,28.0,12,4.28151,22.0,20.701631,20.262445,20.9511685,20.82,20.781483,3.66667,13,TMUS
06-05-2013,20.76923,28.0,12,4.28151,22.0,20.781483,20.282408,20.8114275,20.37,20.3323155,3.66667,13,TMUS
06-06-2013,20.76923,28.0,12,4.28151,22.0,20.322334,20.2724265,20.7515385,20.66,20.621779,3.66667,13,TMUS
06-07-2013,20.76923,28.0,12,4.28151,22.0,20.7116125,20.6317605,21.9293555,21.31,21.2705765,3.66667,13,TMUS
06-10-2013,20.76923,28.0,12,4.28151,22.0,21.380373,21.0509835,21.659855,21.2,21.16078,3.66667,13,TMUS
06-11-2013,20.76923,28.0,12,4.28151,22.0,20.901261,20.8912795,21.639892,21.44,21.400336,3.66667,13,TMUS
06-12-2013,20.76923,28.0,12,4.28151,22.0,21.460225,21.1907245,21.500151,21.3,21.260595,3.66667,13,TMUS
06-13-2013,20.76923,28.0,12,4.28151,22.0,21.0110575,20.9112425,21.9493185,21.84,21.799596,3.66667,13,TMUS
06-14-2013,20.76923,28.0,12,4.28151,22.0,21.500151,21.460225,22.9275055,22.16,22.119004,3.66667,13,TMUS
06-17-2013,21.07143,28.0,12,4.31715,22.0,22.119004,22.0890595,22.578153,22.32,22.278708,3.63158,14,TMUS
06-18-2013,21.13333,28.0,12,4.17719,22.0,22.418449,22.2088375,22.55819,22.48,22.438412,3.6,15,TMUS
06-19-2013,21.13333,28.0,12,4.17719,22.0,22.3885045,22.1888745,22.49331025,22.23,22.1888745,3.6,15,TMUS
06-20-2013,21.33333,28.0,12,4.33077,22.0,22.2088375,21.56004,22.937487,22.93,22.8875795,3.6,15,TMUS
06-21-2013,21.46667,28.0,12,4.31844,22.0,22.937487,22.338597,23.2509061,22.82,22.777783,3.6,15,TMUS
06-24-2013,21.46667,28.0,12,4.31844,22.0,21.8295405,21.659855,22.3086525,22.24,22.198856,3.6,15,TMUS
06-25-2013,21.46667,28.0,12,4.31844,22.0,22.3086525,22.278708,23.057265,23.02,22.977413,3.6,15,TMUS
06-26-2013,21.46667,28.0,12,4.31844,22.0,23.057265,23.057265,23.775933,23.64,23.596266,3.6,15,TMUS
06-27-2013,21.46667,28.0,12,4.31844,22.0,23.6860995,23.5263955,24.5844345,24.55,24.5045825,3.6,15,TMUS
06-28-2013,21.85714,28.0,12,4.65767,22.0,24.454675,24.275008,24.973713,24.81,24.7641015,3.52632,14,TMUS
07-01-2013,21.85714,28.0,12,4.65767,22.0,24.7042125,23.5463585,24.8239905,23.72,23.676118,3.52632,14,TMUS
07-02-2013,21.85714,28.0,12,4.65767,22.0,23.7260255,23.137117,23.75597,23.37,23.3267655,3.52632,14,TMUS
07-03-2013,21.85714,28.0,12,4.65767,22.0,22.697931,22.697931,23.316784,23.05,23.0073575,3.52632,14,TMUS
07-05-2013,22.2,28.0,12,4.67903,22.0,23.256895,23.1071725,23.496451,23.46,23.416599,3.5,15,TMUS
07-08-2013,22.2,28.0,12,4.67903,22.0,23.4265805,23.1071725,23.536377,23.33,23.2868395,3.5,15,TMUS
07-09-2013,22.2,28.0,12,4.67903,22.0,23.4066175,23.27186725,24.6642865,24.09,24.0454335,3.5,15,TMUS
07-10-2013,22.2,28.0,12,4.67903,22.0,24.0454335,23.915674,24.594416,24.42,24.374823000000003,3.5,15,TMUS
07-11-2013,22.2,28.0,12,4.67903,22.0,24.4646565,24.454675,25.0036575,24.96,24.913824,3.5,15,TMUS
07-12-2013,22.2,28.0,12,4.67903,22.0,24.913824,24.474638,24.9437685,24.94,24.893861,3.5,15,TMUS
07-15-2013,22.2,28.0,12,4.67903,22.0,25.55264,24.873898,25.672418,25.34,25.293121,3.5,15,TMUS
07-16-2013,22.2,28.0,12,4.67903,22.0,25.2432135,24.16022075,25.2831395,24.37,24.3249155,3.5,15,TMUS
07-17-2013,22.85714,30.0,12,4.61143,23.0,24.5045825,24.17020225,24.993676,24.5,24.454675,3.5,14,TMUS
07-18-2013,22.85714,30.0,12,4.61143,23.0,24.574453,24.3448785,24.7042125,24.55,24.5045825,3.5,14,TMUS
07-19-2013,22.85714,30.0,12,4.61143,23.0,24.5445085,24.374823000000003,24.75412,24.56,24.514564,3.5,14,TMUS
07-22-2013,22.85714,30.0,12,4.61143,23.0,24.494601,24.374823000000003,24.66927725,24.51,24.4646565,3.5,14,TMUS
07-23-2013,22.85714,30.0,12,4.61143,23.0,24.55449,23.915674,24.644423315,24.22,24.175193,3.5,14,TMUS
