 Date,BAC Price Target,BAC Price Target - High,BAC Price Target - Low,BAC Price Target - StdDev,BAC Price Target - Median,BAC Open,BAC Low,BAC High,BAC Close,BAC Adj. Close,BAC Rating,BAC Price Target - #,Ticker
02-05-2013,12.03276,15.0,6.2,1.97328,12.0,9.848264061569,9.822772437596,10.179655173218,11.88,10.094683093308,3.37143,29,BAC
02-06-2013,12.03276,15.0,6.2,1.97328,12.0,9.967224973443,9.967224973443,10.171157965227,11.93,10.137169133263,3.37143,29,BAC
02-07-2013,12.03276,15.0,6.2,1.97328,12.0,10.171157965227,9.967224973443,10.179655173218,11.84,10.060694261344,3.37143,29,BAC
02-08-2013,12.03276,15.0,6.2,1.97328,12.0,10.077688677326,9.958727765452,10.11167750929,11.76,9.992716597416,3.37143,29,BAC
02-11-2013,12.03276,15.0,6.2,1.97328,12.0,9.967224973443,9.916241725497,10.11167750929,11.86,10.077688677326,3.37143,29,BAC
02-12-2013,12.03276,15.0,6.2,1.97328,12.0,10.086185885317,10.009711013398,10.485554660894,12.245,10.4048311849795,3.37143,29,BAC
02-13-2013,12.03276,15.0,6.2,1.97328,12.0,10.494051868885,10.239135629155,10.553532324822,12.17,10.341102125047,3.37143,29,BAC
02-14-2013,12.31552,15.0,6.2,1.89013,12.5,10.273124461119,10.256130045137,10.426074204957,12.13,10.307113293083,3.4,29,BAC
02-15-2013,12.29107,15.0,6.2,1.91908,12.25,10.3708423530155,10.171157965227,10.375090957011,12.03,10.222141213173,3.35294,28,BAC
02-19-2013,12.29107,15.0,6.2,1.91908,12.25,10.28162166911,10.247632837146,10.460063036921,12.19,10.358096541029,3.35294,28,BAC
02-20-2013,12.29107,15.0,6.2,1.91908,12.25,10.349599333038,9.984219389425,10.443068620938998,11.8,10.02670542938,3.35294,28,BAC
02-21-2013,12.29107,15.0,6.2,1.91908,12.25,9.9629763694475,9.644331069785,9.967224973443,11.42,9.703811525722,3.35294,28,BAC
02-22-2013,12.29107,15.0,6.2,1.91908,12.25,9.873755685542,9.567856197866,9.8865014975285,11.44,9.720805941704,3.36364,28,BAC
02-25-2013,12.29107,15.0,6.2,1.91908,12.25,9.85676126956,9.329934374118,9.865258477551,11.03,9.372420414073,3.36364,28,BAC
02-26-2013,12.29107,15.0,6.2,1.91908,12.25,9.448895285991998,9.372420414073,9.533867365902,11.13,9.457392493983,3.36364,28,BAC
02-27-2013,12.29107,15.0,6.2,1.91908,12.25,9.482907041975,9.44038279515,9.66150887864,11.3,9.61047978245,3.36364,28,BAC
02-28-2013,12.29107,15.0,6.2,1.91908,12.25,9.6317419058625,9.5211788641175,9.670013728005,11.23,9.550945836895,3.36364,28,BAC
03-01-2013,12.29107,15.0,6.2,1.91908,12.25,9.465897343245,9.37234400023,9.823101016575,11.34,9.64449917991,3.36364,28,BAC
03-04-2013,12.29107,15.0,6.2,1.91908,12.25,9.584965234355,9.54244098753,9.738052522925,11.41,9.704033125465,3.36364,28,BAC
03-05-2013,12.29107,15.0,6.2,1.91908,12.25,9.83160586594,9.806091317845,9.95790287901025,11.55,9.823101016575,3.36364,28,BAC
03-06-2013,12.29107,15.0,6.2,1.91908,12.25,10.010207702605,10.00170285324,10.22282893673,11.92,10.13778044308,3.36364,28,BAC
03-07-2013,12.29107,15.0,6.2,1.91908,12.25,10.205819238,10.18880953927,10.44395502022,12.26,10.42694532149,3.36364,28,BAC
03-08-2013,12.29107,15.0,6.2,1.91908,12.25,10.56302291133,10.22282893673,10.58003261006,12.07,10.265353183555,3.36364,28,BAC
03-11-2013,12.29107,15.0,6.2,1.91908,12.25,10.27385803292,10.22282893673,10.3941166029411,12.15,10.333391978475,3.36364,28,BAC
03-12-2013,12.29107,15.0,6.2,1.91908,12.25,10.299372581015,10.129275593715,10.35890652657,12.01,10.214324087365,3.36364,28,BAC
03-13-2013,12.32679,15.0,6.2,1.90397,12.25,10.23983863546,10.18880953927,10.299372581015,12.06,10.25684833419,3.36364,28,BAC
03-14-2013,12.32679,15.0,6.2,1.90397,12.25,10.30787743038,10.29086773165,10.367411375935,12.11,10.299372581015,3.36364,28,BAC
03-15-2013,12.45,15.0,6.2,1.92474,12.5,10.64807140498,10.503488965775,10.76713929609,12.57,10.690595651805,3.40625,27,BAC
03-18-2013,12.45,15.0,6.2,1.92474,12.5,10.452459869585,10.42694532149,10.78414899482,12.56,10.68209080244,3.40625,27,BAC
03-19-2013,12.45,15.0,6.2,1.92474,12.5,10.877702337835,10.707605350535,11.00527507831,12.71,10.809663542915,3.40625,27,BAC
03-20-2013,12.45,15.0,6.2,1.92474,12.5,10.8734499131525,10.809663542915,10.962750831485,12.78,10.86919748847,3.40625,27,BAC
03-21-2013,12.45,15.0,6.2,1.92474,12.5,10.809663542915,10.673585953075,10.92022658466,12.57,10.690595651805,3.40625,27,BAC
03-22-2013,12.45,15.0,6.2,1.92474,12.5,10.73311989863,10.61405200752,10.775644145455,12.56,10.68209080244,3.40625,27,BAC
03-25-2013,12.45,15.0,6.2,1.92474,12.5,10.78414899482,10.47797441768,10.81816839228,12.4,10.5460132126,3.40625,27,BAC
03-26-2013,12.59074,15.0,10.0,1.56856,12.5,10.588537459425,10.333391978475,10.63106170625,12.28,10.44395502022,3.40625,27,BAC
03-27-2013,12.59074,15.0,10.0,1.56856,12.5,10.32488712911,10.30787743038,10.44395502022,12.23,10.401430773395,3.40625,27,BAC
03-28-2013,12.59074,15.0,10.0,1.56856,12.5,10.40993562276,10.299372581015,10.44395502022,12.18,10.35890652657,3.40625,27,BAC
04-01-2013,12.62778,15.0,10.0,1.61259,12.5,10.333391978475,10.29086773165,10.44395502022,12.15,10.333391978475,3.40625,27,BAC
04-02-2013,12.70185,15.0,10.0,1.53421,12.5,10.40993562276,10.32488712911,10.4141880474425,12.15,10.333391978475,3.40625,27,BAC
04-03-2013,12.73889,15.0,10.0,1.52888,13.0,10.3036250056975,9.96768345578,10.32488712911,11.81,10.044227100065,3.40625,27,BAC
04-04-2013,12.73889,15.0,10.0,1.52888,13.0,10.044227100065,9.96768345578,10.197314388635,11.94,10.15479014181,3.40625,27,BAC
04-05-2013,12.73889,15.0,10.0,1.52888,13.0,9.925159208955,9.89964466086,10.214324087365,11.97,10.180304689905,3.40625,27,BAC
04-08-2013,12.81296,15.0,10.0,1.5397,13.0,10.205819238,10.129275593715,10.384421074665,12.21,10.384421074665,3.40625,27,BAC
04-09-2013,12.81296,15.0,10.0,1.5397,13.0,10.418440472125,10.384421074665,10.503488965775,12.25,10.418440472125,3.40625,27,BAC
04-10-2013,12.76731,15.0,10.0,1.55099,13.0,10.469469568315,10.42694532149,10.5460132126,12.32,10.47797441768,3.3871,26,BAC
04-11-2013,12.76731,15.0,10.0,1.55099,13.0,10.469469568315,10.34189682784,10.486479267045,12.27,10.435450170855,3.3871,26,BAC
04-12-2013,12.76731,15.0,10.0,1.55099,13.0,10.3291395537925,10.265353183555,10.418440472125,12.17,10.350401677205,3.3871,26,BAC
04-15-2013,12.76731,15.0,10.0,1.55099,13.0,10.367411375935,10.180304689905,10.47797441768,11.98,10.18880953927,3.3871,26,BAC
04-16-2013,12.76731,15.0,10.0,1.55099,13.0,10.384421074665,10.27385803292,10.51199381514,12.28,10.44395502022,3.3871,26,BAC
04-17-2013,12.77692,15.0,10.0,1.5423,13.0,10.129275593715,9.738052522925,10.22282893673,11.7,9.95067375705,3.3871,26,BAC
04-18-2013,12.91154,15.0,10.0,1.42352,13.0,9.874130112765,9.550945836895,9.908149510225,11.44,9.72954767356,3.3871,26,BAC
04-19-2013,12.91154,15.0,10.0,1.42352,13.0,9.83160586594,9.721042824195,9.942168907685,11.66,9.91665435959,3.3871,26,BAC
04-22-2013,12.91154,15.0,10.0,1.42352,13.0,9.93366405832,9.840110715305,9.993198003875,11.72,9.96768345578,3.3871,26,BAC
04-23-2013,13.02692,16.0,10.0,1.54261,13.0,10.13778044308,10.12077074435,10.34189682784,12.07,10.265353183555,3.41935,26,BAC
04-24-2013,13.02692,16.0,10.0,1.54261,13.0,10.3206347044275,10.30787743038,10.520498664505,12.31,10.469469568315,3.41935,26,BAC
