 Date,DIS Price Target,DIS Price Target - High,DIS Price Target - Low,DIS Price Target - StdDev,DIS Price Target - Median,DIS Open,DIS Low,DIS High,DIS Close,DIS Adj. Close,DIS Rating,DIS Price Target - #,Ticker
02-05-2013,57.03704,65.0,45.0,5.36436,58.0,49.418287315128005,49.0910138892,49.463741957618,54.29,49.354650815642,3.93939,27,DIS
02-06-2013,59.59259,65.0,50.0,4.64486,61.0,50.363743878920005,49.463741957618,50.454653163900005,54.52,49.563742171096,3.93939,27,DIS
02-07-2013,60.48148,70.0,50.0,4.42527,62.0,49.154650388686,48.554649107818,49.527378457104,54.36,49.418287315128005,3.93939,27,DIS
02-08-2013,60.59259,70.0,50.0,4.37382,62.0,49.436469172124006,49.372832672638005,49.745560741056,54.66,49.691015170068,3.93939,27,DIS
02-11-2013,60.59259,70.0,50.0,4.37382,62.0,49.68192424157,49.627378670582,49.981924882004,54.75,49.77283352655,3.93939,27,DIS
02-12-2013,60.59259,70.0,50.0,4.37382,62.0,49.791015383546,49.718287955562,50.04556138149,54.95,49.95465209651,3.93939,27,DIS
02-13-2013,60.59259,70.0,50.0,4.37382,62.0,50.072834166984,49.695560634317005,50.27283459394,54.96,49.963743025008,3.93939,27,DIS
02-14-2013,60.59259,70.0,50.0,4.37382,62.0,49.927379311016,49.736469812558006,50.154652523466005,54.88,49.89101559702401,3.93939,27,DIS
02-15-2013,60.59259,70.0,50.0,4.37382,62.0,50.04556138149,49.900106525522006,50.563744305876,55.61,50.554653377378,3.93939,27,DIS
02-19-2013,60.59259,70.0,50.0,4.37382,62.0,50.527380591884,50.518289663386,50.86374494631001,55.73,50.663744519354,3.93939,27,DIS
02-20-2013,60.59259,70.0,50.0,4.37382,62.0,50.563744305876,49.600105885088006,50.745562875836,54.6,49.63646959908,3.93939,27,DIS
02-21-2013,60.59259,70.0,50.0,4.37382,62.0,49.618287742084,49.100104817698,49.836470026036,54.17,49.245559673666,3.93939,27,DIS
