 Date,GOOG Price Target,GOOG Price Target - High,GOOG Price Target - Low,GOOG Price Target - StdDev,GOOG Price Target - Median,GOOG Open,GOOG Low,GOOG High,GOOG Close,GOOG Adj. Close,GOOG Rating,GOOG Price Target - #,Ticker
03-27-2014,32.47583,37.5,20.5,3.37943,32.85,28.322241,27.570305,28.322241,27.846547,27.846547,4.32692,45,GOOG
03-28-2014,32.54631,37.5,20.5,3.40046,32.9875,27.983172,27.857018,28.243956,27.922837,27.922837,4.34615,44,GOOG
03-31-2014,32.54631,37.5,20.5,3.40046,32.9875,28.266893,27.770256,28.272378,27.772251,27.772251,4.34615,44,GOOG
04-01-2014,32.54631,37.5,20.5,3.40046,32.9875,27.859013,27.859013,28.344679,28.280356,28.280356,4.34615,44,GOOG
04-02-2014,32.54157,37.5,20.5,3.4485,33.0,29.917361,28.032536,30.158699,28.272378,28.272378,4.34615,43,GOOG
04-03-2014,32.60694,37.5,20.5,3.46137,33.0,28.414488,28.129271,29.283601,28.409003,28.409003,4.34615,45,GOOG
04-04-2014,32.60545,37.5,20.5,3.46037,33.0,28.65383,27.075663,28.809403,27.082644,27.082644,4.34615,45,GOOG
04-07-2014,32.60678,37.5,20.5,3.46122,33.0,26.962973,26.285333,27.348913,26.833827,26.833827,4.34615,45,GOOG
04-08-2014,32.60678,37.5,20.5,3.46122,33.0,27.055718,27.006354,27.67402,27.669034,27.669034,4.34615,45,GOOG
04-09-2014,32.66233,37.5,20.5,3.47908,33.125,27.904388,27.571801,28.191101,28.129769,28.129769,4.34615,45,GOOG
04-10-2014,32.72345,37.5,20.5,3.41014,33.125,28.172651,26.921088,28.172651,26.973444,26.973444,4.34615,45,GOOG
04-11-2014,32.72345,37.5,20.5,3.41015,33.125,26.554594,26.254418,26.926074,26.457361,26.457361,4.34615,45,GOOG
04-14-2014,32.72267,37.5,20.5,3.40933,33.125,26.838813,26.405553,27.130513,26.553098,26.553098,4.34615,45,GOOG
04-15-2014,32.84767,37.5,20.5,3.46338,33.75,26.767509,25.852028,26.848786,26.748561,26.748561,4.34615,45,GOOG
04-16-2014,32.84767,37.5,20.5,3.46338,33.75,27.075663,26.926074,27.773747,27.75081,27.75081,4.34615,45,GOOG
04-17-2014,32.44361,37.5,20.5,3.36402,32.85,27.365368,26.484786,27.399773,26.731608,26.731608,4.34615,45,GOOG
04-21-2014,32.38806,37.5,20.5,3.3001,32.85,26.731608,26.208045,26.761526,26.358632,26.358632,4.38462,45,GOOG
04-22-2014,32.38806,37.5,20.5,3.3001,32.85,26.359629,26.303284,26.787953,26.667284,26.667284,4.38462,45,GOOG
04-23-2014,32.38806,37.5,20.5,3.3001,32.85,26.616424,26.240456,26.620413,26.274862,26.274862,4.38462,45,GOOG
04-24-2014,32.38806,37.5,20.5,3.3001,32.85,26.430933,26.034522,26.509717,26.186105,26.186105,4.38462,45,GOOG
04-25-2014,32.38806,37.5,20.5,3.3001,32.85,26.053968,25.700439,26.163169,25.738335,25.738335,4.38462,45,GOOG
04-28-2014,32.38806,37.5,20.5,3.3001,32.85,25.788198,25.071167,25.859004,25.786702,25.786702,4.38462,45,GOOG
04-29-2014,32.38806,37.5,20.5,3.3001,32.85,25.774236,25.745316,26.400517,26.312758,26.312758,4.38462,45,GOOG
04-30-2014,32.38806,37.5,20.5,3.3001,32.85,26.307772,26.054467,26.327717,26.2609,26.2609,4.38462,45,GOOG
05-01-2014,32.38806,37.5,20.5,3.3001,32.85,26.283339,26.122281,26.573542,26.494758,26.494758,4.38462,45,GOOG
05-02-2014,32.38806,37.5,20.5,3.3001,32.85,26.614928,26.208544,26.62689,26.324226,26.324226,4.38462,45,GOOG
05-05-2014,32.38806,37.5,20.5,3.3001,32.85,26.169152,25.994631,26.372593,26.318243,26.318243,4.38462,45,GOOG
05-06-2014,32.38806,37.5,20.5,3.3001,32.85,26.189596,25.682488,26.26838,25.686477,25.686477,4.38462,45,GOOG
05-07-2014,32.38806,37.5,20.5,3.3001,32.85,25.718888,25.096098,25.763266,25.428186,25.428186,4.38462,45,GOOG
05-08-2014,32.38806,37.5,20.5,3.3001,32.85,25.353392,25.253167,25.790691,25.480044,25.480044,4.38462,45,GOOG
05-09-2014,32.38806,37.5,20.5,3.3001,32.85,25.467578,25.140975,25.923826,25.865486,25.865486,4.38462,45,GOOG
05-12-2014,32.38806,37.5,20.5,3.3001,32.85,26.103831,25.879447,26.436917,26.423454,26.423454,4.38462,45,GOOG
05-13-2014,32.38806,37.5,20.5,3.3001,32.85,26.471821,26.40301,26.730112,26.58152,26.58152,4.42308,45,GOOG
05-14-2014,32.36028,37.5,20.5,3.28321,32.85,26.577032,26.192588,26.577032,26.260402,26.260402,4.42308,45,GOOG
