 Date,PEP Price Target,PEP Price Target - High,PEP Price Target - Low,PEP Price Target - StdDev,PEP Price Target - Median,PEP Open,PEP Low,PEP High,PEP Close,PEP Adj. Close,PEP Rating,PEP Price Target - #,Ticker
02-05-2013,75.93333,82.0,71.0,2.76807,76.0,54.49704652142099,54.49704652142099,54.894725643772,73.15,54.887222264105,3.85714,15,PEP
02-06-2013,75.93333,82.0,71.0,2.76807,76.0,54.707141152097,54.579583697758,54.864712125104,72.77,54.602093836759,3.85714,15,PEP
02-07-2013,75.93333,82.0,71.0,2.76807,76.0,54.639610735094,54.36948906708199,54.797181708101,72.81,54.632107355427,3.85714,15,PEP
02-08-2013,75.93333,82.0,71.0,2.76807,76.0,54.594590457092,54.376992446749,54.677127633429,72.6,54.47453638241999,3.85714,15,PEP
02-11-2013,75.93333,82.0,71.0,2.76807,76.0,54.39950258575,54.17440119574,54.504549901088,72.36,54.294455270412,3.85714,15,PEP
02-12-2013,75.93333,82.0,71.0,2.76807,76.0,54.339475548414,54.069353880402,54.361985687415,72.17,54.151891056739,3.85714,15,PEP
02-13-2013,75.93333,82.0,71.0,2.76807,76.0,54.204414714408,53.258988876366,54.301958650079,71.5,53.64916461905,3.85714,15,PEP
02-14-2013,76.5,82.0,71.0,2.82211,76.5,54.114374158404,53.64916461905,54.92473916244,72.28,54.234428233076,3.9,14,PEP
02-15-2013,78.71429,85.0,74.0,2.98636,79.0,54.39199920608299,54.376992446749,55.314914905124,73.68,55.284901386456006,3.95,14,PEP
02-19-2013,78.71429,85.0,74.0,2.98636,79.0,55.337425044125,55.134833793116,56.718046902853,75.5,56.65051648585,3.95,14,PEP
02-20-2013,78.71429,85.0,74.0,2.98636,79.0,56.492945512843,56.492945512843,56.920638153862,75.42,56.590489448514,3.95,14,PEP
02-21-2013,78.57688,85.0,74.0,2.82542,78.615,56.477938753508994,56.06525287182399,56.605496207848,75.36,56.545469170512,3.86364,16,PEP
02-22-2013,78.57688,85.0,74.0,2.82542,78.615,56.590489448514,56.380394817838,56.710543523186,75.57,56.70304014351899,3.86364,16,PEP
02-25-2013,78.57688,85.0,74.0,2.82542,78.615,56.785577319856,56.342877919503,57.273296998211,75.19,56.417911716173,3.86364,16,PEP
02-26-2013,78.57688,85.0,74.0,2.82542,78.615,56.57548268918,56.27527246870333,56.853107736859,75.62,56.740557041854,3.86364,16,PEP
02-27-2013,78.57688,85.0,74.0,2.82542,78.615,56.75378195551,56.323027551853,57.124079600759,75.48,57.040951557948006,3.86364,16,PEP
02-28-2013,78.57688,85.0,74.0,2.82542,78.615,57.010723178744,57.010723178744,57.39613501359501,75.77,57.260107307177,3.86364,16,PEP
03-01-2013,78.57688,85.0,74.0,2.82542,78.615,57.093851221555,56.95782351513701,57.39613501359501,75.93,57.38102082399301,3.86364,16,PEP
03-04-2013,78.82688,85.0,74.0,3.18309,78.615,57.267664401978,57.086294126754005,57.90246036526201,76.6,57.88734617566,3.86364,16,PEP
03-05-2013,78.82688,85.0,74.0,3.18309,78.615,58.068716450884,57.804218132849,58.242529631307,76.9,58.11405901969001,3.86364,16,PEP
03-06-2013,78.82688,85.0,74.0,3.18309,78.615,58.18962996770001,57.90246036526201,58.25764382090901,76.8,58.03848807168,3.86364,16,PEP
03-07-2013,78.82688,85.0,74.0,3.18309,78.615,58.00825969247601,57.94024583926701,58.31810057931701,77.14,58.295429294914,3.86364,16,PEP
03-08-2013,78.82688,85.0,74.0,3.18309,78.615,58.310543484516,57.92286452122471,58.499470854541,77.2,58.34077186372001,3.86364,16,PEP
