 Date,MCD Price Target,MCD Price Target - High,MCD Price Target - Low,MCD Price Target - StdDev,MCD Price Target - Median,MCD Open,MCD Low,MCD High,MCD Close,MCD Adj. Close,MCD Rating,MCD Price Target - #,Ticker
02-05-2013,98.8,110,83,5.06754,99.0,71.916185992221,71.855362492069,72.638465056526,94.91,72.159479992829,3.66667,25,MCD
02-06-2013,98.8,110,83,5.06754,99.0,71.840156617031,71.779333116879,72.478803368627,95.07,72.281126993133,3.66667,25,MCD
02-07-2013,98.8,110,83,5.06754,99.0,72.250715243057,71.52083324123299,72.273524055614,94.63,71.946597742297,3.66667,25,MCD
02-08-2013,98.8,110,83,5.06754,99.0,71.76412724184101,71.74131842928401,72.59284743141201,94.87,72.12906824275301,3.66667,25,MCD
02-11-2013,99.44,110,83,5.26179,100.0,72.037832992525,71.92378892974,72.463597493589,95.17,72.357156368323,3.66667,25,MCD
02-12-2013,99.44,110,83,5.26179,100.0,72.26592111809501,72.083450617639,72.4826048373865,95.1,72.30393580569,3.66667,25,MCD
02-13-2013,99.2,110,83,5.4111,100.0,71.954200679816,71.07225992761201,72.037832992525,94.0,71.4676126786,3.66667,25,MCD
02-14-2013,99.2,110,83,5.4111,100.0,71.361171553334,70.85177473956101,71.383980365891,93.56,71.133083427764,3.66667,25,MCD
02-15-2013,99.2,110,83,5.4111,100.0,71.32315686573901,70.866980614599,71.703303741689,93.9,71.39158330341,3.66667,25,MCD
02-19-2013,99.2,110,83,5.4111,100.0,71.57405380386601,71.292745115663,71.840156617031,93.85,71.35356861581499,3.66667,25,MCD
02-20-2013,99.2,110,83,5.4111,100.0,71.414392115967,71.277539240625,71.832553679512,93.91,71.399186240929,3.66667,25,MCD
02-21-2013,99.2,110,83,5.4111,100.0,71.041848177536,70.93540705227,71.809744866955,94.14,71.57405380386601,3.66667,25,MCD
02-22-2013,99.28,110,83,5.46641,100.0,71.672891991613,71.35356861581499,72.417979868475,95.25,72.417979868475,3.66667,25,MCD
02-25-2013,99.28,110,83,5.46641,100.0,72.516818056222,72.42558280599401,73.581229308882,96.14,73.09464130766601,3.66667,25,MCD
02-26-2013,99.28,110,83,5.46641,100.0,73.254302995565,73.026214869995,73.421567620983,96.22,73.155464807818,3.66667,25,MCD
02-27-2013,99.28,110,83,5.46641,100.0,73.086486367872,72.89487959782201,73.53867834519001,95.73,73.37006438754601,3.66667,25,MCD
02-28-2013,99.28,110,83,5.46641,100.0,73.354735845942,73.20145042990201,73.745613656844,95.9,73.50035699118001,3.66667,25,MCD
03-01-2013,99.28,110,83,5.46641,100.0,73.33174303353601,72.779915535792,73.439042824764,95.68,73.33174303353601,3.66667,25,MCD
03-04-2013,99.32,110,83,5.44588,100.0,73.27042886712,72.71093709857401,73.324078762734,95.07,72.864222514614,3.66667,25,MCD
03-05-2013,99.32,110,83,5.44588,100.0,73.22444324230801,73.06349355546601,73.65364240722,95.81,73.431378553962,3.66667,25,MCD
03-06-2013,99.32,110,83,5.44588,100.0,73.53867834519001,73.52334980358602,74.205469904964,96.81,74.19780563416201,3.66667,25,MCD
03-07-2013,99.625,110,83,5.34488,100.0,74.067513030528,74.067513030528,74.466055112232,97.09,74.41240521661801,3.6875,24,MCD
03-08-2013,100.41667,110,83,5.72215,101.0,75.209489380026,75.13284667200601,75.83795958579,98.71,75.654017086542,3.6875,24,MCD
03-11-2013,101.125,110,83,6.18676,101.5,75.462410316492,75.32062130665501,75.79197396097801,98.89,75.79197396097801,3.6875,24,MCD
03-12-2013,101.5,110,83,6.19812,102.5,75.76898114857201,75.51606021210601,75.776645419374,98.76,75.692338440552,3.6875,24,MCD
03-13-2013,101.5,110,83,6.19812,102.5,75.677009898948,75.52372448290801,76.23650166749401,99.38,76.167523230276,3.6875,24,MCD
03-14-2013,101.5,110,83,6.19812,102.5,76.15219468867201,75.79963823178001,76.167523230276,99.31,76.113873334662,3.6875,24,MCD
03-15-2013,101.5,110,83,6.19812,102.5,75.85328812739401,75.734491929963,76.41277989594,99.67,76.389787083534,3.6875,24,MCD
03-18-2013,101.5,110,83,6.19812,102.5,75.83795958579,75.270803546442,76.136866147068,98.57,75.546717295314,3.6875,24,MCD
