 Date,TGT Price Target,TGT Price Target - High,TGT Price Target - Low,TGT Price Target - StdDev,TGT Price Target - Median,TGT Open,TGT Low,TGT High,TGT Close,TGT Adj. Close,TGT Rating,TGT Price Target - #,Ticker
02-05-2013,69.38435,80.0,58,4.85417,71.0,46.615288946688,46.539417708168,47.540918056632,62.4,47.34365283648,3.88889,23,TGT
02-06-2013,69.38435,80.0,58,4.85417,71.0,47.146387616328,46.96429664388,47.68507340982,62.69,47.563679428188,3.88889,23,TGT
02-07-2013,69.34087,80.0,58,4.84397,70.0,47.49539531352,47.032580758548,47.700247657524,62.3,47.26778159796,3.88889,23,TGT
02-08-2013,69.34087,80.0,58,4.84397,70.0,47.176736111736,47.176736111736,47.806467391452,62.49,47.411936951148,3.88889,23,TGT
02-11-2013,69.34087,80.0,58,4.84397,70.0,47.404349827296,46.92636102462,47.548505180484,62.67,47.548505180484,3.88889,23,TGT
02-12-2013,69.34087,80.0,58,4.84397,70.0,47.480221065816,47.298130093368,47.677486285968,62.73,47.594027923596,3.88889,23,TGT
02-13-2013,69.34087,80.0,58,4.84397,70.0,47.7988802676,47.366414208036,48.011319735456,62.69,47.563679428188,3.88889,23,TGT
02-14-2013,69.34087,80.0,58,4.84397,70.0,47.563679428188,47.480221065816,48.049255354716,63.09,47.867164382268,3.88889,23,TGT
02-15-2013,69.34087,80.0,58,4.84397,70.0,47.65350574774,46.348661955448,47.76796572952,61.71,47.088836504292,3.88889,23,TGT
02-19-2013,69.60174,80.0,58,5.11612,71.0,47.149881827908,46.882808537088,47.35583348845748,61.87,47.210927151524,3.92593,23,TGT
02-20-2013,69.60174,80.0,58,5.11612,71.0,47.29486447149599,47.02016051522399,48.233436322092,62.65,47.80611905678,3.92593,23,TGT
02-21-2013,69.60174,80.0,58,5.11612,71.0,47.82901105313599,47.706920405904,48.744690907376,63.4,48.37841896568,3.92593,23,TGT
02-22-2013,69.60174,80.0,58,5.11612,71.0,48.43946428929599,48.057931016696,48.752321572828,63.6,48.53103227472,3.92593,23,TGT
02-25-2013,69.73217,80.0,58,5.18784,71.0,48.553924271076,47.989255027628,48.68364558376,62.89,47.989255027628,3.89286,23,TGT
02-26-2013,69.73217,80.0,58,5.18784,71.0,48.14949900212,48.11134567486,49.06517885635999,64.05,48.87441222006,3.89286,23,TGT
02-27-2013,69.73217,80.0,58,5.18784,71.0,47.546676431412,47.065944507936,48.6454922565,63.12,48.16476033302399,3.89286,23,TGT
02-28-2013,70.01652,80.0,58,5.60814,70.0,48.24869765299599,47.661136413192,48.904934881868,62.96,48.042669685792,3.89286,23,TGT
03-01-2013,70.23391,80.0,58,5.77523,70.0,48.241066987544,48.241066987544,49.133854845428,64.13,48.935457543676,3.96429,23,TGT
03-04-2013,70.58174,80.0,58,5.75062,71.0,49.507757452576,49.33225214718,51.064413204784,66.44,50.698141263088,3.96429,23,TGT
03-05-2013,70.58174,80.0,58,5.75062,71.0,50.7439252558,50.23267067051599,50.99955254844199,66.68,50.881277233936,3.96429,23,TGT
03-06-2013,70.58174,80.0,58,5.75062,71.0,50.911799895744,50.392914645008,51.04915187388,66.12,50.453959968624,3.96429,23,TGT
03-07-2013,70.58174,80.0,58,5.75062,71.0,50.530266623144,50.110580023284,50.5531586195,65.85,50.24793200141999,3.96429,23,TGT
03-08-2013,70.58174,80.0,58,5.75062,71.0,50.44632930317199,50.141102685092,50.721033259444,66.35,50.62946527401999,3.96429,23,TGT
03-11-2013,70.58174,80.0,58,5.75062,71.0,50.62946527401999,50.278454663228,51.407793150124,67.34,51.384901153768,3.96429,23,TGT
03-12-2013,70.58174,80.0,58,5.75062,71.0,51.262810506536,51.102566532044,51.552775793712,67.11,51.209395848372,3.96429,23,TGT
03-13-2013,70.58174,80.0,58,5.75062,71.0,50.965214553908,50.82023191031999,51.491730470096,67.43,51.453577142836,3.89286,23,TGT
03-14-2013,70.6687,80.0,58,5.86107,71.0,51.506991801,51.026259877524,51.506991801,67.34,51.384901153768,3.89286,23,TGT
03-15-2013,70.6687,80.0,58,5.86107,71.0,51.16361185566,50.75918658670399,51.346747826508,66.8,50.97284521936,3.89286,23,TGT
03-18-2013,70.6687,80.0,58,5.86107,71.0,50.75918658670399,50.59131194676,51.17437109394732,66.76,50.942322557552,3.89286,23,TGT
