 Date,ACN Price Target,ACN Price Target - High,ACN Price Target - Low,ACN Price Target - StdDev,ACN Price Target - Median,ACN Open,ACN Low,ACN High,ACN Close,ACN Adj. Close,ACN Rating,ACN Price Target - #,Ticker
02-05-2013,74.13043,86.0,66,4.08927,74.0,60.857437184152,60.47583384303,61.131196102783,73.36,60.857437184152,3.92857,23,ACN
02-06-2013,74.13043,86.0,66,4.08927,74.0,60.484129567837,59.7292186104,60.542199641486,72.42,60.077639052294,3.92857,23,ACN
02-07-2013,74.13043,86.0,66,4.08927,74.0,59.90342883134699,59.380798168506,60.5587910911,72.95,60.51731246706501,3.92857,23,ACN
02-08-2013,74.13043,86.0,66,4.08927,74.0,60.56708681590701,60.40946804457399,61.147787552397,73.31,60.81595856011701,3.92857,23,ACN
02-11-2013,74.13043,86.0,66,4.08927,74.0,60.633452614363,59.81217585847,60.782775660888994,73.07,60.616861164749,3.92857,23,ACN
02-12-2013,74.13043,86.0,66,4.08927,74.0,60.46753811822301,60.210370649206,60.9694294690465,73.37,60.86573290895901,3.92857,23,ACN
02-13-2013,74.13043,86.0,66,4.08927,74.0,60.824254284924,60.72470558724,61.147787552397,73.56,61.023351680292,3.92857,23,ACN
02-14-2013,74.13043,86.0,66,4.08927,74.0,60.733001312046994,60.276736447662,60.97357733145,73.13,60.666635513591,3.92857,23,ACN
02-15-2013,74.13043,86.0,66,4.08927,74.0,60.625156889556,60.5587910911,61.521095168712,74.16,61.521095168712,3.92857,23,ACN
02-19-2013,74.13043,86.0,66,4.08927,74.0,61.620643866396,61.247336250081,62.599539393622,75.4,62.54976504478,3.92857,23,ACN
02-20-2013,74.13043,86.0,66,4.08927,74.0,62.54976504478,62.2179360525,63.022621358779,75.0,62.2179360525,3.92857,23,ACN
02-21-2013,74.13043,86.0,66,4.08927,74.0,61.960768583483,60.932098707415,62.010542932325,73.85,61.263927699695,3.92857,23,ACN
02-22-2013,74.13043,86.0,66,4.08927,74.0,61.512799443905,61.346884947765005,62.05202155636,74.8,62.05202155636,3.92857,23,ACN
02-25-2013,74.13043,86.0,66,4.08927,74.0,62.358963374219,61.313702048537,62.649313742464,73.91,61.313702048537,3.92857,23,ACN
02-26-2013,74.13043,86.0,66,4.08927,74.0,61.653826765624,61.015055955485,61.952472858676,73.83,61.247336250081,3.92857,23,ACN
02-27-2013,74.13043,86.0,66,4.08927,74.0,61.3883635718,60.882324358573,61.910994234641,74.41,61.728488288887,3.92857,23,ACN
02-28-2013,74.13043,86.0,66,4.08927,74.0,61.819741261764,61.612348141589,62.334076199798,74.36,61.687009664852,3.92857,23,ACN
03-01-2013,73.95833,86.0,66,4.08737,74.0,61.496207994291,61.073126029134,62.176457428465,74.82,62.068613005974,3.93103,24,ACN
03-04-2013,73.95833,86.0,66,4.08737,74.0,61.828036986571,61.595756691975,62.450216347096,75.24,62.41703344786799,3.93103,24,ACN
03-05-2013,73.95833,86.0,66,4.08737,74.0,62.682496641692005,62.63272229285,63.8770810139,76.92,63.810715215444,3.93103,24,ACN
03-06-2013,73.95833,86.0,66,4.08737,74.0,63.901968188321,63.810715215444,64.37482450232,77.41,64.217205730987,3.93103,24,ACN
03-07-2013,73.95833,86.0,66,4.08737,74.0,64.117657033303,63.769236591409005,64.5697740352845,77.57,64.349937327899,3.93103,24,ACN
03-08-2013,73.95833,86.0,66,4.08737,74.0,64.690062044986,64.200614281373,65.08825683572199,78.35,64.99700386284499,3.93103,24,ACN
03-11-2013,74.45833,87.0,66,4.8475,74.0,65.021891037266,64.39971167674099,65.06336966130101,78.3,64.95552523881,3.93103,24,ACN
03-12-2013,74.45833,87.0,66,4.8475,74.0,64.922342339582,64.39971167674099,65.03848248688,78.02,64.723244944214,3.93103,24,ACN
03-13-2013,74.45833,87.0,66,4.8475,74.0,64.7066534946,64.2628322174255,64.806202192284,77.93,64.648583420951,3.93103,24,ACN
03-14-2013,74.45833,87.0,66,4.8475,74.0,64.773019293056,64.59466120970549,65.013595312459,78.26,64.922342339582,3.93103,24,ACN
03-15-2013,74.45833,87.0,66,4.8475,74.0,64.60710479691599,63.478886223164,64.847680816319,76.6,63.54525202162,3.93103,24,ACN
03-18-2013,74.75,87.0,69,4.52999,74.0,62.939664110709,62.931368385902,64.10106558368899,76.81,63.719462242567005,3.93103,24,ACN
03-19-2013,74.75,87.0,69,4.52999,74.0,64.00981261081199,62.889889761867,64.059586959654,76.18,63.19683157972601,3.93103,24,ACN
03-20-2013,75.29167,88.0,69,5.27951,74.0,63.329563176638,63.155352955690994,63.71116651776,76.49,63.45399904874299,3.93103,24,ACN
03-21-2013,75.625,88.0,69,5.18662,74.0,62.906481211481,61.4422857830455,63.05165639560349,74.3,61.63723531601,3.93103,24,ACN
03-22-2013,75.625,88.0,69,5.18662,74.0,61.63723531601,60.832550009731,62.002247207518,73.88,61.288814874116,3.93103,24,ACN
03-25-2013,76.04167,88.0,69,5.35785,75.0,61.55427806794,60.74544489925749,61.6571450555468,73.41,60.898915808187,3.93103,24,ACN
03-26-2013,76.125,88.0,69,5.29396,75.0,61.3883635718,61.255631974888,61.993951482711005,74.54,61.836332711378006,3.93103,24,ACN
03-27-2013,76.125,88.0,69,5.29396,75.0,61.537686618326006,61.47132081987,62.251118951728,74.88,62.118387354816,3.93103,24,ACN
03-28-2013,77.16667,88.0,69,5.56527,76.5,61.214153350853,60.077639052294,63.163648680498,75.97,63.022621358779,3.93103,24,ACN
04-01-2013,78.1875,88.0,69,5.48257,78.5,63.105578606848994,62.674200916885,63.420816149515005,75.85,62.923072661095,3.93103,24,ACN
04-02-2013,78.46,88.0,69,5.5352,79.0,63.13046578127,62.972847009937,63.860489564286006,76.67,63.603322095269,3.96667,25,ACN
04-03-2013,78.46,88.0,69,5.5352,79.0,63.740201554584495,63.155352955690994,63.8770810139,76.6,63.54525202162,3.96667,25,ACN
04-04-2013,78.46,88.0,69,5.5352,79.0,63.760940866602,63.304676002217,63.810715215444,76.61,63.553547746427,3.96667,25,ACN
04-05-2013,78.46,88.0,69,5.5352,79.0,62.848411137832,62.649313742464,63.346154626252,76.25,63.254901653375,3.96667,25,ACN
04-08-2013,78.46,88.0,69,5.5352,79.0,63.163648680498,62.96455128513001,63.561843471234006,76.55,63.503773397585,3.96667,25,ACN
04-09-2013,78.46,88.0,69,5.5352,79.0,63.677983618532,62.989438459551,63.835602389865,76.21,63.221718754147,3.96667,25,ACN
04-10-2013,78.46,88.0,69,5.5352,79.0,63.355876246816,63.3055671868,64.663911807232,77.01,64.571678530536,3.96667,25,ACN
04-11-2013,78.46,88.0,69,5.5352,79.0,64.53813915719199,64.403981663816,65.35146896078399,77.78,65.217311467408,3.96667,25,ACN
04-12-2013,78.46,88.0,69,5.5352,79.0,64.5632936872,63.867351690312,64.873532890632,77.23,64.756145083928,3.96667,25,ACN
04-15-2013,78.46,88.0,69,5.5352,79.0,64.50459978384801,63.079176416728,64.61360274721599,75.24,63.08756126006399,3.96667,25,ACN
04-16-2013,78.46,88.0,69,5.5352,79.0,63.7248093536,63.393608041828,65.032844914016,77.49,64.97415101066399,3.96667,25,ACN
04-17-2013,78.46,88.0,69,5.5352,79.0,64.387211977144,64.076972773712,64.756145083928,76.7,64.31174838712,3.96667,25,ACN
04-18-2013,78.46,88.0,69,5.5352,79.0,64.554908843864,63.288797500128,64.68906633724,75.57,63.36426109015199,3.96667,25,ACN
04-19-2013,78.46,88.0,69,5.5352,79.0,62.90309470667199,62.219729974788,63.213333910104,74.74,62.668319093264,3.96667,25,ACN
04-22-2013,78.46,88.0,69,5.5352,79.0,62.88632502,62.207152709784,62.99532798336799,74.94,62.836015959984,3.96667,25,ACN
04-23-2013,78.46,88.0,69,5.5352,79.0,63.129485476744,62.894709863336,64.73099055392,76.3,63.97635465368,3.96667,25,ACN
04-24-2013,78.46,88.0,69,5.5352,79.0,64.085357617048,64.085357617048,65.326314430776,77.81,65.242465997416,3.96667,25,ACN
04-25-2013,78.46,88.0,69,5.5352,79.0,65.4017780208,65.301159900768,66.793662014576,79.33,66.516962184488,3.96667,25,ACN
04-26-2013,78.46,88.0,69,5.5352,79.0,65.91325346429599,65.78748081425599,66.558886401168,78.66,65.95517768097599,3.96667,25,ACN
04-29-2013,78.46,88.0,69,5.5352,79.0,65.95517768097599,65.930023150968,68.29454897172,81.13,68.02623398496799,3.96667,25,ACN
